,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1963.0,1989.0,1962.5,1987.0,3070500.0,1987.0
1,2017-01-05,1992.0,1997.5,1975.0,1977.5,3041100.0,1977.5
2,2017-01-06,1977.0,1999.0,1974.0,1991.0,2741100.0,1991.0
3,2017-01-10,1994.0,1994.0,1961.5,1965.0,3677300.0,1965.0
4,2017-01-11,1978.0,1978.0,1963.5,1968.0,2471800.0,1968.0
5,2017-01-12,1964.0,1969.0,1937.5,1954.0,3522300.0,1954.0
6,2017-01-13,1954.5,1978.0,1945.0,1977.5,2961300.0,1977.5
7,2017-01-16,1970.0,1971.5,1943.5,1945.5,2818600.0,1945.5
8,2017-01-17,1939.5,1939.5,1905.0,1907.0,2915900.0,1907.0
9,2017-01-18,1898.5,1928.5,1895.0,1923.5,2863600.0,1923.5
10,2017-01-19,1940.0,1945.0,1908.5,1916.0,3068400.0,1916.0
11,2017-01-20,1917.0,1926.0,1910.5,1914.5,2808600.0,1914.5
12,2017-01-23,1905.0,1905.0,1880.5,1880.5,3952900.0,1880.5
13,2017-01-24,1876.0,1884.5,1861.0,1865.5,3302300.0,1865.5
14,2017-01-25,1886.0,1894.5,1865.0,1871.5,3310500.0,1871.5
15,2017-01-26,1882.5,1888.0,1869.0,1881.5,7430200.0,1881.5
16,2017-01-27,1850.5,1860.0,1846.5,1847.0,3765400.0,1847.0
17,2017-01-30,1852.0,1857.0,1843.0,1852.5,2455900.0,1852.5
18,2017-01-31,1835.0,1838.0,1821.5,1828.5,3045200.0,1828.5
19,2017-02-01,1812.5,1845.0,1803.0,1842.5,2696000.0,1842.5
20,2017-02-02,1840.0,1840.5,1801.5,1806.0,2548600.0,1806.0
21,2017-02-03,1819.5,1824.5,1801.5,1810.5,2570600.0,1810.5
22,2017-02-06,1820.0,1823.0,1804.0,1810.5,1773100.0,1810.5
23,2017-02-07,1799.0,1807.5,1787.0,1801.0,2189800.0,1801.0
24,2017-02-08,1805.0,1824.0,1805.0,1821.5,1697800.0,1821.5
25,2017-02-09,1820.0,1825.5,1802.5,1820.5,1894800.0,1820.5
26,2017-02-10,1857.5,1867.5,1845.5,1867.5,3231700.0,1867.5
27,2017-02-13,1872.0,1873.0,1843.5,1853.5,2886600.0,1853.5
28,2017-02-14,1856.5,1857.0,1837.5,1839.0,2091300.0,1839.0
29,2017-02-15,1852.0,1854.0,1840.5,1848.0,1823300.0,1848.0
30,2017-02-16,1852.0,1853.0,1822.0,1824.0,3080100.0,1824.0
31,2017-02-17,1815.5,1825.5,1790.0,1802.5,2927600.0,1802.5
32,2017-02-20,1795.0,1802.0,1776.0,1798.0,2348600.0,1798.0
33,2017-02-21,1796.5,1819.0,1790.5,1815.0,1941900.0,1815.0
34,2017-02-22,1827.5,1827.5,1808.5,1812.5,2069500.0,1812.5
35,2017-02-23,1800.0,1813.0,1791.5,1799.5,2928500.0,1799.5
36,2017-02-24,1800.5,1825.5,1798.5,1815.0,2192100.0,1815.0
37,2017-02-27,1802.0,1810.5,1787.5,1800.5,2805700.0,1800.5
38,2017-02-28,1809.0,1814.5,1794.0,1795.5,2733100.0,1795.5
