,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3690.0,3735.0,3685.0,3730.0,670100.0,3730.0
1,2017-01-05,3740.0,3760.0,3725.0,3735.0,556700.0,3735.0
2,2017-01-06,3745.0,3780.0,3730.0,3770.0,517000.0,3770.0
3,2017-01-10,3780.0,3805.0,3700.0,3725.0,915700.0,3725.0
4,2017-01-11,3670.0,3670.0,3600.0,3605.0,1048800.0,3605.0
5,2017-01-12,3605.0,3610.0,3535.0,3565.0,818600.0,3565.0
6,2017-01-13,3560.0,3615.0,3555.0,3575.0,450000.0,3575.0
7,2017-01-16,3570.0,3605.0,3550.0,3575.0,392700.0,3575.0
8,2017-01-17,3575.0,3575.0,3500.0,3500.0,497700.0,3500.0
9,2017-01-18,3510.0,3530.0,3430.0,3470.0,879200.0,3470.0
10,2017-01-19,3500.0,3540.0,3465.0,3485.0,597000.0,3485.0
11,2017-01-20,3495.0,3540.0,3495.0,3520.0,469600.0,3520.0
12,2017-01-23,3540.0,3545.0,3460.0,3470.0,581400.0,3470.0
13,2017-01-24,3480.0,3525.0,3480.0,3500.0,382600.0,3500.0
14,2017-01-25,3535.0,3545.0,3475.0,3485.0,384800.0,3485.0
15,2017-01-26,3555.0,3635.0,3530.0,3625.0,1282400.0,3625.0
16,2017-01-27,3635.0,3645.0,3610.0,3615.0,600200.0,3615.0
17,2017-01-30,3610.0,3660.0,3575.0,3650.0,674700.0,3650.0
18,2017-01-31,3640.0,3690.0,3610.0,3675.0,781100.0,3675.0
19,2017-02-01,3675.0,3775.0,3515.0,3535.0,2259400.0,3535.0
20,2017-02-02,3535.0,3665.0,3530.0,3600.0,1400600.0,3600.0
21,2017-02-03,3600.0,3670.0,3550.0,3580.0,972500.0,3580.0
22,2017-02-06,3630.0,3695.0,3610.0,3690.0,964200.0,3690.0
23,2017-02-07,3695.0,3700.0,3595.0,3615.0,629400.0,3615.0
24,2017-02-08,3645.0,3650.0,3580.0,3625.0,558000.0,3625.0
25,2017-02-09,3630.0,3635.0,3595.0,3620.0,370400.0,3620.0
26,2017-02-10,3640.0,3645.0,3615.0,3645.0,425100.0,3645.0
27,2017-02-13,3675.0,3720.0,3640.0,3710.0,827500.0,3710.0
28,2017-02-14,3710.0,3710.0,3665.0,3670.0,435700.0,3670.0
29,2017-02-15,3700.0,3700.0,3665.0,3680.0,332300.0,3680.0
30,2017-02-16,3685.0,3725.0,3680.0,3725.0,488200.0,3725.0
31,2017-02-17,3720.0,3725.0,3665.0,3695.0,455200.0,3695.0
32,2017-02-20,3710.0,3750.0,3685.0,3750.0,765600.0,3750.0
33,2017-02-21,3755.0,3800.0,3735.0,3790.0,1106400.0,3790.0
34,2017-02-22,3815.0,3830.0,3750.0,3770.0,689000.0,3770.0
35,2017-02-23,3765.0,3840.0,3765.0,3825.0,696800.0,3825.0
36,2017-02-24,3830.0,3865.0,3800.0,3815.0,886300.0,3815.0
37,2017-02-27,3805.0,3840.0,3805.0,3810.0,676700.0,3810.0
38,2017-02-28,3805.0,3870.0,3805.0,3810.0,1089600.0,3810.0
39,2017-03-01,3845.0,3925.0,3840.0,3905.0,1202400.0,3905.0
40,2017-03-02,3930.0,3980.0,3900.0,3970.0,1264600.0,3970.0
41,2017-03-03,3980.0,3995.0,3960.0,3985.0,957400.0,3985.0
42,2017-03-06,4000.0,4045.0,4000.0,4035.0,1022800.0,4035.0
43,2017-03-07,4030.0,4050.0,4020.0,4035.0,548400.0,4035.0
44,2017-03-08,4005.0,4030.0,3930.0,3995.0,855000.0,3995.0
45,2017-03-09,4020.0,4040.0,3990.0,4030.0,570100.0,4030.0
46,2017-03-10,4085.0,4110.0,4050.0,4070.0,771400.0,4070.0
