,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3000.0,3030.0,2957.0,2978.0,1297500.0,1489.0
1,2017-01-05,2971.0,3050.0,2955.0,3050.0,1310400.0,1525.0
2,2017-01-06,3085.0,3120.0,3055.0,3100.0,1557100.0,1550.0
3,2017-01-10,3150.0,3220.0,3140.0,3150.0,2679600.0,1575.0
4,2017-01-11,3180.0,3195.0,3140.0,3150.0,1413600.0,1575.0
5,2017-01-12,3150.0,3165.0,3060.0,3085.0,1665200.0,1542.5
6,2017-01-13,3050.0,3130.0,3035.0,3115.0,914300.0,1557.5
7,2017-01-16,3150.0,3160.0,3105.0,3120.0,837600.0,1560.0
8,2017-01-17,3120.0,3130.0,3090.0,3090.0,1078400.0,1545.0
9,2017-01-18,3085.0,3115.0,3045.0,3070.0,1190700.0,1535.0
10,2017-01-19,3095.0,3110.0,3060.0,3070.0,992600.0,1535.0
11,2017-01-20,2986.0,3050.0,2972.0,3035.0,1668900.0,1517.5
12,2017-01-23,3010.0,3045.0,2992.0,3020.0,756700.0,1510.0
13,2017-01-24,2969.0,2990.0,2930.0,2947.0,1329400.0,1473.5
14,2017-01-25,2959.0,2982.0,2881.0,2895.0,2120900.0,1447.5
15,2017-01-26,2900.0,2979.0,2882.0,2959.0,1806100.0,1479.5
16,2017-01-27,3200.0,3270.0,3160.0,3230.0,4226100.0,1615.0
17,2017-01-30,3200.0,3245.0,3180.0,3190.0,1483800.0,1595.0
18,2017-01-31,3010.0,3060.0,2985.0,3030.0,5305200.0,1515.0
19,2017-02-01,3030.0,3050.0,3020.0,3035.0,2244000.0,1517.5
20,2017-02-02,3045.0,3090.0,3030.0,3035.0,2413200.0,1517.5
21,2017-02-03,3055.0,3070.0,3020.0,3030.0,1872200.0,1515.0
22,2017-02-06,3050.0,3050.0,2944.0,2955.0,2273900.0,1477.5
23,2017-02-07,2940.0,2995.0,2910.0,2948.0,2097000.0,1474.0
24,2017-02-08,2977.0,2989.0,2949.0,2964.0,1160200.0,1482.0
25,2017-02-09,2964.0,2970.0,2938.0,2948.0,839200.0,1474.0
26,2017-02-10,2978.0,2980.0,2945.0,2963.0,1214900.0,1481.5
27,2017-02-13,2988.0,2999.0,2956.0,2960.0,1616200.0,1480.0
28,2017-02-14,2964.0,2971.0,2877.0,2882.0,2069700.0,1441.0
29,2017-02-15,2915.0,2916.0,2871.0,2880.0,1273900.0,1440.0
30,2017-02-16,2902.0,2909.0,2830.0,2838.0,1593800.0,1419.0
31,2017-02-17,2826.0,2880.0,2821.0,2875.0,1905900.0,1437.5
32,2017-02-20,2866.0,2896.0,2838.0,2845.0,1416500.0,1422.5
33,2017-02-21,2830.0,2837.0,2808.0,2831.0,1413400.0,1415.5
34,2017-02-22,2841.0,2858.0,2837.0,2844.0,639800.0,1422.0
35,2017-02-23,2840.0,2862.0,2827.0,2860.0,614700.0,1430.0
36,2017-02-24,2841.0,2858.0,2822.0,2838.0,962800.0,1419.0
37,2017-02-27,2822.0,2905.0,2822.0,2864.0,1290500.0,1432.0
38,2017-02-28,2864.0,2874.0,2835.0,2850.0,1161100.0,1425.0
39,2017-03-01,2853.0,2906.0,2839.0,2900.0,1250800.0,1450.0
40,2017-03-02,2925.0,2925.0,2875.0,2901.0,1562900.0,1450.5
41,2017-03-03,2901.0,2922.0,2871.0,2879.0,1143100.0,1439.5
42,2017-03-06,2881.0,2894.0,2840.0,2856.0,930500.0,1428.0
43,2017-03-07,2858.0,2863.0,2838.0,2846.0,829200.0,1423.0
44,2017-03-08,2832.0,2848.0,2820.0,2830.0,809000.0,1415.0
45,2017-03-09,2840.0,2853.0,2820.0,2827.0,627400.0,1413.5
46,2017-03-10,2852.0,2878.0,2843.0,2875.0,1120700.0,1437.5
47,2017-03-13,2874.0,2894.0,2838.0,2843.0,894200.0,1421.5
48,2017-03-14,2850.0,2863.0,2833.0,2853.0,904900.0,1426.5
49,2017-03-15,2850.0,2865.0,2836.0,2843.0,727800.0,1421.5
50,2017-03-16,2828.0,2848.0,2812.0,2844.0,893400.0,1422.0
51,2017-03-17,2840.0,2850.0,2817.0,2818.0,1069600.0,1409.0
52,2017-03-21,2802.0,2810.0,2760.0,2785.0,2095000.0,1392.5
53,2017-03-22,2754.0,2784.0,2716.0,2717.0,2585700.0,1358.5
54,2017-03-23,2788.0,2796.0,2736.0,2737.0,2152500.0,1368.5
55,2017-03-24,2754.0,2778.0,2733.0,2755.0,1382200.0,1377.5
56,2017-03-27,2730.0,2743.0,2685.0,2695.0,1273100.0,1347.5
57,2017-03-28,2697.0,2806.0,2692.0,2803.0,1815000.0,1401.5
58,2017-03-29,2829.0,2853.0,2808.0,2835.0,1768900.0,1417.5
59,2017-03-30,2835.0,2839.0,2782.0,2792.0,998100.0,1396.0
60,2017-03-31,2798.0,2812.0,2763.0,2763.0,1039600.0,1381.5
61,2017-04-03,2762.0,2819.0,2762.0,2807.0,1021600.0,1403.5
62,2017-04-04,2848.0,2870.0,2815.0,2842.0,1621000.0,1421.0
63,2017-04-05,2883.0,2940.0,2869.0,2932.0,2231800.0,1466.0
64,2017-04-06,2950.0,2953.0,2846.0,2856.0,1652300.0,1428.0
65,2017-04-07,2852.0,2899.0,2811.0,2878.0,1308900.0,1439.0
