,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2580.0,2580.0,2535.0,2553.0,4049200.0,2553.0
1,2017-01-05,2582.0,2645.0,2555.0,2614.0,5509600.0,2614.0
2,2017-01-06,2605.0,2775.0,2595.0,2721.0,14195100.0,2721.0
3,2017-01-10,2726.0,2735.0,2673.0,2714.0,5251000.0,2714.0
4,2017-01-11,2740.0,2786.0,2704.0,2707.0,5227600.0,2707.0
5,2017-01-12,2693.0,2730.0,2653.0,2663.0,4369300.0,2663.0
6,2017-01-13,2650.0,2696.0,2632.0,2672.0,2410400.0,2672.0
7,2017-01-16,2664.0,2666.0,2587.0,2629.0,2963200.0,2629.0
8,2017-01-17,2599.0,2657.0,2596.0,2630.0,2470600.0,2630.0
9,2017-01-18,2618.0,2706.0,2602.0,2700.0,3754400.0,2700.0
10,2017-01-19,2740.0,2741.0,2592.0,2628.0,8697300.0,2628.0
11,2017-01-20,2612.0,2665.0,2612.0,2651.0,2649100.0,2651.0
12,2017-01-23,2651.0,2675.0,2633.0,2640.0,2453200.0,2640.0
13,2017-01-24,2580.0,2584.0,2511.0,2546.0,5397400.0,2546.0
14,2017-01-25,2541.0,2606.0,2535.0,2605.0,3132300.0,2605.0
15,2017-01-26,2611.0,2654.0,2606.0,2644.0,3342300.0,2644.0
16,2017-01-27,2638.0,2650.0,2594.0,2622.0,2782700.0,2622.0
17,2017-01-30,2614.0,2620.0,2574.0,2588.0,2910300.0,2588.0
18,2017-01-31,2570.0,2584.0,2523.0,2529.0,4479600.0,2529.0
19,2017-02-01,2499.0,2546.0,2251.0,2364.0,13211600.0,2364.0
20,2017-02-02,2390.0,2430.0,2362.0,2370.0,3612200.0,2370.0
21,2017-02-03,2433.0,2558.0,2430.0,2453.0,6280300.0,2453.0
22,2017-02-06,2467.0,2536.0,2435.0,2504.0,4637500.0,2504.0
23,2017-02-07,2487.0,2525.0,2466.0,2472.0,2522000.0,2472.0
24,2017-02-08,2480.0,2529.0,2472.0,2505.0,2707000.0,2505.0
25,2017-02-09,2590.0,2677.0,2542.0,2554.0,5870400.0,2554.0
26,2017-02-10,2604.0,2610.0,2567.0,2601.0,3729600.0,2601.0
27,2017-02-13,2649.0,2703.0,2625.0,2675.0,4202500.0,2675.0
28,2017-02-14,2653.0,2671.0,2593.0,2601.0,2766400.0,2601.0
29,2017-02-15,2595.0,2601.0,2468.0,2490.0,5880700.0,2490.0
30,2017-02-16,2471.0,2480.0,2415.0,2429.0,4849000.0,2429.0
31,2017-02-17,2430.0,2454.0,2394.0,2430.0,3448500.0,2430.0
32,2017-02-20,2444.0,2479.0,2438.0,2463.0,2563400.0,2463.0
33,2017-02-21,2456.0,2495.0,2453.0,2486.0,1437300.0,2486.0
34,2017-02-22,2480.0,2487.0,2453.0,2477.0,1726500.0,2477.0
35,2017-02-23,2477.0,2492.0,2459.0,2478.0,1499400.0,2478.0
36,2017-02-24,2461.0,2510.0,2455.0,2484.0,1643700.0,2484.0
37,2017-02-27,2534.0,2575.0,2520.0,2534.0,4251500.0,2534.0
38,2017-02-28,2539.0,2558.0,2527.0,2527.0,1802600.0,2527.0
39,2017-03-01,2550.0,2550.0,2473.0,2512.0,2293700.0,2512.0
40,2017-03-02,2537.0,2537.0,2502.0,2519.0,1676900.0,2519.0
41,2017-03-03,2519.0,2523.0,2460.0,2479.0,2121700.0,2479.0
42,2017-03-06,2469.0,2487.0,2463.0,2468.0,1495300.0,2468.0
43,2017-03-07,2461.0,2465.0,2421.0,2425.0,3109800.0,2425.0
44,2017-03-08,2442.0,2456.0,2430.0,2450.0,2289300.0,2450.0
45,2017-03-09,2445.0,2458.0,2427.0,2437.0,1531700.0,2437.0
46,2017-03-10,2457.0,2505.0,2451.0,2499.0,2328000.0,2499.0
