,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3890.0,3985.0,3885.0,3915.0,387800.0,3915.0
1,2017-01-05,3925.0,3955.0,3900.0,3955.0,284900.0,3955.0
2,2017-01-06,3945.0,3995.0,3915.0,3995.0,216200.0,3995.0
3,2017-01-10,3980.0,3995.0,3895.0,3910.0,259000.0,3910.0
4,2017-01-11,3905.0,3905.0,3870.0,3875.0,183900.0,3875.0
5,2017-01-12,3850.0,3880.0,3840.0,3865.0,276000.0,3865.0
6,2017-01-13,3865.0,3895.0,3855.0,3895.0,181600.0,3895.0
7,2017-01-16,3910.0,3935.0,3860.0,3870.0,181700.0,3870.0
8,2017-01-17,3845.0,3850.0,3735.0,3750.0,353400.0,3750.0
9,2017-01-18,3775.0,3800.0,3730.0,3755.0,202100.0,3755.0
10,2017-01-19,3810.0,3815.0,3755.0,3765.0,182500.0,3765.0
11,2017-01-20,3775.0,3815.0,3750.0,3800.0,175900.0,3800.0
12,2017-01-23,3765.0,3765.0,3725.0,3725.0,155100.0,3725.0
13,2017-01-24,3745.0,3755.0,3715.0,3730.0,160100.0,3730.0
14,2017-01-25,3775.0,3790.0,3715.0,3730.0,164700.0,3730.0
15,2017-01-26,3725.0,3805.0,3710.0,3795.0,242500.0,3795.0
16,2017-01-27,3810.0,3815.0,3770.0,3780.0,208300.0,3780.0
17,2017-01-30,3785.0,3790.0,3740.0,3790.0,125400.0,3790.0
18,2017-01-31,3770.0,3800.0,3740.0,3750.0,237400.0,3750.0
19,2017-02-01,3720.0,3810.0,3720.0,3800.0,225900.0,3800.0
20,2017-02-02,3820.0,3820.0,3740.0,3750.0,148500.0,3750.0
21,2017-02-03,3755.0,3780.0,3745.0,3770.0,121500.0,3770.0
22,2017-02-06,3780.0,3790.0,3720.0,3740.0,131100.0,3740.0
23,2017-02-07,3705.0,3725.0,3685.0,3715.0,188700.0,3715.0
24,2017-02-08,3705.0,3720.0,3685.0,3710.0,147200.0,3710.0
25,2017-02-09,3725.0,3725.0,3665.0,3685.0,251000.0,3685.0
26,2017-02-10,3730.0,3740.0,3685.0,3735.0,200600.0,3735.0
27,2017-02-13,3770.0,3775.0,3745.0,3755.0,162000.0,3755.0
28,2017-02-14,3795.0,3800.0,3720.0,3720.0,181600.0,3720.0
29,2017-02-15,3760.0,3760.0,3695.0,3710.0,149100.0,3710.0
30,2017-02-16,3690.0,3710.0,3650.0,3685.0,220500.0,3685.0
31,2017-02-17,3680.0,3710.0,3660.0,3705.0,141600.0,3705.0
32,2017-02-20,3685.0,3715.0,3675.0,3705.0,152800.0,3705.0
33,2017-02-21,3720.0,3750.0,3710.0,3750.0,140300.0,3750.0
34,2017-02-22,3765.0,3770.0,3725.0,3735.0,138300.0,3735.0
35,2017-02-23,3735.0,3800.0,3730.0,3800.0,170300.0,3800.0
36,2017-02-24,3795.0,3810.0,3765.0,3805.0,222900.0,3805.0
37,2017-02-27,3790.0,3850.0,3780.0,3835.0,204500.0,3835.0
38,2017-02-28,3850.0,3920.0,3840.0,3840.0,314900.0,3840.0
39,2017-03-01,3855.0,3895.0,3855.0,3875.0,182100.0,3875.0
40,2017-03-02,3935.0,3940.0,3815.0,3835.0,588300.0,3835.0
41,2017-03-03,3850.0,3850.0,3815.0,3830.0,235200.0,3830.0
42,2017-03-06,3820.0,3845.0,3820.0,3825.0,167200.0,3825.0
43,2017-03-07,3820.0,3855.0,3820.0,3850.0,217300.0,3850.0
44,2017-03-08,3860.0,3865.0,3825.0,3850.0,302600.0,3850.0
45,2017-03-09,3855.0,3855.0,3800.0,3820.0,239900.0,3820.0
46,2017-03-10,3860.0,3910.0,3840.0,3910.0,347400.0,3910.0
47,2017-03-13,3910.0,3920.0,3880.0,3895.0,198700.0,3895.0
48,2017-03-14,3910.0,3945.0,3890.0,3940.0,287100.0,3940.0
49,2017-03-15,3930.0,3975.0,3900.0,3970.0,285600.0,3970.0
50,2017-03-16,3970.0,4050.0,3945.0,4045.0,534100.0,4045.0
51,2017-03-17,4050.0,4070.0,4030.0,4045.0,359300.0,4045.0
52,2017-03-21,4030.0,4090.0,4020.0,4075.0,274100.0,4075.0
53,2017-03-22,4010.0,4075.0,4005.0,4030.0,298900.0,4030.0
54,2017-03-23,4045.0,4145.0,4045.0,4145.0,520900.0,4145.0
55,2017-03-24,4145.0,4235.0,4145.0,4205.0,518200.0,4205.0
56,2017-03-27,4170.0,4190.0,4110.0,4135.0,333900.0,4135.0
57,2017-03-28,4170.0,4220.0,4150.0,4220.0,340800.0,4220.0
58,2017-03-29,4240.0,4265.0,4215.0,4245.0,219000.0,4245.0
59,2017-03-30,4230.0,4230.0,4140.0,4155.0,349200.0,4155.0
60,2017-03-31,4140.0,4145.0,4065.0,4065.0,628000.0,4065.0
61,2017-04-03,4050.0,4185.0,4050.0,4170.0,552600.0,4170.0
