,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2933.0,2949.0,2917.0,2943.0,346900.0,2943.0
1,2017-01-05,2949.0,2968.0,2930.0,2953.0,305700.0,2953.0
2,2017-01-06,2955.0,2993.0,2951.0,2990.0,302600.0,2990.0
3,2017-01-10,2980.0,2991.0,2926.0,2935.0,476500.0,2935.0
4,2017-01-11,2950.0,2954.0,2927.0,2942.0,264400.0,2942.0
5,2017-01-12,2942.0,2950.0,2895.0,2909.0,276200.0,2909.0
6,2017-01-13,2897.0,2925.0,2885.0,2922.0,227400.0,2922.0
7,2017-01-16,2909.0,2921.0,2894.0,2904.0,115900.0,2904.0
8,2017-01-17,2894.0,2898.0,2837.0,2839.0,221800.0,2839.0
9,2017-01-18,2834.0,2852.0,2803.0,2826.0,278100.0,2826.0
10,2017-01-19,2841.0,2858.0,2825.0,2833.0,162600.0,2833.0
11,2017-01-20,2846.0,2861.0,2826.0,2851.0,186500.0,2851.0
12,2017-01-23,2838.0,2840.0,2817.0,2820.0,159900.0,2820.0
13,2017-01-24,2811.0,2834.0,2804.0,2805.0,221500.0,2805.0
14,2017-01-25,2822.0,2836.0,2795.0,2802.0,209400.0,2802.0
15,2017-01-26,2830.0,2846.0,2817.0,2837.0,240900.0,2837.0
16,2017-01-27,2950.0,2985.0,2929.0,2935.0,893000.0,2935.0
17,2017-01-30,2930.0,2937.0,2892.0,2919.0,413100.0,2919.0
18,2017-01-31,2891.0,2914.0,2888.0,2906.0,328900.0,2906.0
19,2017-02-01,2904.0,2938.0,2902.0,2934.0,317900.0,2934.0
20,2017-02-02,2946.0,2947.0,2902.0,2909.0,305600.0,2909.0
21,2017-02-03,2920.0,2920.0,2862.0,2873.0,603500.0,2873.0
22,2017-02-06,2891.0,2896.0,2861.0,2872.0,267500.0,2872.0
23,2017-02-07,2875.0,2934.0,2872.0,2916.0,455100.0,2916.0
24,2017-02-08,2926.0,2932.0,2897.0,2912.0,327200.0,2912.0
25,2017-02-09,2901.0,2939.0,2901.0,2931.0,320900.0,2931.0
26,2017-02-10,2945.0,2948.0,2925.0,2940.0,290500.0,2940.0
27,2017-02-13,2950.0,2972.0,2940.0,2944.0,249700.0,2944.0
28,2017-02-14,2941.0,2941.0,2884.0,2887.0,326600.0,2887.0
29,2017-02-15,2904.0,2925.0,2858.0,2864.0,264000.0,2864.0
30,2017-02-16,2866.0,2883.0,2854.0,2861.0,199700.0,2861.0
31,2017-02-17,2862.0,2882.0,2847.0,2877.0,197100.0,2877.0
32,2017-02-20,2884.0,2888.0,2866.0,2878.0,167300.0,2878.0
33,2017-02-21,2885.0,2910.0,2877.0,2902.0,154900.0,2902.0
34,2017-02-22,2904.0,2907.0,2876.0,2884.0,141700.0,2884.0
35,2017-02-23,2888.0,2923.0,2885.0,2920.0,123500.0,2920.0
36,2017-02-24,2900.0,2930.0,2892.0,2907.0,235600.0,2907.0
37,2017-02-27,2890.0,2902.0,2876.0,2883.0,234900.0,2883.0
38,2017-02-28,2899.0,2905.0,2884.0,2885.0,226800.0,2885.0
39,2017-03-01,2881.0,2905.0,2881.0,2899.0,235000.0,2899.0
40,2017-03-02,2920.0,2924.0,2890.0,2920.0,238000.0,2920.0
41,2017-03-03,2929.0,2939.0,2913.0,2927.0,217200.0,2927.0
42,2017-03-06,2924.0,2927.0,2909.0,2915.0,142000.0,2915.0
43,2017-03-07,2914.0,2939.0,2912.0,2938.0,140500.0,2938.0
44,2017-03-08,2935.0,2948.0,2918.0,2939.0,254100.0,2939.0
45,2017-03-09,2941.0,2941.0,2925.0,2928.0,125700.0,2928.0
46,2017-03-10,2950.0,2979.0,2946.0,2968.0,352300.0,2968.0
47,2017-03-13,2970.0,3030.0,2965.0,2999.0,303000.0,2999.0
48,2017-03-14,3010.0,3025.0,2999.0,3010.0,316800.0,3010.0
49,2017-03-15,2999.0,3005.0,2986.0,2997.0,240900.0,2997.0
50,2017-03-16,2982.0,3010.0,2975.0,3005.0,178400.0,3005.0
51,2017-03-17,2986.0,2996.0,2968.0,2995.0,200900.0,2995.0
52,2017-03-21,3005.0,3010.0,2981.0,2994.0,272200.0,2994.0
53,2017-03-22,2982.0,3005.0,2977.0,2984.0,218700.0,2984.0
54,2017-03-23,2989.0,2994.0,2971.0,2987.0,163200.0,2987.0
55,2017-03-24,2980.0,3010.0,2972.0,3005.0,254200.0,3005.0
56,2017-03-27,2982.0,2989.0,2956.0,2956.0,265700.0,2956.0
57,2017-03-28,2961.0,2984.0,2958.0,2984.0,282300.0,2984.0
58,2017-03-29,2984.0,2997.0,2974.0,2994.0,228600.0,2994.0
59,2017-03-30,2995.0,2995.0,2928.0,2929.0,248000.0,2929.0
60,2017-03-31,2933.0,2943.0,2893.0,2893.0,311800.0,2893.0
61,2017-04-03,2905.0,2950.0,2905.0,2938.0,225300.0,2938.0
62,2017-04-04,2934.0,2967.0,2921.0,2930.0,314600.0,2930.0
63,2017-04-05,2935.0,2972.0,2928.0,2940.0,280200.0,2940.0
64,2017-04-06,2934.0,2943.0,2879.0,2884.0,250400.0,2884.0
65,2017-04-07,2914.0,2938.0,2890.0,2922.0,278200.0,2922.0
