,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,6170.0,6180.0,6110.0,6160.0,312800.0,6160.0
1,2017-01-05,6150.0,6220.0,6140.0,6180.0,317900.0,6180.0
2,2017-01-06,6170.0,6240.0,6150.0,6210.0,247700.0,6210.0
3,2017-01-10,6170.0,6220.0,6110.0,6140.0,284100.0,6140.0
4,2017-01-11,6170.0,6170.0,6110.0,6130.0,226100.0,6130.0
5,2017-01-12,6140.0,6140.0,6010.0,6050.0,292000.0,6050.0
6,2017-01-13,5990.0,6090.0,5980.0,6060.0,296800.0,6060.0
7,2017-01-16,6040.0,6080.0,6030.0,6050.0,168800.0,6050.0
8,2017-01-17,6050.0,6060.0,5940.0,5950.0,232100.0,5950.0
9,2017-01-18,5970.0,6000.0,5920.0,5980.0,253500.0,5980.0
10,2017-01-19,6010.0,6110.0,6010.0,6090.0,299600.0,6090.0
11,2017-01-20,6080.0,6120.0,6060.0,6080.0,218700.0,6080.0
12,2017-01-23,6000.0,6010.0,5900.0,5900.0,367100.0,5900.0
13,2017-01-24,5870.0,5940.0,5850.0,5920.0,313200.0,5920.0
14,2017-01-25,5980.0,5990.0,5880.0,5910.0,256600.0,5910.0
15,2017-01-26,5920.0,5980.0,5890.0,5970.0,207500.0,5970.0
16,2017-01-27,6000.0,6010.0,5950.0,5960.0,175500.0,5960.0
17,2017-01-30,5960.0,5990.0,5920.0,5980.0,205300.0,5980.0
18,2017-01-31,5950.0,6000.0,5930.0,5960.0,304100.0,5960.0
19,2017-02-01,5970.0,6030.0,5960.0,6020.0,216300.0,6020.0
20,2017-02-02,6000.0,6020.0,5910.0,5930.0,321100.0,5930.0
21,2017-02-03,5930.0,5960.0,5890.0,5900.0,309900.0,5900.0
22,2017-02-06,5980.0,5980.0,5890.0,5960.0,298800.0,5960.0
23,2017-02-07,5940.0,5960.0,5880.0,5910.0,242300.0,5910.0
24,2017-02-08,5880.0,5920.0,5780.0,5920.0,555400.0,5920.0
25,2017-02-09,5920.0,5960.0,5870.0,5940.0,376200.0,5940.0
26,2017-02-10,6000.0,6020.0,5960.0,5970.0,287800.0,5970.0
27,2017-02-13,6010.0,6110.0,5990.0,6100.0,366300.0,6100.0
28,2017-02-14,6090.0,6090.0,5990.0,5990.0,320200.0,5990.0
29,2017-02-15,6050.0,6050.0,5990.0,6010.0,254100.0,6010.0
30,2017-02-16,6010.0,6070.0,6010.0,6060.0,292900.0,6060.0
31,2017-02-17,6040.0,6110.0,6010.0,6100.0,262900.0,6100.0
32,2017-02-20,6110.0,6150.0,6070.0,6140.0,186500.0,6140.0
33,2017-02-21,6120.0,6160.0,6100.0,6150.0,219400.0,6150.0
34,2017-02-22,6170.0,6180.0,6130.0,6170.0,293600.0,6170.0
35,2017-02-23,6190.0,6220.0,6160.0,6200.0,402800.0,6200.0
36,2017-02-24,6200.0,6290.0,6200.0,6230.0,346000.0,6230.0
37,2017-02-27,6310.0,6480.0,6280.0,6300.0,912300.0,6300.0
38,2017-02-28,6280.0,6370.0,6250.0,6290.0,385100.0,6290.0
39,2017-03-01,6320.0,6360.0,6290.0,6350.0,284300.0,6350.0
40,2017-03-02,6390.0,6410.0,6340.0,6410.0,345100.0,6410.0
41,2017-03-03,6410.0,6460.0,6390.0,6410.0,286800.0,6410.0
42,2017-03-06,6390.0,6420.0,6370.0,6400.0,203500.0,6400.0
43,2017-03-07,6400.0,6450.0,6390.0,6430.0,206800.0,6430.0
44,2017-03-08,6410.0,6420.0,6360.0,6420.0,271300.0,6420.0
45,2017-03-09,6420.0,6420.0,6380.0,6410.0,227900.0,6410.0
46,2017-03-10,6470.0,6500.0,6450.0,6470.0,449800.0,6470.0
47,2017-03-13,6490.0,6540.0,6470.0,6510.0,325800.0,6510.0
48,2017-03-14,6530.0,6540.0,6470.0,6500.0,234300.0,6500.0
49,2017-03-15,6500.0,6540.0,6490.0,6530.0,162500.0,6530.0
50,2017-03-16,6500.0,6530.0,6460.0,6510.0,343700.0,6510.0
51,2017-03-17,6490.0,6530.0,6470.0,6510.0,263300.0,6510.0
52,2017-03-21,6510.0,6570.0,6490.0,6570.0,287100.0,6570.0
53,2017-03-22,6510.0,6560.0,6490.0,6490.0,243300.0,6490.0
54,2017-03-23,6470.0,6530.0,6450.0,6490.0,267000.0,6490.0
55,2017-03-24,6490.0,6570.0,6480.0,6540.0,274100.0,6540.0
56,2017-03-27,6510.0,6550.0,6460.0,6490.0,246700.0,6490.0
57,2017-03-28,6520.0,6580.0,6490.0,6510.0,417400.0,6510.0
58,2017-03-29,6470.0,6480.0,6360.0,6440.0,412300.0,6440.0
59,2017-03-30,6420.0,6440.0,6290.0,6310.0,224100.0,6310.0
60,2017-03-31,6330.0,6370.0,6170.0,6170.0,392600.0,6170.0
61,2017-04-03,6200.0,6300.0,6170.0,6290.0,306000.0,6290.0
62,2017-04-04,6250.0,6310.0,6210.0,6250.0,335300.0,6250.0
63,2017-04-05,6280.0,6390.0,6250.0,6370.0,381300.0,6370.0
64,2017-04-06,6350.0,6390.0,6260.0,6270.0,350900.0,6270.0
65,2017-04-07,6350.0,6370.0,6280.0,6330.0,314200.0,6330.0
66,2017-04-10,6370.0,6380.0,6270.0,6280.0,188500.0,6280.0
67,2017-04-11,6250.0,6310.0,6240.0,6260.0,177300.0,6260.0
68,2017-04-12,6230.0,6300.0,6180.0,6260.0,303900.0,6260.0
69,2017-04-13,6250.0,6300.0,6240.0,6270.0,237000.0,6270.0
70,2017-04-14,6270.0,6280.0,6190.0,6230.0,152600.0,6230.0
71,2017-04-17,6240.0,6360.0,6240.0,6340.0,213700.0,6340.0
72,2017-04-18,6340.0,6350.0,6280.0,6330.0,138200.0,6330.0
73,2017-04-19,6290.0,6370.0,6290.0,6340.0,192200.0,6340.0
74,2017-04-20,6320.0,6330.0,6230.0,6290.0,216500.0,6290.0
