,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,5660.0,5770.0,5620.0,5730.0,473500.0,2865.0
1,2017-01-05,5830.0,5870.0,5800.0,5810.0,451800.0,2905.0
2,2017-01-06,5800.0,5850.0,5770.0,5820.0,340000.0,2910.0
3,2017-01-10,5870.0,5880.0,5740.0,5790.0,396200.0,2895.0
4,2017-01-11,5840.0,5870.0,5800.0,5800.0,384300.0,2900.0
5,2017-01-12,5760.0,5780.0,5680.0,5700.0,322700.0,2850.0
6,2017-01-13,5740.0,5850.0,5730.0,5820.0,299100.0,2910.0
7,2017-01-16,5820.0,5860.0,5780.0,5790.0,220700.0,2895.0
8,2017-01-17,5760.0,5760.0,5520.0,5550.0,437700.0,2775.0
9,2017-01-18,5570.0,5660.0,5520.0,5650.0,302400.0,2825.0
10,2017-01-19,5660.0,5710.0,5620.0,5640.0,240800.0,2820.0
11,2017-01-20,5630.0,5640.0,5590.0,5620.0,181800.0,2810.0
12,2017-01-23,5620.0,5620.0,5510.0,5530.0,252100.0,2765.0
13,2017-01-24,5510.0,5600.0,5500.0,5560.0,218000.0,2780.0
14,2017-01-25,5640.0,5660.0,5560.0,5610.0,164700.0,2805.0
15,2017-01-26,5650.0,5650.0,5590.0,5620.0,286500.0,2810.0
16,2017-01-27,5610.0,5730.0,5610.0,5720.0,194300.0,2860.0
17,2017-01-30,5660.0,5690.0,5610.0,5650.0,142700.0,2825.0
18,2017-01-31,5620.0,5640.0,5580.0,5610.0,142100.0,2805.0
19,2017-02-01,5590.0,5610.0,5550.0,5570.0,236600.0,2785.0
20,2017-02-02,5560.0,5560.0,5470.0,5500.0,323800.0,2750.0
21,2017-02-03,5490.0,5530.0,5460.0,5520.0,201900.0,2760.0
22,2017-02-06,5560.0,5580.0,5380.0,5420.0,325200.0,2710.0
23,2017-02-07,5410.0,5430.0,5360.0,5380.0,191700.0,2690.0
24,2017-02-08,5410.0,5420.0,5350.0,5380.0,156900.0,2690.0
25,2017-02-09,5320.0,5330.0,5220.0,5260.0,412900.0,2630.0
26,2017-02-10,5340.0,5350.0,5230.0,5340.0,282700.0,2670.0
27,2017-02-13,5280.0,5360.0,5220.0,5310.0,282600.0,2655.0
28,2017-02-14,5320.0,5350.0,5260.0,5270.0,271900.0,2635.0
29,2017-02-15,5330.0,5350.0,5210.0,5220.0,342200.0,2610.0
30,2017-02-16,5250.0,5270.0,5200.0,5210.0,183400.0,2605.0
31,2017-02-17,5150.0,5220.0,5110.0,5190.0,234400.0,2595.0
32,2017-02-20,5190.0,5300.0,5170.0,5280.0,219000.0,2640.0
33,2017-02-21,5280.0,5340.0,5270.0,5310.0,146900.0,2655.0
34,2017-02-22,5310.0,5350.0,5270.0,5330.0,278500.0,2665.0
35,2017-02-23,5330.0,5330.0,5240.0,5310.0,303200.0,2655.0
36,2017-02-24,5250.0,5350.0,5250.0,5320.0,215300.0,2660.0
37,2017-02-27,5290.0,5320.0,5250.0,5260.0,261000.0,2630.0
38,2017-02-28,5290.0,5370.0,5290.0,5310.0,257600.0,2655.0
39,2017-03-01,5350.0,5370.0,5290.0,5350.0,182500.0,2675.0
40,2017-03-02,5390.0,5400.0,5300.0,5310.0,259100.0,2655.0
41,2017-03-03,5320.0,5360.0,5290.0,5320.0,229400.0,2660.0
42,2017-03-06,5330.0,5480.0,5330.0,5450.0,493800.0,2725.0
43,2017-03-07,5470.0,5520.0,5440.0,5450.0,316900.0,2725.0
44,2017-03-08,5430.0,5440.0,5380.0,5400.0,201100.0,2700.0
45,2017-03-09,5400.0,5510.0,5400.0,5480.0,227500.0,2740.0
46,2017-03-10,5570.0,5570.0,5460.0,5480.0,261400.0,2740.0
47,2017-03-13,5500.0,5570.0,5480.0,5510.0,215600.0,2755.0
48,2017-03-14,5510.0,5520.0,5450.0,5460.0,157600.0,2730.0
49,2017-03-15,5460.0,5510.0,5450.0,5450.0,151600.0,2725.0
50,2017-03-16,5470.0,5510.0,5440.0,5470.0,187500.0,2735.0
51,2017-03-17,5450.0,5550.0,5440.0,5530.0,328600.0,2765.0
52,2017-03-21,5530.0,5540.0,5450.0,5500.0,234000.0,2750.0
53,2017-03-22,5460.0,5480.0,5440.0,5460.0,206500.0,2730.0
54,2017-03-23,5400.0,5460.0,5390.0,5450.0,230500.0,2725.0
55,2017-03-24,5440.0,5490.0,5440.0,5480.0,182700.0,2740.0
56,2017-03-27,5450.0,5460.0,5340.0,5390.0,245500.0,2695.0
57,2017-03-28,5410.0,5470.0,5380.0,5470.0,340900.0,2735.0
58,2017-03-29,5490.0,5540.0,5440.0,5500.0,271300.0,2750.0
59,2017-03-30,5490.0,5510.0,5280.0,5330.0,341300.0,2665.0
60,2017-03-31,5430.0,5430.0,5270.0,5280.0,395900.0,2640.0
61,2017-04-03,5380.0,5550.0,5310.0,5520.0,457700.0,2760.0
62,2017-04-04,5560.0,5590.0,5420.0,5450.0,410900.0,2725.0
63,2017-04-05,5540.0,5690.0,5500.0,5590.0,498200.0,2795.0
64,2017-04-06,5640.0,5640.0,5430.0,5440.0,370800.0,2720.0
65,2017-04-07,5520.0,5560.0,5480.0,5540.0,379300.0,2770.0
66,2017-04-10,5560.0,5580.0,5500.0,5530.0,345900.0,2765.0
67,2017-04-11,5550.0,5600.0,5530.0,5580.0,354700.0,2790.0
68,2017-04-12,5570.0,5600.0,5530.0,5550.0,364800.0,2775.0
69,2017-04-13,5560.0,5610.0,5540.0,5570.0,384100.0,2785.0
70,2017-04-14,5550.0,5560.0,5450.0,5480.0,233900.0,2740.0
71,2017-04-17,5450.0,5610.0,5450.0,5580.0,219300.0,2790.0
72,2017-04-18,5590.0,5600.0,5450.0,5540.0,333900.0,2770.0
73,2017-04-19,5550.0,5590.0,5520.0,5550.0,303900.0,2775.0
74,2017-04-20,5550.0,5560.0,5470.0,5520.0,287900.0,2760.0
75,2017-04-21,5470.0,5500.0,5320.0,5390.0,530200.0,2695.0
76,2017-04-24,5420.0,5500.0,5400.0,5480.0,238700.0,2740.0
77,2017-04-25,5500.0,5500.0,5420.0,5470.0,220900.0,2735.0
78,2017-04-26,5470.0,5560.0,5450.0,5540.0,273600.0,2770.0
79,2017-04-27,5550.0,5620.0,5540.0,5590.0,272400.0,2795.0
80,2017-04-28,5590.0,5650.0,5550.0,5590.0,266000.0,2795.0
81,2017-05-01,5560.0,5570.0,5500.0,5570.0,180800.0,2785.0
82,2017-05-02,5570.0,5650.0,5560.0,5640.0,205800.0,2820.0
83,2017-05-08,5730.0,5830.0,5710.0,5810.0,234700.0,2905.0
84,2017-05-09,5760.0,5810.0,5690.0,5760.0,321000.0,2880.0
85,2017-05-10,5770.0,5820.0,5690.0,5720.0,251700.0,2860.0
86,2017-05-11,5730.0,5790.0,5730.0,5740.0,239400.0,2870.0
87,2017-05-12,5850.0,6120.0,5810.0,6110.0,639500.0,3055.0
88,2017-05-15,6150.0,6190.0,6100.0,6170.0,410700.0,3085.0
89,2017-05-16,6180.0,6190.0,6130.0,6160.0,158900.0,3080.0
90,2017-05-17,6100.0,6170.0,6080.0,6150.0,204100.0,3075.0
91,2017-05-18,6140.0,6160.0,6080.0,6100.0,244500.0,3050.0
92,2017-05-19,6120.0,6230.0,6090.0,6180.0,402300.0,3090.0
93,2017-05-22,6220.0,6280.0,6180.0,6230.0,334800.0,3115.0
