,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-03-30,3430.0,3575.0,3380.0,3410.0,4538300.0,3410.0
1,2017-03-31,3480.0,3495.0,3450.0,3495.0,564000.0,3495.0
2,2017-04-03,3520.0,3530.0,3485.0,3515.0,301500.0,3515.0
3,2017-04-04,3520.0,3525.0,3465.0,3470.0,190000.0,3470.0
4,2017-04-05,3500.0,3500.0,3425.0,3450.0,147900.0,3450.0
5,2017-04-06,3425.0,3435.0,3390.0,3415.0,202700.0,3415.0
6,2017-04-07,3435.0,3435.0,3390.0,3415.0,116700.0,3415.0
7,2017-04-10,3435.0,3495.0,3400.0,3495.0,202900.0,3495.0
8,2017-04-11,3500.0,3540.0,3460.0,3540.0,304800.0,3540.0
9,2017-04-12,3505.0,3525.0,3480.0,3525.0,110800.0,3525.0
10,2017-04-13,3480.0,3560.0,3480.0,3555.0,193000.0,3555.0
11,2017-04-14,3555.0,3555.0,3520.0,3545.0,101400.0,3545.0
12,2017-04-17,3520.0,3560.0,3520.0,3545.0,112200.0,3545.0
13,2017-04-18,3560.0,3595.0,3535.0,3590.0,258700.0,3590.0
14,2017-04-19,3580.0,3585.0,3555.0,3570.0,89200.0,3570.0
15,2017-04-20,3560.0,3565.0,3515.0,3525.0,81800.0,3525.0
16,2017-04-21,3520.0,3545.0,3500.0,3515.0,98200.0,3515.0
17,2017-04-24,3510.0,3535.0,3475.0,3475.0,125600.0,3475.0
18,2017-04-25,3465.0,3475.0,3415.0,3435.0,148300.0,3435.0
19,2017-04-26,3425.0,3475.0,3425.0,3465.0,159500.0,3465.0
20,2017-04-27,3470.0,3595.0,3465.0,3535.0,1831800.0,3535.0
21,2017-04-28,3585.0,3620.0,3570.0,3615.0,444300.0,3615.0
22,2017-05-01,3615.0,3615.0,3595.0,3595.0,95100.0,3595.0
23,2017-05-02,3610.0,3610.0,3585.0,3595.0,141000.0,3595.0
24,2017-05-08,3595.0,3600.0,3550.0,3550.0,143200.0,3550.0
25,2017-05-09,3550.0,3555.0,3480.0,3480.0,172200.0,3480.0
26,2017-05-10,3510.0,3510.0,3480.0,3490.0,89000.0,3490.0
27,2017-05-11,3500.0,3565.0,3485.0,3555.0,185600.0,3555.0
28,2017-05-12,3530.0,3550.0,3525.0,3550.0,66400.0,3550.0
