,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,483.0,502.0,483.0,500.0,3904000.0,500.0
1,2017-01-05,500.0,500.0,492.0,494.0,2800000.0,494.0
2,2017-01-06,493.0,498.0,490.0,498.0,2431000.0,498.0
3,2017-01-10,496.0,501.0,493.0,500.0,3965000.0,500.0
4,2017-01-11,504.0,509.0,503.0,506.0,5663000.0,506.0
5,2017-01-12,504.0,504.0,489.0,490.0,8013000.0,490.0
6,2017-01-13,490.0,505.0,487.0,504.0,4524000.0,504.0
7,2017-01-16,499.0,504.0,496.0,497.0,2708000.0,497.0
8,2017-01-17,493.0,499.0,490.0,490.0,3045000.0,490.0
9,2017-01-18,488.0,496.0,483.0,495.0,3478000.0,495.0
10,2017-01-19,498.0,503.0,496.0,503.0,2861000.0,503.0
11,2017-01-20,499.0,505.0,497.0,503.0,2472000.0,503.0
12,2017-01-23,497.0,499.0,492.0,494.0,2930000.0,494.0
13,2017-01-24,494.0,496.0,490.0,492.0,2556000.0,492.0
14,2017-01-25,500.0,504.0,494.0,497.0,2117000.0,497.0
15,2017-01-26,502.0,512.0,501.0,511.0,4238000.0,511.0
16,2017-01-27,511.0,512.0,505.0,510.0,2792000.0,510.0
17,2017-01-30,505.0,509.0,503.0,506.0,1841000.0,506.0
18,2017-01-31,500.0,503.0,498.0,500.0,2750000.0,500.0
19,2017-02-01,493.0,505.0,492.0,505.0,2103000.0,505.0
20,2017-02-02,506.0,507.0,495.0,497.0,2796000.0,497.0
21,2017-02-03,496.0,505.0,495.0,500.0,2453000.0,500.0
22,2017-02-06,505.0,514.0,494.0,508.0,5184000.0,508.0
23,2017-02-07,505.0,511.0,500.0,503.0,3074000.0,503.0
24,2017-02-08,509.0,509.0,504.0,508.0,2733000.0,508.0
25,2017-02-09,507.0,509.0,502.0,503.0,2588000.0,503.0
26,2017-02-10,510.0,522.0,509.0,519.0,5658000.0,519.0
27,2017-02-13,525.0,527.0,517.0,518.0,3796000.0,518.0
28,2017-02-14,523.0,528.0,518.0,518.0,4035000.0,518.0
29,2017-02-15,523.0,529.0,523.0,527.0,3049000.0,527.0
30,2017-02-16,523.0,524.0,517.0,520.0,2645000.0,520.0
31,2017-02-17,515.0,521.0,514.0,520.0,2218000.0,520.0
32,2017-02-20,515.0,523.0,513.0,520.0,2009000.0,520.0
33,2017-02-21,530.0,547.0,528.0,543.0,6912000.0,543.0
34,2017-02-22,543.0,544.0,538.0,541.0,4350000.0,541.0
35,2017-02-23,545.0,546.0,535.0,539.0,2341000.0,539.0
36,2017-02-24,535.0,541.0,532.0,540.0,3854000.0,540.0
37,2017-02-27,538.0,540.0,530.0,538.0,4609000.0,538.0
38,2017-02-28,538.0,548.0,536.0,538.0,5146000.0,538.0
39,2017-03-01,538.0,541.0,533.0,539.0,4241000.0,539.0
40,2017-03-02,543.0,543.0,533.0,534.0,4751000.0,534.0
41,2017-03-03,533.0,535.0,528.0,531.0,3919000.0,531.0
42,2017-03-06,531.0,536.0,525.0,535.0,3596000.0,535.0
43,2017-03-07,528.0,538.0,527.0,537.0,3793000.0,537.0
44,2017-03-08,538.0,539.0,535.0,537.0,3389000.0,537.0
45,2017-03-09,540.0,542.0,536.0,537.0,2718000.0,537.0
46,2017-03-10,535.0,545.0,533.0,545.0,4174000.0,545.0
47,2017-03-13,542.0,549.0,542.0,547.0,2209000.0,547.0
48,2017-03-14,546.0,548.0,544.0,544.0,2187000.0,544.0
49,2017-03-15,536.0,540.0,533.0,536.0,2403000.0,536.0
50,2017-03-16,536.0,544.0,536.0,542.0,2631000.0,542.0
51,2017-03-17,542.0,548.0,538.0,546.0,4634000.0,546.0
52,2017-03-21,542.0,549.0,541.0,544.0,3225000.0,544.0
53,2017-03-22,534.0,538.0,533.0,535.0,2734000.0,535.0
54,2017-03-23,533.0,535.0,527.0,528.0,3023000.0,528.0
55,2017-03-24,534.0,549.0,532.0,549.0,4486000.0,549.0
56,2017-03-27,540.0,540.0,532.0,533.0,4026000.0,533.0
57,2017-03-28,538.0,545.0,537.0,543.0,3549000.0,543.0
58,2017-03-29,545.0,545.0,534.0,536.0,2827000.0,536.0
59,2017-03-30,527.0,530.0,522.0,525.0,3155000.0,525.0
60,2017-03-31,528.0,531.0,521.0,521.0,4498000.0,521.0
61,2017-04-03,521.0,523.0,517.0,518.0,4160000.0,518.0
62,2017-04-04,516.0,518.0,510.0,516.0,4915000.0,516.0
63,2017-04-05,519.0,520.0,511.0,516.0,3992000.0,516.0
64,2017-04-06,509.0,510.0,502.0,504.0,3241000.0,504.0
65,2017-04-07,509.0,517.0,507.0,513.0,5220000.0,513.0
66,2017-04-10,515.0,521.0,515.0,519.0,2967000.0,519.0
67,2017-04-11,513.0,521.0,513.0,520.0,2559000.0,520.0
68,2017-04-12,516.0,519.0,515.0,517.0,2438000.0,517.0
