,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1269.0,1283.0,1265.0,1271.0,26600.0,635.5
1,2017-01-05,1278.0,1300.0,1266.0,1297.0,60300.0,648.5
2,2017-01-06,1301.0,1329.0,1286.0,1321.0,99100.0,660.5
3,2017-01-10,1331.0,1367.0,1322.0,1331.0,89200.0,665.5
4,2017-01-11,1330.0,1346.0,1307.0,1317.0,46900.0,658.5
5,2017-01-12,1324.0,1324.0,1286.0,1292.0,34000.0,646.0
6,2017-01-13,1318.0,1355.0,1307.0,1345.0,81300.0,672.5
7,2017-01-16,1365.0,1419.0,1355.0,1403.0,148300.0,701.5
8,2017-01-17,1404.0,1405.0,1351.0,1371.0,93400.0,685.5
9,2017-01-18,1349.0,1364.0,1335.0,1337.0,59300.0,668.5
10,2017-01-19,1323.0,1334.0,1312.0,1315.0,77000.0,657.5
11,2017-01-20,1316.0,1327.0,1302.0,1315.0,43000.0,657.5
12,2017-01-23,1316.0,1348.0,1316.0,1327.0,39700.0,663.5
13,2017-01-24,1327.0,1357.0,1316.0,1340.0,36600.0,670.0
14,2017-01-25,1374.0,1374.0,1346.0,1346.0,42000.0,673.0
15,2017-01-26,1367.0,1367.0,1342.0,1353.0,29000.0,676.5
16,2017-01-27,1354.0,1373.0,1343.0,1367.0,35700.0,683.5
17,2017-01-30,1369.0,1393.0,1362.0,1365.0,60400.0,682.5
18,2017-01-31,1352.0,1361.0,1342.0,1346.0,31000.0,673.0
19,2017-02-01,1343.0,1360.0,1323.0,1352.0,41200.0,676.0
20,2017-02-02,1355.0,1367.0,1346.0,1346.0,32400.0,673.0
21,2017-02-03,1349.0,1371.0,1334.0,1335.0,29000.0,667.5
22,2017-02-06,1340.0,1341.0,1330.0,1332.0,16700.0,666.0
23,2017-02-07,1330.0,1338.0,1325.0,1328.0,12600.0,664.0
24,2017-02-08,1330.0,1364.0,1324.0,1363.0,65000.0,681.5
25,2017-02-09,1370.0,1376.0,1353.0,1355.0,40400.0,677.5
26,2017-02-10,1363.0,1397.0,1363.0,1397.0,83700.0,698.5
27,2017-02-13,1412.0,1437.0,1398.0,1403.0,102300.0,701.5
28,2017-02-14,1423.0,1428.0,1368.0,1410.0,89000.0,705.0
29,2017-02-15,1416.0,1439.0,1413.0,1431.0,198300.0,715.5
30,2017-02-16,1430.0,1457.0,1305.0,1447.0,215100.0,723.5
31,2017-02-17,1455.0,1455.0,1420.0,1448.0,68100.0,724.0
32,2017-02-20,1450.0,1462.0,1431.0,1442.0,70300.0,721.0
33,2017-02-21,1401.0,1433.0,1400.0,1430.0,70500.0,715.0
34,2017-02-22,1430.0,1474.0,1429.0,1474.0,129600.0,737.0
35,2017-02-23,1460.0,1519.0,1430.0,1505.0,198300.0,752.5
36,2017-02-24,1490.0,1555.0,1490.0,1549.0,190700.0,774.5
37,2017-02-27,1560.0,1570.0,1531.0,1546.0,110900.0,773.0
38,2017-02-28,1531.0,1548.0,1480.0,1491.0,96900.0,745.5
39,2017-03-01,1523.0,1539.0,1490.0,1527.0,74900.0,763.5
40,2017-03-02,1540.0,1577.0,1535.0,1569.0,106500.0,784.5
41,2017-03-03,1580.0,1608.0,1578.0,1585.0,109200.0,792.5
42,2017-03-06,1599.0,1644.0,1599.0,1636.0,143000.0,818.0
43,2017-03-07,1648.0,1649.0,1565.0,1603.0,132200.0,801.5
44,2017-03-08,1589.0,1590.0,1550.0,1572.0,71100.0,786.0
45,2017-03-09,1593.0,1623.0,1572.0,1623.0,88600.0,811.5
46,2017-03-10,1641.0,1730.0,1639.0,1728.0,271800.0,864.0
47,2017-03-13,1730.0,1752.0,1680.0,1682.0,179300.0,841.0
48,2017-03-14,1671.0,1695.0,1650.0,1672.0,70800.0,836.0
49,2017-03-15,1683.0,1759.0,1645.0,1705.0,255300.0,852.5
50,2017-03-16,1715.0,1746.0,1652.0,1739.0,143900.0,869.5
51,2017-03-17,1737.0,1737.0,1690.0,1701.0,68300.0,850.5
52,2017-03-21,1697.0,1706.0,1670.0,1690.0,51100.0,845.0
53,2017-03-22,1637.0,1693.0,1623.0,1663.0,78300.0,831.5
54,2017-03-23,1665.0,1701.0,1663.0,1691.0,51400.0,845.5
55,2017-03-24,1696.0,1729.0,1692.0,1729.0,49700.0,864.5
56,2017-03-27,1737.0,1739.0,1671.0,1679.0,47000.0,839.5
57,2017-03-28,1667.0,1699.0,1660.0,1680.0,41600.0,840.0
58,2017-03-29,1700.0,1788.0,1690.0,1780.0,117000.0,890.0
59,2017-03-30,1766.0,1781.0,1702.0,1707.0,102000.0,853.5
60,2017-03-31,1717.0,1742.0,1678.0,1696.0,53500.0,848.0
61,2017-04-03,1700.0,1702.0,1661.0,1662.0,60000.0,831.0
62,2017-04-04,1650.0,1659.0,1562.0,1580.0,152200.0,790.0
63,2017-04-05,1571.0,1591.0,1537.0,1570.0,77600.0,785.0
64,2017-04-06,1551.0,1562.0,1486.0,1499.0,101900.0,749.5
65,2017-04-07,1497.0,1556.0,1478.0,1525.0,72700.0,762.5
66,2017-04-10,1599.0,1599.0,1534.0,1561.0,61800.0,780.5
