,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-08-31,6700.0,6800.0,6020.0,6160.0,1522600.0,2053.3
1,2017-09-01,6360.0,6420.0,5460.0,5540.0,1372700.0,1846.7
2,2017-09-04,5240.0,5500.0,4815.0,5040.0,1007200.0,1680.0
3,2017-09-05,5200.0,5360.0,4730.0,5190.0,1362700.0,1730.0
4,2017-09-06,5040.0,5450.0,4935.0,4955.0,1078600.0,1651.7
5,2017-09-07,5020.0,5120.0,4650.0,4670.0,584700.0,1556.7
6,2017-09-08,4715.0,4765.0,4400.0,4500.0,515600.0,1500.0
7,2017-09-11,4570.0,4860.0,4435.0,4850.0,548400.0,1616.7
8,2017-09-12,4895.0,5070.0,4640.0,4680.0,592000.0,1560.0
9,2017-09-13,4675.0,4835.0,4650.0,4750.0,292100.0,1583.3
10,2017-09-14,4715.0,4755.0,4500.0,4570.0,327400.0,1523.3
11,2017-09-15,4500.0,4650.0,4460.0,4615.0,158000.0,1538.3
12,2017-09-19,4700.0,4705.0,4555.0,4555.0,136400.0,1518.3
13,2017-09-20,4570.0,4670.0,4555.0,4610.0,148800.0,1536.7
14,2017-09-21,4695.0,4910.0,4625.0,4905.0,321100.0,1635.0
15,2017-09-22,4870.0,5100.0,4715.0,5060.0,572600.0,1686.7
16,2017-09-25,5060.0,5300.0,4885.0,5270.0,578800.0,1756.7
17,2017-09-26,5240.0,5340.0,5000.0,5020.0,302800.0,1673.3
18,2017-09-27,5060.0,5440.0,4920.0,5390.0,463200.0,1796.7
19,2017-09-28,5480.0,5750.0,5330.0,5500.0,670800.0,1833.3
20,2017-09-29,5520.0,5690.0,5440.0,5680.0,270300.0,1893.3
21,2017-10-02,5740.0,5800.0,5520.0,5530.0,191000.0,1843.3
22,2017-10-03,5560.0,5590.0,5250.0,5260.0,156200.0,1753.3
23,2017-10-04,5300.0,5330.0,5020.0,5060.0,127800.0,1686.7
24,2017-10-05,5000.0,5220.0,4965.0,5110.0,93700.0,1703.3
25,2017-10-06,5150.0,5460.0,5130.0,5460.0,219000.0,1820.0
26,2017-10-10,5400.0,5520.0,5320.0,5490.0,109300.0,1830.0
27,2017-10-11,5500.0,5510.0,5290.0,5310.0,119400.0,1770.0
28,2017-10-12,5260.0,5340.0,5220.0,5280.0,62900.0,1760.0
29,2017-10-13,5310.0,5340.0,5110.0,5150.0,131400.0,1716.7
30,2017-10-16,5140.0,5200.0,5050.0,5190.0,68500.0,1730.0
31,2017-10-17,5220.0,5250.0,5110.0,5110.0,54400.0,1703.3
32,2017-10-18,5080.0,5110.0,4990.0,5030.0,72600.0,1676.7
33,2017-10-19,4980.0,4990.0,4910.0,4950.0,77700.0,1650.0
34,2017-10-20,4965.0,5140.0,4920.0,5020.0,75700.0,1673.3
35,2017-10-23,5390.0,5750.0,5310.0,5750.0,1046500.0,1916.7
36,2017-10-24,5650.0,5770.0,5420.0,5610.0,500400.0,1870.0
37,2017-10-25,5610.0,5790.0,5350.0,5400.0,474300.0,1800.0
38,2017-10-26,5390.0,5590.0,5390.0,5520.0,138400.0,1840.0
39,2017-10-27,5560.0,5560.0,5430.0,5430.0,68400.0,1810.0
40,2017-10-30,5400.0,5540.0,5360.0,5400.0,76600.0,1800.0
41,2017-10-31,5360.0,5370.0,5240.0,5310.0,70900.0,1770.0
42,2017-11-01,5270.0,5310.0,5200.0,5200.0,64200.0,1733.3
43,2017-11-02,5240.0,5410.0,5140.0,5340.0,70300.0,1780.0
44,2017-11-06,5340.0,5530.0,5300.0,5490.0,93500.0,1830.0
45,2017-11-07,5520.0,5530.0,5340.0,5400.0,73300.0,1800.0
46,2017-11-08,5310.0,5360.0,5250.0,5340.0,46300.0,1780.0
47,2017-11-09,5330.0,5360.0,5200.0,5240.0,61500.0,1746.7
48,2017-11-10,5180.0,5230.0,5020.0,5170.0,66200.0,1723.3
49,2017-11-13,5220.0,5290.0,5190.0,5260.0,30800.0,1753.3
50,2017-11-14,5270.0,5280.0,5180.0,5190.0,20300.0,1730.0
51,2017-11-15,5180.0,5230.0,5020.0,5050.0,50900.0,1683.3
52,2017-11-16,5110.0,5150.0,5060.0,5120.0,28700.0,1706.7
53,2017-11-17,5190.0,5200.0,5100.0,5200.0,23300.0,1733.3
54,2017-11-20,5220.0,5220.0,5110.0,5200.0,35700.0,1733.3
55,2017-11-21,5230.0,5340.0,5170.0,5320.0,53100.0,1773.3
56,2017-11-22,5410.0,5420.0,5310.0,5330.0,79600.0,1776.7
57,2017-11-24,5380.0,5380.0,5280.0,5340.0,36500.0,1780.0
58,2017-11-27,5340.0,5380.0,5250.0,5310.0,31600.0,1770.0
59,2017-11-28,5260.0,5260.0,5180.0,5220.0,35300.0,1740.0
60,2017-11-29,5270.0,5270.0,5130.0,5140.0,35400.0,1713.3
61,2017-11-30,5120.0,5170.0,4975.0,5030.0,73100.0,1676.7
62,2017-12-01,4995.0,5060.0,4910.0,5050.0,72900.0,1683.3
63,2017-12-04,5080.0,5080.0,5030.0,5040.0,27300.0,1680.0
64,2017-12-05,5030.0,5070.0,4980.0,5040.0,20900.0,1680.0
65,2017-12-06,5000.0,5030.0,4920.0,4955.0,40500.0,1651.7
66,2017-12-07,4955.0,5010.0,4950.0,5000.0,47400.0,1666.7
67,2017-12-08,5010.0,5090.0,4970.0,5090.0,31500.0,1696.7
68,2017-12-11,5120.0,5140.0,5050.0,5100.0,21600.0,1700.0
69,2017-12-12,5100.0,5100.0,5000.0,5020.0,23500.0,1673.3
70,2017-12-13,4995.0,5010.0,4955.0,4965.0,33800.0,1655.0
71,2017-12-14,4975.0,4980.0,4920.0,4950.0,33500.0,1650.0
72,2017-12-15,4970.0,4970.0,4905.0,4920.0,25300.0,1640.0
73,2017-12-18,4935.0,4945.0,4775.0,4820.0,65600.0,1606.7
74,2017-12-19,4820.0,4935.0,4805.0,4890.0,43700.0,1630.0
75,2017-12-20,4865.0,4865.0,4760.0,4765.0,54300.0,1588.3
76,2017-12-21,4760.0,4880.0,4725.0,4850.0,34100.0,1616.7
77,2017-12-22,4890.0,4950.0,4835.0,4950.0,53800.0,1650.0
78,2017-12-25,5040.0,5040.0,4955.0,5000.0,77800.0,1666.7
79,2017-12-26,4950.0,4980.0,4885.0,4895.0,52000.0,1631.7
80,2017-12-27,4910.0,5190.0,4900.0,5150.0,63000.0,1716.7
81,2017-12-28,5240.0,5320.0,5090.0,5130.0,109200.0,1710.0
82,2017-12-29,5190.0,5220.0,5150.0,5180.0,42700.0,1726.7
83,2018-01-04,5350.0,5350.0,5210.0,5310.0,72000.0,1770.0
84,2018-01-05,5330.0,5340.0,5180.0,5200.0,49600.0,1733.3
85,2018-01-09,5250.0,5550.0,5230.0,5550.0,171900.0,1850.0
86,2018-01-10,5600.0,5630.0,5430.0,5510.0,129400.0,1836.7
87,2018-01-11,5540.0,5850.0,5480.0,5780.0,236000.0,1926.7
88,2018-01-12,5780.0,5780.0,5330.0,5330.0,231600.0,1776.7
89,2018-01-15,5310.0,5360.0,5150.0,5200.0,112600.0,1733.3
90,2018-01-16,5230.0,5400.0,5190.0,5390.0,64200.0,1796.7
