,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-06-19,5000.0,6000.0,4965.0,5300.0,36447300.0,5300.0
1,2018-06-20,5350.0,5360.0,4810.0,4910.0,13924300.0,4910.0
2,2018-06-21,4800.0,4965.0,4565.0,4810.0,9053400.0,4810.0
3,2018-06-22,4670.0,4850.0,4550.0,4550.0,3941900.0,4550.0
4,2018-06-25,4515.0,4650.0,4195.0,4270.0,4443400.0,4270.0
5,2018-06-26,4200.0,4730.0,4165.0,4545.0,6396900.0,4545.0
6,2018-06-27,4680.0,4890.0,4600.0,4710.0,5348100.0,4710.0
7,2018-06-28,4655.0,4705.0,4545.0,4675.0,1757600.0,4675.0
8,2018-06-29,4670.0,4775.0,4530.0,4535.0,1677400.0,4535.0
9,2018-07-02,4600.0,4795.0,4535.0,4540.0,1987400.0,4540.0
10,2018-07-03,4640.0,4655.0,4300.0,4440.0,1796100.0,4440.0
11,2018-07-04,4400.0,4460.0,4325.0,4395.0,1031300.0,4395.0
12,2018-07-05,4435.0,4460.0,4270.0,4290.0,1293700.0,4290.0
13,2018-07-06,4330.0,4375.0,4220.0,4225.0,945700.0,4225.0
14,2018-07-09,4275.0,4480.0,4245.0,4450.0,1259800.0,4450.0
15,2018-07-10,4580.0,4695.0,4455.0,4555.0,2064000.0,4555.0
16,2018-07-11,4585.0,4605.0,4465.0,4470.0,667300.0,4470.0
17,2018-07-12,4470.0,4580.0,4435.0,4460.0,806900.0,4460.0
18,2018-07-13,4515.0,4515.0,4365.0,4410.0,801800.0,4410.0
19,2018-07-17,4400.0,4415.0,4325.0,4325.0,572800.0,4325.0
20,2018-07-18,4345.0,4415.0,4245.0,4390.0,796400.0,4390.0
21,2018-07-19,4390.0,4650.0,4340.0,4595.0,1812700.0,4595.0
22,2018-07-20,4630.0,4800.0,4630.0,4800.0,2570000.0,4800.0
23,2018-07-23,4865.0,4975.0,4770.0,4835.0,2184400.0,4835.0
24,2018-07-24,4875.0,4875.0,4720.0,4745.0,1155600.0,4745.0
25,2018-07-25,4725.0,4815.0,4720.0,4775.0,853900.0,4775.0
26,2018-07-26,4760.0,4780.0,4545.0,4560.0,961700.0,4560.0
27,2018-07-27,4650.0,4755.0,4615.0,4685.0,993900.0,4685.0
28,2018-07-30,4710.0,4825.0,4700.0,4720.0,1019400.0,4720.0
29,2018-07-31,4750.0,4850.0,4680.0,4710.0,1073200.0,4710.0
30,2018-08-01,4730.0,4735.0,4590.0,4625.0,792800.0,4625.0
