,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4888.0,4912.0,4867.0,4890.0,2362200.0,4890.0
1,2017-01-05,4906.0,4934.0,4889.0,4928.0,2103000.0,4928.0
2,2017-01-06,4923.0,4974.0,4908.0,4965.0,2252000.0,4965.0
3,2017-01-10,5014.0,5050.0,4963.0,4966.0,3263100.0,4966.0
4,2017-01-11,5000.0,5000.0,4918.0,4970.0,1787500.0,4970.0
5,2017-01-12,4900.0,4904.0,4823.0,4840.0,3569900.0,4840.0
6,2017-01-13,4840.0,4877.0,4839.0,4875.0,2040900.0,4875.0
7,2017-01-16,4865.0,4868.0,4810.0,4818.0,1685700.0,4818.0
8,2017-01-17,4802.0,4814.0,4758.0,4758.0,1993300.0,4758.0
9,2017-01-18,4760.0,4765.0,4705.0,4709.0,2476800.0,4709.0
10,2017-01-19,4700.0,4718.0,4681.0,4705.0,2813700.0,4705.0
11,2017-01-20,4699.0,4727.0,4680.0,4714.0,1969100.0,4714.0
12,2017-01-23,4693.0,4737.0,4664.0,4707.0,2905900.0,4707.0
13,2017-01-24,4709.0,4744.0,4700.0,4706.0,1952000.0,4706.0
14,2017-01-25,4769.0,4770.0,4704.0,4730.0,1720500.0,4730.0
15,2017-01-26,4755.0,4788.0,4736.0,4778.0,1686200.0,4778.0
16,2017-01-27,4799.0,4819.0,4778.0,4793.0,1425600.0,4793.0
17,2017-01-30,4780.0,4783.0,4756.0,4778.0,1158100.0,4778.0
18,2017-01-31,4760.0,4779.0,4724.0,4724.0,2227600.0,4724.0
19,2017-02-01,4710.0,4772.0,4684.0,4768.0,1769900.0,4768.0
20,2017-02-02,4830.0,4890.0,4827.0,4864.0,3257700.0,4864.0
21,2017-02-03,4870.0,4926.0,4856.0,4913.0,2498300.0,4913.0
22,2017-02-06,4982.0,5003.0,4978.0,4999.0,2729300.0,4999.0
23,2017-02-07,5000.0,5030.0,4996.0,5021.0,2183200.0,5021.0
24,2017-02-08,5015.0,5046.0,5011.0,5030.0,1330100.0,5030.0
25,2017-02-09,5033.0,5046.0,5013.0,5035.0,1553500.0,5035.0
26,2017-02-10,5093.0,5130.0,5086.0,5128.0,2975900.0,5128.0
27,2017-02-13,5171.0,5235.0,5169.0,5223.0,2762600.0,5223.0
28,2017-02-14,5223.0,5229.0,5163.0,5169.0,2479300.0,5169.0
29,2017-02-15,5228.0,5244.0,5187.0,5193.0,1544900.0,5193.0
30,2017-02-16,5215.0,5238.0,5192.0,5217.0,1780300.0,5217.0
31,2017-02-17,5187.0,5224.0,5172.0,5222.0,1547000.0,5222.0
32,2017-02-20,5185.0,5254.0,5171.0,5242.0,1477000.0,5242.0
33,2017-02-21,5260.0,5277.0,5246.0,5266.0,1686900.0,5266.0
34,2017-02-22,5289.0,5340.0,5280.0,5335.0,2228300.0,5335.0
35,2017-02-23,5348.0,5348.0,5294.0,5337.0,1508100.0,5337.0
36,2017-02-24,5345.0,5358.0,5311.0,5349.0,1740700.0,5349.0
37,2017-02-27,5323.0,5336.0,5284.0,5325.0,1763100.0,5325.0
38,2017-02-28,5325.0,5329.0,5222.0,5222.0,2557500.0,5222.0
39,2017-03-01,5240.0,5324.0,5240.0,5314.0,1991700.0,5314.0
40,2017-03-02,5355.0,5365.0,5289.0,5293.0,2158200.0,5293.0
41,2017-03-03,5282.0,5302.0,5246.0,5267.0,1727300.0,5267.0
42,2017-03-06,5260.0,5286.0,5250.0,5272.0,1052300.0,5272.0
43,2017-03-07,5264.0,5276.0,5246.0,5264.0,1540000.0,5264.0
44,2017-03-08,5240.0,5240.0,5208.0,5222.0,1436800.0,5222.0
45,2017-03-09,5250.0,5264.0,5208.0,5226.0,1350000.0,5226.0
46,2017-03-10,5281.0,5315.0,5269.0,5298.0,2563800.0,5298.0
47,2017-03-13,5300.0,5349.0,5287.0,5344.0,1355000.0,5344.0
48,2017-03-14,5390.0,5410.0,5350.0,5360.0,2053600.0,5360.0
49,2017-03-15,5350.0,5375.0,5314.0,5365.0,1770200.0,5365.0
50,2017-03-16,5326.0,5345.0,5303.0,5314.0,2560400.0,5314.0
51,2017-03-17,5296.0,5327.0,5265.0,5313.0,2443500.0,5313.0
52,2017-03-21,5300.0,5335.0,5295.0,5315.0,1484800.0,5315.0
53,2017-03-22,5265.0,5276.0,5222.0,5222.0,1969700.0,5222.0
54,2017-03-23,5201.0,5244.0,5171.0,5239.0,1411200.0,5239.0
55,2017-03-24,5236.0,5268.0,5209.0,5262.0,1792500.0,5262.0
56,2017-03-27,5218.0,5245.0,5181.0,5195.0,2147900.0,5195.0
57,2017-03-28,5250.0,5303.0,5237.0,5267.0,2520200.0,5267.0
58,2017-03-29,5177.0,5179.0,5123.0,5139.0,2422900.0,5139.0
59,2017-03-30,5172.0,5345.0,5169.0,5344.0,5260200.0,5344.0
60,2017-03-31,5319.0,5320.0,5229.0,5229.0,3454100.0,5229.0
61,2017-04-03,5228.0,5272.0,5209.0,5249.0,2242600.0,5249.0
62,2017-04-04,5240.0,5283.0,5227.0,5272.0,1970500.0,5272.0
63,2017-04-05,5283.0,5310.0,5265.0,5291.0,1978000.0,5291.0
64,2017-04-06,5285.0,5292.0,5163.0,5188.0,2023100.0,5188.0
65,2017-04-07,5240.0,5262.0,5185.0,5230.0,2423800.0,5230.0
