,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,453.0,453.0,446.0,452.0,9045000.0,452.0
1,2017-01-05,457.0,468.0,453.0,467.0,19440000.0,467.0
2,2017-01-06,465.0,478.0,464.0,476.0,16972000.0,476.0
3,2017-01-10,482.0,483.0,475.0,479.0,16438100.0,479.0
4,2017-01-11,483.0,483.0,476.0,477.0,10209400.0,477.0
5,2017-01-12,478.0,481.0,470.0,473.0,11233600.0,473.0
6,2017-01-13,474.0,477.0,472.0,477.0,7464700.0,477.0
7,2017-01-16,475.0,476.0,466.0,471.0,8242900.0,471.0
8,2017-01-17,469.0,470.0,461.0,463.0,6846000.0,463.0
9,2017-01-18,451.0,466.0,451.0,464.0,9775100.0,464.0
10,2017-01-19,456.0,468.0,456.0,468.0,7509700.0,468.0
11,2017-01-20,467.0,468.0,463.0,466.0,5691200.0,466.0
12,2017-01-23,466.0,466.0,460.0,462.0,6557800.0,462.0
13,2017-01-24,455.0,458.0,453.0,457.0,10410000.0,457.0
14,2017-01-25,462.0,469.0,459.0,466.0,12461800.0,466.0
15,2017-01-26,468.0,468.0,462.0,465.0,8972700.0,465.0
16,2017-01-27,462.0,471.0,461.0,469.0,8990600.0,469.0
17,2017-01-30,467.0,474.0,464.0,473.0,9455600.0,473.0
18,2017-01-31,469.0,475.0,466.0,474.0,11210300.0,474.0
19,2017-02-01,469.0,474.0,468.0,472.0,7542000.0,472.0
20,2017-02-02,473.0,474.0,467.0,468.0,8999300.0,468.0
21,2017-02-03,466.0,468.0,460.0,461.0,9165600.0,461.0
22,2017-02-06,521.0,541.0,513.0,529.0,69438700.0,529.0
23,2017-02-07,530.0,541.0,524.0,530.0,33415300.0,530.0
24,2017-02-08,531.0,534.0,520.0,527.0,26636300.0,527.0
25,2017-02-09,522.0,529.0,514.0,520.0,17883900.0,520.0
26,2017-02-10,526.0,542.0,523.0,539.0,19388500.0,539.0
27,2017-02-13,549.0,554.0,542.0,546.0,17859300.0,546.0
28,2017-02-14,542.0,543.0,534.0,535.0,14342900.0,535.0
29,2017-02-15,538.0,539.0,531.0,535.0,6883900.0,535.0
30,2017-02-16,527.0,532.0,525.0,526.0,13536000.0,526.0
31,2017-02-17,525.0,529.0,520.0,527.0,9954400.0,527.0
32,2017-02-20,525.0,538.0,524.0,527.0,17229500.0,527.0
33,2017-02-21,526.0,531.0,526.0,528.0,8222200.0,528.0
34,2017-02-22,534.0,539.0,532.0,533.0,12541700.0,533.0
35,2017-02-23,528.0,530.0,519.0,524.0,12280700.0,524.0
36,2017-02-24,523.0,530.0,521.0,523.0,9012600.0,523.0
37,2017-02-27,519.0,522.0,515.0,521.0,9947500.0,521.0
38,2017-02-28,525.0,529.0,521.0,521.0,9265400.0,521.0
39,2017-03-01,518.0,523.0,513.0,520.0,14907100.0,520.0
40,2017-03-02,534.0,534.0,523.0,525.0,8378300.0,525.0
41,2017-03-03,522.0,532.0,522.0,530.0,10154600.0,530.0
42,2017-03-06,528.0,539.0,527.0,538.0,14709700.0,538.0
43,2017-03-07,540.0,541.0,524.0,527.0,13167100.0,527.0
44,2017-03-08,525.0,529.0,523.0,524.0,9412400.0,524.0
45,2017-03-09,528.0,537.0,526.0,535.0,11897900.0,535.0
46,2017-03-10,539.0,546.0,538.0,544.0,11705900.0,544.0
47,2017-03-13,543.0,552.0,542.0,547.0,7849800.0,547.0
48,2017-03-14,544.0,545.0,539.0,544.0,9491300.0,544.0
49,2017-03-15,540.0,547.0,540.0,545.0,7310600.0,545.0
50,2017-03-16,541.0,559.0,541.0,556.0,16439300.0,556.0
51,2017-03-17,550.0,556.0,547.0,548.0,13213600.0,548.0
52,2017-03-21,547.0,548.0,541.0,541.0,8819100.0,541.0
53,2017-03-22,527.0,528.0,520.0,524.0,16588800.0,524.0
54,2017-03-23,529.0,532.0,521.0,522.0,13789100.0,522.0
55,2017-03-24,520.0,524.0,514.0,516.0,11756400.0,516.0
56,2017-03-27,510.0,516.0,509.0,513.0,10849800.0,513.0
57,2017-03-28,516.0,522.0,515.0,519.0,10087100.0,519.0
58,2017-03-29,513.0,515.0,506.0,507.0,8991700.0,507.0
59,2017-03-30,511.0,521.0,510.0,514.0,11738700.0,514.0
60,2017-03-31,517.0,524.0,514.0,514.0,13552700.0,514.0
61,2017-04-03,514.0,533.0,508.0,530.0,17289800.0,530.0
62,2017-04-04,532.0,534.0,520.0,522.0,11203300.0,522.0
63,2017-04-05,523.0,526.0,519.0,521.0,7670100.0,521.0
64,2017-04-06,517.0,519.0,509.0,512.0,12772100.0,512.0
65,2017-04-07,514.0,522.0,507.0,518.0,14108500.0,518.0
66,2017-04-10,521.0,521.0,514.0,517.0,8444800.0,517.0
67,2017-04-11,513.0,516.0,507.0,512.0,9998900.0,512.0
68,2017-04-12,507.0,508.0,502.0,507.0,8750200.0,507.0
69,2017-04-13,502.0,508.0,502.0,506.0,9287700.0,506.0
70,2017-04-14,503.0,511.0,501.0,504.0,6179400.0,504.0
71,2017-04-17,506.0,518.0,505.0,513.0,9526300.0,513.0
72,2017-04-18,517.0,520.0,510.0,510.0,5340000.0,510.0
73,2017-04-19,519.0,529.0,515.0,518.0,18971900.0,518.0
74,2017-04-20,518.0,520.0,508.0,508.0,13134400.0,508.0
75,2017-04-21,511.0,515.0,505.0,506.0,10394900.0,506.0
76,2017-04-24,513.0,520.0,513.0,514.0,8005900.0,514.0
77,2017-04-25,511.0,514.0,508.0,510.0,10194800.0,510.0
78,2017-04-26,520.0,528.0,515.0,525.0,12699700.0,525.0
79,2017-04-27,474.0,479.0,470.0,475.0,54375500.0,475.0
80,2017-04-28,482.0,486.0,475.0,477.0,28124000.0,477.0
81,2017-05-01,475.0,476.0,465.0,466.0,22617900.0,466.0
82,2017-05-02,470.0,470.0,464.0,468.0,16064600.0,468.0
83,2017-05-08,475.0,481.0,473.0,480.0,29438900.0,480.0
84,2017-05-09,481.0,485.0,477.0,478.0,13089600.0,478.0
85,2017-05-10,478.0,481.0,477.0,477.0,8467800.0,477.0
86,2017-05-11,476.0,485.0,475.0,484.0,12799300.0,484.0
87,2017-05-12,485.0,495.0,482.0,485.0,17869300.0,485.0
88,2017-05-15,484.0,492.0,483.0,492.0,13954000.0,492.0
89,2017-05-16,494.0,494.0,488.0,490.0,6407700.0,490.0
90,2017-05-17,490.0,490.0,484.0,485.0,6391400.0,485.0
91,2017-05-18,475.0,486.0,474.0,486.0,10095600.0,486.0
92,2017-05-19,486.0,491.0,482.0,483.0,9122700.0,483.0
93,2017-05-22,485.0,492.0,485.0,491.0,10993800.0,491.0
94,2017-05-23,490.0,498.0,490.0,491.0,10560800.0,491.0
95,2017-05-24,494.0,497.0,491.0,497.0,7910100.0,497.0
96,2017-05-25,501.0,504.0,498.0,502.0,9961200.0,502.0
97,2017-05-26,504.0,505.0,501.0,501.0,7286300.0,501.0
98,2017-05-29,504.0,510.0,501.0,501.0,6913300.0,501.0
99,2017-05-30,502.0,506.0,496.0,500.0,8183800.0,500.0
100,2017-05-31,502.0,504.0,497.0,498.0,5904600.0,498.0
101,2017-06-01,494.0,500.0,494.0,498.0,5537400.0,498.0
102,2017-06-02,503.0,503.0,492.0,496.0,12941800.0,496.0
103,2017-06-05,492.0,499.0,491.0,498.0,5420100.0,498.0
104,2017-06-06,495.0,496.0,489.0,490.0,8631900.0,490.0
105,2017-06-07,488.0,498.0,486.0,496.0,7254600.0,496.0
106,2017-06-08,498.0,501.0,493.0,494.0,11284100.0,494.0
