,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1142.0,1174.5,1138.0,1170.0,6387100.0,1170.0
1,2017-01-05,1172.5,1182.0,1162.5,1180.0,4760300.0,1180.0
2,2017-01-06,1192.0,1230.5,1189.0,1221.5,10087000.0,1221.5
3,2017-01-10,1232.5,1240.0,1206.0,1213.5,6695300.0,1213.5
4,2017-01-11,1199.5,1221.0,1199.0,1216.5,7541000.0,1216.5
5,2017-01-12,1197.0,1203.5,1175.0,1181.0,8239600.0,1181.0
6,2017-01-13,1175.0,1187.0,1162.0,1177.5,7894500.0,1177.5
7,2017-01-16,1177.5,1192.0,1168.5,1175.0,4192500.0,1175.0
8,2017-01-17,1163.0,1165.0,1129.0,1131.5,8515100.0,1131.5
9,2017-01-18,1092.0,1125.0,1088.5,1119.0,10925100.0,1119.0
10,2017-01-19,1130.0,1146.0,1127.0,1139.0,6215900.0,1139.0
11,2017-01-20,1134.0,1140.5,1129.0,1136.5,4913500.0,1136.5
12,2017-01-23,1130.5,1130.5,1107.5,1117.0,5057800.0,1117.0
13,2017-01-24,1120.0,1129.0,1113.0,1122.5,5169900.0,1122.5
14,2017-01-25,1150.0,1152.0,1125.0,1131.5,4421200.0,1131.5
15,2017-01-26,1132.0,1156.0,1131.5,1156.0,4392600.0,1156.0
16,2017-01-27,1159.5,1160.0,1140.5,1143.5,4514600.0,1143.5
17,2017-01-30,1134.5,1142.0,1128.0,1137.5,3822200.0,1137.5
18,2017-01-31,1127.0,1137.0,1119.5,1127.5,4204700.0,1127.5
19,2017-02-01,1110.5,1116.0,1097.0,1106.0,6877900.0,1106.0
20,2017-02-02,1110.0,1112.0,1085.0,1086.0,5820100.0,1086.0
21,2017-02-03,1089.5,1095.5,1076.0,1082.5,4956900.0,1082.5
22,2017-02-06,1091.5,1098.5,1085.0,1090.0,5908000.0,1090.0
23,2017-02-07,1079.0,1092.5,1072.5,1090.0,4083700.0,1090.0
24,2017-02-08,1088.0,1096.0,1085.5,1091.0,3164300.0,1091.0
25,2017-02-09,1090.0,1103.0,1088.5,1093.0,2970200.0,1093.0
26,2017-02-10,1109.0,1113.5,1096.5,1109.0,5413900.0,1109.0
