,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,379.0,391.0,376.0,391.0,1207100.0,391.0
1,2017-01-05,388.0,391.0,385.0,387.0,880000.0,387.0
2,2017-01-06,388.0,388.0,380.0,386.0,964600.0,386.0
3,2017-01-10,381.0,386.0,379.0,384.0,1080300.0,384.0
4,2017-01-11,391.0,392.0,382.0,386.0,1371000.0,386.0
5,2017-01-12,386.0,390.0,381.0,387.0,932500.0,387.0
6,2017-01-13,387.0,390.0,383.0,390.0,985600.0,390.0
7,2017-01-16,386.0,387.0,378.0,381.0,897100.0,381.0
8,2017-01-17,379.0,379.0,373.0,374.0,903100.0,374.0
9,2017-01-18,373.0,379.0,366.0,377.0,1142200.0,377.0
10,2017-01-19,380.0,382.0,374.0,381.0,809200.0,381.0
11,2017-01-20,381.0,385.0,378.0,383.0,643800.0,383.0
12,2017-01-23,383.0,386.0,379.0,381.0,1089200.0,381.0
13,2017-01-24,379.0,379.0,374.0,375.0,898600.0,375.0
14,2017-01-25,385.0,397.0,383.0,396.0,1212200.0,396.0
15,2017-01-26,405.0,418.0,402.0,412.0,2623000.0,412.0
16,2017-01-27,404.0,420.0,403.0,416.0,2406100.0,416.0
17,2017-01-30,418.0,419.0,409.0,412.0,1161300.0,412.0
18,2017-01-31,407.0,410.0,405.0,406.0,893100.0,406.0
19,2017-02-01,401.0,417.0,401.0,415.0,1024300.0,415.0
20,2017-02-02,412.0,416.0,402.0,403.0,1080000.0,403.0
21,2017-02-03,409.0,410.0,402.0,407.0,956700.0,407.0
22,2017-02-06,409.0,411.0,405.0,409.0,547200.0,409.0
23,2017-02-07,409.0,419.0,405.0,417.0,1114300.0,417.0
24,2017-02-08,417.0,425.0,416.0,422.0,962000.0,422.0
25,2017-02-09,421.0,422.0,415.0,422.0,762300.0,422.0
26,2017-02-10,454.0,486.0,450.0,485.0,5607000.0,485.0
27,2017-02-13,493.0,495.0,473.0,479.0,3364300.0,479.0
28,2017-02-14,484.0,497.0,476.0,487.0,2282300.0,487.0
29,2017-02-15,494.0,494.0,483.0,485.0,1371200.0,485.0
30,2017-02-16,483.0,492.0,477.0,490.0,1258200.0,490.0
31,2017-02-17,480.0,481.0,467.0,469.0,2348300.0,469.0
32,2017-02-20,469.0,469.0,459.0,468.0,1626900.0,468.0
33,2017-02-21,472.0,472.0,461.0,467.0,1048600.0,467.0
34,2017-02-22,465.0,466.0,451.0,457.0,2159500.0,457.0
35,2017-02-23,459.0,471.0,455.0,469.0,2156200.0,469.0
36,2017-02-24,453.0,455.0,442.0,452.0,2874300.0,452.0
37,2017-02-27,444.0,449.0,439.0,446.0,1534300.0,446.0
38,2017-02-28,447.0,458.0,447.0,455.0,1312200.0,455.0
39,2017-03-01,471.0,485.0,462.0,481.0,4265000.0,481.0
40,2017-03-02,489.0,513.0,489.0,508.0,4404800.0,508.0
41,2017-03-03,512.0,512.0,499.0,508.0,2947900.0,508.0
42,2017-03-06,512.0,519.0,507.0,514.0,1900600.0,514.0
43,2017-03-07,510.0,515.0,503.0,510.0,2251500.0,510.0
44,2017-03-08,510.0,515.0,497.0,501.0,1989100.0,501.0
45,2017-03-09,504.0,505.0,500.0,504.0,1209100.0,504.0
46,2017-03-10,505.0,510.0,502.0,509.0,2203400.0,509.0
47,2017-03-13,511.0,512.0,502.0,504.0,1027800.0,504.0
48,2017-03-14,505.0,506.0,500.0,500.0,757100.0,500.0
49,2017-03-15,497.0,497.0,484.0,490.0,1702600.0,490.0
50,2017-03-16,490.0,509.0,488.0,506.0,2044000.0,506.0
51,2017-03-17,502.0,511.0,500.0,507.0,1821700.0,507.0
52,2017-03-21,501.0,505.0,495.0,497.0,1509900.0,497.0
53,2017-03-22,478.0,488.0,475.0,476.0,2516700.0,476.0
54,2017-03-23,488.0,500.0,484.0,496.0,2352000.0,496.0
55,2017-03-24,492.0,501.0,489.0,498.0,1718300.0,498.0
56,2017-03-27,491.0,491.0,483.0,486.0,1019200.0,486.0
57,2017-03-28,490.0,500.0,490.0,494.0,1152300.0,494.0
58,2017-03-29,496.0,500.0,491.0,498.0,1102000.0,498.0
59,2017-03-30,490.0,501.0,488.0,491.0,849400.0,491.0
60,2017-03-31,495.0,498.0,485.0,485.0,1429900.0,485.0
61,2017-04-03,490.0,490.0,480.0,484.0,1359700.0,484.0
62,2017-04-04,479.0,480.0,459.0,469.0,1919000.0,469.0
63,2017-04-05,471.0,475.0,466.0,474.0,1324600.0,474.0
64,2017-04-06,469.0,472.0,461.0,468.0,1604000.0,468.0
65,2017-04-07,474.0,477.0,464.0,470.0,1942300.0,470.0
66,2017-04-10,472.0,480.0,468.0,478.0,1079400.0,478.0
67,2017-04-11,474.0,477.0,466.0,469.0,1068100.0,469.0
68,2017-04-12,461.0,463.0,447.0,450.0,1166300.0,450.0
69,2017-04-13,447.0,449.0,441.0,448.0,955200.0,448.0
70,2017-04-14,456.0,457.0,443.0,446.0,1411200.0,446.0
71,2017-04-17,450.0,450.0,438.0,446.0,1246100.0,446.0
72,2017-04-18,450.0,457.0,449.0,450.0,961200.0,450.0
73,2017-04-19,447.0,455.0,445.0,453.0,890300.0,453.0
74,2017-04-20,449.0,454.0,445.0,447.0,1100100.0,447.0
