,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2697.5,2719.0,2693.5,2713.5,5591800.0,2713.5
1,2017-01-05,2719.5,2719.5,2660.0,2680.5,4613800.0,2680.5
2,2017-01-06,2638.0,2677.5,2617.5,2672.5,4701100.0,2672.5
3,2017-01-10,2643.0,2676.0,2633.0,2639.5,4648200.0,2639.5
4,2017-01-11,2645.0,2667.0,2639.0,2653.5,3531300.0,2653.5
5,2017-01-12,2663.0,2687.5,2662.5,2675.0,6208500.0,2675.0
6,2017-01-13,2676.5,2696.5,2673.5,2682.0,3923100.0,2682.0
7,2017-01-16,2679.5,2704.5,2664.0,2674.5,3879400.0,2674.5
8,2017-01-17,2663.5,2668.0,2618.0,2630.5,3392400.0,2630.5
9,2017-01-18,2625.5,2649.0,2610.5,2640.0,2613300.0,2640.0
10,2017-01-19,2658.0,2704.0,2658.0,2701.5,3525600.0,2701.5
11,2017-01-20,2729.5,2774.5,2727.5,2755.5,5295900.0,2755.5
12,2017-01-23,2727.5,2759.0,2713.5,2736.0,4048400.0,2736.0
13,2017-01-24,2720.0,2731.5,2701.0,2703.0,2534600.0,2703.0
14,2017-01-25,2781.0,2798.5,2761.0,2778.0,3969100.0,2778.0
15,2017-01-26,2807.0,2842.0,2807.0,2838.0,5131200.0,2838.0
16,2017-01-27,2826.0,2831.5,2795.5,2804.5,4554300.0,2804.5
17,2017-01-30,2788.0,2790.0,2751.0,2752.0,3256600.0,2752.0
18,2017-01-31,2685.5,2722.5,2682.0,2694.0,3942300.0,2694.0
19,2017-02-01,2720.0,2780.0,2709.0,2775.0,4460600.0,2775.0
20,2017-02-02,2806.0,2808.0,2757.5,2774.5,4512100.0,2774.5
21,2017-02-03,2779.5,2819.0,2768.0,2811.5,5309200.0,2811.5
22,2017-02-06,2824.5,2833.5,2792.0,2804.5,2916500.0,2804.5
23,2017-02-07,2776.5,2784.5,2743.0,2770.5,2802300.0,2770.5
24,2017-02-08,2780.5,2805.0,2776.5,2804.0,2535200.0,2804.0
25,2017-02-09,2784.0,2787.5,2762.0,2765.5,2503000.0,2765.5
26,2017-02-10,2810.0,2823.5,2794.5,2820.5,4306200.0,2820.5
27,2017-02-13,2828.0,2828.5,2809.0,2809.0,2572300.0,2809.0
28,2017-02-14,2840.0,2854.0,2812.5,2813.5,3882900.0,2813.5
29,2017-02-15,2837.5,2855.0,2818.0,2854.0,3011800.0,2854.0
