,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,10295.0,10500.0,10270.0,10500.0,1779700.0,10500.0
1,2017-01-05,10425.0,10560.0,10425.0,10530.0,1138800.0,10530.0
2,2017-01-06,10270.0,10500.0,10270.0,10420.0,743000.0,10420.0
3,2017-01-10,10205.0,10485.0,10205.0,10365.0,1077600.0,10365.0
4,2017-01-11,10440.0,10515.0,10355.0,10445.0,777400.0,10445.0
5,2017-01-12,10440.0,10495.0,10325.0,10490.0,851000.0,10490.0
6,2017-01-13,10490.0,10515.0,10390.0,10495.0,900400.0,10495.0
7,2017-01-16,10500.0,10580.0,10455.0,10555.0,750600.0,10555.0
8,2017-01-17,10625.0,10675.0,10470.0,10495.0,1210300.0,10495.0
9,2017-01-18,10495.0,10610.0,10415.0,10510.0,1172600.0,10510.0
10,2017-01-19,10590.0,10790.0,10565.0,10765.0,1051800.0,10765.0
11,2017-01-20,10795.0,10860.0,10750.0,10780.0,1027300.0,10780.0
12,2017-01-23,10975.0,10975.0,10790.0,10800.0,1298400.0,10800.0
13,2017-01-24,10940.0,11045.0,10820.0,10850.0,1546000.0,10850.0
14,2017-01-25,10550.0,10795.0,10480.0,10720.0,3164600.0,10720.0
15,2017-01-26,10810.0,10810.0,10500.0,10640.0,2613300.0,10640.0
16,2017-01-27,10710.0,10765.0,10630.0,10680.0,1126900.0,10680.0
17,2017-01-30,10675.0,10690.0,10580.0,10610.0,626100.0,10610.0
18,2017-01-31,10590.0,10730.0,10560.0,10610.0,1032500.0,10610.0
19,2017-02-01,10615.0,10770.0,10590.0,10770.0,1038800.0,10770.0
20,2017-02-02,10850.0,10850.0,10655.0,10670.0,979600.0,10670.0
21,2017-02-03,10720.0,10790.0,10635.0,10725.0,688100.0,10725.0
22,2017-02-06,10770.0,10795.0,10580.0,10590.0,668900.0,10590.0
23,2017-02-07,10480.0,10490.0,10400.0,10405.0,988100.0,10405.0
24,2017-02-08,10510.0,10640.0,10480.0,10635.0,1048300.0,10635.0
25,2017-02-09,10605.0,10620.0,10490.0,10495.0,738200.0,10495.0
26,2017-02-10,10635.0,10645.0,10480.0,10530.0,930100.0,10530.0
27,2017-02-13,10600.0,10795.0,10585.0,10760.0,1007300.0,10760.0
28,2017-02-14,10785.0,10795.0,10590.0,10595.0,699900.0,10595.0
29,2017-02-15,10710.0,10735.0,10630.0,10680.0,517400.0,10680.0
