,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,639.0,653.0,638.0,650.0,958900.0,650.0
1,2017-01-05,650.0,658.0,646.0,655.0,684500.0,655.0
2,2017-01-06,695.0,741.0,682.0,689.0,6820600.0,689.0
3,2017-01-10,680.0,693.0,664.0,680.0,2315000.0,680.0
4,2017-01-11,690.0,691.0,675.0,683.0,913000.0,683.0
5,2017-01-12,685.0,694.0,680.0,685.0,1066900.0,685.0
6,2017-01-13,688.0,716.0,687.0,715.0,2379100.0,715.0
7,2017-01-16,720.0,724.0,701.0,707.0,1454100.0,707.0
8,2017-01-17,706.0,717.0,699.0,708.0,1262700.0,708.0
9,2017-01-18,703.0,703.0,685.0,694.0,1534100.0,694.0
10,2017-01-19,698.0,711.0,696.0,696.0,1117200.0,696.0
11,2017-01-20,693.0,701.0,689.0,692.0,1306300.0,692.0
12,2017-01-23,690.0,704.0,687.0,698.0,857500.0,698.0
13,2017-01-24,697.0,708.0,696.0,697.0,1035400.0,697.0
14,2017-01-25,707.0,711.0,698.0,710.0,1306200.0,710.0
15,2017-01-26,714.0,714.0,693.0,697.0,1903500.0,697.0
16,2017-01-27,700.0,715.0,699.0,713.0,1418000.0,713.0
17,2017-01-30,720.0,727.0,712.0,715.0,1487400.0,715.0
18,2017-01-31,751.0,793.0,749.0,780.0,6844700.0,780.0
19,2017-02-01,772.0,825.0,772.0,811.0,5087800.0,811.0
20,2017-02-02,812.0,823.0,794.0,818.0,2715200.0,818.0
21,2017-02-03,817.0,837.0,814.0,832.0,2188300.0,832.0
22,2017-02-06,830.0,831.0,813.0,820.0,1741100.0,820.0
23,2017-02-07,816.0,817.0,796.0,810.0,1472700.0,810.0
24,2017-02-08,815.0,845.0,813.0,840.0,1895500.0,840.0
25,2017-02-09,838.0,845.0,828.0,832.0,1138100.0,832.0
26,2017-02-10,845.0,867.0,839.0,846.0,2041300.0,846.0
27,2017-02-13,868.0,898.0,865.0,892.0,2836500.0,892.0
28,2017-02-14,891.0,892.0,860.0,862.0,2953100.0,862.0
29,2017-02-15,872.0,884.0,870.0,877.0,1778700.0,877.0
30,2017-02-16,877.0,888.0,874.0,884.0,2130200.0,884.0
31,2017-02-17,870.0,870.0,857.0,859.0,1976300.0,859.0
32,2017-02-20,855.0,874.0,847.0,870.0,1506600.0,870.0
33,2017-02-21,877.0,878.0,863.0,866.0,792900.0,866.0
34,2017-02-22,863.0,864.0,853.0,855.0,1078700.0,855.0
35,2017-02-23,854.0,855.0,827.0,840.0,1770800.0,840.0
36,2017-02-24,848.0,852.0,831.0,840.0,1481700.0,840.0
37,2017-02-27,846.0,850.0,832.0,844.0,1238400.0,844.0
38,2017-02-28,850.0,879.0,849.0,865.0,2364000.0,865.0
39,2017-03-01,877.0,891.0,874.0,883.0,2956900.0,883.0
40,2017-03-02,894.0,894.0,876.0,883.0,2004200.0,883.0
41,2017-03-03,888.0,889.0,873.0,877.0,1429400.0,877.0
42,2017-03-06,875.0,875.0,861.0,867.0,1063000.0,867.0
43,2017-03-07,866.0,874.0,865.0,871.0,1015800.0,871.0
44,2017-03-08,875.0,888.0,873.0,877.0,1209800.0,877.0
45,2017-03-09,879.0,894.0,879.0,885.0,1096000.0,885.0
46,2017-03-10,895.0,898.0,890.0,893.0,1361500.0,893.0
47,2017-03-13,896.0,897.0,886.0,888.0,896200.0,888.0
48,2017-03-14,889.0,918.0,887.0,915.0,2131400.0,915.0
49,2017-03-15,913.0,918.0,901.0,903.0,1244800.0,903.0
50,2017-03-16,901.0,915.0,896.0,913.0,996400.0,913.0
51,2017-03-17,914.0,932.0,911.0,921.0,1964800.0,921.0
52,2017-03-21,916.0,918.0,902.0,908.0,1295800.0,908.0
