,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,22860.0,23260.0,22790.0,23110.0,154500.0,23110.0
1,2017-01-05,23230.0,23250.0,22750.0,22900.0,177900.0,22900.0
2,2017-01-06,22010.0,22690.0,22010.0,22550.0,515700.0,22550.0
3,2017-01-10,22250.0,22250.0,21560.0,21890.0,452300.0,21890.0
4,2017-01-11,21830.0,22120.0,21830.0,22000.0,182200.0,22000.0
5,2017-01-12,21860.0,21870.0,21640.0,21680.0,170000.0,21680.0
6,2017-01-13,21750.0,22020.0,21750.0,22000.0,145900.0,22000.0
7,2017-01-16,22000.0,22070.0,21640.0,21730.0,135600.0,21730.0
8,2017-01-17,21620.0,21750.0,21180.0,21410.0,214600.0,21410.0
9,2017-01-18,21520.0,21700.0,21330.0,21640.0,194800.0,21640.0
10,2017-01-19,21510.0,21650.0,21450.0,21460.0,124100.0,21460.0
11,2017-01-20,21270.0,21440.0,21180.0,21360.0,107900.0,21360.0
12,2017-01-23,21290.0,21320.0,20960.0,21010.0,160900.0,21010.0
13,2017-01-24,20960.0,21110.0,20910.0,20940.0,123500.0,20940.0
14,2017-01-25,21170.0,21220.0,20860.0,21050.0,174900.0,21050.0
15,2017-01-26,21190.0,21680.0,21180.0,21540.0,225500.0,21540.0
16,2017-01-27,21770.0,21940.0,21660.0,21720.0,188200.0,21720.0
17,2017-01-30,21660.0,21670.0,21230.0,21330.0,166700.0,21330.0
18,2017-01-31,21130.0,21200.0,21030.0,21150.0,159600.0,21150.0
19,2017-02-01,21140.0,21360.0,20970.0,21300.0,144000.0,21300.0
20,2017-02-02,21300.0,21300.0,20970.0,21010.0,143400.0,21010.0
21,2017-02-03,21040.0,21150.0,20780.0,20850.0,119800.0,20850.0
22,2017-02-06,20920.0,20930.0,20540.0,20660.0,194700.0,20660.0
23,2017-02-07,20500.0,20520.0,20190.0,20230.0,167200.0,20230.0
24,2017-02-08,20220.0,20460.0,20160.0,20340.0,169900.0,20340.0
25,2017-02-09,20350.0,20540.0,20190.0,20450.0,133300.0,20450.0
26,2017-02-10,20650.0,20950.0,20540.0,20860.0,118800.0,20860.0
27,2017-02-13,21080.0,21620.0,21080.0,21540.0,338800.0,21540.0
28,2017-02-14,21530.0,21670.0,21480.0,21540.0,187300.0,21540.0
29,2017-02-15,21740.0,21770.0,21430.0,21530.0,187900.0,21530.0
30,2017-02-16,21690.0,22120.0,21610.0,22050.0,295000.0,22050.0
31,2017-02-17,21940.0,22120.0,21850.0,22110.0,166500.0,22110.0
32,2017-02-20,22280.0,22440.0,22180.0,22430.0,247200.0,22430.0
33,2017-02-21,22650.0,23250.0,22610.0,23040.0,492500.0,23040.0
34,2017-02-22,23040.0,23280.0,22970.0,23210.0,245600.0,23210.0
35,2017-02-23,23270.0,23330.0,23210.0,23300.0,204300.0,23300.0
36,2017-02-24,23060.0,24390.0,23010.0,23400.0,401800.0,23400.0
37,2017-02-27,23300.0,23940.0,23300.0,23750.0,385300.0,23750.0
38,2017-02-28,23830.0,23950.0,23710.0,23750.0,285200.0,23750.0
39,2017-03-01,23800.0,23860.0,23370.0,23600.0,289000.0,23600.0
40,2017-03-02,23620.0,23830.0,23530.0,23680.0,167700.0,23680.0
41,2017-03-03,23310.0,23480.0,22970.0,23170.0,437600.0,23170.0
42,2017-03-06,23130.0,23460.0,23060.0,23430.0,261500.0,23430.0
43,2017-03-07,23320.0,23480.0,23190.0,23410.0,130100.0,23410.0
44,2017-03-08,23370.0,23430.0,23020.0,23060.0,195500.0,23060.0
45,2017-03-09,23100.0,23270.0,23070.0,23170.0,149300.0,23170.0
46,2017-03-10,23350.0,23500.0,23240.0,23490.0,197900.0,23490.0
47,2017-03-13,23350.0,23650.0,23300.0,23360.0,159400.0,23360.0
48,2017-03-14,23350.0,23620.0,23350.0,23600.0,117300.0,23600.0
49,2017-03-15,23600.0,23630.0,23480.0,23620.0,88800.0,23620.0
50,2017-03-16,22920.0,23370.0,22610.0,23330.0,573500.0,23330.0
51,2017-03-17,23370.0,23890.0,23370.0,23840.0,304600.0,23840.0
52,2017-03-21,24230.0,24520.0,24150.0,24390.0,309300.0,24390.0
53,2017-03-22,24030.0,24250.0,23880.0,24000.0,175800.0,24000.0
54,2017-03-23,23860.0,23970.0,23520.0,23560.0,212300.0,23560.0
55,2017-03-24,23690.0,23770.0,23450.0,23510.0,196000.0,23510.0
56,2017-03-27,23400.0,23550.0,23210.0,23320.0,168900.0,23320.0
57,2017-03-28,23500.0,23710.0,23410.0,23680.0,162300.0,23680.0
58,2017-03-29,23800.0,24210.0,23690.0,24090.0,219000.0,24090.0
59,2017-03-30,24070.0,24080.0,23600.0,23720.0,133700.0,23720.0
60,2017-03-31,24190.0,24780.0,24060.0,24390.0,397600.0,24390.0
61,2017-04-03,24550.0,24790.0,24460.0,24660.0,212700.0,24660.0
62,2017-04-04,24720.0,24930.0,24610.0,24750.0,200800.0,24750.0
63,2017-04-05,24870.0,25130.0,24560.0,25000.0,351500.0,25000.0
64,2017-04-06,25000.0,25070.0,24480.0,24490.0,192200.0,24490.0
65,2017-04-07,24730.0,25060.0,24580.0,24900.0,234400.0,24900.0
66,2017-04-10,25150.0,25220.0,24760.0,24960.0,149300.0,24960.0
67,2017-04-11,24770.0,25090.0,24730.0,24920.0,136600.0,24920.0
68,2017-04-12,24700.0,25030.0,24500.0,25030.0,220200.0,25030.0
69,2017-04-13,25650.0,25800.0,24630.0,25040.0,562500.0,25040.0
70,2017-04-14,25300.0,25300.0,24800.0,24850.0,277000.0,24850.0
71,2017-04-17,24900.0,25190.0,24860.0,24940.0,229700.0,24940.0
72,2017-04-18,25220.0,25250.0,24610.0,24770.0,250800.0,24770.0
73,2017-04-19,24770.0,25030.0,24700.0,24900.0,262500.0,24900.0
74,2017-04-20,25150.0,25860.0,24870.0,25800.0,572300.0,25800.0
75,2017-04-21,25680.0,25780.0,25270.0,25370.0,318600.0,25370.0
76,2017-04-24,25640.0,25660.0,25430.0,25560.0,160500.0,25560.0
77,2017-04-25,25470.0,25540.0,25270.0,25460.0,172700.0,25460.0
78,2017-04-26,25360.0,25380.0,25040.0,25170.0,197700.0,25170.0
79,2017-04-27,24980.0,25370.0,24940.0,25190.0,188200.0,25190.0
80,2017-04-28,25280.0,25340.0,25040.0,25140.0,148600.0,25140.0
81,2017-05-01,24950.0,25080.0,24680.0,24760.0,156800.0,24760.0
82,2017-05-02,24970.0,25110.0,24800.0,24880.0,156100.0,24880.0
83,2017-05-08,25500.0,26630.0,25440.0,26590.0,527400.0,26590.0
