,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3360.0,3360.0,3322.0,3348.0,5022900.0,3348.0
1,2017-01-05,3359.0,3359.0,3324.0,3349.0,3827800.0,3349.0
2,2017-01-06,3319.0,3344.0,3315.0,3323.0,3539500.0,3323.0
3,2017-01-10,3320.0,3328.0,3300.0,3305.0,4088600.0,3305.0
4,2017-01-11,3318.0,3330.0,3314.0,3325.0,3368900.0,3325.0
5,2017-01-12,3320.0,3328.0,3297.0,3319.0,3270900.0,3319.0
6,2017-01-13,3311.0,3338.0,3308.0,3338.0,3105400.0,3338.0
7,2017-01-16,3321.0,3333.0,3304.0,3318.0,2444700.0,3318.0
8,2017-01-17,3300.0,3311.0,3273.0,3279.0,2957400.0,3279.0
9,2017-01-18,3267.0,3293.0,3252.0,3279.0,2937500.0,3279.0
10,2017-01-19,3295.0,3320.0,3293.0,3312.0,2763000.0,3312.0
11,2017-01-20,3324.0,3324.0,3300.0,3310.0,2637400.0,3310.0
12,2017-01-23,3286.0,3313.0,3272.0,3290.0,2993500.0,3290.0
13,2017-01-24,3273.0,3298.0,3273.0,3275.0,2848200.0,3275.0
14,2017-01-25,3320.0,3340.0,3313.0,3340.0,4044900.0,3340.0
15,2017-01-26,3350.0,3388.0,3340.0,3384.0,4891600.0,3384.0
16,2017-01-27,3396.0,3405.0,3381.0,3390.0,4096900.0,3390.0
17,2017-01-30,3407.0,3410.0,3385.0,3394.0,3277800.0,3394.0
18,2017-01-31,3378.0,3378.0,3343.0,3345.0,4378500.0,3345.0
19,2017-02-01,3300.0,3304.0,3262.0,3292.0,5024100.0,3292.0
20,2017-02-02,3305.0,3308.0,3233.0,3239.0,5052900.0,3239.0
21,2017-02-03,3240.0,3263.0,3224.0,3243.0,4032900.0,3243.0
22,2017-02-06,3260.0,3265.0,3230.0,3245.0,2774200.0,3245.0
23,2017-02-07,3241.0,3258.0,3228.0,3252.0,2574600.0,3252.0
24,2017-02-08,3220.0,3258.0,3218.0,3255.0,2752000.0,3255.0
25,2017-02-09,3245.0,3250.0,3227.0,3242.0,2129300.0,3242.0
26,2017-02-10,3287.0,3291.0,3257.0,3264.0,4494800.0,3264.0
27,2017-02-13,3296.0,3302.0,3284.0,3291.0,3382800.0,3291.0
28,2017-02-14,3300.0,3315.0,3287.0,3290.0,2907500.0,3290.0
29,2017-02-15,3315.0,3324.0,3303.0,3323.0,2335100.0,3323.0
30,2017-02-16,3330.0,3337.0,3304.0,3317.0,2640000.0,3317.0
31,2017-02-17,3309.0,3311.0,3291.0,3299.0,2389600.0,3299.0
32,2017-02-20,3291.0,3295.0,3273.0,3289.0,1955500.0,3289.0
33,2017-02-21,3289.0,3291.0,3271.0,3271.0,2664100.0,3271.0
34,2017-02-22,3298.0,3309.0,3286.0,3305.0,3056300.0,3305.0
35,2017-02-23,3289.0,3298.0,3278.0,3290.0,2535000.0,3290.0
36,2017-02-24,3289.0,3319.0,3287.0,3309.0,2614600.0,3309.0
37,2017-02-27,3292.0,3309.0,3289.0,3292.0,3119100.0,3292.0
38,2017-02-28,3307.0,3313.0,3280.0,3281.0,3359100.0,3281.0
39,2017-03-01,3293.0,3311.0,3275.0,3292.0,3270800.0,3292.0
40,2017-03-02,3321.0,3338.0,3304.0,3335.0,3739300.0,3335.0
41,2017-03-03,3336.0,3338.0,3306.0,3322.0,2942500.0,3322.0
42,2017-03-06,3311.0,3317.0,3295.0,3314.0,1762200.0,3314.0
43,2017-03-07,3360.0,3391.0,3346.0,3388.0,6025000.0,3388.0
44,2017-03-08,3394.0,3420.0,3384.0,3392.0,4372000.0,3392.0
45,2017-03-09,3401.0,3435.0,3395.0,3426.0,4245500.0,3426.0
46,2017-03-10,3456.0,3483.0,3453.0,3473.0,6551700.0,3473.0
47,2017-03-13,3444.0,3487.0,3435.0,3487.0,3070100.0,3487.0
48,2017-03-14,3497.0,3498.0,3465.0,3475.0,2797400.0,3475.0
49,2017-03-15,3460.0,3494.0,3450.0,3491.0,2935500.0,3491.0
50,2017-03-16,3498.0,3531.0,3480.0,3529.0,4712100.0,3529.0
51,2017-03-17,3525.0,3539.0,3516.0,3538.0,4347700.0,3538.0
52,2017-03-21,3546.0,3549.0,3518.0,3535.0,3760300.0,3535.0
