,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3250.0,3250.0,3210.0,3220.0,901800.0,3220.0
1,2017-01-05,3200.0,3215.0,3180.0,3210.0,1228000.0,3210.0
2,2017-01-06,3205.0,3220.0,3190.0,3215.0,984200.0,3215.0
3,2017-01-10,3225.0,3280.0,3210.0,3250.0,1156600.0,3250.0
4,2017-01-11,3270.0,3280.0,3245.0,3260.0,807200.0,3260.0
5,2017-01-12,3220.0,3230.0,3190.0,3225.0,858200.0,3225.0
6,2017-01-13,3225.0,3270.0,3225.0,3255.0,693700.0,3255.0
7,2017-01-16,3245.0,3260.0,3220.0,3230.0,756200.0,3230.0
8,2017-01-17,3215.0,3220.0,3125.0,3125.0,964600.0,3125.0
9,2017-01-18,3130.0,3175.0,3115.0,3165.0,766200.0,3165.0
10,2017-01-19,3180.0,3200.0,3145.0,3155.0,690100.0,3155.0
11,2017-01-20,3115.0,3155.0,3110.0,3145.0,750500.0,3145.0
12,2017-01-23,3115.0,3125.0,3100.0,3105.0,674200.0,3105.0
13,2017-01-24,3110.0,3140.0,3105.0,3120.0,745400.0,3120.0
14,2017-01-25,3170.0,3180.0,3115.0,3135.0,623200.0,3135.0
15,2017-01-26,3145.0,3195.0,3140.0,3190.0,749500.0,3190.0
16,2017-01-27,3200.0,3210.0,3150.0,3160.0,800600.0,3160.0
17,2017-01-30,3145.0,3175.0,3140.0,3150.0,639500.0,3150.0
18,2017-01-31,3125.0,3135.0,3110.0,3110.0,938900.0,3110.0
19,2017-02-01,3120.0,3180.0,3100.0,3175.0,1157400.0,3175.0
20,2017-02-02,3170.0,3180.0,3080.0,3090.0,904900.0,3090.0
21,2017-02-03,3090.0,3090.0,3025.0,3040.0,1005500.0,3040.0
22,2017-02-06,3080.0,3110.0,3060.0,3095.0,890700.0,3095.0
23,2017-02-07,3060.0,3085.0,3010.0,3015.0,803300.0,3015.0
24,2017-02-08,3100.0,3115.0,3015.0,3040.0,1615600.0,3040.0
25,2017-02-09,3050.0,3105.0,3045.0,3085.0,1356400.0,3085.0
26,2017-02-10,3115.0,3125.0,3070.0,3090.0,727600.0,3090.0
27,2017-02-13,3140.0,3150.0,3115.0,3150.0,791100.0,3150.0
28,2017-02-14,3165.0,3165.0,3110.0,3110.0,748300.0,3110.0
29,2017-02-15,3115.0,3155.0,3110.0,3140.0,1187500.0,3140.0
30,2017-02-16,3140.0,3155.0,3095.0,3130.0,785500.0,3130.0
31,2017-02-17,3105.0,3140.0,3100.0,3130.0,564200.0,3130.0
32,2017-02-20,3105.0,3125.0,3090.0,3110.0,493600.0,3110.0
33,2017-02-21,3140.0,3165.0,3130.0,3155.0,658300.0,3155.0
34,2017-02-22,3180.0,3185.0,3145.0,3170.0,786600.0,3170.0
35,2017-02-23,3195.0,3235.0,3150.0,3225.0,1227300.0,3225.0
36,2017-02-24,3225.0,3250.0,3220.0,3245.0,962000.0,3245.0
37,2017-02-27,3215.0,3245.0,3200.0,3225.0,833600.0,3225.0
38,2017-02-28,3245.0,3280.0,3230.0,3235.0,1174000.0,3235.0
39,2017-03-01,3235.0,3285.0,3230.0,3275.0,889700.0,3275.0
40,2017-03-02,3300.0,3300.0,3265.0,3270.0,817700.0,3270.0
41,2017-03-03,3270.0,3300.0,3260.0,3290.0,1283400.0,3290.0
42,2017-03-06,3295.0,3310.0,3265.0,3285.0,798700.0,3285.0
43,2017-03-07,3335.0,3355.0,3305.0,3320.0,1239800.0,3320.0
44,2017-03-08,3305.0,3325.0,3300.0,3305.0,908800.0,3305.0
45,2017-03-09,3335.0,3390.0,3315.0,3385.0,1069900.0,3385.0
46,2017-03-10,3445.0,3460.0,3420.0,3440.0,1536300.0,3440.0
47,2017-03-13,3420.0,3435.0,3390.0,3435.0,822200.0,3435.0
48,2017-03-14,3415.0,3435.0,3410.0,3430.0,525800.0,3430.0
49,2017-03-15,3425.0,3475.0,3420.0,3470.0,838600.0,3470.0
50,2017-03-16,3455.0,3505.0,3445.0,3495.0,892800.0,3495.0
51,2017-03-17,3470.0,3510.0,3470.0,3495.0,834400.0,3495.0
52,2017-03-21,3470.0,3540.0,3455.0,3530.0,755100.0,3530.0
53,2017-03-22,3475.0,3545.0,3475.0,3510.0,1053200.0,3510.0
54,2017-03-23,3470.0,3495.0,3445.0,3475.0,1128500.0,3475.0
55,2017-03-24,3485.0,3485.0,3450.0,3470.0,957500.0,3470.0
56,2017-03-27,3440.0,3465.0,3420.0,3450.0,884300.0,3450.0
57,2017-03-28,3465.0,3490.0,3455.0,3485.0,788800.0,3485.0
58,2017-03-29,3465.0,3475.0,3425.0,3435.0,846100.0,3435.0
59,2017-03-30,3430.0,3435.0,3355.0,3360.0,939600.0,3360.0
60,2017-03-31,3385.0,3385.0,3325.0,3330.0,1075300.0,3330.0
61,2017-04-03,3355.0,3370.0,3345.0,3350.0,650200.0,3350.0
62,2017-04-04,3330.0,3335.0,3270.0,3295.0,1314100.0,3295.0
63,2017-04-05,3340.0,3340.0,3270.0,3300.0,1110300.0,3300.0
64,2017-04-06,3285.0,3305.0,3225.0,3230.0,1030100.0,3230.0
65,2017-04-07,3270.0,3280.0,3225.0,3265.0,847100.0,3265.0
66,2017-04-10,3275.0,3305.0,3245.0,3255.0,962400.0,3255.0
67,2017-04-11,3250.0,3265.0,3225.0,3255.0,686300.0,3255.0
68,2017-04-12,3255.0,3275.0,3235.0,3245.0,1028400.0,3245.0
69,2017-04-13,3245.0,3280.0,3230.0,3270.0,942800.0,3270.0
70,2017-04-14,3270.0,3275.0,3240.0,3250.0,725800.0,3250.0
71,2017-04-17,3270.0,3305.0,3255.0,3300.0,896300.0,3300.0
72,2017-04-18,3330.0,3340.0,3305.0,3315.0,716700.0,3315.0
73,2017-04-19,3250.0,3280.0,3225.0,3240.0,1664900.0,3240.0
74,2017-04-20,3210.0,3245.0,3195.0,3215.0,1154000.0,3215.0
75,2017-04-21,3230.0,3280.0,3230.0,3270.0,700200.0,3270.0
76,2017-04-24,3320.0,3335.0,3290.0,3325.0,1111400.0,3325.0
77,2017-04-25,3315.0,3370.0,3305.0,3360.0,852500.0,3360.0
78,2017-04-26,3390.0,3460.0,3375.0,3460.0,1476000.0,3460.0
