,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,24540.0,24545.0,24330.0,24480.0,1437600.0,24480.0
1,2017-01-05,24555.0,24840.0,23875.0,24085.0,2546200.0,24085.0
2,2017-01-06,24000.0,24215.0,23920.0,24050.0,1443500.0,24050.0
3,2017-01-10,24490.0,24530.0,24185.0,24370.0,1725900.0,24370.0
4,2017-01-11,24650.0,25350.0,24580.0,25145.0,3224400.0,25145.0
5,2017-01-12,25300.0,25410.0,24700.0,25200.0,2581800.0,25200.0
6,2017-01-13,24900.0,25085.0,23620.0,23750.0,7589200.0,23750.0
7,2017-01-16,23300.0,23450.0,22905.0,23200.0,3675600.0,23200.0
8,2017-01-17,22945.0,23795.0,22945.0,23585.0,3212300.0,23585.0
9,2017-01-18,23515.0,23705.0,23155.0,23465.0,2830200.0,23465.0
10,2017-01-19,23285.0,24095.0,23050.0,23800.0,3607900.0,23800.0
11,2017-01-20,23815.0,24130.0,23540.0,23630.0,2092400.0,23630.0
12,2017-01-23,23520.0,23700.0,23280.0,23510.0,1208300.0,23510.0
13,2017-01-24,23440.0,23570.0,23250.0,23265.0,1106800.0,23265.0
14,2017-01-25,23500.0,23655.0,23280.0,23595.0,1193100.0,23595.0
15,2017-01-26,23600.0,23710.0,23455.0,23570.0,1453300.0,23570.0
16,2017-01-27,23630.0,23630.0,23405.0,23490.0,836000.0,23490.0
17,2017-01-30,23550.0,23650.0,23425.0,23565.0,718700.0,23565.0
18,2017-01-31,23230.0,23510.0,23100.0,23120.0,1350200.0,23120.0
19,2017-02-01,22500.0,22720.0,22005.0,22625.0,3082600.0,22625.0
20,2017-02-02,22815.0,22965.0,22450.0,22520.0,1624500.0,22520.0
21,2017-02-03,22845.0,23975.0,22820.0,23945.0,3698300.0,23945.0
22,2017-02-06,24000.0,24160.0,23570.0,23735.0,1593200.0,23735.0
23,2017-02-07,23360.0,23560.0,23200.0,23230.0,1210000.0,23230.0
24,2017-02-08,23330.0,23425.0,22905.0,23260.0,1404700.0,23260.0
25,2017-02-09,23230.0,23690.0,23050.0,23405.0,1605200.0,23405.0
26,2017-02-10,23650.0,23730.0,23355.0,23645.0,1319100.0,23645.0
27,2017-02-13,23785.0,23850.0,23550.0,23655.0,829300.0,23655.0
28,2017-02-14,23495.0,23575.0,23255.0,23260.0,1010200.0,23260.0
29,2017-02-15,23365.0,23480.0,22680.0,22690.0,1721700.0,22690.0
30,2017-02-16,22770.0,23150.0,22745.0,23120.0,1304900.0,23120.0
31,2017-02-17,23060.0,23420.0,22875.0,23355.0,1380800.0,23355.0
32,2017-02-20,23155.0,23205.0,22895.0,23095.0,808000.0,23095.0
33,2017-02-21,23120.0,23285.0,23030.0,23135.0,627300.0,23135.0
34,2017-02-22,23170.0,23310.0,23010.0,23310.0,868200.0,23310.0
35,2017-02-23,23220.0,23255.0,23060.0,23205.0,684600.0,23205.0
36,2017-02-24,23215.0,23800.0,23130.0,23715.0,1790500.0,23715.0
37,2017-02-27,23495.0,23875.0,23490.0,23680.0,1012500.0,23680.0
38,2017-02-28,23795.0,23825.0,23485.0,23500.0,1089600.0,23500.0
39,2017-03-01,23505.0,23520.0,23230.0,23285.0,1210900.0,23285.0
40,2017-03-02,23445.0,23450.0,22835.0,22875.0,2038100.0,22875.0
41,2017-03-03,22970.0,23830.0,22940.0,23710.0,4834200.0,23710.0
42,2017-03-06,23980.0,24515.0,23865.0,24240.0,3459900.0,24240.0
43,2017-03-07,24540.0,24920.0,24375.0,24690.0,3531200.0,24690.0
44,2017-03-08,25210.0,25320.0,24710.0,24825.0,3807800.0,24825.0
45,2017-03-09,25000.0,25045.0,24540.0,24660.0,2139300.0,24660.0
46,2017-03-10,24660.0,25040.0,24620.0,24735.0,2228200.0,24735.0
47,2017-03-13,24710.0,25010.0,24480.0,25000.0,1423100.0,25000.0
48,2017-03-14,25000.0,25070.0,24830.0,24890.0,1058600.0,24890.0
49,2017-03-15,24840.0,25030.0,24840.0,24985.0,1118200.0,24985.0
50,2017-03-16,24945.0,25195.0,24935.0,25155.0,1247500.0,25155.0
51,2017-03-17,25055.0,25635.0,24845.0,25580.0,2569100.0,25580.0
52,2017-03-21,26250.0,26555.0,25890.0,26265.0,4210600.0,26265.0
53,2017-03-22,26140.0,27645.0,26130.0,27405.0,6143900.0,27405.0
54,2017-03-23,27695.0,28070.0,26515.0,26830.0,6124900.0,26830.0
55,2017-03-24,26835.0,27220.0,26580.0,26860.0,2435300.0,26860.0
56,2017-03-27,26920.0,27170.0,26735.0,26885.0,1750300.0,26885.0
57,2017-03-28,26885.0,26895.0,26300.0,26635.0,2155300.0,26635.0
58,2017-03-29,26500.0,26840.0,26325.0,26670.0,1700000.0,26670.0
59,2017-03-30,26680.0,26755.0,25975.0,25995.0,1892100.0,25995.0
60,2017-03-31,25965.0,26385.0,25640.0,25835.0,2181300.0,25835.0
61,2017-04-03,25965.0,26785.0,25930.0,26755.0,1992300.0,26755.0
62,2017-04-04,26820.0,26980.0,25890.0,26055.0,2492100.0,26055.0
63,2017-04-05,26055.0,26430.0,25635.0,26090.0,1970500.0,26090.0
64,2017-04-06,26090.0,26530.0,26010.0,26370.0,2201600.0,26370.0
65,2017-04-07,26370.0,26370.0,25395.0,25765.0,2805700.0,25765.0
66,2017-04-10,25630.0,26030.0,25440.0,25775.0,1603200.0,25775.0
67,2017-04-11,25705.0,25875.0,25480.0,25715.0,1169400.0,25715.0
68,2017-04-12,25300.0,25675.0,25300.0,25610.0,1297100.0,25610.0
69,2017-04-13,25420.0,25675.0,25120.0,25240.0,1381900.0,25240.0
70,2017-04-14,25280.0,26240.0,25260.0,25760.0,2508700.0,25760.0
71,2017-04-17,26025.0,26660.0,26025.0,26505.0,2266700.0,26505.0
72,2017-04-18,26720.0,26900.0,26415.0,26715.0,2159600.0,26715.0
73,2017-04-19,26865.0,27375.0,26780.0,27160.0,3006700.0,27160.0
74,2017-04-20,27305.0,27555.0,26800.0,26815.0,2620100.0,26815.0
75,2017-04-21,27180.0,27345.0,26910.0,27005.0,2015900.0,27005.0
76,2017-04-24,27300.0,27515.0,27150.0,27370.0,1984000.0,27370.0
77,2017-04-25,27645.0,28015.0,27570.0,27960.0,2972200.0,27960.0
78,2017-04-26,28020.0,28020.0,27510.0,27620.0,2008300.0,27620.0
79,2017-04-27,27800.0,27800.0,27270.0,27465.0,1927200.0,27465.0
80,2017-04-28,27000.0,28260.0,26915.0,28045.0,5641200.0,28045.0
81,2017-05-01,28400.0,28460.0,28220.0,28315.0,2219800.0,28315.0
82,2017-05-02,28300.0,28460.0,28135.0,28355.0,1468600.0,28355.0
83,2017-05-08,28980.0,29365.0,28730.0,28810.0,3446600.0,28810.0
84,2017-05-09,28700.0,28975.0,28650.0,28735.0,1417300.0,28735.0
85,2017-05-10,28955.0,29500.0,28640.0,29500.0,2613700.0,29500.0
86,2017-05-11,29500.0,29710.0,29390.0,29545.0,1879600.0,29545.0
87,2017-05-12,29550.0,29760.0,29300.0,29480.0,1374500.0,29480.0
88,2017-05-15,29170.0,30140.0,28965.0,29735.0,2715000.0,29735.0
89,2017-05-16,29885.0,30260.0,29835.0,29990.0,2600600.0,29990.0
90,2017-05-17,29950.0,30680.0,29905.0,30490.0,2631700.0,30490.0
91,2017-05-18,30030.0,30580.0,30010.0,30430.0,2094800.0,30430.0
92,2017-05-19,30650.0,30700.0,30190.0,30300.0,1471900.0,30300.0
93,2017-05-22,30470.0,30550.0,30230.0,30490.0,1126500.0,30490.0
94,2017-05-23,30550.0,30890.0,30460.0,30880.0,1742900.0,30880.0
95,2017-05-24,31000.0,31900.0,30970.0,31880.0,3079900.0,31880.0
96,2017-05-25,31990.0,32300.0,31620.0,31770.0,2704400.0,31770.0
97,2017-05-26,32070.0,33510.0,31850.0,33510.0,5309300.0,33510.0
98,2017-05-29,33250.0,34610.0,32900.0,33950.0,6195600.0,33950.0
99,2017-05-30,34100.0,34450.0,33610.0,34010.0,3206000.0,34010.0
100,2017-05-31,33900.0,34200.0,33350.0,33650.0,2926000.0,33650.0
101,2017-06-01,33440.0,33600.0,33010.0,33160.0,2261300.0,33160.0
102,2017-06-02,33220.0,33810.0,32670.0,33540.0,3654500.0,33540.0
103,2017-06-05,33500.0,34590.0,33420.0,34570.0,3266100.0,34570.0
104,2017-06-06,34940.0,35330.0,33880.0,34630.0,4438200.0,34630.0
105,2017-06-07,35070.0,35070.0,34080.0,34250.0,3027600.0,34250.0
106,2017-06-08,34490.0,34760.0,33940.0,33980.0,2629600.0,33980.0
107,2017-06-09,34250.0,34970.0,34100.0,34820.0,3173000.0,34820.0
108,2017-06-12,34120.0,34390.0,33250.0,34020.0,3363200.0,34020.0
109,2017-06-13,33890.0,34300.0,33540.0,34160.0,2122700.0,34160.0
110,2017-06-14,34990.0,35260.0,34760.0,34760.0,3121500.0,34760.0
111,2017-06-15,35100.0,36360.0,35020.0,36250.0,4918500.0,36250.0
112,2017-06-16,36000.0,36680.0,35850.0,36040.0,4438100.0,36040.0
113,2017-06-19,36230.0,37030.0,36180.0,36960.0,3239300.0,36960.0
114,2017-06-20,37600.0,37720.0,37270.0,37450.0,2888300.0,37450.0
115,2017-06-21,37500.0,37720.0,37070.0,37200.0,2914700.0,37200.0
116,2017-06-22,37200.0,37730.0,37110.0,37400.0,2269400.0,37400.0
117,2017-06-23,37640.0,38580.0,37540.0,38440.0,4287600.0,38440.0
118,2017-06-26,38950.0,39440.0,38820.0,39280.0,3628000.0,39280.0
119,2017-06-27,39520.0,39530.0,38570.0,39320.0,3591600.0,39320.0
120,2017-06-28,38910.0,39140.0,37710.0,37870.0,4055900.0,37870.0
121,2017-06-29,38350.0,38870.0,37610.0,38780.0,4131400.0,38780.0
122,2017-06-30,37500.0,37980.0,37380.0,37680.0,3404500.0,37680.0
123,2017-07-03,37690.0,37840.0,36800.0,36920.0,2846400.0,36920.0
