,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,11180.0,11265.0,11075.0,11260.0,833900.0,11260.0
1,2017-01-05,11200.0,11200.0,10955.0,11015.0,759700.0,11015.0
2,2017-01-06,10905.0,11030.0,10835.0,10950.0,576700.0,10950.0
3,2017-01-10,11055.0,11285.0,11015.0,11125.0,1001800.0,11125.0
4,2017-01-11,11155.0,11200.0,11105.0,11155.0,526800.0,11155.0
5,2017-01-12,11210.0,11310.0,11135.0,11250.0,1049100.0,11250.0
6,2017-01-13,11195.0,11315.0,11150.0,11275.0,1016000.0,11275.0
7,2017-01-16,11355.0,11380.0,11200.0,11250.0,736000.0,11250.0
8,2017-01-17,11270.0,11270.0,11030.0,11030.0,680400.0,11030.0
9,2017-01-18,10905.0,11130.0,10860.0,11085.0,758000.0,11085.0
10,2017-01-19,11230.0,11325.0,11150.0,11210.0,709800.0,11210.0
11,2017-01-20,11170.0,11235.0,11140.0,11200.0,539800.0,11200.0
12,2017-01-23,11110.0,11265.0,11090.0,11160.0,698800.0,11160.0
13,2017-01-24,11100.0,11185.0,11065.0,11075.0,848300.0,11075.0
14,2017-01-25,11175.0,11345.0,11175.0,11340.0,788700.0,11340.0
15,2017-01-26,11750.0,12000.0,11720.0,11985.0,1894400.0,11985.0
16,2017-01-27,11980.0,11985.0,11810.0,11885.0,1130300.0,11885.0
17,2017-01-30,11780.0,11965.0,11675.0,11905.0,789700.0,11905.0
18,2017-01-31,11750.0,11810.0,11670.0,11710.0,994000.0,11710.0
19,2017-02-01,11500.0,11600.0,11360.0,11550.0,1258700.0,11550.0
20,2017-02-02,11755.0,11780.0,11390.0,11440.0,1121200.0,11440.0
21,2017-02-03,11480.0,11505.0,11225.0,11240.0,944600.0,11240.0
22,2017-02-06,11315.0,11330.0,11010.0,11145.0,871000.0,11145.0
23,2017-02-07,11065.0,11340.0,11035.0,11290.0,728400.0,11290.0
24,2017-02-08,11285.0,11325.0,11180.0,11320.0,592700.0,11320.0
25,2017-02-09,11310.0,11395.0,11195.0,11200.0,834700.0,11200.0
26,2017-02-10,11450.0,11500.0,11370.0,11490.0,1039100.0,11490.0
27,2017-02-13,11580.0,11620.0,11515.0,11605.0,738000.0,11605.0
28,2017-02-14,11660.0,11785.0,11635.0,11660.0,773100.0,11660.0
29,2017-02-15,11800.0,11810.0,11550.0,11550.0,772400.0,11550.0
30,2017-02-16,11400.0,11405.0,11145.0,11300.0,1117300.0,11300.0
31,2017-02-17,11195.0,11280.0,11155.0,11225.0,610900.0,11225.0
32,2017-02-20,11225.0,11270.0,11165.0,11180.0,514800.0,11180.0
33,2017-02-21,11150.0,11200.0,11085.0,11170.0,564800.0,11170.0
34,2017-02-22,11295.0,11500.0,11255.0,11315.0,1105000.0,11315.0
35,2017-02-23,11275.0,11465.0,11270.0,11355.0,645700.0,11355.0
36,2017-02-24,11275.0,11345.0,11195.0,11265.0,602000.0,11265.0
37,2017-02-27,11160.0,11235.0,11110.0,11175.0,682400.0,11175.0
38,2017-02-28,11210.0,11265.0,11160.0,11210.0,803900.0,11210.0
39,2017-03-01,11225.0,11445.0,11210.0,11410.0,998300.0,11410.0
40,2017-03-02,11650.0,11750.0,11575.0,11735.0,1072200.0,11735.0
41,2017-03-03,11690.0,11720.0,11535.0,11575.0,853600.0,11575.0
42,2017-03-06,11510.0,11530.0,11435.0,11465.0,441400.0,11465.0
43,2017-03-07,11400.0,11460.0,11310.0,11350.0,666300.0,11350.0
