,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2557.5,2587.0,2549.0,2576.5,1794000.0,2576.5
1,2017-01-05,2578.0,2618.5,2576.0,2612.0,1549700.0,2612.0
2,2017-01-06,2603.0,2608.0,2585.0,2590.5,1662400.0,2590.5
3,2017-01-10,2577.5,2597.5,2557.5,2570.5,1834100.0,2570.5
4,2017-01-11,2563.0,2573.0,2536.0,2562.0,1604800.0,2562.0
5,2017-01-12,2542.5,2556.5,2508.0,2527.0,1849000.0,2527.0
6,2017-01-13,2527.5,2567.5,2527.5,2555.0,1012200.0,2555.0
7,2017-01-16,2554.5,2568.5,2539.5,2547.5,1022100.0,2547.5
8,2017-01-17,2545.0,2549.0,2491.0,2498.5,1451800.0,2498.5
9,2017-01-18,2506.5,2514.0,2471.0,2479.5,1667200.0,2479.5
10,2017-01-19,2509.0,2530.0,2500.5,2514.5,1108800.0,2514.5
11,2017-01-20,2510.0,2524.0,2500.0,2510.5,960400.0,2510.5
12,2017-01-23,2500.0,2502.0,2475.0,2490.0,1353300.0,2490.0
13,2017-01-24,2472.5,2518.5,2472.5,2501.0,1743200.0,2501.0
14,2017-01-25,2526.0,2533.5,2497.5,2525.5,1761200.0,2525.5
15,2017-01-26,2550.0,2595.0,2533.5,2584.5,1552600.0,2584.5
16,2017-01-27,2598.0,2612.0,2578.5,2601.0,1886400.0,2601.0
17,2017-01-30,2586.0,2600.0,2552.0,2587.5,1180100.0,2587.5
18,2017-01-31,2550.0,2575.5,2537.0,2540.0,1817500.0,2540.0
19,2017-02-01,2521.5,2568.0,2512.5,2564.5,1626500.0,2564.5
20,2017-02-02,2580.5,2585.0,2541.5,2547.5,1998700.0,2547.5
21,2017-02-03,2556.0,2589.5,2556.0,2565.0,904800.0,2565.0
22,2017-02-06,2558.0,2576.5,2526.5,2566.5,1706300.0,2566.5
23,2017-02-07,2560.5,2588.5,2554.0,2582.5,906900.0,2582.5
24,2017-02-08,2587.0,2588.0,2560.5,2571.0,898500.0,2571.0
25,2017-02-09,2568.5,2574.0,2544.5,2545.5,1040400.0,2545.5
26,2017-02-10,2581.5,2598.0,2554.0,2595.5,933300.0,2595.5
27,2017-02-13,2600.0,2604.0,2576.5,2580.0,1318800.0,2580.0
28,2017-02-14,2581.5,2583.0,2535.0,2540.0,2357200.0,2540.0
29,2017-02-15,2579.0,2642.0,2548.0,2598.5,4694700.0,2598.5
30,2017-02-16,2560.0,2561.5,2484.5,2514.5,5522400.0,2514.5
31,2017-02-17,2505.0,2528.0,2500.0,2504.5,2428000.0,2504.5
32,2017-02-20,2480.5,2488.0,2438.5,2444.5,4821200.0,2444.5
33,2017-02-21,2442.0,2452.0,2436.5,2447.0,3130900.0,2447.0
34,2017-02-22,2442.0,2457.5,2437.5,2454.5,2264900.0,2454.5
35,2017-02-23,2455.0,2464.0,2449.5,2463.0,1305800.0,2463.0
36,2017-02-24,2461.0,2493.5,2452.5,2484.0,1695300.0,2484.0
37,2017-02-27,2477.5,2516.0,2477.0,2500.0,2617600.0,2500.0
38,2017-02-28,2504.0,2548.0,2497.5,2525.0,3069000.0,2525.0
39,2017-03-01,2550.0,2568.5,2533.5,2567.0,1685500.0,2567.0
40,2017-03-02,2585.0,2597.0,2571.0,2580.5,1701900.0,2580.5
41,2017-03-03,2580.5,2609.5,2579.0,2594.5,1860400.0,2594.5
42,2017-03-06,2580.5,2613.0,2580.5,2601.0,1243700.0,2601.0
43,2017-03-07,2600.0,2617.0,2595.0,2600.0,1290000.0,2600.0
44,2017-03-08,2581.0,2608.5,2575.5,2607.5,1793600.0,2607.5
45,2017-03-09,2615.0,2620.0,2593.0,2598.0,1655400.0,2598.0
46,2017-03-10,2600.0,2631.0,2598.0,2623.5,2157300.0,2623.5
47,2017-03-13,2619.0,2633.5,2611.0,2623.5,1273300.0,2623.5
48,2017-03-14,2621.5,2625.5,2607.0,2618.0,1574400.0,2618.0
49,2017-03-15,2615.0,2668.5,2615.0,2664.0,1363300.0,2664.0
50,2017-03-16,2646.0,2670.0,2638.5,2665.0,1132300.0,2665.0
51,2017-03-17,2669.0,2683.0,2650.5,2678.0,1599500.0,2678.0
52,2017-03-21,2658.5,2675.5,2643.0,2661.5,1162700.0,2661.5
53,2017-03-22,2626.0,2660.0,2626.0,2631.0,1389300.0,2631.0
54,2017-03-23,2632.0,2648.0,2625.0,2647.0,935300.0,2647.0
55,2017-03-24,2643.0,2669.0,2629.0,2652.5,1154800.0,2652.5
56,2017-03-27,2624.5,2633.5,2599.0,2626.0,987200.0,2626.0
57,2017-03-28,2653.0,2680.5,2648.0,2680.5,1297600.0,2680.5
58,2017-03-29,2693.0,2737.0,2682.5,2737.0,1754200.0,2737.0
59,2017-03-30,2743.5,2769.5,2711.5,2734.0,1761800.0,2734.0
60,2017-03-31,2743.5,2745.0,2667.5,2667.5,1426600.0,2667.5
61,2017-04-03,2681.0,2701.5,2643.0,2691.5,1415100.0,2691.5
62,2017-04-04,2701.5,2721.5,2664.0,2679.0,1252100.0,2679.0
63,2017-04-05,2708.0,2738.5,2695.0,2700.0,1667800.0,2700.0
64,2017-04-06,2700.5,2711.5,2638.5,2648.5,1227700.0,2648.5
65,2017-04-07,2648.0,2690.0,2634.0,2666.5,1661900.0,2666.5
66,2017-04-10,2700.0,2719.0,2650.0,2674.0,1168900.0,2674.0
67,2017-04-11,2698.5,2703.0,2662.5,2669.0,841400.0,2669.0
68,2017-04-12,2662.0,2680.0,2591.5,2613.5,1672700.0,2613.5
69,2017-04-13,2586.5,2615.0,2585.5,2607.0,1163600.0,2607.0
70,2017-04-14,2581.0,2602.5,2571.0,2579.0,1279600.0,2579.0
71,2017-04-17,2573.0,2609.5,2562.5,2608.5,967600.0,2608.5
72,2017-04-18,2597.5,2611.0,2576.5,2591.5,1500500.0,2591.5
73,2017-04-19,2598.0,2641.5,2596.0,2613.5,1411800.0,2613.5
