,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,740.0,751.5,736.0,745.2,112945400.0,745.2
1,2017-01-05,750.8,752.8,743.6,748.3,76794300.0,748.3
2,2017-01-06,738.4,739.7,735.3,738.0,66675800.0,738.0
3,2017-01-10,733.7,736.5,726.7,726.7,72792500.0,726.7
4,2017-01-11,731.7,738.5,729.8,737.7,57705500.0,737.7
5,2017-01-12,730.0,735.4,725.7,730.4,70120200.0,730.4
6,2017-01-13,726.8,731.3,725.3,729.5,57602400.0,729.5
7,2017-01-16,733.5,737.5,726.0,726.0,56752000.0,726.0
8,2017-01-17,716.0,721.1,710.0,714.8,79391400.0,714.8
9,2017-01-18,701.0,714.1,696.0,711.5,101854100.0,711.5
10,2017-01-19,723.1,731.5,719.7,726.3,82487500.0,726.3
11,2017-01-20,728.8,734.8,724.2,731.1,63260500.0,731.1
12,2017-01-23,722.0,731.0,720.5,725.8,57357100.0,725.8
13,2017-01-24,716.0,717.9,704.0,706.5,82906300.0,706.5
14,2017-01-25,718.0,719.3,707.9,711.2,68317000.0,711.2
15,2017-01-26,726.2,742.5,725.9,742.0,117362500.0,742.0
16,2017-01-27,752.9,758.2,745.3,752.9,102187100.0,752.9
17,2017-01-30,741.6,747.5,740.5,747.2,52684900.0,747.2
18,2017-01-31,730.1,736.9,728.0,730.9,77699700.0,730.9
19,2017-02-01,716.9,728.0,713.3,727.4,75206300.0,727.4
20,2017-02-02,730.2,734.3,719.1,721.7,70645300.0,721.7
21,2017-02-03,728.5,746.0,724.3,730.0,116578500.0,730.0
22,2017-02-06,768.0,768.1,753.5,754.7,134978200.0,754.7
23,2017-02-07,746.9,757.8,741.1,751.2,73147600.0,751.2
24,2017-02-08,752.0,756.0,746.7,754.0,55157800.0,754.0
25,2017-02-09,743.5,747.7,740.0,740.0,55615400.0,740.0
26,2017-02-10,756.0,766.2,755.0,764.1,101036300.0,764.1
27,2017-02-13,777.5,777.9,764.4,764.7,73402800.0,764.7
28,2017-02-14,771.2,771.4,753.8,755.6,63455600.0,755.6
29,2017-02-15,769.0,778.8,766.0,768.5,89277800.0,768.5
30,2017-02-16,770.0,778.8,765.5,770.7,83361000.0,770.7
