,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,318.7,320.8,317.5,320.0,11829000.0,3200.0
1,2017-01-05,321.7,322.9,320.4,322.0,8290000.0,3220.0
2,2017-01-06,320.0,321.9,319.5,321.4,8726000.0,3214.0
3,2017-01-10,321.1,323.0,319.0,320.1,10631000.0,3201.0
4,2017-01-11,320.2,324.3,320.2,323.4,11406000.0,3234.0
5,2017-01-12,323.1,323.7,319.5,321.1,11198000.0,3211.0
6,2017-01-13,320.0,323.2,320.0,323.2,8602000.0,3232.0
7,2017-01-16,323.9,324.2,321.3,323.5,10168000.0,3235.0
8,2017-01-17,322.2,323.9,319.1,320.9,12064000.0,3209.0
9,2017-01-18,319.1,321.4,316.7,321.0,11887000.0,3210.0
10,2017-01-19,323.3,326.4,322.7,324.0,13417000.0,3240.0
11,2017-01-20,323.9,327.0,322.3,326.3,10657000.0,3263.0
12,2017-01-23,325.9,326.2,322.8,324.5,11323000.0,3245.0
13,2017-01-24,322.0,323.3,320.5,323.0,12551000.0,3230.0
14,2017-01-25,329.0,331.0,326.4,326.9,22998000.0,3269.0
15,2017-01-26,330.0,330.9,328.0,329.1,14851000.0,3291.0
16,2017-01-27,331.0,338.3,331.0,337.8,24088000.0,3378.0
17,2017-01-30,340.0,343.0,337.1,338.3,17152000.0,3383.0
18,2017-01-31,334.5,337.3,332.9,335.5,17816000.0,3355.0
19,2017-02-01,333.7,340.0,333.3,340.0,16291000.0,3400.0
20,2017-02-02,341.0,341.8,337.2,337.8,14287000.0,3378.0
21,2017-02-03,337.1,337.1,330.9,331.1,19266000.0,3311.0
22,2017-02-06,333.3,334.1,330.5,331.6,7356000.0,3316.0
23,2017-02-07,332.0,334.7,332.0,332.6,8892000.0,3326.0
24,2017-02-08,333.8,336.5,331.9,333.0,10557000.0,3330.0
25,2017-02-09,331.2,331.5,325.2,326.6,17354000.0,3266.0
26,2017-02-10,328.6,331.3,327.6,330.0,12092000.0,3300.0
27,2017-02-13,332.0,332.6,329.0,330.3,12906000.0,3303.0
28,2017-02-14,332.4,332.9,328.7,328.8,10681000.0,3288.0
29,2017-02-15,330.6,331.3,328.0,328.7,10541000.0,3287.0
30,2017-02-16,329.0,331.3,305.0,324.5,133255000.0,3245.0
31,2017-02-17,330.0,331.0,325.3,325.8,25442000.0,3258.0
32,2017-02-20,326.1,330.2,325.7,327.4,12250000.0,3274.0
33,2017-02-21,327.0,329.0,326.9,327.4,10744000.0,3274.0
34,2017-02-22,327.3,328.3,326.0,328.3,9798000.0,3283.0
35,2017-02-23,332.0,340.7,331.0,337.8,30831000.0,3378.0
36,2017-02-24,338.3,339.5,336.1,338.1,12772000.0,3381.0
37,2017-02-27,336.1,338.0,333.6,334.7,11291000.0,3347.0
38,2017-02-28,336.5,339.3,335.5,335.8,10243000.0,3358.0
39,2017-03-01,335.8,338.3,335.2,336.8,9299000.0,3368.0
40,2017-03-02,340.0,341.6,338.8,339.3,12728000.0,3393.0
41,2017-03-03,340.0,342.8,339.8,340.6,15377000.0,3406.0
42,2017-03-06,341.0,342.3,338.5,339.8,10731000.0,3398.0
43,2017-03-07,339.9,340.3,337.1,338.0,10669000.0,3380.0
44,2017-03-08,338.0,338.8,334.7,337.5,13469000.0,3375.0
45,2017-03-09,338.3,339.1,336.1,336.9,8096000.0,3369.0
46,2017-03-10,344.9,352.7,344.4,348.9,38722000.0,3489.0
47,2017-03-13,350.0,353.4,349.8,351.6,15358000.0,3516.0
48,2017-03-14,352.0,352.7,350.6,351.6,12193000.0,3516.0
49,2017-03-15,350.3,351.9,349.2,351.7,10956000.0,3517.0
50,2017-03-16,350.0,353.6,350.0,353.6,15335000.0,3536.0
51,2017-03-17,353.0,353.5,350.6,351.7,13789000.0,3517.0
52,2017-03-21,351.0,351.9,349.2,351.5,11848000.0,3515.0
53,2017-03-22,348.0,350.0,347.0,348.1,15613000.0,3481.0
54,2017-03-23,346.5,348.9,346.2,348.4,22803000.0,3484.0
55,2017-03-24,349.8,351.3,349.1,350.2,14936000.0,3502.0
56,2017-03-27,348.7,350.2,346.1,348.9,25094000.0,3489.0
57,2017-03-28,350.0,351.5,348.1,350.2,36415000.0,3502.0
58,2017-03-29,342.5,345.9,341.5,344.6,22052000.0,3446.0
59,2017-03-30,343.4,346.0,343.4,344.1,10077000.0,3441.0
60,2017-03-31,344.7,345.9,339.8,339.8,13592000.0,3398.0
61,2017-04-03,340.6,342.9,340.2,341.4,10446000.0,3414.0
62,2017-04-04,342.0,342.5,337.5,339.3,12227000.0,3393.0
63,2017-04-05,339.7,339.8,335.0,335.4,9681000.0,3354.0
64,2017-04-06,336.1,338.8,331.1,332.9,13201000.0,3329.0
65,2017-04-07,338.1,339.2,324.3,330.6,28480000.0,3306.0
66,2017-04-10,333.5,335.6,330.4,333.2,11520000.0,3332.0
67,2017-04-11,331.0,333.3,329.7,330.8,7113000.0,3308.0
68,2017-04-12,328.3,330.7,327.6,330.5,11143000.0,3305.0
69,2017-04-13,328.5,330.7,324.8,326.2,10436000.0,3262.0
70,2017-04-14,327.0,327.7,323.4,324.6,9646000.0,3246.0
71,2017-04-17,322.7,326.6,322.6,326.5,8175000.0,3265.0
72,2017-04-18,329.9,330.8,326.7,328.1,7615000.0,3281.0
73,2017-04-19,327.4,327.5,323.6,324.8,10099000.0,3248.0
74,2017-04-20,325.0,326.4,324.0,325.9,7735000.0,3259.0
75,2017-04-21,328.0,329.3,326.1,328.0,7948000.0,3280.0
76,2017-04-24,331.0,334.1,330.9,333.0,10053000.0,3330.0
77,2017-04-25,334.7,337.9,334.4,337.3,9953000.0,3373.0
78,2017-04-26,338.8,339.2,333.7,338.0,15357000.0,3380.0
79,2017-04-27,337.8,338.1,334.4,334.5,13952000.0,3345.0
80,2017-04-28,333.1,336.6,333.1,335.5,10633000.0,3355.0
81,2017-05-01,327.0,328.9,322.0,328.7,24731000.0,3287.0
82,2017-05-02,328.2,328.5,325.8,326.7,16037000.0,3267.0
83,2017-05-08,332.5,339.0,330.9,338.2,20366000.0,3382.0
