,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2960.0,3014.0,2959.5,2998.0,7924100.0,2998.0
1,2017-01-05,3005.0,3048.0,3000.0,3033.0,5770000.0,3033.0
2,2017-01-06,3007.0,3064.0,2992.0,3060.0,5390400.0,3060.0
3,2017-01-10,3074.0,3087.0,3049.0,3059.0,5876600.0,3059.0
4,2017-01-11,3050.0,3068.0,3026.0,3054.0,4321000.0,3054.0
5,2017-01-12,3055.0,3055.0,3014.0,3032.0,4227100.0,3032.0
6,2017-01-13,3062.0,3090.0,3041.0,3090.0,7203700.0,3090.0
7,2017-01-16,3084.0,3093.0,3062.0,3070.0,3528400.0,3070.0
8,2017-01-17,3066.0,3069.0,3030.0,3042.0,4510300.0,3042.0
9,2017-01-18,3042.0,3052.0,3022.0,3042.0,4993200.0,3042.0
10,2017-01-19,3065.0,3095.0,3045.0,3066.0,5069900.0,3066.0
11,2017-01-20,3080.0,3095.0,3053.0,3079.0,6018100.0,3079.0
12,2017-01-23,3034.0,3044.0,2997.5,3000.0,7565500.0,3000.0
13,2017-01-24,2988.0,3009.0,2988.0,2993.5,5307800.0,2993.5
14,2017-01-25,3020.0,3027.0,2982.5,2991.5,5215200.0,2991.5
15,2017-01-26,3001.0,3014.0,2992.0,3002.0,7818800.0,3002.0
16,2017-01-27,3007.0,3110.0,3004.0,3094.0,9136700.0,3094.0
17,2017-01-30,3072.0,3082.0,3046.0,3065.0,3704200.0,3065.0
18,2017-01-31,3050.0,3067.0,3030.0,3030.0,4946400.0,3030.0
19,2017-02-01,3008.0,3036.0,2998.0,3036.0,3617000.0,3036.0
20,2017-02-02,3002.0,3010.0,2965.5,2977.5,6234700.0,2977.5
21,2017-02-03,2998.5,2998.5,2910.5,2914.0,9621500.0,2914.0
22,2017-02-06,2928.5,2959.5,2914.0,2952.5,8129500.0,2952.5
23,2017-02-07,2957.0,2966.5,2939.0,2947.0,4552400.0,2947.0
24,2017-02-08,2954.0,2955.5,2908.5,2932.5,4776700.0,2932.5
25,2017-02-09,2950.0,2978.5,2941.5,2952.0,5425400.0,2952.0
