,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2149.0,2156.0,2072.0,2119.0,325800.0,1412.7
1,2017-01-05,2121.0,2619.0,2105.0,2619.0,1454400.0,1746.0
2,2017-01-06,2519.0,2563.0,2400.0,2436.0,3200200.0,1624.0
3,2017-01-10,2386.0,2496.0,2338.0,2478.0,984400.0,1652.0
4,2017-01-11,2470.0,2470.0,2377.0,2388.0,466100.0,1592.0
5,2017-01-12,2400.0,2415.0,2318.0,2337.0,382100.0,1558.0
6,2017-01-13,2321.0,2366.0,2312.0,2340.0,209000.0,1560.0
7,2017-01-16,2364.0,2391.0,2305.0,2327.0,195200.0,1551.3
8,2017-01-17,2319.0,2324.0,2228.0,2233.0,265900.0,1488.7
9,2017-01-18,2227.0,2266.0,2202.0,2257.0,200300.0,1504.7
10,2017-01-19,2283.0,2300.0,2241.0,2249.0,146600.0,1499.3
11,2017-01-20,2228.0,2245.0,2205.0,2227.0,129300.0,1484.7
12,2017-01-23,2221.0,2222.0,2195.0,2208.0,91800.0,1472.0
13,2017-01-24,2200.0,2211.0,2176.0,2187.0,177600.0,1458.0
14,2017-01-25,2211.0,2221.0,2172.0,2210.0,146900.0,1473.3
15,2017-01-26,2255.0,2329.0,2235.0,2266.0,261800.0,1510.7
16,2017-01-27,2266.0,2278.0,2228.0,2250.0,152000.0,1500.0
17,2017-01-30,2244.0,2244.0,2203.0,2230.0,116600.0,1486.7
18,2017-01-31,2175.0,2220.0,2160.0,2190.0,199200.0,1460.0
19,2017-02-01,2151.0,2210.0,2151.0,2190.0,208300.0,1460.0
20,2017-02-02,2206.0,2219.0,2157.0,2168.0,122800.0,1445.3
21,2017-02-03,2149.0,2190.0,2147.0,2164.0,114200.0,1442.7
22,2017-02-06,2198.0,2247.0,2198.0,2240.0,196000.0,1493.3
23,2017-02-07,2229.0,2231.0,2174.0,2178.0,114000.0,1452.0
24,2017-02-08,2177.0,2218.0,2158.0,2195.0,137600.0,1463.3
25,2017-02-09,2199.0,2205.0,2166.0,2170.0,61600.0,1446.7
26,2017-02-10,2205.0,2230.0,2203.0,2206.0,85700.0,1470.7
27,2017-02-13,2230.0,2282.0,2217.0,2258.0,134100.0,1505.3
