,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,482.0,506.0,480.0,493.0,30599500.0,493.0
1,2017-01-05,490.0,493.0,482.0,487.0,16790900.0,487.0
2,2017-01-06,480.0,484.0,477.0,479.0,11575700.0,479.0
3,2017-01-10,478.0,481.0,472.0,474.0,11729700.0,474.0
4,2017-01-11,473.0,487.0,473.0,477.0,14412500.0,477.0
5,2017-01-12,475.0,478.0,464.0,470.0,14899000.0,470.0
6,2017-01-13,465.0,475.0,465.0,472.0,16150800.0,472.0
7,2017-01-16,469.0,474.0,462.0,467.0,13764400.0,467.0
8,2017-01-17,464.0,466.0,455.0,456.0,14787200.0,456.0
9,2017-01-18,451.0,461.0,451.0,461.0,11317300.0,461.0
10,2017-01-19,477.0,484.0,466.0,467.0,21382200.0,467.0
11,2017-01-20,468.0,469.0,461.0,465.0,10267000.0,465.0
12,2017-01-23,461.0,462.0,455.0,458.0,7570000.0,458.0
13,2017-01-24,452.0,454.0,444.0,447.0,14236900.0,447.0
14,2017-01-25,451.0,456.0,442.0,445.0,12826600.0,445.0
15,2017-01-26,450.0,454.0,445.0,446.0,12110000.0,446.0
16,2017-01-27,448.0,450.0,442.0,448.0,9192000.0,448.0
17,2017-01-30,444.0,445.0,438.0,440.0,15528200.0,440.0
18,2017-01-31,435.0,435.0,430.0,433.0,11438300.0,433.0
19,2017-02-01,433.0,443.0,433.0,439.0,11376100.0,439.0
20,2017-02-02,439.0,439.0,427.0,429.0,10227400.0,429.0
21,2017-02-03,428.0,429.0,422.0,425.0,10241800.0,425.0
22,2017-02-06,428.0,429.0,416.0,419.0,11681300.0,419.0
23,2017-02-07,416.0,427.0,415.0,423.0,12038800.0,423.0
24,2017-02-08,422.0,430.0,422.0,427.0,7469600.0,427.0
25,2017-02-09,428.0,429.0,421.0,424.0,6827200.0,424.0
26,2017-02-10,430.0,434.0,428.0,433.0,9749600.0,433.0
27,2017-02-13,438.0,439.0,430.0,432.0,7244500.0,432.0
28,2017-02-14,435.0,436.0,430.0,430.0,5978400.0,430.0
29,2017-02-15,434.0,434.0,429.0,429.0,4964100.0,429.0
30,2017-02-16,430.0,431.0,421.0,424.0,6253100.0,424.0
31,2017-02-17,421.0,427.0,421.0,423.0,7360800.0,423.0
32,2017-02-20,425.0,434.0,424.0,433.0,9519100.0,433.0
33,2017-02-21,434.0,442.0,433.0,440.0,11333100.0,440.0
34,2017-02-22,445.0,446.0,438.0,441.0,13929100.0,441.0
35,2017-02-23,437.0,438.0,428.0,433.0,9682000.0,433.0
36,2017-02-24,432.0,437.0,431.0,435.0,8700400.0,435.0
37,2017-02-27,432.0,432.0,425.0,429.0,5850400.0,429.0
38,2017-02-28,432.0,437.0,431.0,432.0,9009200.0,432.0
39,2017-03-01,434.0,434.0,430.0,431.0,7325000.0,431.0
40,2017-03-02,442.0,443.0,434.0,435.0,9081800.0,435.0
41,2017-03-03,435.0,435.0,431.0,433.0,6066800.0,433.0
42,2017-03-06,432.0,433.0,429.0,431.0,5192100.0,431.0
43,2017-03-07,431.0,433.0,428.0,429.0,6270900.0,429.0
44,2017-03-08,428.0,432.0,427.0,430.0,7328800.0,430.0
45,2017-03-09,430.0,430.0,424.0,428.0,8631800.0,428.0
46,2017-03-10,431.0,432.0,427.0,428.0,10977100.0,428.0
47,2017-03-13,431.0,437.0,430.0,436.0,8137500.0,436.0
48,2017-03-14,436.0,437.0,433.0,435.0,3957500.0,435.0
49,2017-03-15,434.0,434.0,427.0,428.0,6380400.0,428.0
50,2017-03-16,428.0,430.0,425.0,426.0,7059100.0,426.0
51,2017-03-17,424.0,425.0,418.0,420.0,15484600.0,420.0
52,2017-03-21,419.0,423.0,416.0,417.0,9201600.0,417.0
53,2017-03-22,418.0,421.0,413.0,414.0,13429400.0,414.0
54,2017-03-23,416.0,420.0,414.0,417.0,9049600.0,417.0
55,2017-03-24,416.0,426.0,415.0,425.0,9812200.0,425.0
56,2017-03-27,423.0,424.0,415.0,417.0,9684400.0,417.0
57,2017-03-28,419.0,431.0,419.0,424.0,21374300.0,424.0
58,2017-03-29,431.0,454.0,430.0,442.0,53135500.0,442.0
59,2017-03-30,440.0,450.0,436.0,440.0,21978300.0,440.0
60,2017-03-31,444.0,446.0,436.0,436.0,18043000.0,436.0
61,2017-04-03,438.0,441.0,434.0,438.0,11043400.0,438.0
62,2017-04-04,438.0,439.0,430.0,433.0,11227400.0,433.0
63,2017-04-05,434.0,438.0,431.0,437.0,8407500.0,437.0
