,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3030.0,3045.0,2991.0,3040.0,640300.0,3040.0
1,2017-01-05,3035.0,3075.0,3025.0,3050.0,517900.0,3050.0
2,2017-01-06,3055.0,3140.0,3050.0,3080.0,542800.0,3080.0
3,2017-01-10,3070.0,3110.0,3040.0,3060.0,565200.0,3060.0
4,2017-01-11,3065.0,3085.0,3055.0,3060.0,392600.0,3060.0
5,2017-01-12,3060.0,3080.0,3035.0,3045.0,361000.0,3045.0
6,2017-01-13,3040.0,3085.0,3010.0,3070.0,430300.0,3070.0
7,2017-01-16,3100.0,3100.0,3030.0,3030.0,320400.0,3030.0
8,2017-01-17,3030.0,3030.0,2982.0,3005.0,531700.0,3005.0
9,2017-01-18,2986.0,2989.0,2891.0,2913.0,1195600.0,2913.0
10,2017-01-19,2932.0,2975.0,2908.0,2947.0,561700.0,2947.0
11,2017-01-20,2950.0,3025.0,2927.0,3000.0,426500.0,3000.0
12,2017-01-23,3000.0,3035.0,2975.0,2984.0,414500.0,2984.0
13,2017-01-24,2977.0,3055.0,2973.0,3020.0,440000.0,3020.0
14,2017-01-25,3035.0,3050.0,3010.0,3025.0,405400.0,3025.0
15,2017-01-26,3085.0,3170.0,3070.0,3155.0,690800.0,3155.0
16,2017-01-27,3165.0,3165.0,3090.0,3100.0,298600.0,3100.0
17,2017-01-30,3075.0,3080.0,3030.0,3040.0,380900.0,3040.0
18,2017-01-31,3015.0,3035.0,2991.0,3010.0,350000.0,3010.0
19,2017-02-01,2943.0,2988.0,2941.0,2966.0,501400.0,2966.0
20,2017-02-02,2962.0,2965.0,2907.0,2912.0,533500.0,2912.0
21,2017-02-03,2900.0,2923.0,2875.0,2916.0,442200.0,2916.0
22,2017-02-06,2928.0,2928.0,2891.0,2913.0,236400.0,2913.0
23,2017-02-07,2894.0,2896.0,2852.0,2855.0,370700.0,2855.0
24,2017-02-08,2850.0,2896.0,2834.0,2893.0,268800.0,2893.0
25,2017-02-09,2875.0,2908.0,2862.0,2894.0,157800.0,2894.0
26,2017-02-10,2904.0,2952.0,2894.0,2936.0,244800.0,2936.0
27,2017-02-13,2936.0,2938.0,2904.0,2922.0,407400.0,2922.0
28,2017-02-14,2941.0,2987.0,2929.0,2954.0,321900.0,2954.0
29,2017-02-15,2954.0,2961.0,2930.0,2935.0,346600.0,2935.0
30,2017-02-16,2917.0,2918.0,2880.0,2903.0,510600.0,2903.0
31,2017-02-17,2900.0,2919.0,2878.0,2905.0,251000.0,2905.0
32,2017-02-20,2903.0,2931.0,2889.0,2927.0,238000.0,2927.0
33,2017-02-21,2936.0,3030.0,2929.0,2983.0,425000.0,2983.0
34,2017-02-22,3005.0,3020.0,2982.0,2989.0,286900.0,2989.0
35,2017-02-23,3020.0,3035.0,2998.0,3000.0,361900.0,3000.0
36,2017-02-24,3005.0,3010.0,2977.0,2988.0,369900.0,2988.0
37,2017-02-27,2985.0,3030.0,2972.0,2986.0,604200.0,2986.0
38,2017-02-28,2984.0,3010.0,2971.0,2978.0,284700.0,2978.0
39,2017-03-01,2878.0,2944.0,2848.0,2884.0,1691600.0,2884.0
40,2017-03-02,2886.0,2888.0,2833.0,2835.0,1112200.0,2835.0
41,2017-03-03,2825.0,2841.0,2720.0,2739.0,1301500.0,2739.0
42,2017-03-06,2751.0,2794.0,2743.0,2790.0,666500.0,2790.0
43,2017-03-07,2796.0,2839.0,2780.0,2833.0,540700.0,2833.0
44,2017-03-08,2827.0,2837.0,2790.0,2792.0,523000.0,2792.0
45,2017-03-09,2792.0,2792.0,2690.0,2697.0,1021300.0,2697.0
46,2017-03-10,2682.0,2684.0,2650.0,2673.0,1091100.0,2673.0
47,2017-03-13,2677.0,2714.0,2656.0,2701.0,790500.0,2701.0
48,2017-03-14,2716.0,2728.0,2695.0,2724.0,563100.0,2724.0
49,2017-03-15,2724.0,2765.0,2723.0,2749.0,476800.0,2749.0
50,2017-03-16,2750.0,2774.0,2730.0,2731.0,504700.0,2731.0
51,2017-03-17,2731.0,2771.0,2727.0,2764.0,408000.0,2764.0
52,2017-03-21,2780.0,2803.0,2776.0,2779.0,615800.0,2779.0
53,2017-03-22,2750.0,2792.0,2737.0,2739.0,561200.0,2739.0
54,2017-03-23,2720.0,2772.0,2714.0,2768.0,494400.0,2768.0
55,2017-03-24,2750.0,2754.0,2700.0,2705.0,784500.0,2705.0
56,2017-03-27,2699.0,2700.0,2632.0,2636.0,760500.0,2636.0
57,2017-03-28,2641.0,2650.0,2595.0,2629.0,1006700.0,2629.0
58,2017-03-29,2636.0,2662.0,2616.0,2654.0,729400.0,2654.0
59,2017-03-30,2659.0,2659.0,2597.0,2602.0,706300.0,2602.0
60,2017-03-31,2622.0,2637.0,2600.0,2600.0,875300.0,2600.0
61,2017-04-03,2623.0,2672.0,2617.0,2662.0,779700.0,2662.0
62,2017-04-04,2676.0,2688.0,2640.0,2657.0,1006900.0,2657.0
63,2017-04-05,2674.0,2706.0,2663.0,2688.0,782300.0,2688.0
64,2017-04-06,2714.0,2749.0,2680.0,2682.0,823700.0,2682.0
65,2017-04-07,2673.0,2712.0,2633.0,2654.0,801900.0,2654.0
66,2017-04-10,2628.0,2654.0,2551.0,2566.0,1185100.0,2566.0
67,2017-04-11,2566.0,2588.0,2538.0,2567.0,861000.0,2567.0
68,2017-04-12,2560.0,2560.0,2529.0,2542.0,570600.0,2542.0
69,2017-04-13,2531.0,2547.0,2520.0,2535.0,477100.0,2535.0
70,2017-04-14,2510.0,2516.0,2470.0,2481.0,565200.0,2481.0
71,2017-04-17,2466.0,2502.0,2465.0,2493.0,575700.0,2493.0
72,2017-04-18,2513.0,2524.0,2491.0,2508.0,340700.0,2508.0
73,2017-04-19,2523.0,2562.0,2514.0,2550.0,483100.0,2550.0
74,2017-04-20,2537.0,2557.0,2524.0,2526.0,605500.0,2526.0
75,2017-04-21,2545.0,2557.0,2534.0,2552.0,427000.0,2552.0
76,2017-04-24,2541.0,2544.0,2507.0,2525.0,742000.0,2525.0
77,2017-04-25,2513.0,2580.0,2508.0,2571.0,885200.0,2571.0
78,2017-04-26,2616.0,2649.0,2604.0,2631.0,872200.0,2631.0
79,2017-04-27,2617.0,2652.0,2613.0,2644.0,533000.0,2644.0
80,2017-04-28,2644.0,2661.0,2596.0,2658.0,710800.0,2658.0
81,2017-05-01,2670.0,2776.0,2668.0,2763.0,1559500.0,2763.0
82,2017-05-02,2767.0,2785.0,2755.0,2771.0,662800.0,2771.0
83,2017-05-08,2800.0,2808.0,2770.0,2780.0,857400.0,2780.0
84,2017-05-09,2770.0,2774.0,2726.0,2767.0,721100.0,2767.0
85,2017-05-10,2777.0,2777.0,2760.0,2765.0,577400.0,2765.0
86,2017-05-11,2770.0,2778.0,2754.0,2762.0,490400.0,2762.0
87,2017-05-12,2757.0,2797.0,2741.0,2766.0,512200.0,2766.0
88,2017-05-15,2766.0,2773.0,2705.0,2716.0,601200.0,2716.0
89,2017-05-16,2726.0,2772.0,2724.0,2764.0,604000.0,2764.0
90,2017-05-17,2764.0,2776.0,2711.0,2713.0,659100.0,2713.0
91,2017-05-18,2690.0,2751.0,2675.0,2747.0,568200.0,2747.0
92,2017-05-19,2768.0,2827.0,2761.0,2827.0,958900.0,2827.0
93,2017-05-22,2867.0,2895.0,2843.0,2855.0,1028800.0,2855.0
94,2017-05-23,2829.0,2875.0,2826.0,2833.0,760800.0,2833.0
95,2017-05-24,2844.0,2845.0,2804.0,2816.0,546900.0,2816.0
96,2017-05-25,2813.0,2845.0,2801.0,2823.0,468400.0,2823.0
97,2017-05-26,2843.0,2846.0,2807.0,2811.0,458900.0,2811.0
98,2017-05-29,3050.0,3235.0,3040.0,3200.0,3079600.0,3200.0
99,2017-05-30,3140.0,3195.0,3140.0,3140.0,967500.0,3140.0
100,2017-05-31,3135.0,3140.0,3080.0,3130.0,887100.0,3130.0
101,2017-06-01,3150.0,3220.0,3145.0,3160.0,1087800.0,3160.0
102,2017-06-02,3175.0,3195.0,3125.0,3170.0,496600.0,3170.0
103,2017-06-05,3165.0,3190.0,3130.0,3180.0,504700.0,3180.0
104,2017-06-06,3180.0,3200.0,3130.0,3130.0,437700.0,3130.0
105,2017-06-07,3120.0,3185.0,3110.0,3175.0,497800.0,3175.0
106,2017-06-08,3190.0,3325.0,3190.0,3285.0,1189900.0,3285.0
107,2017-06-09,3285.0,3305.0,3235.0,3250.0,577700.0,3250.0
108,2017-06-12,3225.0,3305.0,3200.0,3290.0,384400.0,3290.0
109,2017-06-13,3260.0,3340.0,3250.0,3315.0,473400.0,3315.0
110,2017-06-14,3315.0,3335.0,3260.0,3310.0,483100.0,3310.0
