,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3000.0,3015.0,2975.0,3005.0,831100.0,3005.0
1,2017-01-05,3020.0,3095.0,3010.0,3080.0,1375500.0,3080.0
2,2017-01-06,3070.0,3105.0,3055.0,3095.0,996100.0,3095.0
3,2017-01-10,3080.0,3115.0,3070.0,3080.0,1223800.0,3080.0
4,2017-01-11,3095.0,3135.0,3090.0,3105.0,952700.0,3105.0
5,2017-01-12,3105.0,3115.0,3070.0,3085.0,971000.0,3085.0
6,2017-01-13,3070.0,3145.0,3070.0,3145.0,874900.0,3145.0
7,2017-01-16,3120.0,3125.0,3060.0,3085.0,811500.0,3085.0
8,2017-01-17,3095.0,3100.0,3070.0,3085.0,892400.0,3085.0
9,2017-01-18,3090.0,3105.0,3055.0,3080.0,703100.0,3080.0
10,2017-01-19,3080.0,3120.0,3075.0,3080.0,825500.0,3080.0
11,2017-01-20,3115.0,3215.0,3115.0,3195.0,1516600.0,3195.0
12,2017-01-23,3180.0,3180.0,3155.0,3160.0,918500.0,3160.0
13,2017-01-24,3195.0,3240.0,3175.0,3180.0,1474400.0,3180.0
14,2017-01-25,3200.0,3205.0,3165.0,3190.0,784700.0,3190.0
15,2017-01-26,3240.0,3295.0,3230.0,3285.0,1058900.0,3285.0
16,2017-01-27,3300.0,3330.0,3255.0,3270.0,746000.0,3270.0
17,2017-01-30,3270.0,3275.0,3235.0,3270.0,461900.0,3270.0
18,2017-01-31,3250.0,3265.0,3215.0,3230.0,646200.0,3230.0
19,2017-02-01,3210.0,3225.0,3180.0,3225.0,1007000.0,3225.0
20,2017-02-02,3220.0,3235.0,3185.0,3195.0,520500.0,3195.0
21,2017-02-03,3195.0,3205.0,3140.0,3160.0,821300.0,3160.0
22,2017-02-06,3150.0,3165.0,3090.0,3135.0,928500.0,3135.0
23,2017-02-07,3000.0,3220.0,2991.0,3105.0,3276100.0,3105.0
24,2017-02-08,3110.0,3195.0,3110.0,3170.0,1111000.0,3170.0
25,2017-02-09,3140.0,3200.0,3110.0,3180.0,1284300.0,3180.0
26,2017-02-10,3205.0,3240.0,3195.0,3235.0,858000.0,3235.0
27,2017-02-13,3250.0,3275.0,3230.0,3270.0,405600.0,3270.0
28,2017-02-14,3315.0,3325.0,3280.0,3305.0,651000.0,3305.0
29,2017-02-15,3320.0,3390.0,3310.0,3365.0,830200.0,3365.0
30,2017-02-16,3380.0,3460.0,3370.0,3400.0,1179900.0,3400.0
31,2017-02-17,3400.0,3440.0,3350.0,3435.0,791400.0,3435.0
32,2017-02-20,3410.0,3420.0,3385.0,3405.0,319300.0,3405.0
33,2017-02-21,3380.0,3385.0,3330.0,3350.0,651800.0,3350.0
34,2017-02-22,3355.0,3360.0,3320.0,3350.0,727900.0,3350.0
35,2017-02-23,3360.0,3415.0,3345.0,3400.0,445900.0,3400.0
36,2017-02-24,3370.0,3435.0,3370.0,3425.0,526000.0,3425.0
37,2017-02-27,3410.0,3460.0,3390.0,3440.0,769300.0,3440.0
38,2017-02-28,3445.0,3450.0,3410.0,3415.0,491700.0,3415.0
39,2017-03-01,3410.0,3480.0,3390.0,3470.0,623400.0,3470.0
40,2017-03-02,3480.0,3485.0,3440.0,3455.0,530800.0,3455.0
41,2017-03-03,3430.0,3495.0,3430.0,3455.0,434800.0,3455.0
42,2017-03-06,3455.0,3500.0,3455.0,3485.0,441400.0,3485.0
43,2017-03-07,3500.0,3515.0,3490.0,3495.0,397400.0,3495.0
44,2017-03-08,3490.0,3495.0,3470.0,3485.0,651500.0,3485.0
