,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4720.0,4900.0,4700.0,4860.0,1512500.0,4860.0
1,2017-01-05,4900.0,4905.0,4820.0,4880.0,1331600.0,4880.0
2,2017-01-06,4900.0,4990.0,4890.0,4940.0,1406000.0,4940.0
3,2017-01-10,4910.0,4920.0,4740.0,4835.0,1467700.0,4835.0
4,2017-01-11,4880.0,4885.0,4710.0,4735.0,1491300.0,4735.0
5,2017-01-12,4620.0,4655.0,4485.0,4530.0,2820000.0,4530.0
6,2017-01-13,4460.0,4595.0,4350.0,4530.0,2833400.0,4530.0
7,2017-01-16,4535.0,4540.0,4425.0,4460.0,1349200.0,4460.0
8,2017-01-17,4460.0,4510.0,4415.0,4435.0,1258200.0,4435.0
9,2017-01-18,4465.0,4575.0,4465.0,4535.0,1318100.0,4535.0
10,2017-01-19,4525.0,4595.0,4510.0,4550.0,1244500.0,4550.0
11,2017-01-20,4525.0,4595.0,4525.0,4560.0,824700.0,4560.0
12,2017-01-23,4525.0,4595.0,4510.0,4540.0,1488500.0,4540.0
13,2017-01-24,4510.0,4540.0,4495.0,4505.0,1042000.0,4505.0
14,2017-01-25,4595.0,4650.0,4580.0,4620.0,1355800.0,4620.0
15,2017-01-26,4655.0,4815.0,4645.0,4815.0,1724800.0,4815.0
16,2017-01-27,4820.0,4835.0,4665.0,4735.0,1371200.0,4735.0
17,2017-01-30,4710.0,4730.0,4640.0,4710.0,838700.0,4710.0
18,2017-01-31,4695.0,4730.0,4440.0,4520.0,2474300.0,4520.0
19,2017-02-01,4745.0,4750.0,4530.0,4640.0,2041300.0,4640.0
20,2017-02-02,4610.0,4655.0,4570.0,4590.0,1278900.0,4590.0
21,2017-02-03,4635.0,4730.0,4600.0,4625.0,1231200.0,4625.0
22,2017-02-06,4680.0,4685.0,4525.0,4565.0,906000.0,4565.0
23,2017-02-07,4525.0,4540.0,4475.0,4490.0,870100.0,4490.0
24,2017-02-08,4485.0,4485.0,4425.0,4455.0,801900.0,4455.0
25,2017-02-09,4430.0,4590.0,4420.0,4565.0,1229700.0,4565.0
26,2017-02-10,4635.0,4660.0,4570.0,4660.0,1126400.0,4660.0
27,2017-02-13,4705.0,4720.0,4660.0,4675.0,937700.0,4675.0
28,2017-02-14,4700.0,4770.0,4685.0,4695.0,1010600.0,4695.0
29,2017-02-15,4710.0,4745.0,4690.0,4695.0,761200.0,4695.0
30,2017-02-16,4655.0,4710.0,4640.0,4665.0,718200.0,4665.0
31,2017-02-17,4635.0,4685.0,4605.0,4680.0,481900.0,4680.0
32,2017-02-20,4640.0,4660.0,4575.0,4605.0,494500.0,4605.0
33,2017-02-21,4625.0,4665.0,4595.0,4665.0,474300.0,4665.0
34,2017-02-22,4660.0,4660.0,4590.0,4630.0,498700.0,4630.0
35,2017-02-23,4635.0,4685.0,4605.0,4680.0,462200.0,4680.0
36,2017-02-24,4650.0,4720.0,4630.0,4720.0,557300.0,4720.0
37,2017-02-27,4705.0,4755.0,4690.0,4735.0,895900.0,4735.0
38,2017-02-28,4760.0,4775.0,4725.0,4740.0,823000.0,4740.0
39,2017-03-01,4795.0,4860.0,4765.0,4805.0,1128500.0,4805.0
40,2017-03-02,4850.0,4980.0,4815.0,4970.0,1564500.0,4970.0
41,2017-03-03,4970.0,5000.0,4905.0,4945.0,988000.0,4945.0
42,2017-03-06,4960.0,4990.0,4945.0,4955.0,503600.0,4955.0
43,2017-03-07,4950.0,4960.0,4885.0,4905.0,776200.0,4905.0
44,2017-03-08,4895.0,4900.0,4805.0,4825.0,911300.0,4825.0
45,2017-03-09,4895.0,4925.0,4855.0,4920.0,720200.0,4920.0
46,2017-03-10,4990.0,5120.0,4980.0,5080.0,1793200.0,5080.0
47,2017-03-13,5050.0,5130.0,5040.0,5090.0,568900.0,5090.0
48,2017-03-14,5060.0,5110.0,5030.0,5080.0,584600.0,5080.0
49,2017-03-15,5060.0,5070.0,4975.0,5010.0,530900.0,5010.0
50,2017-03-16,4975.0,5040.0,4935.0,5040.0,587500.0,5040.0
51,2017-03-17,5000.0,5050.0,4995.0,5010.0,674300.0,5010.0
52,2017-03-21,4935.0,5060.0,4930.0,5050.0,565700.0,5050.0
53,2017-03-22,4980.0,5010.0,4955.0,4980.0,903300.0,4980.0
54,2017-03-23,5040.0,5040.0,4920.0,4955.0,681200.0,4955.0
55,2017-03-24,4950.0,5040.0,4915.0,4980.0,977200.0,4980.0
56,2017-03-27,4955.0,4955.0,4825.0,4840.0,1004000.0,4840.0
57,2017-03-28,4895.0,4900.0,4845.0,4890.0,841900.0,4890.0
58,2017-03-29,4870.0,4890.0,4790.0,4850.0,826500.0,4850.0
59,2017-03-30,4795.0,4855.0,4760.0,4785.0,675100.0,4785.0
60,2017-03-31,4785.0,4790.0,4715.0,4725.0,820900.0,4725.0
61,2017-04-03,4750.0,4760.0,4705.0,4735.0,667000.0,4735.0
62,2017-04-04,4710.0,4715.0,4615.0,4640.0,963300.0,4640.0
63,2017-04-05,4710.0,4745.0,4675.0,4700.0,582700.0,4700.0
64,2017-04-06,4670.0,4710.0,4630.0,4650.0,856100.0,4650.0
65,2017-04-07,4675.0,4685.0,4575.0,4650.0,1145100.0,4650.0
66,2017-04-10,4705.0,4730.0,4655.0,4690.0,544900.0,4690.0
67,2017-04-11,4650.0,4715.0,4635.0,4690.0,627600.0,4690.0
68,2017-04-12,4645.0,4660.0,4535.0,4575.0,835600.0,4575.0
69,2017-04-13,4565.0,4590.0,4510.0,4580.0,471500.0,4580.0
70,2017-04-14,4650.0,4650.0,4500.0,4515.0,1022700.0,4515.0
71,2017-04-17,4525.0,4580.0,4505.0,4565.0,415800.0,4565.0
72,2017-04-18,4580.0,4600.0,4510.0,4545.0,476900.0,4545.0
73,2017-04-19,4545.0,4595.0,4535.0,4545.0,637100.0,4545.0
74,2017-04-20,4520.0,4550.0,4470.0,4495.0,716500.0,4495.0
75,2017-04-21,4515.0,4535.0,4480.0,4500.0,1017400.0,4500.0
76,2017-04-24,4570.0,4595.0,4550.0,4565.0,803300.0,4565.0
77,2017-04-25,4575.0,4580.0,4515.0,4570.0,789700.0,4570.0
78,2017-04-26,4570.0,4655.0,4565.0,4650.0,725500.0,4650.0
79,2017-04-27,4655.0,4715.0,4650.0,4660.0,887800.0,4660.0
80,2017-04-28,4650.0,4680.0,4620.0,4635.0,805800.0,4635.0
81,2017-05-01,4640.0,4720.0,4640.0,4705.0,548100.0,4705.0
82,2017-05-02,4705.0,4770.0,4700.0,4755.0,710200.0,4755.0
83,2017-05-08,4815.0,4875.0,4805.0,4850.0,1211600.0,4850.0
84,2017-05-09,4885.0,4960.0,4875.0,4935.0,998600.0,4935.0
85,2017-05-10,4960.0,5010.0,4950.0,4960.0,905300.0,4960.0
86,2017-05-11,4960.0,5080.0,4860.0,5020.0,1523200.0,5020.0
87,2017-05-12,5040.0,5090.0,4895.0,5020.0,1728900.0,5020.0
88,2017-05-15,4975.0,5070.0,4935.0,5040.0,759300.0,5040.0
89,2017-05-16,5010.0,5060.0,4970.0,5040.0,714200.0,5040.0
90,2017-05-17,5020.0,5150.0,5010.0,5020.0,1314300.0,5020.0
91,2017-05-18,4930.0,5070.0,4915.0,5070.0,836400.0,5070.0
92,2017-05-19,5070.0,5090.0,4990.0,5030.0,960600.0,5030.0
93,2017-05-22,5060.0,5130.0,5040.0,5130.0,719300.0,5130.0
94,2017-05-23,5110.0,5140.0,5070.0,5110.0,428600.0,5110.0
95,2017-05-24,5170.0,5220.0,5160.0,5180.0,923100.0,5180.0
96,2017-05-25,5280.0,5440.0,5280.0,5360.0,1859100.0,5360.0
97,2017-05-26,5300.0,5430.0,5270.0,5410.0,1145600.0,5410.0
98,2017-05-29,5400.0,5490.0,5360.0,5470.0,798100.0,5470.0
99,2017-05-30,5460.0,5470.0,5350.0,5380.0,935300.0,5380.0
100,2017-05-31,5380.0,5460.0,5370.0,5440.0,2324200.0,5440.0
101,2017-06-01,5460.0,5540.0,5450.0,5510.0,868700.0,5510.0
102,2017-06-02,5510.0,5530.0,5430.0,5460.0,893200.0,5460.0
103,2017-06-05,5450.0,5680.0,5450.0,5660.0,795400.0,5660.0
104,2017-06-06,5680.0,5810.0,5660.0,5760.0,1431200.0,5760.0
