,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1604.0,1626.0,1604.0,1625.0,341700.0,1625.0
1,2017-01-05,1629.0,1647.0,1626.0,1629.0,343600.0,1629.0
2,2017-01-06,1631.0,1644.0,1630.0,1639.0,220700.0,1639.0
3,2017-01-10,1649.0,1650.0,1632.0,1640.0,303700.0,1640.0
4,2017-01-11,1643.0,1646.0,1629.0,1633.0,277600.0,1633.0
5,2017-01-12,1650.0,1688.0,1647.0,1679.0,817300.0,1679.0
6,2017-01-13,1680.0,1740.0,1668.0,1716.0,824000.0,1716.0
7,2017-01-16,1717.0,1727.0,1695.0,1699.0,391200.0,1699.0
8,2017-01-17,1695.0,1696.0,1664.0,1667.0,391100.0,1667.0
9,2017-01-18,1665.0,1666.0,1636.0,1656.0,465300.0,1656.0
10,2017-01-19,1670.0,1678.0,1636.0,1640.0,551800.0,1640.0
11,2017-01-20,1640.0,1640.0,1627.0,1630.0,309600.0,1630.0
12,2017-01-23,1628.0,1629.0,1600.0,1601.0,573100.0,1601.0
13,2017-01-24,1602.0,1613.0,1598.0,1600.0,524600.0,1600.0
14,2017-01-25,1614.0,1618.0,1599.0,1604.0,440000.0,1604.0
15,2017-01-26,1610.0,1611.0,1600.0,1604.0,425300.0,1604.0
16,2017-01-27,1608.0,1614.0,1605.0,1609.0,368500.0,1609.0
17,2017-01-30,1611.0,1618.0,1610.0,1617.0,406400.0,1617.0
18,2017-01-31,1620.0,1632.0,1617.0,1627.0,377400.0,1627.0
19,2017-02-01,1629.0,1643.0,1629.0,1643.0,470200.0,1643.0
20,2017-02-02,1644.0,1646.0,1617.0,1620.0,604300.0,1620.0
21,2017-02-03,1637.0,1639.0,1618.0,1621.0,381100.0,1621.0
22,2017-02-06,1635.0,1636.0,1624.0,1628.0,295200.0,1628.0
23,2017-02-07,1630.0,1634.0,1624.0,1630.0,272000.0,1630.0
24,2017-02-08,1634.0,1638.0,1632.0,1637.0,286100.0,1637.0
25,2017-02-09,1643.0,1644.0,1633.0,1635.0,336400.0,1635.0
26,2017-02-10,1647.0,1657.0,1642.0,1657.0,448200.0,1657.0
27,2017-02-13,1675.0,1684.0,1668.0,1677.0,527600.0,1677.0
28,2017-02-14,1682.0,1683.0,1658.0,1660.0,517800.0,1660.0
29,2017-02-15,1675.0,1680.0,1662.0,1667.0,441900.0,1667.0
30,2017-02-16,1672.0,1677.0,1666.0,1667.0,405500.0,1667.0
31,2017-02-17,1672.0,1674.0,1662.0,1668.0,567400.0,1668.0
32,2017-02-20,1668.0,1677.0,1666.0,1666.0,1012300.0,1666.0
33,2017-02-21,1664.0,1674.0,1658.0,1661.0,847300.0,1661.0
34,2017-02-22,1667.0,1670.0,1649.0,1655.0,1110600.0,1655.0
35,2017-02-23,1653.0,1661.0,1652.0,1655.0,1468500.0,1655.0
36,2017-02-24,1629.0,1644.0,1628.0,1633.0,1426600.0,1633.0
37,2017-02-27,1630.0,1644.0,1629.0,1640.0,450100.0,1640.0
38,2017-02-28,1644.0,1655.0,1641.0,1646.0,511800.0,1646.0
39,2017-03-01,1646.0,1651.0,1631.0,1634.0,463000.0,1634.0
40,2017-03-02,1639.0,1642.0,1632.0,1635.0,391300.0,1635.0
41,2017-03-03,1640.0,1641.0,1621.0,1624.0,327100.0,1624.0
42,2017-03-06,1620.0,1626.0,1616.0,1616.0,295500.0,1616.0
43,2017-03-07,1612.0,1615.0,1601.0,1609.0,447700.0,1609.0
44,2017-03-08,1604.0,1608.0,1600.0,1606.0,349100.0,1606.0
45,2017-03-09,1608.0,1611.0,1604.0,1607.0,263300.0,1607.0
46,2017-03-10,1615.0,1619.0,1611.0,1615.0,351700.0,1615.0
47,2017-03-13,1623.0,1629.0,1620.0,1625.0,278000.0,1625.0
48,2017-03-14,1630.0,1647.0,1628.0,1641.0,383400.0,1641.0
49,2017-03-15,1635.0,1637.0,1622.0,1626.0,285600.0,1626.0
50,2017-03-16,1628.0,1647.0,1628.0,1643.0,349300.0,1643.0
51,2017-03-17,1637.0,1645.0,1631.0,1642.0,214600.0,1642.0
52,2017-03-21,1633.0,1648.0,1632.0,1646.0,280200.0,1646.0
53,2017-03-22,1630.0,1635.0,1615.0,1617.0,415100.0,1617.0
54,2017-03-23,1618.0,1633.0,1618.0,1630.0,230100.0,1630.0
55,2017-03-24,1615.0,1632.0,1615.0,1629.0,265800.0,1629.0
56,2017-03-27,1620.0,1627.0,1615.0,1624.0,225800.0,1624.0
57,2017-03-28,1620.0,1629.0,1620.0,1627.0,248300.0,1627.0
58,2017-03-29,1621.0,1626.0,1617.0,1623.0,272300.0,1623.0
