,日付,始値,高値,安値,終値,出来高,終値調整,前日比(率),翌日比(率),answer
0,2017-01-04,836.0,837.0,826.0,835.0,5077000.0,4175.0,0.0,0.0,0
1,2017-01-05,835.0,836.0,828.0,835.0,5317000.0,4175.0,0.0,-0.009489916963226541,1
2,2017-01-06,836.0,844.0,835.0,843.0,5559000.0,4215.0,0.009580838323353325,0.004767580452920139,-1
3,2017-01-10,843.0,843.0,835.0,839.0,4864000.0,4195.0,-0.004744958481613271,-0.008274231678486954,1
4,2017-01-11,842.0,846.0,835.0,846.0,4467000.0,4230.0,0.008343265792610355,0.020506634499396936,-1
5,2017-01-12,845.0,845.0,821.0,829.0,6375000.0,4145.0,-0.02009456264775411,-0.010739856801909253,1
6,2017-01-13,833.0,838.0,828.0,838.0,4176000.0,4190.0,0.010856453558504287,0.004796163069544335,-1
7,2017-01-16,835.0,840.0,830.0,834.0,3363000.0,4170.0,-0.004773269689737458,0.030902348578492056,-1
8,2017-01-17,830.0,831.0,808.0,809.0,6367000.0,4045.0,-0.029976019184652314,-0.002466091245376112,1
9,2017-01-18,811.0,818.0,803.0,811.0,6324000.0,4055.0,0.0024721878862794533,-0.006127450980392135,1
10,2017-01-19,819.0,820.0,811.0,816.0,6085000.0,4080.0,0.006165228113440113,-0.0024449877750610804,1
11,2017-01-20,814.0,819.0,811.0,818.0,3653000.0,4090.0,0.002450980392156854,0.011124845488257096,-1
12,2017-01-23,810.0,814.0,806.0,809.0,4851000.0,4045.0,-0.011002444987775029,0.003722084367245637,-1
13,2017-01-24,807.0,812.0,803.0,806.0,4564000.0,4030.0,-0.003708281829419069,-0.0012391573729864103,1
14,2017-01-25,816.0,820.0,805.0,807.0,4105000.0,4035.0,0.001240694789081953,-0.012239902080783405,1
15,2017-01-26,809.0,818.0,809.0,817.0,5469000.0,4085.0,0.012391573729863659,0.0024539877300613355,-1
16,2017-01-27,819.0,822.0,813.0,815.0,3829000.0,4075.0,-0.002447980416156681,0.004932182490752224,-1
17,2017-01-30,810.0,813.0,807.0,811.0,2820000.0,4055.0,-0.004907975460122671,0.01122194513715713,-1
18,2017-01-31,805.0,809.0,802.0,802.0,4774000.0,4010.0,-0.011097410604192337,-0.00496277915632759,1
19,2017-02-01,798.0,806.0,792.0,806.0,3495000.0,4030.0,0.004987531172069737,0.007500000000000062,-1
20,2017-02-02,802.0,808.0,799.0,800.0,6545000.0,4000.0,-0.007444168734491274,0.007556675062972307,-1
21,2017-02-03,801.0,803.0,793.0,794.0,5455000.0,3970.0,-0.007499999999999951,-0.0012578616352201255,1
22,2017-02-06,798.0,799.0,792.0,795.0,3708000.0,3975.0,0.0012594458438286438,-0.006249999999999978,1
23,2017-02-07,793.0,805.0,793.0,800.0,3765000.0,4000.0,0.0062893081761006275,0.011378002528444897,-1
24,2017-02-08,800.0,801.0,779.0,791.0,10555000.0,3955.0,-0.011249999999999982,-0.00877192982456143,1
25,2017-02-09,795.0,804.0,792.0,798.0,5521000.0,3990.0,0.008849557522123908,-0.01115241635687736,1
26,2017-02-10,806.0,812.0,801.0,807.0,5572000.0,4035.0,0.011278195488721776,-0.0073800738007380184,1
27,2017-02-13,809.0,814.0,803.0,813.0,3925000.0,4065.0,0.0074349442379182396,0.009937888198757738,-1
28,2017-02-14,815.0,820.0,803.0,805.0,5591000.0,4025.0,-0.009840098400983988,-0.012269938650306789,1
29,2017-02-15,811.0,819.0,809.0,815.0,4567000.0,4075.0,0.012422360248447228,0.006172839506172867,-1
30,2017-02-16,812.0,816.0,806.0,810.0,4024000.0,4050.0,-0.006134969325153339,0.006211180124223503,-1
