,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1182.5,1201.0,1180.0,1190.0,5927100.0,1190.0
1,2017-01-05,1186.0,1187.0,1148.5,1168.0,8302500.0,1168.0
2,2017-01-06,1139.0,1158.5,1131.0,1153.5,7737100.0,1153.5
3,2017-01-10,1141.5,1153.0,1136.0,1136.0,4807700.0,1136.0
4,2017-01-11,1140.5,1156.5,1133.5,1151.5,5587400.0,1151.5
5,2017-01-12,1143.0,1156.5,1134.5,1145.5,4831300.0,1145.5
6,2017-01-13,1130.5,1152.5,1130.5,1150.5,5257000.0,1150.5
7,2017-01-16,1144.5,1150.0,1127.0,1131.5,3200200.0,1131.5
8,2017-01-17,1136.0,1138.0,1117.0,1122.0,3625500.0,1122.0
9,2017-01-18,1116.0,1146.5,1112.0,1143.0,5458900.0,1143.0
10,2017-01-19,1143.0,1147.0,1128.0,1137.0,5497900.0,1137.0
11,2017-01-20,1142.0,1168.0,1142.0,1153.0,5285900.0,1153.0
12,2017-01-23,1136.0,1146.5,1130.5,1139.5,3346100.0,1139.5
13,2017-01-24,1125.5,1132.0,1111.0,1118.5,5355000.0,1118.5
14,2017-01-25,1129.0,1135.0,1120.0,1123.5,3524700.0,1123.5
15,2017-01-26,1135.0,1135.0,1059.5,1087.0,13356900.0,1087.0
16,2017-01-27,1117.0,1146.0,1113.5,1127.0,8386900.0,1127.0
17,2017-01-30,1110.0,1130.5,1108.0,1130.0,4409800.0,1130.0
18,2017-01-31,1105.0,1121.5,1104.0,1110.5,4164800.0,1110.5
19,2017-02-01,1105.0,1113.5,1093.0,1113.0,3350200.0,1113.0
20,2017-02-02,1092.0,1098.5,1078.5,1083.5,6625300.0,1083.5
21,2017-02-03,1095.0,1096.5,1077.5,1085.0,3710800.0,1085.0
22,2017-02-06,1101.5,1103.0,1083.0,1089.0,3904100.0,1089.0
23,2017-02-07,1071.5,1076.0,1062.5,1074.5,4316000.0,1074.5
24,2017-02-08,1065.0,1069.5,1052.0,1062.5,6153700.0,1062.5
25,2017-02-09,1070.0,1075.5,1059.0,1064.5,5010700.0,1064.5
26,2017-02-10,1088.5,1119.5,1086.5,1102.5,7308200.0,1102.5
27,2017-02-13,1150.0,1171.5,1140.5,1156.0,9542400.0,1156.0
28,2017-02-14,1148.0,1155.0,1138.0,1141.5,4759600.0,1141.5
29,2017-02-15,1164.0,1164.0,1138.5,1140.0,4127000.0,1140.0
30,2017-02-16,1135.5,1142.5,1127.5,1139.0,3792800.0,1139.0
