,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,836.0,837.0,826.0,835.0,5077000.0,4175.0
1,2017-01-05,835.0,836.0,828.0,835.0,5317000.0,4175.0
2,2017-01-06,836.0,844.0,835.0,843.0,5559000.0,4215.0
3,2017-01-10,843.0,843.0,835.0,839.0,4864000.0,4195.0
4,2017-01-11,842.0,846.0,835.0,846.0,4467000.0,4230.0
5,2017-01-12,845.0,845.0,821.0,829.0,6375000.0,4145.0
6,2017-01-13,833.0,838.0,828.0,838.0,4176000.0,4190.0
7,2017-01-16,835.0,840.0,830.0,834.0,3363000.0,4170.0
8,2017-01-17,830.0,831.0,808.0,809.0,6367000.0,4045.0
9,2017-01-18,811.0,818.0,803.0,811.0,6324000.0,4055.0
10,2017-01-19,819.0,820.0,811.0,816.0,6085000.0,4080.0
11,2017-01-20,814.0,819.0,811.0,818.0,3653000.0,4090.0
12,2017-01-23,810.0,814.0,806.0,809.0,4851000.0,4045.0
13,2017-01-24,807.0,812.0,803.0,806.0,4564000.0,4030.0
14,2017-01-25,816.0,820.0,805.0,807.0,4105000.0,4035.0
15,2017-01-26,809.0,818.0,809.0,817.0,5469000.0,4085.0
16,2017-01-27,819.0,822.0,813.0,815.0,3829000.0,4075.0
17,2017-01-30,810.0,813.0,807.0,811.0,2820000.0,4055.0
18,2017-01-31,805.0,809.0,802.0,802.0,4774000.0,4010.0
19,2017-02-01,798.0,806.0,792.0,806.0,3495000.0,4030.0
20,2017-02-02,802.0,808.0,799.0,800.0,6545000.0,4000.0
21,2017-02-03,801.0,803.0,793.0,794.0,5455000.0,3970.0
22,2017-02-06,798.0,799.0,792.0,795.0,3708000.0,3975.0
23,2017-02-07,793.0,805.0,793.0,800.0,3765000.0,4000.0
24,2017-02-08,800.0,801.0,779.0,791.0,10555000.0,3955.0
25,2017-02-09,795.0,804.0,792.0,798.0,5521000.0,3990.0
26,2017-02-10,806.0,812.0,801.0,807.0,5572000.0,4035.0
27,2017-02-13,809.0,814.0,803.0,813.0,3925000.0,4065.0
28,2017-02-14,815.0,820.0,803.0,805.0,5591000.0,4025.0
29,2017-02-15,811.0,819.0,809.0,815.0,4567000.0,4075.0
30,2017-02-16,812.0,816.0,806.0,810.0,4024000.0,4050.0
31,2017-02-17,807.0,810.0,802.0,805.0,3833000.0,4025.0
32,2017-02-20,804.0,807.0,796.0,806.0,3030000.0,4030.0
33,2017-02-21,807.0,811.0,802.0,805.0,3785000.0,4025.0
34,2017-02-22,801.0,802.0,795.0,797.0,4342000.0,3985.0
35,2017-02-23,792.0,797.0,785.0,797.0,5223000.0,3985.0
36,2017-02-24,792.0,796.0,788.0,791.0,4257000.0,3955.0
37,2017-02-27,783.0,786.0,778.0,783.0,6391000.0,3915.0
38,2017-02-28,788.0,798.0,787.0,788.0,7347000.0,3940.0
39,2017-03-01,793.0,799.0,788.0,798.0,5527000.0,3990.0
40,2017-03-02,803.0,807.0,800.0,805.0,4965000.0,4025.0
41,2017-03-03,805.0,810.0,801.0,804.0,5611000.0,4020.0
42,2017-03-06,800.0,801.0,796.0,799.0,2631000.0,3995.0
43,2017-03-07,796.0,799.0,795.0,796.0,3501000.0,3980.0
44,2017-03-08,795.0,805.0,795.0,805.0,5862000.0,4025.0
45,2017-03-09,809.0,810.0,802.0,807.0,4539000.0,4035.0
46,2017-03-10,812.0,815.0,807.0,811.0,5643000.0,4055.0
47,2017-03-13,810.0,819.0,808.0,817.0,4251000.0,4085.0
48,2017-03-14,816.0,824.0,813.0,822.0,4174000.0,4110.0
49,2017-03-15,821.0,832.0,821.0,824.0,3953000.0,4120.0
50,2017-03-16,831.0,833.0,827.0,831.0,5052000.0,4155.0
51,2017-03-17,827.0,828.0,820.0,821.0,4814000.0,4105.0
52,2017-03-21,819.0,825.0,816.0,822.0,2793000.0,4110.0
53,2017-03-22,813.0,825.0,812.0,819.0,4848000.0,4095.0
54,2017-03-23,817.0,818.0,811.0,814.0,3576000.0,4070.0
55,2017-03-24,818.0,830.0,816.0,829.0,5968000.0,4145.0
56,2017-03-27,838.0,843.0,826.0,834.0,9681000.0,4170.0
