,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3290.0,3320.0,3255.0,3260.0,729700.0,1630.0
1,2017-01-05,3245.0,3310.0,3210.0,3300.0,476400.0,1650.0
2,2017-01-06,3280.0,3395.0,3280.0,3385.0,693600.0,1692.5
3,2017-01-10,3385.0,3425.0,3355.0,3360.0,675800.0,1680.0
4,2017-01-11,3365.0,3380.0,3310.0,3315.0,394500.0,1657.5
5,2017-01-12,3325.0,3365.0,3305.0,3330.0,531600.0,1665.0
6,2017-01-13,3340.0,3410.0,3340.0,3390.0,557100.0,1695.0
7,2017-01-16,3390.0,3415.0,3375.0,3400.0,497400.0,1700.0
8,2017-01-17,3405.0,3415.0,3360.0,3365.0,466300.0,1682.5
9,2017-01-18,3330.0,3375.0,3315.0,3355.0,432100.0,1677.5
10,2017-01-19,3355.0,3400.0,3355.0,3380.0,367900.0,1690.0
11,2017-01-20,3410.0,3415.0,3365.0,3375.0,404700.0,1687.5
12,2017-01-23,3355.0,3385.0,3350.0,3355.0,441000.0,1677.5
13,2017-01-24,3375.0,3425.0,3370.0,3400.0,502400.0,1700.0
14,2017-01-25,3450.0,3470.0,3425.0,3455.0,572100.0,1727.5
15,2017-01-26,3480.0,3495.0,3460.0,3495.0,539600.0,1747.5
16,2017-01-27,3500.0,3520.0,3475.0,3500.0,535900.0,1750.0
17,2017-01-30,3570.0,3575.0,3515.0,3575.0,817300.0,1787.5
18,2017-01-31,3250.0,3340.0,3185.0,3285.0,2352600.0,1642.5
19,2017-02-01,3245.0,3325.0,3190.0,3325.0,902300.0,1662.5
20,2017-02-02,3330.0,3425.0,3325.0,3370.0,1339700.0,1685.0
21,2017-02-03,3385.0,3430.0,3360.0,3370.0,687800.0,1685.0
22,2017-02-06,3430.0,3430.0,3340.0,3360.0,528400.0,1680.0
23,2017-02-07,3400.0,3400.0,3305.0,3320.0,511000.0,1660.0
24,2017-02-08,3345.0,3360.0,3295.0,3355.0,363000.0,1677.5
25,2017-02-09,3350.0,3415.0,3345.0,3380.0,439800.0,1690.0
26,2017-02-10,3430.0,3460.0,3400.0,3430.0,652800.0,1715.0
27,2017-02-13,3475.0,3480.0,3440.0,3465.0,343200.0,1732.5
28,2017-02-14,3500.0,3535.0,3450.0,3450.0,567200.0,1725.0
29,2017-02-15,3495.0,3495.0,3425.0,3440.0,446400.0,1720.0
30,2017-02-16,3410.0,3445.0,3390.0,3415.0,410200.0,1707.5
31,2017-02-17,3440.0,3470.0,3410.0,3435.0,392700.0,1717.5
32,2017-02-20,3410.0,3450.0,3405.0,3435.0,290400.0,1717.5
33,2017-02-21,3455.0,3460.0,3430.0,3445.0,367600.0,1722.5
34,2017-02-22,3455.0,3480.0,3435.0,3470.0,306200.0,1735.0
35,2017-02-23,3475.0,3475.0,3435.0,3455.0,315000.0,1727.5
36,2017-02-24,3430.0,3485.0,3430.0,3460.0,304100.0,1730.0
37,2017-02-27,3425.0,3465.0,3420.0,3445.0,301400.0,1722.5
38,2017-02-28,3445.0,3500.0,3445.0,3445.0,382800.0,1722.5
39,2017-03-01,3445.0,3485.0,3410.0,3480.0,334700.0,1740.0
40,2017-03-02,3500.0,3510.0,3460.0,3500.0,303200.0,1750.0
41,2017-03-03,3480.0,3515.0,3460.0,3480.0,301000.0,1740.0
42,2017-03-06,3480.0,3510.0,3465.0,3485.0,244200.0,1742.5
43,2017-03-07,3495.0,3500.0,3470.0,3495.0,207500.0,1747.5
44,2017-03-08,3480.0,3505.0,3460.0,3495.0,279200.0,1747.5
45,2017-03-09,3505.0,3510.0,3485.0,3485.0,299800.0,1742.5
46,2017-03-10,3500.0,3535.0,3490.0,3525.0,499000.0,1762.5
47,2017-03-13,3530.0,3565.0,3500.0,3505.0,517100.0,1752.5
48,2017-03-14,3505.0,3515.0,3475.0,3495.0,295300.0,1747.5
49,2017-03-15,3495.0,3510.0,3475.0,3495.0,238400.0,1747.5
50,2017-03-16,3480.0,3535.0,3475.0,3530.0,413300.0,1765.0
51,2017-03-17,3525.0,3640.0,3515.0,3630.0,732900.0,1815.0
52,2017-03-21,3655.0,3685.0,3600.0,3650.0,554900.0,1825.0
53,2017-03-22,3580.0,3730.0,3575.0,3695.0,669400.0,1847.5
54,2017-03-23,3710.0,3740.0,3665.0,3685.0,597200.0,1842.5
55,2017-03-24,3685.0,3745.0,3680.0,3700.0,500300.0,1850.0
56,2017-03-27,3690.0,3705.0,3650.0,3670.0,524200.0,1835.0
57,2017-03-28,3690.0,3725.0,3675.0,3710.0,659700.0,1855.0
