,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,9200.0,9240.0,9130.0,9220.0,458600.0,9220.0
1,2017-01-05,9180.0,9220.0,9130.0,9160.0,399700.0,9160.0
2,2017-01-06,9200.0,9350.0,9180.0,9310.0,615600.0,9310.0
3,2017-01-10,9300.0,9320.0,9140.0,9170.0,676000.0,9170.0
4,2017-01-11,9170.0,9200.0,9100.0,9100.0,432900.0,9100.0
5,2017-01-12,9160.0,9170.0,8980.0,9000.0,716200.0,9000.0
6,2017-01-13,9040.0,9200.0,9020.0,9120.0,684500.0,9120.0
7,2017-01-16,9130.0,9180.0,9090.0,9130.0,394300.0,9130.0
8,2017-01-17,9160.0,9160.0,8980.0,8980.0,447300.0,8980.0
9,2017-01-18,8990.0,9010.0,8830.0,8860.0,521800.0,8860.0
10,2017-01-19,8900.0,9010.0,8810.0,8810.0,750100.0,8810.0
11,2017-01-20,8830.0,8870.0,8750.0,8770.0,728100.0,8770.0
12,2017-01-23,8750.0,8780.0,8630.0,8650.0,651600.0,8650.0
13,2017-01-24,8700.0,8820.0,8690.0,8750.0,605800.0,8750.0
14,2017-01-25,8830.0,8850.0,8710.0,8740.0,463400.0,8740.0
15,2017-01-26,8750.0,8820.0,8720.0,8810.0,605800.0,8810.0
16,2017-01-27,8810.0,8870.0,8790.0,8840.0,494700.0,8840.0
17,2017-01-30,8840.0,8860.0,8750.0,8810.0,382400.0,8810.0
18,2017-01-31,8780.0,8830.0,8740.0,8740.0,448800.0,8740.0
19,2017-02-01,8750.0,8850.0,8750.0,8820.0,447900.0,8820.0
20,2017-02-02,8780.0,8810.0,8740.0,8750.0,382400.0,8750.0
21,2017-02-03,8770.0,8850.0,8760.0,8830.0,447800.0,8830.0
22,2017-02-06,8840.0,8860.0,8710.0,8720.0,357800.0,8720.0
23,2017-02-07,8710.0,8760.0,8670.0,8740.0,340100.0,8740.0
24,2017-02-08,8900.0,8940.0,8670.0,8680.0,1104700.0,8680.0
25,2017-02-09,8700.0,8790.0,8690.0,8760.0,486500.0,8760.0
26,2017-02-10,8830.0,8850.0,8780.0,8800.0,519100.0,8800.0
27,2017-02-13,8870.0,9030.0,8860.0,8970.0,719500.0,8970.0
28,2017-02-14,8970.0,8990.0,8810.0,8810.0,521300.0,8810.0
29,2017-02-15,8880.0,8900.0,8760.0,8790.0,394100.0,8790.0
30,2017-02-16,8790.0,8790.0,8670.0,8680.0,539200.0,8680.0
31,2017-02-17,8680.0,8720.0,8610.0,8690.0,545700.0,8690.0
32,2017-02-20,8690.0,8700.0,8640.0,8670.0,317400.0,8670.0
33,2017-02-21,8670.0,8730.0,8660.0,8700.0,260000.0,8700.0
34,2017-02-22,8710.0,8730.0,8670.0,8700.0,280700.0,8700.0
35,2017-02-23,8730.0,8800.0,8710.0,8800.0,395500.0,8800.0
36,2017-02-24,8890.0,9060.0,8880.0,8950.0,1149400.0,8950.0
37,2017-02-27,8940.0,9100.0,8930.0,9070.0,760800.0,9070.0
38,2017-02-28,9070.0,9100.0,8980.0,8980.0,566500.0,8980.0
39,2017-03-01,8980.0,9070.0,8960.0,9040.0,450600.0,9040.0
40,2017-03-02,9090.0,9140.0,9020.0,9090.0,594400.0,9090.0
41,2017-03-03,9100.0,9180.0,9000.0,9040.0,675200.0,9040.0
42,2017-03-06,9010.0,9060.0,8970.0,9030.0,354100.0,9030.0
43,2017-03-07,9030.0,9120.0,9020.0,9070.0,462200.0,9070.0
44,2017-03-08,9060.0,9090.0,9010.0,9020.0,488100.0,9020.0
45,2017-03-09,9020.0,9050.0,8990.0,9030.0,385900.0,9030.0
46,2017-03-10,9110.0,9270.0,9100.0,9220.0,858700.0,9220.0
47,2017-03-13,9240.0,9330.0,9220.0,9290.0,447700.0,9290.0
48,2017-03-14,9300.0,9390.0,9290.0,9380.0,499400.0,9380.0
