,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1800.0,1828.0,1797.0,1800.0,130700.0,450.0
1,2017-01-05,1808.0,1832.0,1789.0,1825.0,128000.0,456.3
2,2017-01-06,1823.0,1867.0,1813.0,1855.0,166100.0,463.8
3,2017-01-10,1870.0,1878.0,1814.0,1830.0,121700.0,457.5
4,2017-01-11,1846.0,1846.0,1792.0,1796.0,130600.0,449.0
5,2017-01-12,1790.0,1796.0,1741.0,1759.0,196800.0,439.8
6,2017-01-13,1758.0,1796.0,1743.0,1786.0,137200.0,446.5
7,2017-01-16,1786.0,1810.0,1746.0,1764.0,109700.0,441.0
8,2017-01-17,1753.0,1764.0,1725.0,1734.0,99200.0,433.5
9,2017-01-18,1709.0,1750.0,1709.0,1741.0,68600.0,435.3
10,2017-01-19,1742.0,1756.0,1726.0,1729.0,75600.0,432.3
11,2017-01-20,1730.0,1746.0,1719.0,1735.0,82300.0,433.8
12,2017-01-23,1727.0,1748.0,1720.0,1733.0,68000.0,433.3
13,2017-01-24,1721.0,1802.0,1686.0,1787.0,204600.0,446.8
14,2017-01-25,1808.0,1816.0,1791.0,1809.0,110800.0,452.3
15,2017-01-26,1808.0,1844.0,1808.0,1824.0,160300.0,456.0
16,2017-01-27,1830.0,1831.0,1775.0,1801.0,114300.0,450.3
17,2017-01-30,1791.0,1814.0,1775.0,1802.0,69500.0,450.5
18,2017-01-31,1800.0,1818.0,1784.0,1811.0,160200.0,452.8
19,2017-02-01,1803.0,1824.0,1787.0,1810.0,154200.0,452.5
20,2017-02-02,1794.0,1817.0,1780.0,1780.0,160300.0,445.0
21,2017-02-03,1670.0,1693.0,1631.0,1678.0,522300.0,419.5
22,2017-02-06,1688.0,1700.0,1666.0,1686.0,217000.0,421.5
23,2017-02-07,1683.0,1683.0,1627.0,1628.0,243400.0,407.0
24,2017-02-08,1630.0,1636.0,1612.0,1633.0,138400.0,408.3
25,2017-02-09,1618.0,1631.0,1596.0,1623.0,201500.0,405.8
26,2017-02-10,1630.0,1641.0,1610.0,1623.0,178300.0,405.8
27,2017-02-13,1623.0,1662.0,1617.0,1661.0,181700.0,415.3
28,2017-02-14,1674.0,1677.0,1642.0,1647.0,131500.0,411.8
29,2017-02-15,1649.0,1656.0,1626.0,1628.0,144000.0,407.0
30,2017-02-16,1630.0,1634.0,1614.0,1627.0,97600.0,406.8
31,2017-02-17,1619.0,1644.0,1611.0,1635.0,82500.0,408.8
32,2017-02-20,1647.0,1647.0,1620.0,1630.0,59900.0,407.5
33,2017-02-21,1639.0,1652.0,1621.0,1645.0,101500.0,411.3
34,2017-02-22,1640.0,1642.0,1622.0,1631.0,80600.0,407.8
35,2017-02-23,1629.0,1642.0,1628.0,1634.0,61100.0,408.5
36,2017-02-24,1633.0,1638.0,1618.0,1628.0,71300.0,407.0
37,2017-02-27,1624.0,1634.0,1614.0,1625.0,90000.0,406.3
38,2017-02-28,1641.0,1646.0,1630.0,1641.0,150200.0,410.3
39,2017-03-01,1635.0,1669.0,1630.0,1666.0,195100.0,416.5
40,2017-03-02,1670.0,1676.0,1655.0,1665.0,148400.0,416.3
41,2017-03-03,1675.0,1684.0,1666.0,1680.0,129500.0,420.0
42,2017-03-06,1689.0,1714.0,1686.0,1694.0,159600.0,423.5
43,2017-03-07,1710.0,1719.0,1696.0,1704.0,156900.0,426.0
44,2017-03-08,1710.0,1732.0,1698.0,1703.0,106900.0,425.8
45,2017-03-09,1710.0,1710.0,1684.0,1696.0,76200.0,424.0
46,2017-03-10,1703.0,1711.0,1689.0,1695.0,135100.0,423.8
47,2017-03-13,1695.0,1697.0,1674.0,1685.0,93600.0,421.3
48,2017-03-14,1691.0,1703.0,1682.0,1696.0,89100.0,424.0
49,2017-03-15,1704.0,1708.0,1685.0,1689.0,70900.0,422.3
50,2017-03-16,1680.0,1691.0,1673.0,1690.0,77900.0,422.5
51,2017-03-17,1680.0,1691.0,1679.0,1691.0,61500.0,422.8
52,2017-03-21,1691.0,1704.0,1673.0,1702.0,63800.0,425.5
53,2017-03-22,1678.0,1690.0,1666.0,1678.0,89100.0,419.5
54,2017-03-23,1675.0,1679.0,1660.0,1672.0,78800.0,418.0
55,2017-03-24,1676.0,1700.0,1665.0,1697.0,70200.0,424.3
