,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2689.0,2691.0,2651.0,2669.0,120600.0,2669.0
1,2017-01-05,2690.0,2718.0,2665.0,2707.0,152200.0,2707.0
2,2017-01-06,2715.0,2748.0,2696.0,2731.0,174100.0,2731.0
3,2017-01-10,2741.0,2771.0,2707.0,2718.0,147100.0,2718.0
4,2017-01-11,2719.0,2719.0,2670.0,2686.0,125000.0,2686.0
5,2017-01-12,2685.0,2712.0,2651.0,2678.0,97900.0,2678.0
6,2017-01-13,2654.0,2723.0,2654.0,2680.0,94000.0,2680.0
7,2017-01-16,2706.0,2709.0,2671.0,2691.0,95800.0,2691.0
8,2017-01-17,2671.0,2708.0,2646.0,2695.0,133700.0,2695.0
9,2017-01-18,2676.0,2704.0,2656.0,2701.0,93100.0,2701.0
10,2017-01-19,2722.0,2746.0,2700.0,2720.0,132300.0,2720.0
11,2017-01-20,2697.0,2715.0,2675.0,2699.0,66900.0,2699.0
12,2017-01-23,2690.0,2716.0,2676.0,2701.0,47500.0,2701.0
13,2017-01-24,2700.0,2732.0,2687.0,2712.0,54000.0,2712.0
14,2017-01-25,2734.0,2748.0,2698.0,2748.0,98300.0,2748.0
15,2017-01-26,2798.0,2866.0,2798.0,2849.0,275200.0,2849.0
16,2017-01-27,2849.0,2849.0,2789.0,2833.0,143200.0,2833.0
17,2017-01-30,2801.0,2883.0,2800.0,2880.0,157200.0,2880.0
18,2017-01-31,2910.0,3010.0,2891.0,2998.0,435600.0,2998.0
19,2017-02-01,2993.0,3115.0,2987.0,3050.0,246600.0,3050.0
20,2017-02-02,3060.0,3130.0,3040.0,3055.0,184800.0,3055.0
21,2017-02-03,3030.0,3075.0,2934.0,2965.0,179300.0,2965.0
22,2017-02-06,3005.0,3145.0,3000.0,3140.0,261100.0,3140.0
23,2017-02-07,3105.0,3170.0,3055.0,3135.0,147300.0,3135.0
24,2017-02-08,3125.0,3240.0,3120.0,3220.0,216900.0,3220.0
25,2017-02-09,3225.0,3400.0,3225.0,3295.0,319900.0,3295.0
26,2017-02-10,3330.0,3410.0,3270.0,3355.0,134700.0,3355.0
27,2017-02-13,3390.0,3420.0,3335.0,3365.0,113200.0,3365.0
28,2017-02-14,3365.0,3365.0,3305.0,3320.0,106900.0,3320.0
29,2017-02-15,3330.0,3345.0,3275.0,3305.0,89700.0,3305.0
30,2017-02-16,3305.0,3305.0,3170.0,3245.0,238600.0,3245.0
31,2017-02-17,3230.0,3385.0,3200.0,3370.0,141400.0,3370.0
32,2017-02-20,3350.0,3365.0,3295.0,3310.0,71800.0,3310.0
33,2017-02-21,3310.0,3450.0,3305.0,3435.0,164200.0,3435.0
34,2017-02-22,3425.0,3435.0,3350.0,3420.0,121000.0,3420.0
35,2017-02-23,3355.0,3400.0,3305.0,3345.0,136500.0,3345.0
36,2017-02-24,3345.0,3370.0,3305.0,3330.0,113400.0,3330.0
37,2017-02-27,3345.0,3385.0,3300.0,3305.0,95000.0,3305.0
38,2017-02-28,3325.0,3325.0,3265.0,3275.0,70400.0,3275.0
39,2017-03-01,3275.0,3295.0,3225.0,3280.0,84400.0,3280.0
40,2017-03-02,3340.0,3350.0,3240.0,3245.0,159000.0,3245.0
41,2017-03-03,3265.0,3350.0,3255.0,3285.0,196400.0,3285.0
42,2017-03-06,3350.0,3385.0,3300.0,3305.0,173100.0,3305.0
43,2017-03-07,3320.0,3320.0,3270.0,3285.0,71900.0,3285.0
44,2017-03-08,3280.0,3340.0,3230.0,3340.0,152100.0,3340.0
45,2017-03-09,3310.0,3340.0,3275.0,3325.0,99500.0,3325.0
46,2017-03-10,3340.0,3350.0,3300.0,3305.0,65500.0,3305.0
47,2017-03-13,3320.0,3410.0,3285.0,3295.0,143200.0,3295.0
48,2017-03-14,3305.0,3320.0,3265.0,3315.0,74900.0,3315.0
49,2017-03-15,3295.0,3295.0,3220.0,3245.0,81600.0,3245.0
50,2017-03-16,3210.0,3250.0,3185.0,3250.0,50900.0,3250.0
51,2017-03-17,3250.0,3255.0,3190.0,3210.0,83300.0,3210.0
52,2017-03-21,3155.0,3175.0,3145.0,3170.0,66200.0,3170.0
53,2017-03-22,3100.0,3155.0,3100.0,3125.0,75500.0,3125.0
54,2017-03-23,3095.0,3140.0,3095.0,3115.0,48000.0,3115.0
55,2017-03-24,3255.0,3255.0,3005.0,3045.0,484800.0,3045.0
56,2017-03-27,3025.0,3070.0,3005.0,3045.0,107400.0,3045.0
57,2017-03-28,3060.0,3085.0,3020.0,3085.0,99000.0,3085.0
