,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1940.0,1951.0,1918.0,1928.0,1074900.0,1928.0
1,2017-01-05,1927.0,1969.0,1922.0,1960.0,1084200.0,1960.0
2,2017-01-06,1969.0,2019.0,1967.0,2008.0,1048500.0,2008.0
3,2017-01-10,2019.0,2036.0,1981.0,1986.0,1053700.0,1986.0
4,2017-01-11,1955.0,1974.0,1949.0,1966.0,1286200.0,1966.0
5,2017-01-12,1974.0,1985.0,1951.0,1956.0,756200.0,1956.0
6,2017-01-13,1961.0,2004.0,1959.0,1984.0,973400.0,1984.0
7,2017-01-16,1978.0,2011.0,1974.0,1980.0,848500.0,1980.0
8,2017-01-17,1974.0,1982.0,1954.0,1959.0,989000.0,1959.0
9,2017-01-18,1935.0,1967.0,1926.0,1960.0,650500.0,1960.0
10,2017-01-19,1953.0,1973.0,1937.0,1962.0,835800.0,1962.0
11,2017-01-20,1952.0,1978.0,1952.0,1970.0,1062200.0,1970.0
12,2017-01-23,1962.0,1975.0,1951.0,1964.0,1052100.0,1964.0
13,2017-01-24,1952.0,1982.0,1940.0,1974.0,859100.0,1974.0
14,2017-01-25,1999.0,2042.0,1993.0,2031.0,1432900.0,2031.0
15,2017-01-26,2050.0,2051.0,2035.0,2041.0,977700.0,2041.0
16,2017-01-27,2054.0,2082.0,2045.0,2056.0,932900.0,2056.0
17,2017-01-30,2044.0,2051.0,2027.0,2042.0,570700.0,2042.0
18,2017-01-31,2021.0,2057.0,2013.0,2044.0,1458300.0,2044.0
19,2017-02-01,2030.0,2042.0,1990.0,1993.0,1444400.0,1993.0
20,2017-02-02,1990.0,2014.0,1701.0,1726.0,8315100.0,1726.0
21,2017-02-03,1727.0,1729.0,1600.0,1607.0,14618200.0,1607.0
22,2017-02-06,1625.0,1646.0,1600.0,1608.0,4896900.0,1608.0
23,2017-02-07,1600.0,1600.0,1576.0,1586.0,3186000.0,1586.0
24,2017-02-08,1604.0,1630.0,1604.0,1624.0,2650400.0,1624.0
25,2017-02-09,1626.0,1629.0,1600.0,1601.0,1939800.0,1601.0
26,2017-02-10,1615.0,1617.0,1591.0,1600.0,1808400.0,1600.0
27,2017-02-13,1608.0,1625.0,1603.0,1622.0,1848200.0,1622.0
28,2017-02-14,1630.0,1653.0,1629.0,1639.0,2239100.0,1639.0
29,2017-02-15,1648.0,1660.0,1623.0,1629.0,2009000.0,1629.0
30,2017-02-16,1629.0,1637.0,1620.0,1624.0,1663600.0,1624.0
31,2017-02-17,1625.0,1630.0,1609.0,1628.0,1554200.0,1628.0
32,2017-02-20,1626.0,1628.0,1603.0,1613.0,1297500.0,1613.0
33,2017-02-21,1613.0,1628.0,1611.0,1621.0,1151000.0,1621.0
34,2017-02-22,1617.0,1628.0,1608.0,1619.0,1202600.0,1619.0
35,2017-02-23,1619.0,1624.0,1608.0,1623.0,986000.0,1623.0
36,2017-02-24,1622.0,1637.0,1617.0,1626.0,1333400.0,1626.0
37,2017-02-27,1629.0,1639.0,1618.0,1627.0,869200.0,1627.0
38,2017-02-28,1634.0,1643.0,1621.0,1622.0,1341400.0,1622.0
39,2017-03-01,1622.0,1646.0,1622.0,1644.0,1496000.0,1644.0
40,2017-03-02,1666.0,1682.0,1653.0,1679.0,2619600.0,1679.0
41,2017-03-03,1681.0,1683.0,1639.0,1648.0,1703200.0,1648.0
42,2017-03-06,1647.0,1652.0,1631.0,1646.0,1320600.0,1646.0
43,2017-03-07,1650.0,1650.0,1632.0,1639.0,1930200.0,1639.0
44,2017-03-08,1637.0,1646.0,1626.0,1630.0,1200000.0,1630.0
45,2017-03-09,1630.0,1642.0,1624.0,1641.0,888100.0,1641.0
46,2017-03-10,1629.0,1644.0,1621.0,1630.0,1756600.0,1630.0
47,2017-03-13,1631.0,1638.0,1615.0,1618.0,1511500.0,1618.0
48,2017-03-14,1614.0,1616.0,1593.0,1597.0,2031200.0,1597.0
49,2017-03-15,1600.0,1629.0,1596.0,1626.0,1406000.0,1626.0
50,2017-03-16,1643.0,1661.0,1633.0,1653.0,2321600.0,1653.0
51,2017-03-17,1636.0,1640.0,1617.0,1633.0,1915600.0,1633.0
52,2017-03-21,1633.0,1642.0,1623.0,1625.0,1072500.0,1625.0
53,2017-03-22,1603.0,1624.0,1601.0,1622.0,1377500.0,1622.0
54,2017-03-23,1603.0,1614.0,1508.0,1527.0,4328200.0,1527.0
55,2017-03-24,1536.0,1574.0,1536.0,1569.0,2008100.0,1569.0
56,2017-03-27,1554.0,1562.0,1533.0,1537.0,1035900.0,1537.0
57,2017-03-28,1550.0,1563.0,1543.0,1560.0,1185100.0,1560.0
58,2017-03-29,1543.0,1554.0,1526.0,1534.0,1967500.0,1534.0
59,2017-03-30,1534.0,1539.0,1507.0,1519.0,1412000.0,1519.0
60,2017-03-31,1520.0,1537.0,1512.0,1515.0,1087800.0,1515.0
61,2017-04-03,1515.0,1564.0,1515.0,1551.0,1516000.0,1551.0
62,2017-04-04,1564.0,1566.0,1524.0,1532.0,1608900.0,1532.0
63,2017-04-05,1535.0,1571.0,1534.0,1566.0,1539000.0,1566.0
64,2017-04-06,1560.0,1574.0,1547.0,1566.0,1700800.0,1566.0
65,2017-04-07,1570.0,1593.0,1557.0,1585.0,1732800.0,1585.0
66,2017-04-10,1605.0,1615.0,1588.0,1597.0,1342600.0,1597.0
67,2017-04-11,1582.0,1605.0,1577.0,1596.0,1119100.0,1596.0
68,2017-04-12,1590.0,1599.0,1574.0,1581.0,1182600.0,1581.0
69,2017-04-13,1572.0,1592.0,1555.0,1564.0,1576800.0,1564.0
70,2017-04-14,1560.0,1580.0,1549.0,1552.0,867200.0,1552.0
71,2017-04-17,1549.0,1608.0,1548.0,1599.0,1441700.0,1599.0
72,2017-04-18,1604.0,1614.0,1577.0,1589.0,1136400.0,1589.0
73,2017-04-19,1586.0,1608.0,1585.0,1597.0,1245700.0,1597.0
74,2017-04-20,1593.0,1597.0,1573.0,1586.0,1258300.0,1586.0
75,2017-04-21,1587.0,1599.0,1581.0,1590.0,1250200.0,1590.0
76,2017-04-24,1595.0,1624.0,1592.0,1620.0,1372500.0,1620.0
77,2017-04-25,1620.0,1620.0,1605.0,1615.0,1021200.0,1615.0
78,2017-04-26,1627.0,1637.0,1618.0,1629.0,1246300.0,1629.0
79,2017-04-27,1621.0,1633.0,1612.0,1619.0,1732200.0,1619.0
80,2017-04-28,1614.0,1622.0,1598.0,1607.0,1360900.0,1607.0
81,2017-05-01,1588.0,1610.0,1586.0,1603.0,1563400.0,1603.0
82,2017-05-02,1612.0,1623.0,1608.0,1620.0,1281500.0,1620.0
83,2017-05-08,1635.0,1673.0,1629.0,1651.0,2612900.0,1651.0
84,2017-05-09,1656.0,1677.0,1642.0,1670.0,1973200.0,1670.0
85,2017-05-10,1673.0,1704.0,1567.0,1586.0,5387800.0,1586.0
86,2017-05-11,1554.0,1554.0,1493.0,1503.0,5684700.0,1503.0
87,2017-05-12,1510.0,1511.0,1477.0,1493.0,3207100.0,1493.0
88,2017-05-15,1498.0,1540.0,1490.0,1537.0,2191500.0,1537.0
89,2017-05-16,1546.0,1550.0,1528.0,1544.0,1762500.0,1544.0
90,2017-05-17,1510.0,1518.0,1484.0,1515.0,2155000.0,1515.0
91,2017-05-18,1493.0,1517.0,1492.0,1513.0,1380500.0,1513.0
92,2017-05-19,1529.0,1540.0,1520.0,1540.0,1803600.0,1540.0
93,2017-05-22,1547.0,1573.0,1545.0,1561.0,2148700.0,1561.0
94,2017-05-23,1561.0,1590.0,1546.0,1551.0,1947800.0,1551.0
95,2017-05-24,1557.0,1574.0,1550.0,1571.0,895000.0,1571.0
96,2017-05-25,1582.0,1598.0,1578.0,1587.0,1358300.0,1587.0
97,2017-05-26,1589.0,1596.0,1569.0,1570.0,963200.0,1570.0
98,2017-05-29,1569.0,1582.0,1558.0,1572.0,745200.0,1572.0
99,2017-05-30,1567.0,1585.0,1555.0,1581.0,996100.0,1581.0
100,2017-05-31,1576.0,1593.0,1571.0,1577.0,1107500.0,1577.0
101,2017-06-01,1545.0,1601.0,1542.0,1599.0,3379300.0,1599.0
102,2017-06-02,1607.0,1638.0,1607.0,1626.0,3010600.0,1626.0
103,2017-06-05,1620.0,1621.0,1602.0,1618.0,1126400.0,1618.0
104,2017-06-06,1613.0,1615.0,1576.0,1577.0,1262600.0,1577.0
105,2017-06-07,1589.0,1598.0,1577.0,1596.0,1008600.0,1596.0
106,2017-06-08,1597.0,1605.0,1594.0,1594.0,1151400.0,1594.0
107,2017-06-09,1592.0,1603.0,1560.0,1561.0,1078600.0,1561.0
108,2017-06-12,1557.0,1575.0,1543.0,1573.0,1088000.0,1573.0
109,2017-06-13,1551.0,1571.0,1550.0,1562.0,1164600.0,1562.0
110,2017-06-14,1568.0,1574.0,1560.0,1560.0,671800.0,1560.0
111,2017-06-15,1561.0,1573.0,1555.0,1566.0,838800.0,1566.0
112,2017-06-16,1565.0,1574.0,1556.0,1562.0,930200.0,1562.0
113,2017-06-19,1558.0,1601.0,1557.0,1598.0,1170100.0,1598.0
114,2017-06-20,1600.0,1602.0,1589.0,1593.0,1081500.0,1593.0
115,2017-06-21,1590.0,1602.0,1583.0,1596.0,1051500.0,1596.0
116,2017-06-22,1596.0,1601.0,1582.0,1583.0,993500.0,1583.0
117,2017-06-23,1578.0,1600.0,1572.0,1592.0,1191200.0,1592.0
118,2017-06-26,1592.0,1609.0,1584.0,1606.0,1078600.0,1606.0
119,2017-06-27,1612.0,1619.0,1596.0,1608.0,1120300.0,1608.0
120,2017-06-28,1603.0,1622.0,1593.0,1598.0,1231600.0,1598.0
121,2017-06-29,1609.0,1628.0,1606.0,1628.0,1406100.0,1628.0
122,2017-06-30,1614.0,1622.0,1604.0,1613.0,1295800.0,1613.0
123,2017-07-03,1606.0,1610.0,1585.0,1595.0,1384600.0,1595.0
124,2017-07-04,1605.0,1609.0,1582.0,1592.0,1253400.0,1592.0
125,2017-07-05,1593.0,1610.0,1582.0,1607.0,971900.0,1607.0
126,2017-07-06,1600.0,1639.0,1600.0,1634.0,1882800.0,1634.0
127,2017-07-07,1625.0,1643.0,1617.0,1636.0,1362600.0,1636.0
128,2017-07-10,1644.0,1671.0,1632.0,1670.0,1449000.0,1670.0
129,2017-07-11,1677.0,1682.0,1666.0,1677.0,1289400.0,1677.0
130,2017-07-12,1659.0,1660.0,1641.0,1648.0,1100500.0,1648.0
131,2017-07-13,1657.0,1665.0,1652.0,1657.0,835200.0,1657.0
132,2017-07-14,1649.0,1664.0,1640.0,1658.0,570900.0,1658.0
133,2017-07-18,1645.0,1652.0,1639.0,1641.0,638500.0,1641.0
134,2017-07-19,1647.0,1656.0,1632.0,1634.0,983900.0,1634.0
135,2017-07-20,1616.0,1638.0,1615.0,1636.0,817200.0,1636.0
136,2017-07-21,1631.0,1636.0,1607.0,1607.0,1028000.0,1607.0
137,2017-07-24,1605.0,1606.0,1583.0,1587.0,1181100.0,1587.0
138,2017-07-25,1580.0,1599.0,1579.0,1591.0,697600.0,1591.0
139,2017-07-26,1590.0,1593.0,1581.0,1589.0,697100.0,1589.0
140,2017-07-27,1592.0,1603.0,1581.0,1593.0,827000.0,1593.0
141,2017-07-28,1577.0,1577.0,1560.0,1563.0,1480200.0,1563.0
142,2017-07-31,1559.0,1563.0,1548.0,1557.0,1321800.0,1557.0
143,2017-08-01,1538.0,1539.0,1504.0,1510.0,1816800.0,1510.0
144,2017-08-02,1510.0,1511.0,1441.0,1447.0,4538200.0,1447.0
145,2017-08-03,1375.0,1400.0,1354.0,1372.0,6065200.0,1372.0
146,2017-08-04,1360.0,1377.0,1347.0,1371.0,4001100.0,1371.0
147,2017-08-07,1371.0,1377.0,1359.0,1362.0,2077900.0,1362.0
148,2017-08-08,1351.0,1367.0,1349.0,1365.0,2163100.0,1365.0
149,2017-08-09,1355.0,1356.0,1333.0,1337.0,2201100.0,1337.0
150,2017-08-10,1331.0,1337.0,1310.0,1316.0,1563200.0,1316.0
151,2017-08-14,1298.0,1306.0,1286.0,1298.0,1572500.0,1298.0
152,2017-08-15,1301.0,1312.0,1295.0,1306.0,1491300.0,1306.0
153,2017-08-16,1302.0,1326.0,1295.0,1323.0,1995600.0,1323.0
154,2017-08-17,1355.0,1370.0,1342.0,1370.0,3898100.0,1370.0
155,2017-08-18,1367.0,1368.0,1350.0,1363.0,2037200.0,1363.0
156,2017-08-21,1375.0,1380.0,1348.0,1352.0,2050700.0,1352.0
157,2017-08-22,1347.0,1363.0,1335.0,1342.0,1640000.0,1342.0
158,2017-08-23,1352.0,1358.0,1341.0,1352.0,1144100.0,1352.0
159,2017-08-24,1351.0,1366.0,1349.0,1364.0,1317000.0,1364.0
160,2017-08-25,1368.0,1375.0,1360.0,1362.0,1305600.0,1362.0
161,2017-08-28,1360.0,1366.0,1352.0,1365.0,763300.0,1365.0
162,2017-08-29,1351.0,1369.0,1347.0,1359.0,822400.0,1359.0
163,2017-08-30,1361.0,1361.0,1351.0,1358.0,847600.0,1358.0
164,2017-08-31,1366.0,1375.0,1363.0,1369.0,1168800.0,1369.0
165,2017-09-01,1380.0,1404.0,1377.0,1392.0,1883900.0,1392.0
166,2017-09-04,1385.0,1389.0,1337.0,1338.0,1455200.0,1338.0
167,2017-09-05,1341.0,1348.0,1320.0,1322.0,1066000.0,1322.0
168,2017-09-06,1318.0,1350.0,1318.0,1345.0,1162600.0,1345.0
169,2017-09-07,1352.0,1356.0,1341.0,1346.0,1051200.0,1346.0
170,2017-09-08,1332.0,1351.0,1332.0,1348.0,877500.0,1348.0
171,2017-09-11,1353.0,1354.0,1335.0,1338.0,999200.0,1338.0
172,2017-09-12,1350.0,1358.0,1341.0,1354.0,993600.0,1354.0
173,2017-09-13,1359.0,1412.0,1356.0,1408.0,2094800.0,1408.0
174,2017-09-14,1409.0,1417.0,1373.0,1376.0,1944800.0,1376.0
175,2017-09-15,1387.0,1410.0,1380.0,1389.0,1664600.0,1389.0
176,2017-09-19,1398.0,1399.0,1361.0,1363.0,1858000.0,1363.0
