,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3716.0,3736.0,3707.0,3722.0,1543500.0,3722.0
1,2017-01-05,3697.0,3734.0,3684.0,3710.0,1237300.0,3710.0
2,2017-01-06,3725.0,3747.0,3711.0,3742.0,1400300.0,3742.0
3,2017-01-10,3705.0,3727.0,3678.0,3708.0,1697200.0,3708.0
4,2017-01-11,3740.0,3770.0,3717.0,3763.0,1737900.0,3763.0
5,2017-01-12,3714.0,3757.0,3686.0,3704.0,1459900.0,3704.0
6,2017-01-13,3738.0,3771.0,3717.0,3762.0,1612000.0,3762.0
7,2017-01-16,3748.0,3782.0,3738.0,3763.0,1834700.0,3763.0
8,2017-01-17,3783.0,3787.0,3729.0,3729.0,1442600.0,3729.0
9,2017-01-18,3743.0,3772.0,3681.0,3707.0,1487400.0,3707.0
10,2017-01-19,3718.0,3739.0,3713.0,3730.0,1438300.0,3730.0
11,2017-01-20,3722.0,3736.0,3687.0,3715.0,1622200.0,3715.0
12,2017-01-23,3681.0,3702.0,3666.0,3677.0,1259400.0,3677.0
13,2017-01-24,3727.0,3772.0,3700.0,3750.0,1735800.0,3750.0
14,2017-01-25,3800.0,3845.0,3799.0,3845.0,2199000.0,3845.0
15,2017-01-26,3876.0,3914.0,3872.0,3909.0,2406600.0,3909.0
16,2017-01-27,3920.0,3954.0,3896.0,3910.0,2082600.0,3910.0
17,2017-01-30,3951.0,4034.0,3951.0,4008.0,2569100.0,4008.0
18,2017-01-31,3982.0,4008.0,3967.0,3970.0,1834900.0,3970.0
19,2017-02-01,3963.0,4000.0,3946.0,3972.0,1801600.0,3972.0
20,2017-02-02,3961.0,3982.0,3942.0,3966.0,1498800.0,3966.0
21,2017-02-03,3966.0,4049.0,3963.0,4005.0,1307000.0,4005.0
22,2017-02-06,3965.0,3994.0,3949.0,3977.0,1085100.0,3977.0
23,2017-02-07,3880.0,3935.0,3880.0,3910.0,1674300.0,3910.0
24,2017-02-08,3949.0,3960.0,3921.0,3956.0,840100.0,3956.0
25,2017-02-09,3935.0,3950.0,3923.0,3938.0,1102600.0,3938.0
26,2017-02-10,4008.0,4013.0,3971.0,4006.0,1594700.0,4006.0
27,2017-02-13,4052.0,4080.0,4014.0,4058.0,1865900.0,4058.0
28,2017-02-14,4041.0,4046.0,3921.0,3922.0,2519700.0,3922.0
29,2017-02-15,3922.0,3946.0,3914.0,3922.0,1519100.0,3922.0
30,2017-02-16,3970.0,4042.0,3954.0,4001.0,2113100.0,4001.0
31,2017-02-17,4000.0,4134.0,3990.0,4128.0,2786300.0,4128.0
32,2017-02-20,4101.0,4115.0,4044.0,4110.0,1337100.0,4110.0
33,2017-02-21,4124.0,4124.0,4073.0,4099.0,1369600.0,4099.0
34,2017-02-22,4069.0,4074.0,3986.0,4009.0,2266600.0,4009.0
35,2017-02-23,4025.0,4043.0,3995.0,4030.0,1163800.0,4030.0
36,2017-02-24,4029.0,4094.0,4020.0,4038.0,1109200.0,4038.0
37,2017-02-27,4002.0,4051.0,3999.0,4026.0,1428900.0,4026.0
38,2017-02-28,4029.0,4032.0,3962.0,3969.0,2331000.0,3969.0
39,2017-03-01,3989.0,4029.0,3970.0,3999.0,1240900.0,3999.0
40,2017-03-02,4069.0,4082.0,4029.0,4040.0,1939100.0,4040.0
41,2017-03-03,4070.0,4075.0,4021.0,4032.0,1141600.0,4032.0
42,2017-03-06,4036.0,4100.0,4034.0,4092.0,1080400.0,4092.0
43,2017-03-07,4093.0,4116.0,4082.0,4096.0,1374800.0,4096.0
44,2017-03-08,4095.0,4100.0,4041.0,4047.0,1218500.0,4047.0
45,2017-03-09,4075.0,4075.0,4041.0,4052.0,715100.0,4052.0
46,2017-03-10,4093.0,4159.0,4082.0,4137.0,2298200.0,4137.0
