,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4900.0,4955.0,4885.0,4950.0,447100.0,4950.0
1,2017-01-05,4915.0,4945.0,4895.0,4920.0,414200.0,4920.0
2,2017-01-06,4950.0,5000.0,4915.0,4965.0,455500.0,4965.0
3,2017-01-10,4995.0,5000.0,4885.0,4890.0,456800.0,4890.0
4,2017-01-11,4910.0,4910.0,4830.0,4860.0,308600.0,4860.0
5,2017-01-12,4885.0,4895.0,4805.0,4835.0,389300.0,4835.0
6,2017-01-13,4830.0,4880.0,4810.0,4875.0,273700.0,4875.0
7,2017-01-16,4845.0,4875.0,4805.0,4820.0,238600.0,4820.0
8,2017-01-17,4810.0,4810.0,4705.0,4710.0,337000.0,4710.0
9,2017-01-18,4750.0,4780.0,4695.0,4715.0,280600.0,4715.0
10,2017-01-19,4750.0,4795.0,4725.0,4765.0,242800.0,4765.0
11,2017-01-20,4770.0,4845.0,4765.0,4825.0,369100.0,4825.0
12,2017-01-23,4825.0,4830.0,4735.0,4770.0,437200.0,4770.0
13,2017-01-24,4815.0,4820.0,4770.0,4795.0,253200.0,4795.0
14,2017-01-25,4835.0,4845.0,4765.0,4775.0,341900.0,4775.0
15,2017-01-26,4805.0,4840.0,4785.0,4820.0,339900.0,4820.0
16,2017-01-27,4785.0,4850.0,4785.0,4800.0,429700.0,4800.0
17,2017-01-30,4775.0,4825.0,4775.0,4820.0,290200.0,4820.0
18,2017-01-31,4800.0,4830.0,4755.0,4795.0,392000.0,4795.0
19,2017-02-01,4750.0,4835.0,4730.0,4820.0,363100.0,4820.0
20,2017-02-02,4800.0,4810.0,4730.0,4745.0,387000.0,4745.0
21,2017-02-03,4745.0,4795.0,4725.0,4755.0,348400.0,4755.0
22,2017-02-06,4805.0,4815.0,4725.0,4735.0,348400.0,4735.0
23,2017-02-07,4700.0,4725.0,4675.0,4720.0,288300.0,4720.0
24,2017-02-08,4755.0,4765.0,4695.0,4730.0,265700.0,4730.0
25,2017-02-09,4705.0,4760.0,4690.0,4750.0,298700.0,4750.0
26,2017-02-10,4785.0,4790.0,4730.0,4740.0,478900.0,4740.0
27,2017-02-13,4705.0,4745.0,4685.0,4710.0,614500.0,4710.0
28,2017-02-14,4680.0,4710.0,4520.0,4525.0,1034500.0,4525.0
29,2017-02-15,4580.0,4605.0,4525.0,4555.0,748600.0,4555.0
30,2017-02-16,4580.0,4655.0,4560.0,4645.0,657800.0,4645.0
31,2017-02-17,4605.0,4620.0,4560.0,4620.0,507900.0,4620.0
32,2017-02-20,4605.0,4660.0,4585.0,4650.0,360700.0,4650.0
33,2017-02-21,4640.0,4690.0,4610.0,4680.0,347900.0,4680.0
34,2017-02-22,4670.0,4695.0,4650.0,4690.0,557400.0,4690.0
35,2017-02-23,4705.0,4770.0,4685.0,4760.0,614600.0,4760.0
36,2017-02-24,4730.0,4795.0,4725.0,4760.0,425100.0,4760.0
37,2017-02-27,4710.0,4760.0,4700.0,4740.0,447400.0,4740.0
38,2017-02-28,4780.0,4785.0,4705.0,4710.0,478900.0,4710.0
39,2017-03-01,4735.0,4765.0,4720.0,4750.0,427000.0,4750.0
40,2017-03-02,4800.0,4815.0,4745.0,4765.0,352800.0,4765.0
41,2017-03-03,4795.0,4795.0,4715.0,4740.0,483500.0,4740.0
42,2017-03-06,4720.0,4740.0,4700.0,4720.0,293000.0,4720.0
43,2017-03-07,4690.0,4780.0,4690.0,4775.0,399900.0,4775.0
44,2017-03-08,4755.0,4785.0,4740.0,4765.0,370500.0,4765.0
45,2017-03-09,4755.0,4780.0,4725.0,4750.0,465100.0,4750.0
46,2017-03-10,4820.0,4825.0,4780.0,4805.0,594800.0,4805.0
47,2017-03-13,4810.0,4850.0,4795.0,4845.0,351100.0,4845.0
48,2017-03-14,4825.0,4875.0,4790.0,4865.0,435200.0,4865.0
49,2017-03-15,4870.0,4880.0,4820.0,4830.0,569300.0,4830.0
50,2017-03-16,4780.0,4790.0,4700.0,4710.0,1058700.0,4710.0
51,2017-03-17,4695.0,4725.0,4635.0,4715.0,828700.0,4715.0
52,2017-03-21,4705.0,4745.0,4695.0,4715.0,692700.0,4715.0
53,2017-03-22,4670.0,4715.0,4665.0,4675.0,493300.0,4675.0
54,2017-03-23,4650.0,4740.0,4635.0,4730.0,509600.0,4730.0
55,2017-03-24,4730.0,4760.0,4715.0,4750.0,485000.0,4750.0
56,2017-03-27,4720.0,4735.0,4650.0,4690.0,398500.0,4690.0
57,2017-03-28,4760.0,4800.0,4735.0,4800.0,555900.0,4800.0
58,2017-03-29,4855.0,4855.0,4795.0,4830.0,334200.0,4830.0
59,2017-03-30,4810.0,4835.0,4725.0,4745.0,368800.0,4745.0
60,2017-03-31,4800.0,4815.0,4690.0,4690.0,456400.0,4690.0
61,2017-04-03,4750.0,4805.0,4740.0,4780.0,355000.0,4780.0
62,2017-04-04,4785.0,4800.0,4730.0,4755.0,376800.0,4755.0
63,2017-04-05,4775.0,4805.0,4740.0,4765.0,307800.0,4765.0
64,2017-04-06,4760.0,4775.0,4710.0,4750.0,529000.0,4750.0
65,2017-04-07,4780.0,4795.0,4730.0,4770.0,397100.0,4770.0
66,2017-04-10,4800.0,4825.0,4735.0,4750.0,404000.0,4750.0
67,2017-04-11,4740.0,4795.0,4735.0,4770.0,359900.0,4770.0
68,2017-04-12,4720.0,4745.0,4690.0,4725.0,293100.0,4725.0
69,2017-04-13,4695.0,4725.0,4680.0,4720.0,259200.0,4720.0
70,2017-04-14,4700.0,4710.0,4630.0,4645.0,313100.0,4645.0
71,2017-04-17,4620.0,4745.0,4620.0,4740.0,210600.0,4740.0
72,2017-04-18,4760.0,4760.0,4695.0,4745.0,307700.0,4745.0
73,2017-04-19,4765.0,4850.0,4765.0,4825.0,507400.0,4825.0
74,2017-04-20,4825.0,4830.0,4770.0,4810.0,371700.0,4810.0
75,2017-04-21,4825.0,4865.0,4805.0,4835.0,405600.0,4835.0
76,2017-04-24,4890.0,4915.0,4880.0,4900.0,387100.0,4900.0
77,2017-04-25,4880.0,4930.0,4860.0,4920.0,348500.0,4920.0
78,2017-04-26,4950.0,4990.0,4925.0,4980.0,508200.0,4980.0
79,2017-04-27,4980.0,5030.0,4955.0,5020.0,562400.0,5020.0
80,2017-04-28,5020.0,5020.0,4960.0,4985.0,508500.0,4985.0
81,2017-05-01,5060.0,5140.0,5010.0,5110.0,677200.0,5110.0
82,2017-05-02,5140.0,5140.0,5050.0,5070.0,421600.0,5070.0
83,2017-05-08,5150.0,5250.0,5140.0,5240.0,677600.0,5240.0
84,2017-05-09,5210.0,5250.0,5170.0,5200.0,539300.0,5200.0
85,2017-05-10,5190.0,5240.0,5180.0,5240.0,400700.0,5240.0
86,2017-05-11,5260.0,5310.0,5240.0,5260.0,338600.0,5260.0
87,2017-05-12,5250.0,5310.0,5240.0,5310.0,338900.0,5310.0
88,2017-05-15,5340.0,5350.0,5310.0,5350.0,379700.0,5350.0
89,2017-05-16,5340.0,5380.0,5320.0,5360.0,289600.0,5360.0
