,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3090.0,3090.0,3050.0,3060.0,384900.0,3060.0
1,2017-01-05,3055.0,3055.0,3020.0,3045.0,263700.0,3045.0
2,2017-01-06,3035.0,3050.0,3035.0,3045.0,150800.0,3045.0
3,2017-01-10,3060.0,3070.0,3045.0,3050.0,227400.0,3050.0
4,2017-01-11,3060.0,3065.0,3045.0,3045.0,211400.0,3045.0
5,2017-01-12,3060.0,3060.0,3030.0,3035.0,219500.0,3035.0
6,2017-01-13,3005.0,3025.0,2998.0,3010.0,547500.0,3010.0
7,2017-01-16,3000.0,3010.0,2996.0,2997.0,291600.0,2997.0
8,2017-01-17,2996.0,2997.0,2961.0,2961.0,388800.0,2961.0
9,2017-01-18,2952.0,2968.0,2930.0,2961.0,364600.0,2961.0
10,2017-01-19,2970.0,2989.0,2963.0,2967.0,240700.0,2967.0
11,2017-01-20,2947.0,2973.0,2942.0,2953.0,219100.0,2953.0
12,2017-01-23,2960.0,2960.0,2930.0,2943.0,258300.0,2943.0
13,2017-01-24,2935.0,2965.0,2935.0,2958.0,249100.0,2958.0
14,2017-01-25,2952.0,2965.0,2935.0,2939.0,332700.0,2939.0
15,2017-01-26,2945.0,2957.0,2942.0,2955.0,195600.0,2955.0
16,2017-01-27,2956.0,2967.0,2953.0,2967.0,173000.0,2967.0
17,2017-01-30,2979.0,2983.0,2971.0,2972.0,159900.0,2972.0
18,2017-01-31,2967.0,2972.0,2956.0,2969.0,183300.0,2969.0
19,2017-02-01,2961.0,2983.0,2961.0,2983.0,162700.0,2983.0
20,2017-02-02,2983.0,2984.0,2966.0,2967.0,206900.0,2967.0
21,2017-02-03,2968.0,2996.0,2968.0,2984.0,172800.0,2984.0
22,2017-02-06,2997.0,2999.0,2978.0,2995.0,179200.0,2995.0
23,2017-02-07,2985.0,2989.0,2973.0,2982.0,178800.0,2982.0
24,2017-02-08,2989.0,2990.0,2980.0,2987.0,117100.0,2987.0
25,2017-02-09,2986.0,3015.0,2961.0,3015.0,340700.0,3015.0
26,2017-02-10,3050.0,3070.0,3040.0,3065.0,512700.0,3065.0
27,2017-02-13,3090.0,3150.0,3080.0,3150.0,588400.0,3150.0
