,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3882.0,3882.0,3842.0,3851.0,4317900.0,3851.0
1,2017-01-05,3870.0,3920.0,3849.0,3911.0,4414000.0,3911.0
2,2017-01-06,3890.0,3921.0,3881.0,3920.0,3097100.0,3920.0
3,2017-01-10,3891.0,3898.0,3865.0,3887.0,4830100.0,3887.0
4,2017-01-11,3885.0,3886.0,3847.0,3861.0,3754900.0,3861.0
5,2017-01-12,3877.0,3884.0,3832.0,3843.0,3318400.0,3843.0
6,2017-01-13,3872.0,3877.0,3850.0,3870.0,3418700.0,3870.0
7,2017-01-16,3851.0,3861.0,3802.0,3819.0,2865800.0,3819.0
8,2017-01-17,3771.0,3778.0,3712.0,3760.0,4499600.0,3760.0
9,2017-01-18,3790.0,3790.0,3724.0,3744.0,4055700.0,3744.0
10,2017-01-19,3720.0,3764.0,3720.0,3737.0,3738100.0,3737.0
11,2017-01-20,3752.0,3785.0,3740.0,3764.0,3962500.0,3764.0
12,2017-01-23,3750.0,3757.0,3723.0,3737.0,3125900.0,3737.0
13,2017-01-24,3746.0,3747.0,3704.0,3720.0,2867700.0,3720.0
14,2017-01-25,3751.0,3757.0,3680.0,3683.0,5036900.0,3683.0
15,2017-01-26,3680.0,3702.0,3648.0,3681.0,7051600.0,3681.0
16,2017-01-27,3680.0,3733.0,3672.0,3711.0,6292700.0,3711.0
17,2017-01-30,3725.0,3726.0,3692.0,3711.0,2968800.0,3711.0
18,2017-01-31,3650.0,3663.0,3639.0,3640.0,5689100.0,3640.0
19,2017-02-01,3628.0,3644.0,3613.0,3631.0,6412600.0,3631.0
20,2017-02-02,3631.0,3635.0,3610.0,3615.0,4828900.0,3615.0
21,2017-02-03,3634.0,3708.0,3627.0,3677.0,5886300.0,3677.0
22,2017-02-06,3713.0,3720.0,3673.0,3693.0,3760000.0,3693.0
23,2017-02-07,3636.0,3648.0,3607.0,3632.0,6631200.0,3632.0
24,2017-02-08,3655.0,3694.0,3635.0,3654.0,7709900.0,3654.0
25,2017-02-09,3638.0,3656.0,3619.0,3651.0,3730400.0,3651.0
26,2017-02-10,3651.0,3690.0,3632.0,3683.0,4872300.0,3683.0
27,2017-02-13,3721.0,3762.0,3711.0,3743.0,5857000.0,3743.0
28,2017-02-14,3781.0,3781.0,3724.0,3727.0,4583900.0,3727.0
29,2017-02-15,3783.0,3802.0,3746.0,3746.0,5419200.0,3746.0
30,2017-02-16,3735.0,3767.0,3735.0,3752.0,3263400.0,3752.0
31,2017-02-17,3768.0,3770.0,3748.0,3768.0,3837400.0,3768.0
32,2017-02-20,3750.0,3780.0,3740.0,3774.0,4313400.0,3774.0
33,2017-02-21,3770.0,3781.0,3753.0,3778.0,2772900.0,3778.0
34,2017-02-22,3783.0,3808.0,3771.0,3798.0,3451700.0,3798.0
35,2017-02-23,3800.0,3818.0,3777.0,3811.0,2790800.0,3811.0
36,2017-02-24,3825.0,3832.0,3791.0,3805.0,2867500.0,3805.0
37,2017-02-27,3785.0,3800.0,3748.0,3778.0,3151200.0,3778.0
38,2017-02-28,3772.0,3787.0,3750.0,3757.0,4110900.0,3757.0
39,2017-03-01,3784.0,3814.0,3774.0,3800.0,3290500.0,3800.0
40,2017-03-02,3825.0,3825.0,3767.0,3776.0,3691700.0,3776.0
41,2017-03-03,3761.0,3792.0,3760.0,3781.0,3577200.0,3781.0
42,2017-03-06,3756.0,3788.0,3755.0,3782.0,3000500.0,3782.0
43,2017-03-07,3771.0,3795.0,3767.0,3780.0,3332900.0,3780.0
44,2017-03-08,3776.0,3781.0,3758.0,3766.0,2486400.0,3766.0
45,2017-03-09,3769.0,3770.0,3751.0,3755.0,4268400.0,3755.0
46,2017-03-10,3770.0,3807.0,3759.0,3804.0,6584200.0,3804.0
47,2017-03-13,3817.0,3846.0,3812.0,3845.0,3734200.0,3845.0
48,2017-03-14,3850.0,3853.0,3832.0,3840.0,2974300.0,3840.0
49,2017-03-15,3826.0,3843.0,3820.0,3831.0,1899300.0,3831.0
50,2017-03-16,3799.0,3801.0,3755.0,3783.0,4277200.0,3783.0
51,2017-03-17,3776.0,3788.0,3757.0,3772.0,3144700.0,3772.0
52,2017-03-21,3800.0,3866.0,3783.0,3856.0,5387100.0,3856.0
53,2017-03-22,3800.0,3809.0,3752.0,3752.0,6797800.0,3752.0
54,2017-03-23,3750.0,3764.0,3730.0,3753.0,3959900.0,3753.0
55,2017-03-24,3750.0,3795.0,3749.0,3786.0,2994500.0,3786.0
56,2017-03-27,3739.0,3756.0,3713.0,3725.0,3984600.0,3725.0
57,2017-03-28,3720.0,3745.0,3703.0,3726.0,5118600.0,3726.0
58,2017-03-29,3718.0,3722.0,3676.0,3701.0,5081700.0,3701.0
59,2017-03-30,3705.0,3714.0,3650.0,3654.0,3350900.0,3654.0
60,2017-03-31,3662.0,3665.0,3618.0,3618.0,4912500.0,3618.0
61,2017-04-03,3639.0,3643.0,3616.0,3622.0,4067800.0,3622.0
62,2017-04-04,3665.0,3684.0,3631.0,3657.0,5091800.0,3657.0
63,2017-04-05,3701.0,3701.0,3660.0,3665.0,3368000.0,3665.0
64,2017-04-06,3680.0,3692.0,3652.0,3655.0,4446200.0,3655.0
65,2017-04-07,3690.0,3710.0,3672.0,3689.0,4934400.0,3689.0
66,2017-04-10,3715.0,3736.0,3693.0,3701.0,2856900.0,3701.0
67,2017-04-11,3703.0,3725.0,3701.0,3721.0,2473900.0,3721.0
68,2017-04-12,3711.0,3713.0,3661.0,3679.0,3409200.0,3679.0
69,2017-04-13,3641.0,3663.0,3640.0,3647.0,3410700.0,3647.0
70,2017-04-14,3701.0,3702.0,3650.0,3676.0,3554400.0,3676.0
71,2017-04-17,3667.0,3705.0,3666.0,3690.0,2479900.0,3690.0
72,2017-04-18,3689.0,3722.0,3675.0,3697.0,3138100.0,3697.0
73,2017-04-19,3719.0,3719.0,3648.0,3648.0,3594800.0,3648.0
74,2017-04-20,3640.0,3674.0,3626.0,3643.0,4302700.0,3643.0
75,2017-04-21,3664.0,3722.0,3656.0,3702.0,4812100.0,3702.0
76,2017-04-24,3737.0,3750.0,3725.0,3736.0,3430900.0,3736.0
77,2017-04-25,3748.0,3767.0,3737.0,3762.0,2811700.0,3762.0
78,2017-04-26,3768.0,3795.0,3748.0,3795.0,3575500.0,3795.0
79,2017-04-27,3749.0,3767.0,3748.0,3758.0,3139200.0,3758.0
80,2017-04-28,3748.0,3749.0,3702.0,3706.0,3656400.0,3706.0
81,2017-05-01,3717.0,3731.0,3711.0,3726.0,1909300.0,3726.0
82,2017-05-02,3744.0,3762.0,3726.0,3735.0,2325200.0,3735.0
83,2017-05-08,3786.0,3798.0,3760.0,3780.0,4649700.0,3780.0
84,2017-05-09,3759.0,3785.0,3759.0,3776.0,3259300.0,3776.0
85,2017-05-10,3800.0,3820.0,3783.0,3791.0,3934700.0,3791.0
86,2017-05-11,3810.0,3925.0,3792.0,3891.0,10289400.0,3891.0
87,2017-05-12,3911.0,3945.0,3902.0,3932.0,7556400.0,3932.0
88,2017-05-15,3935.0,3963.0,3930.0,3947.0,4025900.0,3947.0
89,2017-05-16,3970.0,4038.0,3962.0,4018.0,7750800.0,4018.0
90,2017-05-17,4071.0,4094.0,4053.0,4062.0,7243600.0,4062.0
91,2017-05-18,4079.0,4140.0,4061.0,4124.0,9261900.0,4124.0
92,2017-05-19,4100.0,4150.0,4083.0,4112.0,4815800.0,4112.0
93,2017-05-22,4110.0,4125.0,4082.0,4114.0,4200000.0,4114.0
94,2017-05-23,4133.0,4200.0,4120.0,4177.0,6574300.0,4177.0
95,2017-05-24,4207.0,4243.0,4206.0,4224.0,5278900.0,4224.0
96,2017-05-25,4194.0,4199.0,4154.0,4169.0,4382700.0,4169.0
97,2017-05-26,4150.0,4186.0,4132.0,4172.0,4078500.0,4172.0
98,2017-05-29,4176.0,4225.0,4170.0,4203.0,2774500.0,4203.0
99,2017-05-30,4180.0,4215.0,4175.0,4198.0,2758700.0,4198.0
100,2017-05-31,4180.0,4181.0,4138.0,4161.0,5570500.0,4161.0
101,2017-06-01,4140.0,4213.0,4135.0,4205.0,3941900.0,4205.0
102,2017-06-02,4220.0,4220.0,4181.0,4192.0,4583000.0,4192.0
103,2017-06-05,4150.0,4197.0,4147.0,4183.0,2813500.0,4183.0
104,2017-06-06,4155.0,4170.0,4140.0,4150.0,3690000.0,4150.0
105,2017-06-07,4131.0,4135.0,4096.0,4099.0,4540300.0,4099.0
106,2017-06-08,4089.0,4089.0,4053.0,4071.0,3987600.0,4071.0
107,2017-06-09,4060.0,4070.0,4006.0,4030.0,5156700.0,4030.0
108,2017-06-12,4080.0,4150.0,4070.0,4127.0,5401100.0,4127.0
109,2017-06-13,4109.0,4127.0,4088.0,4101.0,3932000.0,4101.0
110,2017-06-14,4105.0,4123.0,4072.0,4105.0,3752700.0,4105.0
111,2017-06-15,4099.0,4133.0,4092.0,4096.0,4385300.0,4096.0
112,2017-06-16,4080.0,4133.0,4077.0,4118.0,7606600.0,4118.0
113,2017-06-19,4108.0,4130.0,4099.0,4109.0,3016200.0,4109.0
114,2017-06-20,4114.0,4124.0,4098.0,4106.0,2734200.0,4106.0
115,2017-06-21,4080.0,4091.0,4033.0,4045.0,4531900.0,4045.0
116,2017-06-22,4007.0,4025.0,3996.0,4010.0,3868200.0,4010.0
117,2017-06-23,3990.0,4027.0,3966.0,4025.0,2929700.0,4025.0
118,2017-06-26,4038.0,4098.0,4038.0,4090.0,3287200.0,4090.0
119,2017-06-27,4085.0,4135.0,4076.0,4128.0,6187900.0,4128.0
