,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2430.0,2430.0,2399.0,2425.0,620300.0,1212.5
1,2017-01-05,2430.0,2505.0,2403.0,2502.0,1056000.0,1251.0
2,2017-01-06,2503.0,2625.0,2503.0,2620.0,2420900.0,1310.0
3,2017-01-10,2657.0,2710.0,2624.0,2646.0,1795100.0,1323.0
4,2017-01-11,2652.0,2695.0,2601.0,2609.0,1508800.0,1304.5
5,2017-01-12,2630.0,2682.0,2615.0,2652.0,1214300.0,1326.0
6,2017-01-13,2652.0,2659.0,2632.0,2653.0,856800.0,1326.5
7,2017-01-16,2690.0,2705.0,2601.0,2622.0,800400.0,1311.0
8,2017-01-17,2607.0,2638.0,2544.0,2546.0,1041200.0,1273.0
9,2017-01-18,2503.0,2540.0,2476.0,2538.0,935700.0,1269.0
10,2017-01-19,2590.0,2591.0,2528.0,2531.0,597600.0,1265.5
11,2017-01-20,2503.0,2519.0,2472.0,2501.0,787700.0,1250.5
12,2017-01-23,2515.0,2562.0,2513.0,2550.0,951600.0,1275.0
13,2017-01-24,2531.0,2532.0,2491.0,2506.0,562100.0,1253.0
14,2017-01-25,2530.0,2547.0,2461.0,2477.0,969300.0,1238.5
15,2017-01-26,2478.0,2540.0,2465.0,2514.0,935900.0,1257.0
16,2017-01-27,2531.0,2607.0,2517.0,2578.0,1043800.0,1289.0
17,2017-01-30,2786.0,2926.0,2738.0,2913.0,4702700.0,1456.5
18,2017-01-31,2887.0,2990.0,2873.0,2964.0,2638100.0,1482.0
19,2017-02-01,2951.0,3080.0,2940.0,3075.0,1799700.0,1537.5
20,2017-02-02,3090.0,3100.0,2985.0,3010.0,1259400.0,1505.0
21,2017-02-03,3030.0,3255.0,3020.0,3240.0,1720900.0,1620.0
22,2017-02-06,3200.0,3235.0,3110.0,3145.0,1244900.0,1572.5
23,2017-02-07,3120.0,3150.0,3060.0,3100.0,793000.0,1550.0
24,2017-02-08,3100.0,3300.0,3090.0,3300.0,1280800.0,1650.0
25,2017-02-09,3240.0,3295.0,3210.0,3230.0,856700.0,1615.0
26,2017-02-10,3290.0,3295.0,3235.0,3270.0,668500.0,1635.0
27,2017-02-13,3270.0,3405.0,3240.0,3380.0,1052000.0,1690.0
28,2017-02-14,3355.0,3400.0,3320.0,3325.0,670800.0,1662.5
29,2017-02-15,3360.0,3365.0,3240.0,3260.0,664100.0,1630.0
30,2017-02-16,3230.0,3265.0,3145.0,3195.0,1003000.0,1597.5
31,2017-02-17,3175.0,3245.0,3130.0,3240.0,550600.0,1620.0
32,2017-02-20,3170.0,3240.0,3150.0,3235.0,590900.0,1617.5
33,2017-02-21,3315.0,3370.0,3290.0,3330.0,814600.0,1665.0
34,2017-02-22,3330.0,3340.0,3255.0,3275.0,447700.0,1637.5
35,2017-02-23,3245.0,3275.0,3230.0,3245.0,617100.0,1622.5
36,2017-02-24,3245.0,3295.0,3245.0,3270.0,572300.0,1635.0
37,2017-02-27,3255.0,3320.0,3220.0,3235.0,748800.0,1617.5
38,2017-02-28,3200.0,3250.0,3175.0,3180.0,539100.0,1590.0
39,2017-03-01,3185.0,3240.0,3150.0,3240.0,567400.0,1620.0
40,2017-03-02,3300.0,3340.0,3285.0,3295.0,645600.0,1647.5
41,2017-03-03,3290.0,3330.0,3265.0,3280.0,516900.0,1640.0
42,2017-03-06,3260.0,3295.0,3250.0,3275.0,576200.0,1637.5
