,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2023.0,2063.0,2011.0,2057.0,1366100.0,2057.0
1,2017-01-05,2057.0,2086.0,2039.0,2083.0,1069000.0,2083.0
2,2017-01-06,2055.0,2114.0,2050.0,2098.0,1633800.0,2098.0
3,2017-01-10,2090.0,2132.0,2080.0,2099.0,1476000.0,2099.0
4,2017-01-11,2076.0,2083.0,2000.0,2010.0,2415900.0,2010.0
5,2017-01-12,2057.0,2065.0,2017.0,2055.0,2542700.0,2055.0
6,2017-01-13,2030.0,2062.0,2015.0,2059.0,990700.0,2059.0
7,2017-01-16,2086.0,2094.0,2031.0,2039.0,1058800.0,2039.0
8,2017-01-17,2015.0,2032.0,1992.0,2002.0,1312900.0,2002.0
9,2017-01-18,2009.0,2034.0,1997.0,2005.0,1423000.0,2005.0
10,2017-01-19,2011.0,2061.0,2000.0,2041.0,1096700.0,2041.0
11,2017-01-20,2022.0,2050.0,2003.0,2041.0,867400.0,2041.0
12,2017-01-23,2030.0,2036.0,2011.0,2011.0,988900.0,2011.0
13,2017-01-24,2012.0,2044.0,2012.0,2035.0,703100.0,2035.0
14,2017-01-25,2051.0,2068.0,2025.0,2041.0,1255100.0,2041.0
15,2017-01-26,2051.0,2136.0,2050.0,2136.0,1688000.0,2136.0
16,2017-01-27,2175.0,2198.0,2121.0,2138.0,1589900.0,2138.0
17,2017-01-30,2130.0,2149.0,2111.0,2145.0,1515100.0,2145.0
18,2017-01-31,2130.0,2155.0,2110.0,2123.0,2362900.0,2123.0
19,2017-02-01,2423.0,2587.0,2295.0,2500.0,10854900.0,2500.0
20,2017-02-02,2406.0,2473.0,2406.0,2443.0,4253800.0,2443.0
21,2017-02-03,2442.0,2451.0,2399.0,2438.0,2615400.0,2438.0
22,2017-02-06,2450.0,2451.0,2411.0,2446.0,1308300.0,2446.0
23,2017-02-07,2422.0,2427.0,2383.0,2398.0,1441700.0,2398.0
24,2017-02-08,2397.0,2445.0,2361.0,2443.0,1383300.0,2443.0
25,2017-02-09,2460.0,2485.0,2430.0,2451.0,1904300.0,2451.0
26,2017-02-10,2455.0,2495.0,2433.0,2494.0,2296600.0,2494.0
27,2017-02-13,2496.0,2507.0,2465.0,2494.0,891700.0,2494.0
28,2017-02-14,2503.0,2527.0,2475.0,2486.0,1595900.0,2486.0
29,2017-02-15,2505.0,2517.0,2464.0,2475.0,1370100.0,2475.0
30,2017-02-16,2473.0,2517.0,2453.0,2498.0,1257300.0,2498.0
31,2017-02-17,2473.0,2481.0,2439.0,2452.0,1780900.0,2452.0
32,2017-02-20,2451.0,2538.0,2446.0,2487.0,1187900.0,2487.0
33,2017-02-21,2495.0,2502.0,2466.0,2487.0,741700.0,2487.0
34,2017-02-22,2480.0,2482.0,2412.0,2456.0,1275700.0,2456.0
35,2017-02-23,2461.0,2473.0,2338.0,2384.0,2896800.0,2384.0
36,2017-02-24,2362.0,2422.0,2348.0,2367.0,2618800.0,2367.0
37,2017-02-27,2344.0,2372.0,2334.0,2346.0,1538700.0,2346.0
38,2017-02-28,2346.0,2375.0,2338.0,2348.0,1461700.0,2348.0
39,2017-03-01,2359.0,2421.0,2329.0,2418.0,1211400.0,2418.0
40,2017-03-02,2442.0,2454.0,2416.0,2421.0,1197100.0,2421.0
41,2017-03-03,2414.0,2444.0,2396.0,2409.0,1119600.0,2409.0
42,2017-03-06,2400.0,2412.0,2380.0,2402.0,970900.0,2402.0
43,2017-03-07,2391.0,2409.0,2372.0,2378.0,1019500.0,2378.0
44,2017-03-08,2378.0,2396.0,2353.0,2361.0,1068900.0,2361.0
45,2017-03-09,2389.0,2404.0,2358.0,2361.0,1269800.0,2361.0
46,2017-03-10,2385.0,2430.0,2368.0,2406.0,1420200.0,2406.0
47,2017-03-13,2407.0,2441.0,2400.0,2407.0,1230000.0,2407.0
48,2017-03-14,2416.0,2437.0,2397.0,2435.0,933800.0,2435.0
49,2017-03-15,2455.0,2465.0,2422.0,2436.0,1351200.0,2436.0
50,2017-03-16,2405.0,2430.0,2377.0,2385.0,3050300.0,2385.0
51,2017-03-17,2360.0,2399.0,2356.0,2373.0,2006500.0,2373.0
52,2017-03-21,2360.0,2361.0,2307.0,2330.0,2076600.0,2330.0
53,2017-03-22,2310.0,2337.0,2289.0,2293.0,1726700.0,2293.0
54,2017-03-23,2271.0,2300.0,2271.0,2284.0,1341000.0,2284.0
55,2017-03-24,2276.0,2317.0,2261.0,2302.0,1316100.0,2302.0
56,2017-03-27,2328.0,2349.0,2290.0,2321.0,1664800.0,2321.0
57,2017-03-28,2356.0,2384.0,2335.0,2382.0,1249300.0,2382.0
58,2017-03-29,2370.0,2425.0,2357.0,2422.0,1403000.0,2422.0
59,2017-03-30,2458.0,2467.0,2423.0,2441.0,2041900.0,2441.0
60,2017-03-31,2473.0,2502.0,2453.0,2463.0,2411700.0,2463.0
61,2017-04-03,2497.0,2557.0,2467.0,2538.0,2631100.0,2538.0
62,2017-04-04,2540.0,2545.0,2480.0,2495.0,2017200.0,2495.0
63,2017-04-05,2446.0,2449.0,2378.0,2426.0,3599000.0,2426.0
64,2017-04-06,2428.0,2463.0,2395.0,2402.0,1239100.0,2402.0
65,2017-04-07,2423.0,2470.0,2392.0,2456.0,1181500.0,2456.0
66,2017-04-10,2483.0,2484.0,2425.0,2444.0,1112600.0,2444.0
67,2017-04-11,2381.0,2405.0,2329.0,2360.0,2112900.0,2360.0
68,2017-04-12,2350.0,2358.0,2323.0,2354.0,1555200.0,2354.0
69,2017-04-13,2320.0,2355.0,2312.0,2351.0,1205200.0,2351.0
70,2017-04-14,2330.0,2348.0,2293.0,2310.0,1196700.0,2310.0
71,2017-04-17,2295.0,2353.0,2292.0,2351.0,1034300.0,2351.0
72,2017-04-18,2351.0,2351.0,2322.0,2333.0,1125600.0,2333.0
73,2017-04-19,2322.0,2371.0,2313.0,2336.0,1566600.0,2336.0
74,2017-04-20,2338.0,2380.0,2223.0,2250.0,6029300.0,2250.0
75,2017-04-21,2261.0,2305.0,2254.0,2288.0,3236600.0,2288.0
76,2017-04-24,2251.0,2295.0,2251.0,2289.0,1792000.0,2289.0
77,2017-04-25,2267.0,2283.0,2241.0,2276.0,1940200.0,2276.0
78,2017-04-26,2310.0,2343.0,2297.0,2336.0,2043100.0,2336.0
79,2017-04-27,2335.0,2349.0,2316.0,2345.0,1231200.0,2345.0
80,2017-04-28,2350.0,2382.0,2331.0,2380.0,2066900.0,2380.0
81,2017-05-01,2500.0,2538.0,2429.0,2473.0,4902000.0,2473.0
