,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1550.0,1568.0,1548.0,1557.0,837300.0,1557.0
1,2017-01-05,1551.0,1557.0,1543.0,1553.0,768500.0,1553.0
2,2017-01-06,1566.0,1582.0,1555.0,1577.0,1321400.0,1577.0
3,2017-01-10,1577.0,1595.0,1573.0,1584.0,951000.0,1584.0
4,2017-01-11,1590.0,1592.0,1578.0,1586.0,483800.0,1586.0
5,2017-01-12,1580.0,1587.0,1573.0,1576.0,829900.0,1576.0
6,2017-01-13,1573.0,1580.0,1564.0,1566.0,841900.0,1566.0
7,2017-01-16,1550.0,1550.0,1523.0,1526.0,1344000.0,1526.0
8,2017-01-17,1531.0,1536.0,1508.0,1510.0,571300.0,1510.0
9,2017-01-18,1508.0,1518.0,1494.0,1505.0,692400.0,1505.0
10,2017-01-19,1520.0,1525.0,1510.0,1515.0,354800.0,1515.0
11,2017-01-20,1506.0,1508.0,1490.0,1503.0,835400.0,1503.0
12,2017-01-23,1504.0,1505.0,1488.0,1488.0,593900.0,1488.0
13,2017-01-24,1486.0,1503.0,1480.0,1501.0,711000.0,1501.0
14,2017-01-25,1520.0,1521.0,1504.0,1510.0,637700.0,1510.0
15,2017-01-26,1520.0,1523.0,1511.0,1521.0,360500.0,1521.0
16,2017-01-27,1528.0,1540.0,1527.0,1536.0,789900.0,1536.0
17,2017-01-30,1537.0,1537.0,1520.0,1530.0,336700.0,1530.0
18,2017-01-31,1525.0,1530.0,1514.0,1529.0,413800.0,1529.0
19,2017-02-01,1520.0,1537.0,1518.0,1537.0,399400.0,1537.0
20,2017-02-02,1530.0,1530.0,1512.0,1516.0,395200.0,1516.0
21,2017-02-03,1517.0,1534.0,1517.0,1530.0,368400.0,1530.0
22,2017-02-06,1530.0,1532.0,1520.0,1531.0,262300.0,1531.0
23,2017-02-07,1531.0,1538.0,1528.0,1535.0,341900.0,1535.0
24,2017-02-08,1532.0,1534.0,1521.0,1526.0,529300.0,1526.0
25,2017-02-09,1529.0,1541.0,1523.0,1540.0,820200.0,1540.0
26,2017-02-10,1650.0,1660.0,1545.0,1557.0,9595200.0,1557.0
27,2017-02-13,1562.0,1590.0,1557.0,1563.0,5019100.0,1563.0
28,2017-02-14,1584.0,1602.0,1576.0,1584.0,3081800.0,1584.0
29,2017-02-15,1597.0,1606.0,1584.0,1604.0,2173600.0,1604.0
30,2017-02-16,1614.0,1622.0,1592.0,1594.0,2071100.0,1594.0
31,2017-02-17,1600.0,1600.0,1581.0,1593.0,1063000.0,1593.0
32,2017-02-20,1595.0,1608.0,1582.0,1604.0,1098200.0,1604.0
33,2017-02-21,1609.0,1636.0,1607.0,1621.0,1762900.0,1621.0
34,2017-02-22,1634.0,1648.0,1627.0,1644.0,1528300.0,1644.0
35,2017-02-23,1648.0,1655.0,1621.0,1627.0,1879600.0,1627.0
36,2017-02-24,1627.0,1634.0,1617.0,1620.0,1328600.0,1620.0
37,2017-02-27,1620.0,1628.0,1617.0,1624.0,1004500.0,1624.0
38,2017-02-28,1633.0,1669.0,1632.0,1661.0,1836500.0,1661.0
39,2017-03-01,1669.0,1673.0,1647.0,1656.0,1343800.0,1656.0
40,2017-03-02,1667.0,1690.0,1665.0,1689.0,1606300.0,1689.0
41,2017-03-03,1697.0,1722.0,1693.0,1709.0,2069600.0,1709.0
42,2017-03-06,1740.0,1745.0,1717.0,1718.0,1783200.0,1718.0
43,2017-03-07,1728.0,1733.0,1721.0,1725.0,1389000.0,1725.0
44,2017-03-08,1724.0,1725.0,1702.0,1713.0,1663200.0,1713.0
45,2017-03-09,1723.0,1730.0,1720.0,1728.0,927300.0,1728.0
46,2017-03-10,1737.0,1744.0,1730.0,1742.0,1333200.0,1742.0
47,2017-03-13,1751.0,1773.0,1750.0,1771.0,1713400.0,1771.0
48,2017-03-14,1781.0,1783.0,1764.0,1772.0,1366500.0,1772.0
49,2017-03-15,1770.0,1771.0,1756.0,1761.0,1202100.0,1761.0
50,2017-03-16,1761.0,1775.0,1760.0,1768.0,1029700.0,1768.0
51,2017-03-17,1771.0,1774.0,1768.0,1774.0,795500.0,1774.0
52,2017-03-21,1781.0,1785.0,1774.0,1779.0,1276700.0,1779.0
53,2017-03-22,1756.0,1763.0,1732.0,1735.0,2462500.0,1735.0
54,2017-03-23,1746.0,1746.0,1733.0,1736.0,1243300.0,1736.0
55,2017-03-24,1734.0,1741.0,1727.0,1741.0,1039400.0,1741.0
56,2017-03-27,1741.0,1744.0,1715.0,1719.0,1801600.0,1719.0
57,2017-03-28,1635.0,1658.0,1633.0,1646.0,7704300.0,1646.0
58,2017-03-29,1657.0,1676.0,1646.0,1672.0,4292200.0,1672.0
59,2017-03-30,1673.0,1675.0,1636.0,1642.0,2700600.0,1642.0
60,2017-03-31,1648.0,1648.0,1630.0,1631.0,2099200.0,1631.0
61,2017-04-03,1638.0,1639.0,1630.0,1633.0,1733700.0,1633.0
62,2017-04-04,1638.0,1642.0,1609.0,1620.0,2097200.0,1620.0
63,2017-04-05,1623.0,1634.0,1619.0,1633.0,1452200.0,1633.0
64,2017-04-06,1631.0,1639.0,1611.0,1611.0,1581800.0,1611.0
65,2017-04-07,1622.0,1628.0,1600.0,1605.0,2086200.0,1605.0
66,2017-04-10,1618.0,1632.0,1616.0,1629.0,1313000.0,1629.0
67,2017-04-11,1638.0,1638.0,1621.0,1629.0,1058900.0,1629.0
68,2017-04-12,1621.0,1624.0,1605.0,1624.0,1150400.0,1624.0
69,2017-04-13,1622.0,1651.0,1622.0,1648.0,1764300.0,1648.0
70,2017-04-14,1641.0,1641.0,1626.0,1629.0,1072200.0,1629.0
71,2017-04-17,1629.0,1647.0,1624.0,1646.0,848400.0,1646.0
72,2017-04-18,1659.0,1659.0,1641.0,1644.0,1312100.0,1644.0
73,2017-04-19,1648.0,1655.0,1644.0,1651.0,1154200.0,1651.0
74,2017-04-20,1659.0,1668.0,1653.0,1664.0,962200.0,1664.0
75,2017-04-21,1670.0,1673.0,1662.0,1672.0,1005400.0,1672.0
76,2017-04-24,1684.0,1692.0,1675.0,1690.0,1059500.0,1690.0
77,2017-04-25,1698.0,1698.0,1686.0,1694.0,1349100.0,1694.0
78,2017-04-26,1700.0,1700.0,1687.0,1692.0,1670900.0,1692.0
79,2017-04-27,1692.0,1693.0,1680.0,1687.0,1188400.0,1687.0
80,2017-04-28,1683.0,1686.0,1666.0,1686.0,1661800.0,1686.0
81,2017-05-01,1692.0,1697.0,1687.0,1695.0,988500.0,1695.0
82,2017-05-02,1699.0,1720.0,1698.0,1718.0,1351800.0,1718.0
83,2017-05-08,1737.0,1739.0,1720.0,1726.0,2163400.0,1726.0
84,2017-05-09,1730.0,1760.0,1729.0,1760.0,1495100.0,1760.0
85,2017-05-10,1769.0,1794.0,1768.0,1783.0,1991500.0,1783.0
86,2017-05-11,1798.0,1804.0,1759.0,1768.0,2390500.0,1768.0
87,2017-05-12,1771.0,1772.0,1743.0,1759.0,1466600.0,1759.0
88,2017-05-15,1760.0,1788.0,1760.0,1784.0,1346300.0,1784.0
89,2017-05-16,1788.0,1788.0,1778.0,1783.0,1000700.0,1783.0
90,2017-05-17,1779.0,1779.0,1763.0,1779.0,1059800.0,1779.0
91,2017-05-18,1760.0,1787.0,1760.0,1787.0,1070100.0,1787.0
92,2017-05-19,1790.0,1793.0,1779.0,1785.0,890000.0,1785.0
93,2017-05-22,1790.0,1790.0,1777.0,1783.0,1453200.0,1783.0
94,2017-05-23,1782.0,1787.0,1775.0,1777.0,995500.0,1777.0
95,2017-05-24,1780.0,1781.0,1760.0,1765.0,1645400.0,1765.0
96,2017-05-25,1765.0,1766.0,1757.0,1758.0,1475400.0,1758.0
97,2017-05-26,1757.0,1758.0,1727.0,1728.0,2369400.0,1728.0
98,2017-05-29,1740.0,1756.0,1738.0,1746.0,1998900.0,1746.0
99,2017-05-30,1745.0,1745.0,1728.0,1737.0,1660700.0,1737.0
100,2017-05-31,1740.0,1744.0,1735.0,1741.0,1464700.0,1741.0
101,2017-06-01,1750.0,1775.0,1747.0,1761.0,1838700.0,1761.0
102,2017-06-02,1766.0,1767.0,1752.0,1755.0,2040100.0,1755.0
103,2017-06-05,1760.0,1773.0,1748.0,1772.0,1907500.0,1772.0
104,2017-06-06,1774.0,1774.0,1755.0,1757.0,1866200.0,1757.0
105,2017-06-07,1763.0,1766.0,1756.0,1765.0,1413900.0,1765.0
106,2017-06-08,1770.0,1777.0,1761.0,1763.0,1497100.0,1763.0
107,2017-06-09,1772.0,1774.0,1762.0,1764.0,1764900.0,1764.0
108,2017-06-12,1769.0,1769.0,1752.0,1766.0,1979100.0,1766.0
109,2017-06-13,1761.0,1764.0,1727.0,1729.0,4852900.0,1729.0
110,2017-06-14,1729.0,1737.0,1722.0,1724.0,2639500.0,1724.0
111,2017-06-15,1724.0,1727.0,1690.0,1719.0,4068700.0,1719.0
112,2017-06-16,1653.0,1672.0,1650.0,1670.0,10152600.0,1670.0
113,2017-06-19,1680.0,1682.0,1669.0,1670.0,3853300.0,1670.0
114,2017-06-20,1675.0,1675.0,1665.0,1666.0,2744600.0,1666.0
115,2017-06-21,1671.0,1673.0,1665.0,1667.0,3309100.0,1667.0
116,2017-06-22,1667.0,1670.0,1665.0,1667.0,4129000.0,1667.0
117,2017-06-23,1667.0,1672.0,1664.0,1664.0,4958600.0,1664.0
118,2017-06-26,1673.0,1674.0,1664.0,1664.0,4918900.0,1664.0
119,2017-06-27,1666.0,1667.0,1652.0,1654.0,7327000.0,1654.0
120,2017-06-28,1635.0,1648.0,1631.0,1631.0,7182900.0,1631.0
121,2017-06-29,1637.0,1641.0,1625.0,1628.0,2866600.0,1628.0
122,2017-06-30,1623.0,1623.0,1606.0,1614.0,3467500.0,1614.0
123,2017-07-03,1620.0,1630.0,1613.0,1623.0,2232400.0,1623.0
124,2017-07-04,1630.0,1654.0,1625.0,1645.0,2844400.0,1645.0
125,2017-07-05,1656.0,1665.0,1649.0,1665.0,2404500.0,1665.0
126,2017-07-06,1666.0,1666.0,1653.0,1660.0,1300400.0,1660.0
