,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4499.0,4524.0,4467.0,4523.0,2489000.0,4523.0
1,2017-01-05,4540.0,4593.0,4540.0,4567.0,3160600.0,4567.0
2,2017-01-06,4561.0,4581.0,4535.0,4564.0,2081400.0,4564.0
3,2017-01-10,4625.0,4626.0,4544.0,4546.0,2608600.0,4546.0
4,2017-01-11,4558.0,4585.0,4531.0,4548.0,1970300.0,4548.0
5,2017-01-12,4520.0,4533.0,4423.0,4450.0,2548100.0,4450.0
6,2017-01-13,4700.0,4849.0,4680.0,4832.0,8454300.0,4832.0
7,2017-01-16,4811.0,4828.0,4740.0,4759.0,3272200.0,4759.0
8,2017-01-17,4738.0,4738.0,4655.0,4656.0,2380800.0,4656.0
9,2017-01-18,4680.0,4726.0,4652.0,4710.0,2845100.0,4710.0
10,2017-01-19,4737.0,4741.0,4608.0,4618.0,2954200.0,4618.0
11,2017-01-20,4625.0,4652.0,4597.0,4647.0,2133400.0,4647.0
12,2017-01-23,4580.0,4591.0,4497.0,4497.0,2921100.0,4497.0
13,2017-01-24,4517.0,4554.0,4498.0,4506.0,2063800.0,4506.0
14,2017-01-25,4600.0,4600.0,4526.0,4565.0,1800900.0,4565.0
15,2017-01-26,4565.0,4565.0,4516.0,4533.0,2622700.0,4533.0
16,2017-01-27,4550.0,4588.0,4535.0,4582.0,2534100.0,4582.0
17,2017-01-30,4550.0,4583.0,4533.0,4567.0,1181500.0,4567.0
18,2017-01-31,4497.0,4523.0,4474.0,4509.0,2435700.0,4509.0
19,2017-02-01,4478.0,4574.0,4476.0,4558.0,1572100.0,4558.0
20,2017-02-02,4536.0,4538.0,4458.0,4473.0,2066000.0,4473.0
21,2017-02-03,4455.0,4493.0,4437.0,4451.0,1820100.0,4451.0
22,2017-02-06,4488.0,4489.0,4442.0,4451.0,1443400.0,4451.0
23,2017-02-07,4448.0,4464.0,4425.0,4428.0,2129700.0,4428.0
24,2017-02-08,4435.0,4465.0,4421.0,4451.0,1799800.0,4451.0
25,2017-02-09,4425.0,4445.0,4411.0,4421.0,1556700.0,4421.0
26,2017-02-10,4498.0,4501.0,4459.0,4499.0,1989900.0,4499.0
27,2017-02-13,4550.0,4577.0,4512.0,4519.0,1855800.0,4519.0
28,2017-02-14,4500.0,4502.0,4444.0,4448.0,2877100.0,4448.0
29,2017-02-15,4475.0,4475.0,4447.0,4455.0,1965900.0,4455.0
30,2017-02-16,4482.0,4487.0,4400.0,4419.0,1899900.0,4419.0
31,2017-02-17,4400.0,4412.0,4386.0,4397.0,1746000.0,4397.0
32,2017-02-20,4387.0,4414.0,4374.0,4401.0,1370200.0,4401.0
33,2017-02-21,4401.0,4448.0,4397.0,4435.0,1082100.0,4435.0
34,2017-02-22,4450.0,4452.0,4411.0,4442.0,1741400.0,4442.0
35,2017-02-23,4433.0,4459.0,4413.0,4448.0,2500600.0,4448.0
36,2017-02-24,4353.0,4425.0,4353.0,4386.0,2946400.0,4386.0
37,2017-02-27,4341.0,4435.0,4340.0,4407.0,2653000.0,4407.0
38,2017-02-28,4413.0,4444.0,4398.0,4400.0,2073700.0,4400.0
39,2017-03-01,4430.0,4470.0,4413.0,4454.0,2131600.0,4454.0
40,2017-03-02,4507.0,4507.0,4440.0,4458.0,2166100.0,4458.0
41,2017-03-03,4460.0,4463.0,4400.0,4416.0,1502200.0,4416.0
42,2017-03-06,4407.0,4426.0,4387.0,4403.0,1050600.0,4403.0
43,2017-03-07,4399.0,4411.0,4377.0,4390.0,1690100.0,4390.0
44,2017-03-08,4399.0,4407.0,4345.0,4351.0,2175800.0,4351.0
45,2017-03-09,4346.0,4351.0,4306.0,4310.0,2992000.0,4310.0
46,2017-03-10,4326.0,4379.0,4320.0,4370.0,5055400.0,4370.0
47,2017-03-13,4362.0,4387.0,4361.0,4380.0,2249400.0,4380.0
48,2017-03-14,4370.0,4389.0,4343.0,4345.0,2075300.0,4345.0
49,2017-03-15,4342.0,4417.0,4342.0,4411.0,2361500.0,4411.0
50,2017-03-16,4408.0,4430.0,4381.0,4427.0,2313600.0,4427.0
51,2017-03-17,4447.0,4463.0,4422.0,4425.0,2684100.0,4425.0
52,2017-03-21,4443.0,4443.0,4401.0,4421.0,1472900.0,4421.0
53,2017-03-22,4370.0,4395.0,4341.0,4352.0,2202300.0,4352.0
54,2017-03-23,4346.0,4391.0,4323.0,4385.0,2752700.0,4385.0
55,2017-03-24,4352.0,4443.0,4350.0,4439.0,2197700.0,4439.0
56,2017-03-27,4402.0,4424.0,4346.0,4359.0,1696900.0,4359.0
57,2017-03-28,4394.0,4421.0,4386.0,4390.0,2117500.0,4390.0
58,2017-03-29,4407.0,4467.0,4395.0,4436.0,2016800.0,4436.0
59,2017-03-30,4432.0,4450.0,4362.0,4362.0,1854000.0,4362.0
60,2017-03-31,4413.0,4431.0,4362.0,4362.0,3193400.0,4362.0
61,2017-04-03,4404.0,4474.0,4400.0,4454.0,2833100.0,4454.0
62,2017-04-04,4524.0,4574.0,4457.0,4485.0,4091400.0,4485.0
63,2017-04-05,4532.0,4535.0,4503.0,4526.0,2678300.0,4526.0
64,2017-04-06,4526.0,4526.0,4432.0,4444.0,2683000.0,4444.0
65,2017-04-07,4610.0,4675.0,4588.0,4637.0,7598900.0,4637.0
66,2017-04-10,4651.0,4662.0,4595.0,4613.0,3817300.0,4613.0
67,2017-04-11,4638.0,4665.0,4616.0,4642.0,2834300.0,4642.0
68,2017-04-12,4658.0,4666.0,4610.0,4653.0,3497400.0,4653.0
69,2017-04-13,4640.0,4654.0,4608.0,4618.0,3156700.0,4618.0
70,2017-04-14,4631.0,4631.0,4557.0,4572.0,2342000.0,4572.0
71,2017-04-17,4552.0,4638.0,4550.0,4634.0,1814100.0,4634.0
72,2017-04-18,4635.0,4645.0,4560.0,4618.0,2301100.0,4618.0
73,2017-04-19,4632.0,4632.0,4568.0,4579.0,2251800.0,4579.0
74,2017-04-20,4581.0,4590.0,4546.0,4548.0,1846200.0,4548.0
75,2017-04-21,4570.0,4570.0,4518.0,4538.0,2078700.0,4538.0
76,2017-04-24,4600.0,4601.0,4546.0,4563.0,1913100.0,4563.0
77,2017-04-25,4590.0,4616.0,4568.0,4601.0,1823300.0,4601.0
78,2017-04-26,4637.0,4647.0,4599.0,4647.0,2417000.0,4647.0
79,2017-04-27,4687.0,4716.0,4675.0,4692.0,2989000.0,4692.0
80,2017-04-28,4716.0,4740.0,4701.0,4710.0,2730500.0,4710.0
81,2017-05-01,4723.0,4723.0,4674.0,4685.0,1419100.0,4685.0
82,2017-05-02,4737.0,4775.0,4730.0,4745.0,2492500.0,4745.0
83,2017-05-08,4824.0,4876.0,4820.0,4865.0,4057500.0,4865.0
84,2017-05-09,4865.0,4891.0,4857.0,4871.0,2500600.0,4871.0
85,2017-05-10,4885.0,4890.0,4822.0,4845.0,2756900.0,4845.0
86,2017-05-11,4844.0,4852.0,4796.0,4801.0,2092500.0,4801.0
87,2017-05-12,4806.0,4849.0,4795.0,4820.0,2191900.0,4820.0
88,2017-05-15,4836.0,4858.0,4813.0,4846.0,1835100.0,4846.0
89,2017-05-16,4809.0,4827.0,4784.0,4800.0,1711900.0,4800.0
90,2017-05-17,4780.0,4794.0,4756.0,4788.0,1630800.0,4788.0
91,2017-05-18,4736.0,4774.0,4731.0,4770.0,1795500.0,4770.0
92,2017-05-19,4771.0,4792.0,4769.0,4774.0,2257800.0,4774.0
93,2017-05-22,4768.0,4799.0,4752.0,4787.0,1486600.0,4787.0
94,2017-05-23,4779.0,4789.0,4762.0,4777.0,1587500.0,4777.0
95,2017-05-24,4800.0,4817.0,4766.0,4774.0,1675600.0,4774.0
