,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,9158.0,9447.0,9131.0,9447.0,1447500.0,9447.0
1,2017-01-05,9435.0,9437.0,9277.0,9298.0,1714800.0,9298.0
2,2017-01-06,9275.0,9458.0,9270.0,9437.0,1219100.0,9437.0
3,2017-01-10,9437.0,9437.0,9290.0,9333.0,1436700.0,9333.0
4,2017-01-11,9389.0,9480.0,9333.0,9448.0,1159100.0,9448.0
5,2017-01-12,9480.0,9510.0,9326.0,9440.0,1456700.0,9440.0
6,2017-01-13,9450.0,9479.0,9405.0,9472.0,1295700.0,9472.0
7,2017-01-16,9424.0,9524.0,9420.0,9458.0,903100.0,9458.0
8,2017-01-17,9452.0,9459.0,9315.0,9340.0,1765300.0,9340.0
9,2017-01-18,9455.0,9587.0,9346.0,9572.0,2439700.0,9572.0
10,2017-01-19,9670.0,9720.0,9572.0,9618.0,1886700.0,9618.0
11,2017-01-20,9597.0,9715.0,9581.0,9655.0,1698100.0,9655.0
12,2017-01-23,9604.0,9683.0,9510.0,9607.0,2012800.0,9607.0
13,2017-01-24,9607.0,9699.0,9600.0,9634.0,1634200.0,9634.0
14,2017-01-25,9800.0,9847.0,9736.0,9786.0,1509900.0,9786.0
15,2017-01-26,9980.0,10120.0,9930.0,10100.0,2465100.0,10100.0
16,2017-01-27,10000.0,10010.0,9814.0,9890.0,2976200.0,9890.0
17,2017-01-30,9890.0,9909.0,9742.0,9791.0,1923000.0,9791.0
18,2017-01-31,9731.0,9838.0,9650.0,9747.0,2004900.0,9747.0
19,2017-02-01,9723.0,9794.0,9673.0,9766.0,1708800.0,9766.0
20,2017-02-02,9800.0,9812.0,9678.0,9725.0,1910200.0,9725.0
21,2017-02-03,9776.0,9810.0,9669.0,9731.0,1247500.0,9731.0
22,2017-02-06,9701.0,9714.0,9512.0,9590.0,1782600.0,9590.0
23,2017-02-07,9490.0,9539.0,9390.0,9505.0,1654600.0,9505.0
24,2017-02-08,9485.0,9660.0,9485.0,9652.0,1234900.0,9652.0
25,2017-02-09,9600.0,9707.0,9563.0,9582.0,1319700.0,9582.0
26,2017-02-10,9745.0,9828.0,9686.0,9815.0,2149600.0,9815.0
27,2017-02-13,9850.0,9862.0,9721.0,9750.0,1572700.0,9750.0
28,2017-02-14,9793.0,9819.0,9630.0,9635.0,1138300.0,9635.0
29,2017-02-15,9710.0,9781.0,9665.0,9718.0,1300700.0,9718.0
30,2017-02-16,9718.0,9825.0,9703.0,9815.0,1124000.0,9815.0
31,2017-02-17,9801.0,9909.0,9786.0,9893.0,1549100.0,9893.0
32,2017-02-20,9798.0,9900.0,9730.0,9865.0,1040600.0,9865.0
33,2017-02-21,9890.0,9925.0,9850.0,9919.0,757700.0,9919.0
34,2017-02-22,9930.0,9939.0,9811.0,9813.0,1129400.0,9813.0
35,2017-02-23,9904.0,9930.0,9840.0,9886.0,924600.0,9886.0
36,2017-02-24,9811.0,9819.0,9742.0,9754.0,1141500.0,9754.0
37,2017-02-27,9619.0,9638.0,9491.0,9560.0,1535900.0,9560.0
38,2017-02-28,9603.0,9648.0,9502.0,9503.0,1839000.0,9503.0
39,2017-03-01,9572.0,9876.0,9563.0,9850.0,2135000.0,9850.0
40,2017-03-02,10025.0,10035.0,9878.0,9893.0,1345200.0,9893.0
41,2017-03-03,9878.0,9880.0,9750.0,9798.0,1233700.0,9798.0
42,2017-03-06,9726.0,9734.0,9642.0,9690.0,878500.0,9690.0
43,2017-03-07,9630.0,9707.0,9616.0,9658.0,1076300.0,9658.0
44,2017-03-08,9672.0,9698.0,9622.0,9652.0,976700.0,9652.0
45,2017-03-09,9685.0,9689.0,9562.0,9610.0,1005000.0,9610.0
46,2017-03-10,9596.0,9691.0,9564.0,9677.0,1937200.0,9677.0
47,2017-03-13,9705.0,9760.0,9677.0,9728.0,731300.0,9728.0
48,2017-03-14,9726.0,9731.0,9648.0,9672.0,775500.0,9672.0
49,2017-03-15,9580.0,9672.0,9567.0,9648.0,839500.0,9648.0
50,2017-03-16,9582.0,9692.0,9577.0,9677.0,920800.0,9677.0
51,2017-03-17,9638.0,9725.0,9620.0,9663.0,1308500.0,9663.0
52,2017-03-21,9735.0,9735.0,9659.0,9698.0,1024800.0,9698.0
53,2017-03-22,9500.0,9576.0,9470.0,9470.0,1269300.0,9470.0
54,2017-03-23,9450.0,9539.0,9410.0,9494.0,1012100.0,9494.0
55,2017-03-24,9504.0,9660.0,9502.0,9635.0,1242800.0,9635.0
56,2017-03-27,9485.0,9577.0,9485.0,9559.0,932100.0,9559.0
57,2017-03-28,9652.0,9789.0,9625.0,9779.0,1501100.0,9779.0
58,2017-03-29,9832.0,9868.0,9776.0,9823.0,1025600.0,9823.0
59,2017-03-30,9788.0,9838.0,9666.0,9684.0,1073000.0,9684.0
60,2017-03-31,9788.0,9808.0,9644.0,9644.0,1173000.0,9644.0
61,2017-04-03,9727.0,9747.0,9666.0,9679.0,1033700.0,9679.0
62,2017-04-04,9639.0,9662.0,9472.0,9533.0,1319700.0,9533.0
63,2017-04-05,9675.0,9676.0,9548.0,9614.0,1110600.0,9614.0
64,2017-04-06,9551.0,9584.0,9416.0,9440.0,1355500.0,9440.0
65,2017-04-07,9528.0,9537.0,9372.0,9415.0,1542600.0,9415.0
66,2017-04-10,9443.0,9525.0,9424.0,9485.0,989100.0,9485.0
67,2017-04-11,9441.0,9490.0,9394.0,9458.0,887700.0,9458.0
68,2017-04-12,9397.0,9403.0,9253.0,9280.0,1381200.0,9280.0
69,2017-04-13,9174.0,9354.0,9174.0,9328.0,1427400.0,9328.0
70,2017-04-14,9400.0,9400.0,9251.0,9341.0,1438000.0,9341.0
71,2017-04-17,9250.0,9282.0,9209.0,9235.0,785000.0,9235.0
72,2017-04-18,9363.0,9433.0,9243.0,9279.0,933000.0,9279.0
73,2017-04-19,9250.0,9346.0,9247.0,9315.0,907300.0,9315.0
74,2017-04-20,9300.0,9408.0,9292.0,9293.0,1151800.0,9293.0
75,2017-04-21,9384.0,9410.0,9294.0,9360.0,1233200.0,9360.0
76,2017-04-24,9496.0,9537.0,9415.0,9456.0,1184500.0,9456.0
77,2017-04-25,9500.0,9703.0,9483.0,9690.0,1509500.0,9690.0
78,2017-04-26,9770.0,9785.0,9707.0,9755.0,1013200.0,9755.0
79,2017-04-27,9759.0,9836.0,9738.0,9807.0,1240600.0,9807.0
80,2017-04-28,9767.0,9783.0,9675.0,9684.0,1184400.0,9684.0
81,2017-05-01,9515.0,9670.0,9515.0,9660.0,1089600.0,9660.0
82,2017-05-02,9658.0,9702.0,9581.0,9598.0,1220300.0,9598.0
83,2017-05-08,9828.0,9976.0,9792.0,9947.0,2325900.0,9947.0
84,2017-05-09,9980.0,10020.0,9884.0,9903.0,1210500.0,9903.0
85,2017-05-10,9895.0,9922.0,9818.0,9871.0,1157700.0,9871.0
86,2017-05-11,9872.0,9941.0,9809.0,9896.0,983500.0,9896.0
87,2017-05-12,9906.0,9954.0,9855.0,9936.0,1590100.0,9936.0
88,2017-05-15,9870.0,9897.0,9770.0,9897.0,1002500.0,9897.0
89,2017-05-16,9985.0,9999.0,9889.0,9929.0,936200.0,9929.0
90,2017-05-17,9933.0,9952.0,9873.0,9888.0,823000.0,9888.0
91,2017-05-18,9725.0,9745.0,9610.0,9640.0,1524300.0,9640.0
92,2017-05-19,9646.0,9824.0,9588.0,9796.0,1491700.0,9796.0
93,2017-05-22,9836.0,9909.0,9806.0,9830.0,792300.0,9830.0
94,2017-05-23,9849.0,9908.0,9791.0,9815.0,725600.0,9815.0
95,2017-05-24,9935.0,9988.0,9870.0,9966.0,1412600.0,9966.0
96,2017-05-25,9966.0,9976.0,9875.0,9889.0,1007500.0,9889.0
97,2017-05-26,9889.0,9919.0,9851.0,9851.0,778600.0,9851.0
98,2017-05-29,9952.0,9989.0,9895.0,9912.0,968300.0,9912.0
99,2017-05-30,9900.0,9913.0,9792.0,9884.0,910000.0,9884.0
100,2017-05-31,9884.0,9952.0,9883.0,9932.0,1020400.0,9932.0
101,2017-06-01,9949.0,10090.0,9941.0,10075.0,1381600.0,10075.0
102,2017-06-02,10140.0,10190.0,10100.0,10150.0,1441000.0,10150.0
103,2017-06-05,10090.0,10330.0,10065.0,10240.0,1295900.0,10240.0
104,2017-06-06,10220.0,10360.0,10220.0,10310.0,1432300.0,10310.0
105,2017-06-07,10305.0,10335.0,10185.0,10185.0,1051800.0,10185.0
106,2017-06-08,10190.0,10230.0,10050.0,10050.0,1064000.0,10050.0
107,2017-06-09,10050.0,10110.0,9976.0,10065.0,1691500.0,10065.0
108,2017-06-12,9995.0,10100.0,9981.0,9995.0,707500.0,9995.0
109,2017-06-13,10060.0,10105.0,9973.0,9973.0,885100.0,9973.0
110,2017-06-14,10020.0,10055.0,9930.0,9958.0,861100.0,9958.0
111,2017-06-15,9956.0,10025.0,9904.0,9956.0,813000.0,9956.0
112,2017-06-16,9986.0,10045.0,9926.0,9930.0,1508000.0,9930.0
113,2017-06-19,9931.0,10110.0,9922.0,10060.0,859500.0,10060.0
114,2017-06-20,10160.0,10255.0,10130.0,10165.0,1047300.0,10165.0
115,2017-06-21,10160.0,10180.0,10070.0,10070.0,787300.0,10070.0
116,2017-06-22,10030.0,10125.0,10030.0,10060.0,712800.0,10060.0
117,2017-06-23,10135.0,10175.0,10055.0,10085.0,691600.0,10085.0
118,2017-06-26,10110.0,10175.0,10070.0,10095.0,624800.0,10095.0
119,2017-06-27,10130.0,10190.0,10095.0,10120.0,597500.0,10120.0
120,2017-06-28,10100.0,10245.0,10100.0,10220.0,807700.0,10220.0
121,2017-06-29,10300.0,10395.0,10295.0,10320.0,916000.0,10320.0
122,2017-06-30,10255.0,10260.0,10110.0,10185.0,1065500.0,10185.0
123,2017-07-03,10170.0,10190.0,10065.0,10140.0,766300.0,10140.0
124,2017-07-04,10150.0,10200.0,9950.0,9984.0,947100.0,9984.0
125,2017-07-05,9950.0,10040.0,9881.0,10030.0,1336900.0,10030.0
126,2017-07-06,9934.0,9965.0,9868.0,9886.0,1226400.0,9886.0
127,2017-07-07,9815.0,9959.0,9815.0,9944.0,1164400.0,9944.0
128,2017-07-10,9999.0,10025.0,9914.0,9965.0,770400.0,9965.0
129,2017-07-11,9995.0,10040.0,9956.0,10025.0,788100.0,10025.0
130,2017-07-12,9999.0,10140.0,9993.0,10130.0,1014400.0,10130.0
131,2017-07-13,10180.0,10195.0,10120.0,10150.0,704600.0,10150.0
132,2017-07-14,10190.0,10225.0,10145.0,10175.0,994600.0,10175.0
133,2017-07-18,10170.0,10185.0,10090.0,10125.0,572200.0,10125.0
134,2017-07-19,10120.0,10155.0,10100.0,10125.0,523000.0,10125.0
135,2017-07-20,10140.0,10320.0,10140.0,10300.0,863000.0,10300.0
136,2017-07-21,10240.0,10400.0,10225.0,10335.0,973400.0,10335.0
137,2017-07-24,10310.0,10395.0,10270.0,10375.0,945600.0,10375.0
138,2017-07-25,10390.0,10545.0,10385.0,10495.0,1366500.0,10495.0
139,2017-07-26,10850.0,10855.0,10255.0,10320.0,2327800.0,10320.0
140,2017-07-27,10300.0,10415.0,10230.0,10240.0,1533700.0,10240.0
141,2017-07-28,10205.0,10215.0,10020.0,10045.0,1493500.0,10045.0
142,2017-07-31,10110.0,10175.0,10080.0,10110.0,1150300.0,10110.0
143,2017-08-01,10185.0,10310.0,10145.0,10160.0,996200.0,10160.0
144,2017-08-02,10175.0,10335.0,10170.0,10310.0,716400.0,10310.0
145,2017-08-03,10290.0,10295.0,10170.0,10190.0,741600.0,10190.0
146,2017-08-04,10125.0,10145.0,10035.0,10040.0,932200.0,10040.0
147,2017-08-07,10065.0,10080.0,9994.0,10015.0,921200.0,10015.0
148,2017-08-08,10020.0,10040.0,9912.0,9956.0,1122700.0,9956.0
