,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,5470.0,5560.0,5450.0,5540.0,1143200.0,5540.0
1,2017-01-05,5520.0,5570.0,5500.0,5520.0,963000.0,5520.0
2,2017-01-06,5550.0,5700.0,5540.0,5640.0,1335500.0,5640.0
3,2017-01-10,5690.0,5780.0,5650.0,5710.0,1924100.0,5710.0
4,2017-01-11,5700.0,5740.0,5660.0,5700.0,1165800.0,5700.0
5,2017-01-12,5690.0,5690.0,5560.0,5650.0,1065800.0,5650.0
6,2017-01-13,5680.0,5710.0,5630.0,5660.0,1187600.0,5660.0
7,2017-01-16,5620.0,5660.0,5500.0,5520.0,1010700.0,5520.0
8,2017-01-17,5500.0,5560.0,5490.0,5500.0,1101800.0,5500.0
9,2017-01-18,5400.0,5410.0,5300.0,5350.0,1291000.0,5350.0
10,2017-01-19,5350.0,5380.0,5310.0,5350.0,968000.0,5350.0
11,2017-01-20,5350.0,5420.0,5340.0,5400.0,778300.0,5400.0
12,2017-01-23,5340.0,5370.0,5290.0,5330.0,1096300.0,5330.0
13,2017-01-24,5320.0,5360.0,5270.0,5280.0,817600.0,5280.0
14,2017-01-25,5330.0,5390.0,5280.0,5310.0,644600.0,5310.0
15,2017-01-26,5380.0,5390.0,5340.0,5390.0,884500.0,5390.0
16,2017-01-27,5400.0,5430.0,5370.0,5400.0,822700.0,5400.0
17,2017-01-30,5380.0,5390.0,5260.0,5300.0,1008600.0,5300.0
18,2017-01-31,5250.0,5280.0,5180.0,5220.0,1264900.0,5220.0
19,2017-02-01,5190.0,5210.0,5110.0,5210.0,1001900.0,5210.0
20,2017-02-02,5200.0,5210.0,5090.0,5100.0,1099500.0,5100.0
21,2017-02-03,5130.0,5190.0,5120.0,5160.0,945800.0,5160.0
22,2017-02-06,5150.0,5190.0,5110.0,5170.0,975600.0,5170.0
23,2017-02-07,5130.0,5230.0,5110.0,5190.0,778400.0,5190.0
24,2017-02-08,5200.0,5280.0,5160.0,5280.0,935200.0,5280.0
25,2017-02-09,5220.0,5230.0,5170.0,5210.0,780200.0,5210.0
26,2017-02-10,5310.0,5340.0,5280.0,5320.0,1057200.0,5320.0
27,2017-02-13,5390.0,5470.0,5360.0,5420.0,842900.0,5420.0
28,2017-02-14,5420.0,5480.0,5360.0,5370.0,836100.0,5370.0
29,2017-02-15,5870.0,5930.0,5670.0,5820.0,2551600.0,5820.0
30,2017-02-16,5830.0,5950.0,5820.0,5880.0,1364200.0,5880.0
31,2017-02-17,5920.0,5970.0,5900.0,5940.0,816100.0,5940.0
32,2017-02-20,5860.0,5980.0,5850.0,5970.0,800400.0,5970.0
33,2017-02-21,5970.0,6190.0,5970.0,6120.0,1388100.0,6120.0
34,2017-02-22,6080.0,6290.0,6070.0,6200.0,1510700.0,6200.0
35,2017-02-23,6180.0,6260.0,6100.0,6150.0,990600.0,6150.0
36,2017-02-24,6190.0,6250.0,6150.0,6230.0,1104300.0,6230.0
37,2017-02-27,6170.0,6230.0,6120.0,6180.0,1259000.0,6180.0
38,2017-02-28,6200.0,6320.0,6200.0,6220.0,1473100.0,6220.0
39,2017-03-01,6210.0,6270.0,6140.0,6250.0,1144300.0,6250.0
40,2017-03-02,6300.0,6310.0,6190.0,6230.0,1508400.0,6230.0
41,2017-03-03,6210.0,6270.0,6180.0,6250.0,951200.0,6250.0
42,2017-03-06,6190.0,6220.0,6150.0,6180.0,778600.0,6180.0
43,2017-03-07,6140.0,6180.0,6080.0,6180.0,970800.0,6180.0
44,2017-03-08,6140.0,6220.0,6140.0,6190.0,1072200.0,6190.0
45,2017-03-09,6150.0,6230.0,6140.0,6210.0,1040100.0,6210.0
46,2017-03-10,6210.0,6440.0,6210.0,6400.0,2118900.0,6400.0
47,2017-03-13,6310.0,6390.0,6280.0,6330.0,1124500.0,6330.0
48,2017-03-14,6300.0,6300.0,6210.0,6240.0,837300.0,6240.0
49,2017-03-15,6150.0,6220.0,6140.0,6220.0,1235200.0,6220.0
50,2017-03-16,6130.0,6270.0,6120.0,6220.0,915300.0,6220.0
51,2017-03-17,6180.0,6190.0,6090.0,6130.0,1093100.0,6130.0
52,2017-03-21,6060.0,6210.0,6040.0,6180.0,786500.0,6180.0
