,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,595.0,611.0,581.0,588.0,233000.0,147.0
1,2017-01-05,590.0,608.0,580.0,586.0,415000.0,146.5
2,2017-01-06,595.0,595.0,583.0,589.0,192200.0,147.3
3,2017-01-10,595.0,634.0,594.0,624.0,636300.0,156.0
4,2017-01-11,620.0,623.0,606.0,613.0,297000.0,153.3
5,2017-01-12,625.0,682.0,624.0,660.0,1872300.0,165.0
6,2017-01-13,650.0,678.0,645.0,662.0,843900.0,165.5
7,2017-01-16,685.0,713.0,658.0,671.0,844400.0,167.8
8,2017-01-17,666.0,676.0,645.0,658.0,460300.0,164.5
9,2017-01-18,654.0,677.0,645.0,676.0,357800.0,169.0
10,2017-01-19,684.0,688.0,659.0,670.0,339200.0,167.5
11,2017-01-20,667.0,681.0,647.0,668.0,402500.0,167.0
12,2017-01-23,664.0,673.0,658.0,663.0,173100.0,165.8
13,2017-01-24,654.0,672.0,654.0,660.0,193600.0,165.0
14,2017-01-25,669.0,709.0,655.0,696.0,807400.0,174.0
15,2017-01-26,710.0,710.0,683.0,699.0,624600.0,174.8
16,2017-01-27,706.0,706.0,687.0,689.0,234000.0,172.3
17,2017-01-30,686.0,707.0,676.0,706.0,357100.0,176.5
18,2017-01-31,698.0,717.0,691.0,693.0,394500.0,173.3
19,2017-02-01,684.0,694.0,667.0,678.0,362000.0,169.5
20,2017-02-02,674.0,684.0,663.0,666.0,217800.0,166.5
21,2017-02-03,666.0,674.0,655.0,664.0,220300.0,166.0
22,2017-02-06,670.0,672.0,659.0,670.0,118300.0,167.5
23,2017-02-07,672.0,681.0,667.0,671.0,198600.0,167.8
24,2017-02-08,672.0,672.0,663.0,672.0,137400.0,168.0
25,2017-02-09,668.0,672.0,663.0,671.0,117700.0,167.8
26,2017-02-10,672.0,683.0,671.0,681.0,168900.0,170.3
27,2017-02-13,687.0,690.0,674.0,686.0,241400.0,171.5
28,2017-02-14,690.0,690.0,678.0,680.0,183200.0,170.0
29,2017-02-15,643.0,670.0,642.0,657.0,444900.0,164.3
30,2017-02-16,660.0,660.0,647.0,657.0,156700.0,164.3
31,2017-02-17,649.0,653.0,643.0,651.0,165100.0,162.8
32,2017-02-20,642.0,652.0,642.0,651.0,135300.0,162.8
33,2017-02-21,661.0,661.0,649.0,656.0,115700.0,164.0
34,2017-02-22,660.0,660.0,646.0,648.0,111900.0,162.0
35,2017-02-23,650.0,653.0,633.0,638.0,228500.0,159.5
36,2017-02-24,636.0,637.0,627.0,632.0,139400.0,158.0
37,2017-02-27,629.0,629.0,615.0,622.0,234600.0,155.5
38,2017-02-28,626.0,644.0,626.0,627.0,191100.0,156.8
39,2017-03-01,625.0,631.0,610.0,629.0,230800.0,157.3
40,2017-03-02,637.0,638.0,625.0,633.0,154400.0,158.3
41,2017-03-03,630.0,637.0,629.0,634.0,105700.0,158.5
42,2017-03-06,632.0,638.0,625.0,630.0,92000.0,157.5
43,2017-03-07,632.0,633.0,626.0,628.0,138500.0,157.0
44,2017-03-08,627.0,628.0,617.0,623.0,153500.0,155.8
45,2017-03-09,623.0,624.0,613.0,616.0,141400.0,154.0
46,2017-03-10,624.0,626.0,610.0,615.0,177900.0,153.8
47,2017-03-13,611.0,638.0,611.0,615.0,298000.0,153.8
48,2017-03-14,615.0,615.0,601.0,608.0,147100.0,152.0
49,2017-03-15,613.0,613.0,592.0,596.0,223800.0,149.0
50,2017-03-16,591.0,594.0,584.0,591.0,185000.0,147.8
51,2017-03-17,587.0,591.0,582.0,591.0,154200.0,147.8
52,2017-03-21,591.0,593.0,584.0,589.0,144300.0,147.3
53,2017-03-22,581.0,582.0,569.0,570.0,216300.0,142.5
54,2017-03-23,565.0,575.0,565.0,571.0,135100.0,142.8
55,2017-03-24,573.0,583.0,572.0,583.0,100600.0,145.8
56,2017-03-27,584.0,585.0,571.0,583.0,219200.0,145.8
57,2017-03-28,586.0,587.0,578.0,586.0,144600.0,146.5
