,日付,始値,高値,安値,終値,出来高,終値調整
0,2018-05-31,1645.0,2044.0,1639.0,1999.0,15242400.0,1999.0
1,2018-06-01,2118.0,2230.0,2050.0,2222.0,6264000.0,2222.0
2,2018-06-04,2216.0,2216.0,2065.0,2065.0,1455700.0,2065.0
3,2018-06-05,2015.0,2250.0,1895.0,2230.0,3437800.0,2230.0
4,2018-06-06,2250.0,2266.0,2036.0,2063.0,1115900.0,2063.0
5,2018-06-07,2113.0,2236.0,2081.0,2104.0,1178500.0,2104.0
6,2018-06-08,2120.0,2133.0,1990.0,2044.0,675800.0,2044.0
7,2018-06-11,2050.0,2079.0,2004.0,2055.0,185000.0,2055.0
8,2018-06-12,2045.0,2079.0,2016.0,2073.0,149400.0,2073.0
9,2018-06-13,2085.0,2135.0,2076.0,2112.0,309800.0,2112.0
10,2018-06-14,2135.0,2434.0,2119.0,2303.0,1586900.0,2303.0
11,2018-06-15,2399.0,2530.0,2369.0,2502.0,1546100.0,2502.0
12,2018-06-18,2552.0,2855.0,2525.0,2851.0,1983100.0,2851.0
13,2018-06-19,2734.0,2937.0,2665.0,2846.0,2074000.0,2846.0
14,2018-06-20,2963.0,3100.0,2867.0,2895.0,1778600.0,2895.0
15,2018-06-21,2920.0,2970.0,2700.0,2710.0,840300.0,2710.0
16,2018-06-22,2596.0,2790.0,2556.0,2790.0,467800.0,2790.0
17,2018-06-25,2750.0,2785.0,2460.0,2506.0,312100.0,2506.0
18,2018-06-26,2384.0,2574.0,2306.0,2512.0,585700.0,2512.0
19,2018-06-27,2481.0,2490.0,2300.0,2300.0,295500.0,2300.0
20,2018-06-28,2300.0,2380.0,2160.0,2200.0,373500.0,2200.0
21,2018-06-29,2225.0,2548.0,2225.0,2447.0,680900.0,2447.0
22,2018-07-02,2472.0,2679.0,2472.0,2613.0,664000.0,2613.0
23,2018-07-03,2690.0,2690.0,2480.0,2555.0,335200.0,2555.0
24,2018-07-04,2655.0,2870.0,2577.0,2805.0,1254400.0,2805.0
25,2018-07-05,2835.0,2870.0,2600.0,2749.0,542300.0,2749.0
26,2018-07-06,2790.0,2815.0,2583.0,2645.0,332100.0,2645.0
27,2018-07-09,2648.0,2845.0,2648.0,2741.0,339800.0,2741.0
28,2018-07-10,2785.0,2939.0,2725.0,2738.0,425900.0,2738.0
29,2018-07-11,2741.0,3095.0,2625.0,3040.0,999300.0,3040.0
30,2018-07-12,3065.0,3070.0,2891.0,2950.0,519200.0,2950.0
31,2018-07-13,2998.0,3075.0,2786.0,2850.0,558700.0,2850.0
32,2018-07-17,3095.0,3100.0,2736.0,2766.0,626200.0,2766.0
33,2018-07-18,2799.0,2927.0,2795.0,2814.0,412600.0,2814.0
34,2018-07-19,2820.0,2835.0,2660.0,2660.0,460500.0,2660.0
35,2018-07-20,2660.0,2760.0,2588.0,2736.0,310300.0,2736.0
36,2018-07-23,2800.0,2980.0,2790.0,2980.0,706900.0,2980.0
37,2018-07-24,2970.0,2980.0,2815.0,2863.0,288700.0,2863.0
38,2018-07-25,2840.0,2859.0,2791.0,2857.0,95000.0,2857.0
39,2018-07-26,2857.0,2857.0,2765.0,2804.0,138900.0,2804.0
40,2018-07-27,2904.0,2934.0,2750.0,2750.0,294300.0,2750.0
41,2018-07-30,2783.0,2870.0,2725.0,2829.0,163100.0,2829.0
42,2018-07-31,2790.0,2938.0,2787.0,2930.0,221700.0,2930.0
43,2018-08-01,2915.0,2940.0,2824.0,2833.0,137400.0,2833.0
44,2018-08-02,2883.0,2883.0,2770.0,2810.0,89300.0,2810.0
45,2018-08-03,2789.0,2878.0,2769.0,2775.0,69000.0,2775.0
46,2018-08-06,2764.0,2834.0,2761.0,2792.0,70700.0,2792.0
47,2018-08-07,2829.0,2868.0,2792.0,2859.0,109200.0,2859.0
48,2018-08-08,2852.0,2938.0,2852.0,2927.0,166900.0,2927.0
49,2018-08-09,2933.0,2940.0,2869.0,2925.0,83400.0,2925.0
50,2018-08-10,2950.0,2984.0,2790.0,2790.0,194400.0,2790.0
