,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,5483.0,5535.0,5461.0,5500.0,2678100.0,5500.0
1,2017-01-05,5500.0,5549.0,5492.0,5535.0,2399500.0,5535.0
2,2017-01-06,5550.0,5579.0,5536.0,5576.0,1727400.0,5576.0
3,2017-01-10,5550.0,5566.0,5479.0,5480.0,2123400.0,5480.0
4,2017-01-11,5453.0,5477.0,5396.0,5399.0,2786900.0,5399.0
5,2017-01-12,5344.0,5351.0,5277.0,5295.0,3104300.0,5295.0
6,2017-01-13,5300.0,5399.0,5300.0,5381.0,2155400.0,5381.0
7,2017-01-16,5355.0,5420.0,5352.0,5373.0,1215500.0,5373.0
8,2017-01-17,5422.0,5425.0,5347.0,5354.0,1892300.0,5354.0
9,2017-01-18,5400.0,5412.0,5353.0,5380.0,2270500.0,5380.0
10,2017-01-19,5450.0,5468.0,5425.0,5441.0,2408000.0,5441.0
11,2017-01-20,5458.0,5469.0,5393.0,5393.0,1755700.0,5393.0
12,2017-01-23,5303.0,5336.0,5300.0,5302.0,2102900.0,5302.0
13,2017-01-24,5258.0,5335.0,5255.0,5309.0,1692000.0,5309.0
14,2017-01-25,5406.0,5440.0,5368.0,5418.0,1830900.0,5418.0
15,2017-01-26,5500.0,5560.0,5480.0,5560.0,2967700.0,5560.0
16,2017-01-27,5600.0,5604.0,5543.0,5567.0,2547800.0,5567.0
17,2017-01-30,5546.0,5600.0,5534.0,5600.0,1518900.0,5600.0
18,2017-01-31,5589.0,5624.0,5576.0,5583.0,2277800.0,5583.0
19,2017-02-01,5584.0,5624.0,5563.0,5624.0,1594600.0,5624.0
20,2017-02-02,5601.0,5630.0,5579.0,5598.0,1962400.0,5598.0
21,2017-02-03,5730.0,5848.0,5729.0,5843.0,4401000.0,5843.0
22,2017-02-06,5855.0,5871.0,5776.0,5830.0,1755700.0,5830.0
23,2017-02-07,5829.0,5884.0,5824.0,5863.0,1735700.0,5863.0
24,2017-02-08,5873.0,5875.0,5802.0,5819.0,1485000.0,5819.0
25,2017-02-09,5787.0,5800.0,5761.0,5765.0,1490700.0,5765.0
26,2017-02-10,5828.0,5839.0,5761.0,5794.0,1890200.0,5794.0
27,2017-02-13,5819.0,5821.0,5774.0,5774.0,1618500.0,5774.0
28,2017-02-14,5746.0,5746.0,5654.0,5655.0,2100600.0,5655.0
29,2017-02-15,5698.0,5718.0,5668.0,5690.0,1104700.0,5690.0
30,2017-02-16,5700.0,5704.0,5647.0,5674.0,1014900.0,5674.0
31,2017-02-17,5661.0,5697.0,5625.0,5696.0,1054800.0,5696.0
32,2017-02-20,5720.0,5736.0,5684.0,5727.0,1338500.0,5727.0
33,2017-02-21,5707.0,5717.0,5690.0,5710.0,1140100.0,5710.0
34,2017-02-22,5709.0,5711.0,5662.0,5671.0,1495000.0,5671.0
35,2017-02-23,5672.0,5708.0,5662.0,5704.0,943800.0,5704.0
36,2017-02-24,5709.0,5749.0,5687.0,5720.0,970300.0,5720.0
37,2017-02-27,5737.0,5810.0,5719.0,5780.0,1673300.0,5780.0
38,2017-02-28,5800.0,5867.0,5789.0,5801.0,2146200.0,5801.0
39,2017-03-01,5820.0,5889.0,5811.0,5865.0,1604000.0,5865.0
40,2017-03-02,5902.0,5949.0,5897.0,5927.0,1812100.0,5927.0
41,2017-03-03,5950.0,5964.0,5915.0,5942.0,1872000.0,5942.0
42,2017-03-06,5940.0,5994.0,5930.0,5972.0,1233700.0,5972.0
43,2017-03-07,5996.0,6010.0,5928.0,5964.0,2042900.0,5964.0
44,2017-03-08,5984.0,5984.0,5930.0,5970.0,1536200.0,5970.0
45,2017-03-09,5955.0,5960.0,5921.0,5932.0,1539500.0,5932.0
46,2017-03-10,5962.0,6034.0,5947.0,5978.0,2682400.0,5978.0
47,2017-03-13,5961.0,6025.0,5954.0,6015.0,981200.0,6015.0
48,2017-03-14,6008.0,6041.0,6000.0,6013.0,1144400.0,6013.0
49,2017-03-15,6024.0,6083.0,6021.0,6064.0,1514100.0,6064.0
50,2017-03-16,6019.0,6057.0,6015.0,6049.0,1282200.0,6049.0
51,2017-03-17,6069.0,6094.0,6035.0,6072.0,1889400.0,6072.0
52,2017-03-21,6049.0,6098.0,6011.0,6049.0,1240300.0,6049.0
53,2017-03-22,5939.0,6061.0,5939.0,6042.0,1840300.0,6042.0
54,2017-03-23,6036.0,6096.0,6028.0,6089.0,1879400.0,6089.0
55,2017-03-24,6112.0,6200.0,6091.0,6179.0,2809200.0,6179.0
56,2017-03-27,6079.0,6135.0,6069.0,6124.0,2029300.0,6124.0
57,2017-03-28,6186.0,6240.0,6154.0,6198.0,2269800.0,6198.0
58,2017-03-29,6198.0,6245.0,6174.0,6245.0,1428700.0,6245.0
59,2017-03-30,6217.0,6269.0,6186.0,6221.0,1776200.0,6221.0
60,2017-03-31,6269.0,6269.0,6104.0,6104.0,2091000.0,6104.0
61,2017-04-03,6114.0,6187.0,6100.0,6176.0,1485000.0,6176.0
62,2017-04-04,6181.0,6211.0,6116.0,6159.0,1616900.0,6159.0
63,2017-04-05,6213.0,6227.0,6125.0,6145.0,1482800.0,6145.0
64,2017-04-06,6143.0,6168.0,6071.0,6100.0,1518800.0,6100.0
65,2017-04-07,6171.0,6287.0,6152.0,6254.0,2486900.0,6254.0
66,2017-04-10,6299.0,6300.0,6179.0,6205.0,1306500.0,6205.0
67,2017-04-11,6219.0,6250.0,6186.0,6209.0,1115500.0,6209.0
68,2017-04-12,6164.0,6200.0,6127.0,6179.0,1677100.0,6179.0
69,2017-04-13,6137.0,6169.0,6087.0,6109.0,1584800.0,6109.0
70,2017-04-14,6150.0,6160.0,6005.0,6028.0,1975900.0,6028.0
71,2017-04-17,6021.0,6100.0,6001.0,6097.0,1013700.0,6097.0
72,2017-04-18,6110.0,6131.0,6064.0,6110.0,1106800.0,6110.0
73,2017-04-19,6149.0,6163.0,6089.0,6099.0,1456400.0,6099.0
74,2017-04-20,6094.0,6144.0,6088.0,6126.0,1841600.0,6126.0
75,2017-04-21,6150.0,6154.0,6104.0,6138.0,1361900.0,6138.0
76,2017-04-24,6169.0,6174.0,6099.0,6134.0,1500500.0,6134.0
77,2017-04-25,6128.0,6193.0,6112.0,6151.0,1672700.0,6151.0
78,2017-04-26,6083.0,6150.0,6081.0,6140.0,1779500.0,6140.0
79,2017-04-27,6300.0,6317.0,6146.0,6169.0,3760200.0,6169.0
80,2017-04-28,6193.0,6193.0,6136.0,6148.0,1861700.0,6148.0
81,2017-05-01,6147.0,6180.0,6098.0,6105.0,1694900.0,6105.0
82,2017-05-02,6116.0,6172.0,6112.0,6128.0,1230900.0,6128.0
83,2017-05-08,6248.0,6446.0,6215.0,6444.0,3875400.0,6444.0
84,2017-05-09,6450.0,6500.0,6421.0,6500.0,2511900.0,6500.0
85,2017-05-10,6500.0,6594.0,6492.0,6594.0,2348100.0,6594.0
86,2017-05-11,6639.0,6712.0,6627.0,6712.0,3130400.0,6712.0
87,2017-05-12,6712.0,6746.0,6624.0,6690.0,2487000.0,6690.0
88,2017-05-15,6677.0,6767.0,6636.0,6767.0,2027900.0,6767.0
89,2017-05-16,6778.0,6818.0,6733.0,6776.0,1904200.0,6776.0
90,2017-05-17,6761.0,6829.0,6588.0,6791.0,2284500.0,6791.0
91,2017-05-18,6740.0,6846.0,6731.0,6846.0,2928600.0,6846.0
92,2017-05-19,6846.0,6890.0,6811.0,6868.0,2572600.0,6868.0
93,2017-05-22,6897.0,6898.0,6840.0,6888.0,1407000.0,6888.0
94,2017-05-23,6910.0,6931.0,6879.0,6899.0,1488000.0,6899.0
95,2017-05-24,6919.0,6920.0,6819.0,6860.0,1686100.0,6860.0
96,2017-05-25,6793.0,6892.0,6782.0,6875.0,2079900.0,6875.0
97,2017-05-26,6862.0,6924.0,6853.0,6893.0,1455100.0,6893.0
98,2017-05-29,6861.0,6931.0,6856.0,6908.0,922800.0,6908.0
99,2017-05-30,6907.0,7047.0,6906.0,6974.0,1919300.0,6974.0
100,2017-05-31,6957.0,7032.0,6936.0,6983.0,2311100.0,6983.0
101,2017-06-01,6919.0,7007.0,6919.0,7000.0,1527100.0,7000.0
102,2017-06-02,6996.0,7041.0,6960.0,7011.0,2122500.0,7011.0
103,2017-06-05,6977.0,7175.0,6976.0,7163.0,1416900.0,7163.0
104,2017-06-06,7163.0,7165.0,7092.0,7101.0,1313400.0,7101.0
105,2017-06-07,7101.0,7178.0,7097.0,7155.0,1843600.0,7155.0
106,2017-06-08,7100.0,7112.0,6981.0,6990.0,2045100.0,6990.0
107,2017-06-09,6850.0,6885.0,6800.0,6850.0,3737900.0,6850.0
108,2017-06-12,6826.0,6881.0,6817.0,6856.0,2142600.0,6856.0
109,2017-06-13,6860.0,6934.0,6849.0,6871.0,1356200.0,6871.0
110,2017-06-14,6851.0,6876.0,6816.0,6818.0,1511000.0,6818.0
111,2017-06-15,6824.0,6904.0,6821.0,6887.0,1538000.0,6887.0
