,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,6190.0,6200.0,6080.0,6160.0,688100.0,3080.0
1,2017-01-05,6150.0,6260.0,6110.0,6160.0,761800.0,3080.0
2,2017-01-06,6110.0,6200.0,6090.0,6150.0,520700.0,3075.0
3,2017-01-10,6200.0,6320.0,6190.0,6250.0,854100.0,3125.0
4,2017-01-11,6300.0,6300.0,6120.0,6190.0,581700.0,3095.0
5,2017-01-12,6100.0,6130.0,5990.0,6020.0,625200.0,3010.0
6,2017-01-13,5970.0,6120.0,5960.0,6090.0,561800.0,3045.0
7,2017-01-16,6100.0,6100.0,6010.0,6050.0,396200.0,3025.0
8,2017-01-17,6030.0,6090.0,5980.0,6010.0,406300.0,3005.0
9,2017-01-18,5980.0,6000.0,5860.0,5900.0,481200.0,2950.0
10,2017-01-19,5870.0,5950.0,5800.0,5820.0,563500.0,2910.0
11,2017-01-20,5820.0,5940.0,5800.0,5900.0,455700.0,2950.0
12,2017-01-23,5860.0,5920.0,5720.0,5750.0,472500.0,2875.0
13,2017-01-24,5690.0,5780.0,5670.0,5700.0,437100.0,2850.0
14,2017-01-25,5770.0,5810.0,5690.0,5740.0,443800.0,2870.0
15,2017-01-26,5800.0,5850.0,5760.0,5830.0,438100.0,2915.0
16,2017-01-27,5850.0,5850.0,5690.0,5740.0,510700.0,2870.0
17,2017-01-30,5710.0,5740.0,5590.0,5690.0,878400.0,2845.0
18,2017-01-31,5670.0,5690.0,5580.0,5600.0,412500.0,2800.0
19,2017-02-01,5630.0,5700.0,5590.0,5680.0,439500.0,2840.0
20,2017-02-02,5700.0,5850.0,5670.0,5760.0,546200.0,2880.0
21,2017-02-03,5760.0,5820.0,5680.0,5700.0,373400.0,2850.0
22,2017-02-06,5750.0,5750.0,5600.0,5650.0,323000.0,2825.0
23,2017-02-07,5640.0,5690.0,5600.0,5650.0,273800.0,2825.0
24,2017-02-08,5650.0,5680.0,5600.0,5660.0,259800.0,2830.0
25,2017-02-09,5610.0,5680.0,5610.0,5630.0,234500.0,2815.0
26,2017-02-10,5700.0,5780.0,5660.0,5770.0,413200.0,2885.0
27,2017-02-13,5840.0,5850.0,5710.0,5770.0,316800.0,2885.0
28,2017-02-14,5780.0,5790.0,5670.0,5680.0,322700.0,2840.0
29,2017-02-15,5770.0,5770.0,5470.0,5530.0,918600.0,2765.0
30,2017-02-16,5530.0,5570.0,5400.0,5420.0,581700.0,2710.0
31,2017-02-17,5360.0,5450.0,5280.0,5400.0,502400.0,2700.0
32,2017-02-20,5370.0,5390.0,5290.0,5330.0,437100.0,2665.0
