,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,3205.0,3225.0,3180.0,3195.0,836300.0,3195.0
1,2017-01-05,3165.0,3200.0,3140.0,3200.0,705800.0,3200.0
2,2017-01-06,3205.0,3240.0,3195.0,3230.0,710800.0,3230.0
3,2017-01-10,3240.0,3245.0,3185.0,3200.0,601300.0,3200.0
4,2017-01-11,3170.0,3180.0,3150.0,3165.0,557400.0,3165.0
5,2017-01-12,3145.0,3170.0,3100.0,3115.0,743600.0,3115.0
6,2017-01-13,3105.0,3125.0,3085.0,3090.0,981500.0,3090.0
7,2017-01-16,3095.0,3130.0,3080.0,3110.0,572600.0,3110.0
8,2017-01-17,3095.0,3100.0,3040.0,3055.0,606600.0,3055.0
9,2017-01-18,3060.0,3085.0,3030.0,3045.0,806100.0,3045.0
10,2017-01-19,3075.0,3080.0,3015.0,3025.0,855400.0,3025.0
11,2017-01-20,3050.0,3060.0,3035.0,3050.0,615400.0,3050.0
12,2017-01-23,3045.0,3050.0,3000.0,3010.0,698900.0,3010.0
13,2017-01-24,3010.0,3035.0,3000.0,3020.0,757100.0,3020.0
14,2017-01-25,3040.0,3050.0,3000.0,3010.0,603300.0,3010.0
15,2017-01-26,3050.0,3090.0,3040.0,3080.0,617900.0,3080.0
16,2017-01-27,3095.0,3110.0,3060.0,3090.0,665800.0,3090.0
17,2017-01-30,3080.0,3115.0,3065.0,3095.0,553100.0,3095.0
18,2017-01-31,3100.0,3130.0,3090.0,3115.0,986300.0,3115.0
19,2017-02-01,3095.0,3100.0,3060.0,3100.0,630600.0,3100.0
20,2017-02-02,3110.0,3115.0,3075.0,3090.0,731700.0,3090.0
21,2017-02-03,3110.0,3115.0,3060.0,3085.0,547300.0,3085.0
22,2017-02-06,3090.0,3095.0,3065.0,3080.0,377000.0,3080.0
23,2017-02-07,3070.0,3095.0,3055.0,3075.0,595400.0,3075.0
24,2017-02-08,3095.0,3110.0,3070.0,3100.0,542600.0,3100.0
25,2017-02-09,3105.0,3135.0,3100.0,3120.0,646600.0,3120.0
26,2017-02-10,3140.0,3145.0,3095.0,3105.0,641800.0,3105.0
27,2017-02-13,3130.0,3145.0,3105.0,3130.0,390300.0,3130.0
28,2017-02-14,3105.0,3130.0,3050.0,3060.0,729700.0,3060.0
29,2017-02-15,3095.0,3100.0,3060.0,3080.0,390500.0,3080.0
30,2017-02-16,3080.0,3080.0,3040.0,3070.0,465900.0,3070.0
31,2017-02-17,3080.0,3100.0,3050.0,3075.0,535800.0,3075.0
32,2017-02-20,3100.0,3100.0,3065.0,3095.0,509500.0,3095.0
33,2017-02-21,3085.0,3095.0,3070.0,3085.0,416100.0,3085.0
34,2017-02-22,3065.0,3075.0,3055.0,3070.0,375800.0,3070.0
35,2017-02-23,3075.0,3100.0,3065.0,3095.0,349400.0,3095.0
36,2017-02-24,3090.0,3160.0,3080.0,3135.0,652600.0,3135.0
37,2017-02-27,3130.0,3190.0,3125.0,3145.0,919300.0,3145.0
38,2017-02-28,3180.0,3195.0,3155.0,3155.0,561000.0,3155.0
39,2017-03-01,3085.0,3120.0,2995.0,3020.0,2395800.0,3020.0
40,2017-03-02,3005.0,3020.0,2976.0,2990.0,1971400.0,2990.0
41,2017-03-03,2999.0,3010.0,2956.0,2969.0,1145900.0,2969.0
42,2017-03-06,2990.0,3005.0,2975.0,2985.0,641400.0,2985.0
43,2017-03-07,2977.0,2993.0,2968.0,2993.0,837000.0,2993.0
44,2017-03-08,2977.0,2978.0,2946.0,2951.0,1123300.0,2951.0
45,2017-03-09,2950.0,2956.0,2929.0,2930.0,738200.0,2930.0
