,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2910.0,2986.0,2880.0,2930.0,1570300.0,2930.0
1,2017-01-05,2930.0,2967.0,2898.0,2965.0,997000.0,2965.0
2,2017-01-06,2956.0,3030.0,2954.0,3010.0,1080400.0,3010.0
3,2017-01-10,3020.0,3050.0,3005.0,3010.0,997300.0,3010.0
4,2017-01-11,3010.0,3025.0,2963.0,2969.0,659800.0,2969.0
5,2017-01-12,2951.0,2952.0,2861.0,2876.0,1467300.0,2876.0
6,2017-01-13,2883.0,2969.0,2883.0,2968.0,927700.0,2968.0
7,2017-01-16,2958.0,2977.0,2946.0,2966.0,573000.0,2966.0
8,2017-01-17,2985.0,2986.0,2940.0,2950.0,618600.0,2950.0
9,2017-01-18,2942.0,2961.0,2919.0,2945.0,413200.0,2945.0
10,2017-01-19,2960.0,2963.0,2911.0,2933.0,732400.0,2933.0
11,2017-01-20,2932.0,2986.0,2920.0,2976.0,671400.0,2976.0
12,2017-01-23,2990.0,3040.0,2990.0,3015.0,1070500.0,3015.0
13,2017-01-24,3020.0,3070.0,3020.0,3050.0,1061900.0,3050.0
14,2017-01-25,3090.0,3090.0,3015.0,3035.0,1109500.0,3035.0
15,2017-01-26,3050.0,3055.0,2998.0,3050.0,932500.0,3050.0
16,2017-01-27,2850.0,2905.0,2807.0,2850.0,4129800.0,2850.0
17,2017-01-30,2850.0,2859.0,2793.0,2799.0,2231000.0,2799.0
18,2017-01-31,2799.0,2815.0,2792.0,2799.0,1522600.0,2799.0
19,2017-02-01,2806.0,2910.0,2803.0,2889.0,1779000.0,2889.0
20,2017-02-02,2899.0,2928.0,2881.0,2905.0,1397300.0,2905.0
21,2017-02-03,2920.0,2943.0,2882.0,2910.0,904600.0,2910.0
22,2017-02-06,2894.0,2922.0,2872.0,2922.0,622900.0,2922.0
23,2017-02-07,2913.0,2934.0,2882.0,2922.0,733000.0,2922.0
24,2017-02-08,2922.0,2973.0,2914.0,2962.0,815900.0,2962.0
25,2017-02-09,2948.0,2975.0,2934.0,2965.0,597200.0,2965.0
26,2017-02-10,2991.0,3060.0,2984.0,3055.0,1184700.0,3055.0
27,2017-02-13,3075.0,3110.0,3060.0,3070.0,1401400.0,3070.0
28,2017-02-14,3070.0,3100.0,3010.0,3025.0,1206900.0,3025.0
29,2017-02-15,3050.0,3080.0,3015.0,3070.0,627000.0,3070.0
30,2017-02-16,3070.0,3080.0,3015.0,3030.0,572600.0,3030.0
31,2017-02-17,2960.0,3010.0,2939.0,2995.0,1391200.0,2995.0
32,2017-02-20,2994.0,3040.0,2976.0,3010.0,519700.0,3010.0
33,2017-02-21,3020.0,3060.0,3010.0,3060.0,498400.0,3060.0
34,2017-02-22,3060.0,3080.0,3025.0,3030.0,578500.0,3030.0
35,2017-02-23,3135.0,3245.0,3120.0,3190.0,2795600.0,3190.0
36,2017-02-24,3175.0,3235.0,3155.0,3220.0,1162800.0,3220.0
37,2017-02-27,3175.0,3180.0,3110.0,3165.0,1171000.0,3165.0
38,2017-02-28,3145.0,3175.0,3125.0,3125.0,704800.0,3125.0
39,2017-03-01,3105.0,3165.0,3075.0,3160.0,820200.0,3160.0
