,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4479.0,4558.0,4470.0,4551.0,1878900.0,4551.0
1,2017-01-05,4554.0,4560.0,4486.0,4503.0,1424700.0,4503.0
2,2017-01-06,4494.0,4534.0,4487.0,4507.0,1216200.0,4507.0
3,2017-01-10,4490.0,4490.0,4444.0,4453.0,1601500.0,4453.0
4,2017-01-11,4471.0,4487.0,4456.0,4480.0,906200.0,4480.0
5,2017-01-12,4451.0,4460.0,4409.0,4432.0,1118200.0,4432.0
6,2017-01-13,4450.0,4455.0,4425.0,4453.0,1423600.0,4453.0
7,2017-01-16,4436.0,4461.0,4394.0,4414.0,1130200.0,4414.0
8,2017-01-17,4398.0,4400.0,4326.0,4330.0,1302600.0,4330.0
9,2017-01-18,4305.0,4344.0,4254.0,4308.0,1785300.0,4308.0
10,2017-01-19,4358.0,4375.0,4308.0,4330.0,1548800.0,4330.0
11,2017-01-20,4316.0,4337.0,4305.0,4323.0,1196100.0,4323.0
12,2017-01-23,4322.0,4367.0,4286.0,4333.0,1782300.0,4333.0
13,2017-01-24,4288.0,4331.0,4285.0,4297.0,1508200.0,4297.0
14,2017-01-25,4358.0,4363.0,4293.0,4318.0,1514200.0,4318.0
15,2017-01-26,4357.0,4390.0,4338.0,4385.0,1706800.0,4385.0
16,2017-01-27,4404.0,4419.0,4394.0,4411.0,1220200.0,4411.0
17,2017-01-30,4411.0,4451.0,4411.0,4440.0,1131200.0,4440.0
18,2017-01-31,4350.0,4400.0,4330.0,4375.0,1803500.0,4375.0
19,2017-02-01,4150.0,4165.0,4083.0,4161.0,4786200.0,4161.0
20,2017-02-02,4220.0,4262.0,4188.0,4200.0,2794600.0,4200.0
21,2017-02-03,4230.0,4245.0,4177.0,4210.0,1817000.0,4210.0
22,2017-02-06,4250.0,4257.0,4208.0,4235.0,1493600.0,4235.0
23,2017-02-07,4210.0,4270.0,4203.0,4252.0,1322000.0,4252.0
24,2017-02-08,4250.0,4290.0,4239.0,4290.0,1163700.0,4290.0
25,2017-02-09,4261.0,4287.0,4246.0,4269.0,912100.0,4269.0
26,2017-02-10,4339.0,4373.0,4323.0,4363.0,1707000.0,4363.0
27,2017-02-13,4390.0,4401.0,4369.0,4391.0,1043700.0,4391.0
28,2017-02-14,4408.0,4410.0,4349.0,4351.0,1053500.0,4351.0
29,2017-02-15,4406.0,4425.0,4399.0,4412.0,910500.0,4412.0
30,2017-02-16,4427.0,4443.0,4372.0,4410.0,1249100.0,4410.0
31,2017-02-17,4375.0,4410.0,4373.0,4400.0,1094800.0,4400.0
32,2017-02-20,4374.0,4374.0,4345.0,4360.0,1291400.0,4360.0
33,2017-02-21,4320.0,4354.0,4315.0,4327.0,1204300.0,4327.0
34,2017-02-22,4331.0,4331.0,4285.0,4298.0,1406600.0,4298.0
35,2017-02-23,4304.0,4324.0,4278.0,4318.0,1059000.0,4318.0
36,2017-02-24,4327.0,4370.0,4312.0,4348.0,1215500.0,4348.0
37,2017-02-27,4336.0,4341.0,4285.0,4324.0,1096400.0,4324.0
38,2017-02-28,4356.0,4370.0,4336.0,4342.0,1375400.0,4342.0
39,2017-03-01,4353.0,4390.0,4344.0,4385.0,1213000.0,4385.0
40,2017-03-02,4440.0,4458.0,4422.0,4433.0,1371200.0,4433.0
41,2017-03-03,4445.0,4445.0,4402.0,4425.0,1236000.0,4425.0
42,2017-03-06,4412.0,4436.0,4390.0,4432.0,991000.0,4432.0
43,2017-03-07,4400.0,4421.0,4381.0,4392.0,1567100.0,4392.0
44,2017-03-08,4392.0,4433.0,4387.0,4399.0,1221800.0,4399.0
45,2017-03-09,4417.0,4426.0,4401.0,4423.0,1023600.0,4423.0
46,2017-03-10,4469.0,4495.0,4456.0,4489.0,1924300.0,4489.0
47,2017-03-13,4497.0,4508.0,4486.0,4505.0,1018300.0,4505.0
48,2017-03-14,4494.0,4512.0,4484.0,4502.0,959000.0,4502.0
49,2017-03-15,4501.0,4514.0,4479.0,4514.0,1037500.0,4514.0
50,2017-03-16,4510.0,4523.0,4497.0,4512.0,1296800.0,4512.0
51,2017-03-17,4502.0,4521.0,4490.0,4519.0,1396800.0,4519.0
52,2017-03-21,4520.0,4533.0,4499.0,4520.0,1309000.0,4520.0
53,2017-03-22,4459.0,4465.0,4431.0,4434.0,1399500.0,4434.0
54,2017-03-23,4468.0,4468.0,4431.0,4453.0,1202100.0,4453.0
55,2017-03-24,4450.0,4478.0,4438.0,4474.0,1736400.0,4474.0
56,2017-03-27,4488.0,4488.0,4402.0,4411.0,1383800.0,4411.0
57,2017-03-28,4412.0,4454.0,4409.0,4446.0,1418000.0,4446.0
58,2017-03-29,4447.0,4465.0,4423.0,4432.0,928600.0,4432.0
59,2017-03-30,4432.0,4445.0,4393.0,4396.0,810700.0,4396.0
60,2017-03-31,4429.0,4433.0,4348.0,4348.0,1482000.0,4348.0
61,2017-04-03,4356.0,4380.0,4341.0,4359.0,1340000.0,4359.0
62,2017-04-04,4340.0,4349.0,4267.0,4302.0,1538700.0,4302.0
63,2017-04-05,4314.0,4340.0,4284.0,4307.0,910800.0,4307.0
64,2017-04-06,4279.0,4293.0,4201.0,4222.0,1256600.0,4222.0
65,2017-04-07,4253.0,4255.0,4194.0,4217.0,1516100.0,4217.0
66,2017-04-10,4236.0,4258.0,4234.0,4246.0,711500.0,4246.0
67,2017-04-11,4241.0,4254.0,4207.0,4236.0,965900.0,4236.0
68,2017-04-12,4215.0,4224.0,4178.0,4204.0,1115600.0,4204.0
69,2017-04-13,4197.0,4219.0,4165.0,4196.0,1421800.0,4196.0
70,2017-04-14,4220.0,4225.0,4130.0,4143.0,1391300.0,4143.0
71,2017-04-17,4123.0,4164.0,4116.0,4157.0,867800.0,4157.0
72,2017-04-18,4182.0,4195.0,4145.0,4170.0,1000000.0,4170.0
73,2017-04-19,4168.0,4180.0,4125.0,4145.0,1517200.0,4145.0
74,2017-04-20,4128.0,4183.0,4128.0,4155.0,1083500.0,4155.0
75,2017-04-21,4016.0,4032.0,3966.0,3987.0,8697900.0,3987.0
76,2017-04-24,4016.0,4033.0,4000.0,4014.0,3604200.0,4014.0
77,2017-04-25,4032.0,4116.0,4031.0,4104.0,2302500.0,4104.0
78,2017-04-26,4148.0,4148.0,4097.0,4114.0,1751700.0,4114.0
79,2017-04-27,4111.0,4174.0,4111.0,4151.0,1649600.0,4151.0
80,2017-04-28,4151.0,4154.0,4132.0,4134.0,1415800.0,4134.0
81,2017-05-01,4134.0,4174.0,4134.0,4165.0,1081600.0,4165.0
82,2017-05-02,4178.0,4198.0,4150.0,4174.0,1537800.0,4174.0
83,2017-05-08,4257.0,4277.0,4237.0,4268.0,2117200.0,4268.0
84,2017-05-09,4280.0,4293.0,4254.0,4273.0,1476700.0,4273.0
85,2017-05-10,4288.0,4292.0,4247.0,4270.0,1461300.0,4270.0
86,2017-05-11,4263.0,4304.0,4260.0,4284.0,1186200.0,4284.0
87,2017-05-12,4299.0,4306.0,4249.0,4280.0,1857400.0,4280.0
88,2017-05-15,4236.0,4255.0,4190.0,4194.0,1476200.0,4194.0
89,2017-05-16,4185.0,4235.0,4184.0,4201.0,1560000.0,4201.0
90,2017-05-17,4180.0,4200.0,4173.0,4178.0,1598700.0,4178.0
91,2017-05-18,4108.0,4144.0,4100.0,4115.0,1257500.0,4115.0
92,2017-05-19,4106.0,4113.0,4068.0,4090.0,1749500.0,4090.0
93,2017-05-22,4106.0,4126.0,4096.0,4109.0,843600.0,4109.0
94,2017-05-23,4070.0,4087.0,4039.0,4050.0,1435700.0,4050.0
95,2017-05-24,4073.0,4084.0,4018.0,4035.0,1671000.0,4035.0
96,2017-05-25,4044.0,4062.0,4038.0,4050.0,1183400.0,4050.0
97,2017-05-26,4056.0,4060.0,4032.0,4043.0,1063600.0,4043.0
98,2017-05-29,4050.0,4074.0,4045.0,4048.0,685400.0,4048.0
99,2017-05-30,4045.0,4052.0,4005.0,4040.0,941600.0,4040.0
100,2017-05-31,4036.0,4062.0,4027.0,4038.0,3207600.0,4038.0
101,2017-06-01,4070.0,4105.0,4057.0,4089.0,1233400.0,4089.0
102,2017-06-02,4104.0,4142.0,4101.0,4132.0,1874200.0,4132.0
103,2017-06-05,4127.0,4132.0,4104.0,4110.0,1150200.0,4110.0
104,2017-06-06,4088.0,4096.0,4052.0,4054.0,1596600.0,4054.0
105,2017-06-07,4039.0,4080.0,4037.0,4063.0,1881400.0,4063.0
106,2017-06-08,4109.0,4145.0,4104.0,4130.0,1694600.0,4130.0
107,2017-06-09,3990.0,3999.0,3932.0,3964.0,6920500.0,3964.0
108,2017-06-12,4000.0,4052.0,3955.0,4028.0,3708000.0,4028.0
109,2017-06-13,4004.0,4015.0,3972.0,3991.0,3556300.0,3991.0
110,2017-06-14,4007.0,4008.0,3978.0,3988.0,2174200.0,3988.0
111,2017-06-15,3990.0,4043.0,3986.0,3998.0,2037600.0,3998.0
112,2017-06-16,4006.0,4023.0,3994.0,4009.0,2383100.0,4009.0
113,2017-06-19,4009.0,4057.0,4009.0,4051.0,1731500.0,4051.0
114,2017-06-20,4090.0,4118.0,4070.0,4089.0,1928100.0,4089.0
115,2017-06-21,4077.0,4088.0,4043.0,4048.0,1470800.0,4048.0
116,2017-06-22,4042.0,4061.0,4027.0,4045.0,1496300.0,4045.0
117,2017-06-23,4069.0,4072.0,4045.0,4045.0,981000.0,4045.0
118,2017-06-26,4030.0,4046.0,4016.0,4035.0,1067500.0,4035.0
119,2017-06-27,4057.0,4093.0,4054.0,4086.0,1594100.0,4086.0
120,2017-06-28,4069.0,4079.0,4032.0,4038.0,1735000.0,4038.0
121,2017-06-29,4063.0,4077.0,4048.0,4064.0,1255100.0,4064.0
122,2017-06-30,4028.0,4043.0,4026.0,4040.0,1624800.0,4040.0
123,2017-07-03,4041.0,4044.0,4020.0,4021.0,1306500.0,4021.0
124,2017-07-04,4033.0,4063.0,4024.0,4055.0,1523900.0,4055.0
125,2017-07-05,4066.0,4085.0,4040.0,4084.0,1176200.0,4084.0
126,2017-07-06,4081.0,4089.0,4043.0,4047.0,1704800.0,4047.0
127,2017-07-07,4022.0,4035.0,4012.0,4013.0,1658000.0,4013.0
128,2017-07-10,4060.0,4091.0,4043.0,4086.0,1882100.0,4086.0
129,2017-07-11,4089.0,4145.0,4087.0,4143.0,1611100.0,4143.0
130,2017-07-12,4143.0,4157.0,4113.0,4118.0,984400.0,4118.0
131,2017-07-13,4131.0,4133.0,4098.0,4107.0,963800.0,4107.0
132,2017-07-14,4113.0,4141.0,4107.0,4133.0,1269900.0,4133.0
133,2017-07-18,4134.0,4152.0,4103.0,4126.0,1169200.0,4126.0
134,2017-07-19,4110.0,4112.0,4080.0,4082.0,1316000.0,4082.0
135,2017-07-20,4150.0,4257.0,4137.0,4188.0,3657800.0,4188.0
136,2017-07-21,4180.0,4194.0,4146.0,4154.0,1438000.0,4154.0
137,2017-07-24,4130.0,4141.0,4110.0,4132.0,1033100.0,4132.0
138,2017-07-25,4144.0,4146.0,4109.0,4110.0,871600.0,4110.0
139,2017-07-26,4130.0,4132.0,4083.0,4092.0,1307000.0,4092.0
140,2017-07-27,4080.0,4112.0,4072.0,4092.0,1107600.0,4092.0
141,2017-07-28,4090.0,4108.0,4081.0,4091.0,1184800.0,4091.0
142,2017-07-31,4083.0,4085.0,4050.0,4053.0,1957200.0,4053.0
143,2017-08-01,4048.0,4086.0,4041.0,4082.0,1311700.0,4082.0
144,2017-08-02,4116.0,4129.0,4093.0,4104.0,993300.0,4104.0
145,2017-08-03,4100.0,4102.0,4052.0,4062.0,1075300.0,4062.0
146,2017-08-04,4059.0,4073.0,4042.0,4045.0,1105800.0,4045.0
147,2017-08-07,4050.0,4065.0,4032.0,4032.0,1167200.0,4032.0
148,2017-08-08,4027.0,4034.0,4003.0,4023.0,1755900.0,4023.0
149,2017-08-09,4033.0,4034.0,3983.0,3994.0,1883700.0,3994.0
150,2017-08-10,3981.0,3996.0,3964.0,3968.0,1530500.0,3968.0
151,2017-08-14,3936.0,3961.0,3934.0,3942.0,2214600.0,3942.0
152,2017-08-15,4191.0,4258.0,4159.0,4245.0,6898500.0,4245.0
153,2017-08-16,4257.0,4300.0,4234.0,4287.0,3628100.0,4287.0
154,2017-08-17,4285.0,4295.0,4260.0,4294.0,1846600.0,4294.0
155,2017-08-18,4242.0,4270.0,4227.0,4253.0,1902300.0,4253.0
156,2017-08-21,4235.0,4236.0,4197.0,4209.0,1504500.0,4209.0
157,2017-08-22,4200.0,4212.0,4167.0,4174.0,1457500.0,4174.0
158,2017-08-23,4202.0,4211.0,4157.0,4164.0,1342800.0,4164.0
159,2017-08-24,4158.0,4160.0,4113.0,4116.0,1644900.0,4116.0
160,2017-08-25,4135.0,4189.0,4116.0,4182.0,1905900.0,4182.0
161,2017-08-28,4185.0,4194.0,4144.0,4166.0,1208200.0,4166.0
162,2017-08-29,4142.0,4161.0,4123.0,4156.0,1333600.0,4156.0
163,2017-08-30,4163.0,4259.0,4147.0,4227.0,6360600.0,4227.0
164,2017-08-31,4350.0,4397.0,4321.0,4322.0,4673500.0,4322.0
165,2017-09-01,4360.0,4366.0,4321.0,4339.0,2136600.0,4339.0
166,2017-09-04,4316.0,4333.0,4287.0,4297.0,1553200.0,4297.0
167,2017-09-05,4300.0,4302.0,4244.0,4252.0,1889800.0,4252.0
168,2017-09-06,4255.0,4282.0,4241.0,4270.0,1942400.0,4270.0
169,2017-09-07,4285.0,4335.0,4281.0,4285.0,1514600.0,4285.0
170,2017-09-08,4225.0,4264.0,4200.0,4205.0,2633300.0,4205.0
171,2017-09-11,4243.0,4258.0,4229.0,4236.0,1038400.0,4236.0
172,2017-09-12,4279.0,4292.0,4260.0,4275.0,1290000.0,4275.0
173,2017-09-13,4309.0,4328.0,4287.0,4291.0,1401600.0,4291.0
174,2017-09-14,4324.0,4325.0,4278.0,4292.0,1442100.0,4292.0
175,2017-09-15,4290.0,4339.0,4274.0,4327.0,2174300.0,4327.0
176,2017-09-19,4350.0,4392.0,4343.0,4383.0,1906700.0,4383.0
177,2017-09-20,4376.0,4415.0,4371.0,4409.0,1624500.0,4409.0
