,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,2988.0,3050.0,2971.5,3013.0,1691600.0,3013.0
1,2017-01-05,3020.0,3038.0,3007.0,3030.0,1305700.0,3030.0
2,2017-01-06,3053.0,3097.0,3053.0,3092.0,1591700.0,3092.0
3,2017-01-10,3100.0,3150.0,3064.0,3082.0,1781300.0,3082.0
4,2017-01-11,3100.0,3124.0,3090.0,3110.0,1527300.0,3110.0
5,2017-01-12,3085.0,3092.0,3017.0,3046.0,1824800.0,3046.0
6,2017-01-13,3060.0,3103.0,3046.0,3095.0,1250200.0,3095.0
7,2017-01-16,3077.0,3096.0,3058.0,3062.0,814700.0,3062.0
8,2017-01-17,3056.0,3056.0,3003.0,3005.0,780700.0,3005.0
9,2017-01-18,3025.0,3030.0,2990.5,2998.5,1131300.0,2998.5
10,2017-01-19,3014.0,3064.0,3000.0,3050.0,1284500.0,3050.0
11,2017-01-20,3062.0,3073.0,3051.0,3062.0,1027500.0,3062.0
12,2017-01-23,3026.0,3043.0,2987.5,3021.0,1352700.0,3021.0
13,2017-01-24,3011.0,3058.0,3008.0,3034.0,1257100.0,3034.0
14,2017-01-25,3075.0,3093.0,3055.0,3080.0,1214700.0,3080.0
15,2017-01-26,3090.0,3129.0,3087.0,3126.0,1553400.0,3126.0
16,2017-01-27,3135.0,3203.0,3135.0,3156.0,1979200.0,3156.0
17,2017-01-30,3148.0,3165.0,3130.0,3162.0,1155000.0,3162.0
18,2017-01-31,3150.0,3197.0,3145.0,3158.0,1853900.0,3158.0
19,2017-02-01,3138.0,3172.0,3121.0,3168.0,1245400.0,3168.0
20,2017-02-02,3156.0,3174.0,3125.0,3133.0,1226500.0,3133.0
21,2017-02-03,3160.0,3193.0,3151.0,3166.0,880300.0,3166.0
22,2017-02-06,3177.0,3188.0,3116.0,3137.0,1081600.0,3137.0
23,2017-02-07,3118.0,3154.0,3111.0,3146.0,768000.0,3146.0
24,2017-02-08,3152.0,3168.0,3132.0,3158.0,581200.0,3158.0
25,2017-02-09,3157.0,3174.0,3141.0,3152.0,833200.0,3152.0
26,2017-02-10,3000.0,3030.0,2916.5,2927.5,5861800.0,2927.5
27,2017-02-13,2936.0,2941.5,2912.5,2914.5,2569300.0,2914.5
28,2017-02-14,2920.5,2926.5,2874.0,2877.0,2267200.0,2877.0
29,2017-02-15,2909.0,2915.0,2881.0,2890.5,1745300.0,2890.5
30,2017-02-16,2911.5,2928.5,2898.5,2918.0,2531600.0,2918.0
31,2017-02-17,2869.0,2877.5,2825.0,2837.5,2462800.0,2837.5
32,2017-02-20,2842.5,2875.5,2834.0,2873.0,1528800.0,2873.0
33,2017-02-21,2869.5,2883.5,2861.5,2881.5,878700.0,2881.5
34,2017-02-22,2900.0,2911.0,2884.5,2905.5,1839200.0,2905.5
35,2017-02-23,2920.0,2950.0,2916.0,2947.0,2808100.0,2947.0
36,2017-02-24,2940.5,2961.5,2927.5,2954.5,1562500.0,2954.5
37,2017-02-27,2950.0,2993.0,2948.5,2979.5,2335900.0,2979.5
38,2017-02-28,2953.5,2978.0,2947.0,2955.0,1881600.0,2955.0
39,2017-03-01,3134.0,3135.0,3052.0,3069.0,3761900.0,3069.0
40,2017-03-02,3084.0,3084.0,3024.0,3043.0,2246200.0,3043.0
41,2017-03-03,3059.0,3083.0,3045.0,3054.0,1400400.0,3054.0
42,2017-03-06,3042.0,3065.0,3041.0,3061.0,879100.0,3061.0
43,2017-03-07,3044.0,3062.0,3013.0,3019.0,1149000.0,3019.0
44,2017-03-08,2972.0,2973.5,2917.5,2949.0,2569400.0,2949.0
45,2017-03-09,2975.0,2975.0,2934.0,2947.0,1237400.0,2947.0
46,2017-03-10,2948.0,2999.0,2941.0,2984.0,2358100.0,2984.0
47,2017-03-13,2965.5,3011.0,2965.0,3007.0,1121800.0,3007.0
48,2017-03-14,3006.0,3017.0,2998.0,3008.0,875000.0,3008.0
49,2017-03-15,3002.0,3012.0,2976.0,3011.0,865500.0,3011.0
50,2017-03-16,2981.0,2994.5,2975.5,2978.5,1144700.0,2978.5
51,2017-03-17,2972.5,2989.0,2966.5,2976.5,1064300.0,2976.5
52,2017-03-21,2954.5,2999.5,2954.5,2988.5,1010500.0,2988.5
53,2017-03-22,2959.0,2975.0,2952.5,2954.5,1350400.0,2954.5
54,2017-03-23,2955.0,2984.5,2946.5,2978.5,896200.0,2978.5
55,2017-03-24,2968.0,3007.0,2961.5,2986.0,1331400.0,2986.0
56,2017-03-27,2944.0,2961.0,2918.0,2947.0,1267300.0,2947.0
57,2017-03-28,2962.0,2979.5,2947.0,2974.0,1353400.0,2974.0
58,2017-03-29,2976.5,3046.0,2976.0,3045.0,1269700.0,3045.0
59,2017-03-30,3045.0,3057.0,3019.0,3038.0,1226600.0,3038.0
60,2017-03-31,3037.0,3037.0,2930.0,2930.0,2573200.0,2930.0
61,2017-04-03,2946.5,2989.0,2934.0,2976.0,1685600.0,2976.0
62,2017-04-04,2954.0,3002.0,2939.0,2958.0,1612000.0,2958.0
63,2017-04-05,2956.5,2993.5,2916.0,2933.5,1392800.0,2933.5
64,2017-04-06,2943.5,2963.5,2873.5,2884.5,1441000.0,2884.5
65,2017-04-07,2904.5,2944.5,2878.5,2923.5,1612700.0,2923.5
66,2017-04-10,2945.5,2949.0,2913.0,2918.5,1165500.0,2918.5
67,2017-04-11,2931.5,2933.0,2903.5,2914.0,685800.0,2914.0
68,2017-04-12,2890.0,2899.0,2833.0,2846.5,1964600.0,2846.5
69,2017-04-13,2850.0,2913.5,2840.5,2910.0,1925000.0,2910.0
70,2017-04-14,2950.0,2951.0,2873.0,2883.0,1909500.0,2883.0
71,2017-04-17,2865.5,2897.0,2858.0,2895.0,703600.0,2895.0
72,2017-04-18,2900.0,2922.5,2880.0,2906.5,1001300.0,2906.5
73,2017-04-19,2906.0,2933.5,2889.5,2906.5,1412000.0,2906.5
74,2017-04-20,2901.5,2920.0,2875.5,2880.0,1295300.0,2880.0
75,2017-04-21,2897.5,2967.5,2873.0,2955.0,2185200.0,2955.0
76,2017-04-24,2970.5,2985.0,2954.5,2978.5,1398200.0,2978.5
77,2017-04-25,2974.0,3000.0,2955.5,2986.0,1788600.0,2986.0
78,2017-04-26,2995.0,3018.0,2981.5,3018.0,1382700.0,3018.0
79,2017-04-27,3015.0,3028.0,2993.0,3008.0,1339600.0,3008.0
80,2017-04-28,3008.0,3020.0,2999.5,3016.0,1066300.0,3016.0
81,2017-05-01,3000.0,3021.0,2982.5,3011.0,819300.0,3011.0
82,2017-05-02,3011.0,3030.0,3000.0,3006.0,1286200.0,3006.0
83,2017-05-08,3059.0,3170.0,3058.0,3165.0,2525200.0,3165.0
84,2017-05-09,3160.0,3168.0,3141.0,3165.0,1545200.0,3165.0
85,2017-05-10,3192.0,3200.0,3172.0,3198.0,1311900.0,3198.0
86,2017-05-11,3203.0,3242.0,3203.0,3225.0,1499300.0,3225.0
87,2017-05-12,3246.0,3263.0,3225.0,3246.0,2053500.0,3246.0
88,2017-05-15,3456.0,3500.0,3424.0,3473.0,3612500.0,3473.0
89,2017-05-16,3490.0,3536.0,3488.0,3507.0,2899000.0,3507.0
90,2017-05-17,3485.0,3546.0,3478.0,3539.0,2203700.0,3539.0
91,2017-05-18,3493.0,3539.0,3490.0,3503.0,2015000.0,3503.0
92,2017-05-19,3500.0,3540.0,3496.0,3530.0,1279500.0,3530.0
93,2017-05-22,3600.0,3655.0,3600.0,3638.0,2092300.0,3638.0
94,2017-05-23,3605.0,3645.0,3604.0,3640.0,1181500.0,3640.0
95,2017-05-24,3650.0,3669.0,3613.0,3635.0,1648500.0,3635.0
96,2017-05-25,3615.0,3625.0,3594.0,3615.0,1423000.0,3615.0
97,2017-05-26,3615.0,3635.0,3609.0,3617.0,747600.0,3617.0
98,2017-05-29,3601.0,3706.0,3599.0,3701.0,1420300.0,3701.0
99,2017-05-30,3702.0,3719.0,3698.0,3717.0,1335500.0,3717.0
100,2017-05-31,3700.0,3748.0,3697.0,3728.0,1551700.0,3728.0
101,2017-06-01,3731.0,3812.0,3726.0,3808.0,1735500.0,3808.0
102,2017-06-02,3830.0,3844.0,3794.0,3833.0,2124600.0,3833.0
103,2017-06-05,3850.0,3954.0,3849.0,3948.0,1946900.0,3948.0
104,2017-06-06,3926.0,3946.0,3901.0,3913.0,2538800.0,3913.0
105,2017-06-07,3894.0,3909.0,3857.0,3891.0,1862700.0,3891.0
106,2017-06-08,3881.0,3892.0,3838.0,3842.0,1662700.0,3842.0
107,2017-06-09,3812.0,3816.0,3754.0,3771.0,2832600.0,3771.0
108,2017-06-12,3741.0,3767.0,3730.0,3759.0,1637300.0,3759.0
109,2017-06-13,3761.0,3796.0,3758.0,3781.0,1195600.0,3781.0
