,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,1595.0,1608.0,1582.0,1592.0,594300.0,1592.0
1,2017-01-05,1600.0,1604.0,1586.0,1604.0,411700.0,1604.0
2,2017-01-06,1602.0,1605.0,1586.0,1601.0,378200.0,1601.0
3,2017-01-10,1601.0,1629.0,1596.0,1611.0,520600.0,1611.0
4,2017-01-11,1611.0,1612.0,1587.0,1595.0,311300.0,1595.0
5,2017-01-12,1620.0,1623.0,1567.0,1569.0,510100.0,1569.0
6,2017-01-13,1550.0,1579.0,1545.0,1574.0,330800.0,1574.0
7,2017-01-16,1583.0,1586.0,1551.0,1557.0,291400.0,1557.0
8,2017-01-17,1614.0,1663.0,1592.0,1646.0,1654300.0,1646.0
9,2017-01-18,1620.0,1649.0,1607.0,1616.0,781300.0,1616.0
10,2017-01-19,1644.0,1644.0,1603.0,1611.0,459500.0,1611.0
11,2017-01-20,1606.0,1629.0,1587.0,1614.0,456600.0,1614.0
12,2017-01-23,1593.0,1606.0,1578.0,1578.0,360500.0,1578.0
13,2017-01-24,1601.0,1638.0,1587.0,1588.0,692900.0,1588.0
14,2017-01-25,1615.0,1622.0,1598.0,1600.0,343400.0,1600.0
15,2017-01-26,1630.0,1630.0,1605.0,1614.0,369300.0,1614.0
16,2017-01-27,1611.0,1624.0,1591.0,1591.0,379900.0,1591.0
17,2017-01-30,1592.0,1626.0,1578.0,1614.0,611000.0,1614.0
18,2017-01-31,1641.0,1664.0,1602.0,1602.0,1175000.0,1602.0
19,2017-02-01,1590.0,1610.0,1577.0,1586.0,587600.0,1586.0
20,2017-02-02,1595.0,1625.0,1585.0,1585.0,598500.0,1585.0
21,2017-02-03,1580.0,1602.0,1573.0,1579.0,299900.0,1579.0
22,2017-02-06,1588.0,1592.0,1565.0,1581.0,236900.0,1581.0
23,2017-02-07,1555.0,1569.0,1546.0,1557.0,277100.0,1557.0
24,2017-02-08,1557.0,1565.0,1544.0,1551.0,167300.0,1551.0
25,2017-02-09,1545.0,1554.0,1528.0,1532.0,267400.0,1532.0
26,2017-02-10,1540.0,1557.0,1531.0,1557.0,377700.0,1557.0
27,2017-02-13,1567.0,1568.0,1544.0,1557.0,275300.0,1557.0
28,2017-02-14,1553.0,1563.0,1536.0,1536.0,330400.0,1536.0
29,2017-02-15,1547.0,1547.0,1529.0,1535.0,227600.0,1535.0
30,2017-02-16,1525.0,1530.0,1512.0,1524.0,252300.0,1524.0
31,2017-02-17,1519.0,1553.0,1512.0,1547.0,294700.0,1547.0
