,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,498.0,513.4,497.6,510.0,19079400.0,510.0
1,2017-01-05,508.2,512.8,504.4,512.5,16647700.0,512.5
2,2017-01-06,507.6,510.6,505.1,510.3,12664300.0,510.3
3,2017-01-10,507.0,511.0,504.5,504.6,16023600.0,504.6
4,2017-01-11,505.9,514.8,502.3,510.3,22158000.0,510.3
5,2017-01-12,518.2,522.3,515.0,518.3,18895300.0,518.3
6,2017-01-13,516.9,524.0,515.8,522.8,17047900.0,522.8
7,2017-01-16,519.8,521.8,512.7,514.9,11121100.0,514.9
8,2017-01-17,514.9,514.9,505.1,506.2,11217700.0,506.2
9,2017-01-18,505.2,517.7,505.2,517.1,12493100.0,517.1
10,2017-01-19,516.9,517.1,511.3,515.1,9884500.0,515.1
11,2017-01-20,520.0,529.4,519.9,525.0,16918900.0,525.0
12,2017-01-23,515.9,524.1,511.1,522.5,11521700.0,522.5
13,2017-01-24,524.8,526.2,516.9,519.5,11677500.0,519.5
14,2017-01-25,528.6,529.6,522.3,524.0,10418700.0,524.0
15,2017-01-26,528.8,529.0,524.0,528.9,12756000.0,528.9
16,2017-01-27,530.1,541.7,530.0,536.1,18019900.0,536.1
17,2017-01-30,536.3,544.5,536.2,541.2,14237300.0,541.2
18,2017-01-31,534.0,536.5,529.6,532.6,13355400.0,532.6
19,2017-02-01,529.6,532.9,520.0,531.9,8939900.0,531.9
20,2017-02-02,532.2,532.2,523.2,525.0,9531900.0,525.0
21,2017-02-03,528.5,530.5,524.0,526.3,9126600.0,526.3
22,2017-02-06,531.1,532.5,525.1,527.6,9823000.0,527.6
23,2017-02-07,524.0,530.9,521.5,530.9,15416500.0,530.9
24,2017-02-08,525.0,525.9,514.1,517.5,14860700.0,517.5
25,2017-02-09,514.8,515.9,507.1,510.5,15310900.0,510.5
26,2017-02-10,519.5,530.5,518.0,525.9,14042600.0,525.9
27,2017-02-13,534.9,546.4,534.3,543.1,20227700.0,543.1
28,2017-02-14,539.7,541.7,533.9,535.0,10892900.0,535.0
29,2017-02-15,540.0,540.0,535.1,539.1,8135400.0,539.1
30,2017-02-16,538.5,541.2,535.4,539.5,7859200.0,539.5
31,2017-02-17,535.5,539.5,532.4,533.4,7350100.0,533.4
32,2017-02-20,528.8,529.1,524.7,527.0,8587000.0,527.0
33,2017-02-21,532.0,534.9,529.0,529.9,7034600.0,529.9
34,2017-02-22,532.6,534.0,528.1,531.1,10743000.0,531.1
35,2017-02-23,530.5,533.9,526.2,533.3,7559500.0,533.3
36,2017-02-24,533.2,535.5,530.3,531.9,9844300.0,531.9
37,2017-02-27,529.8,529.8,520.2,524.6,10004100.0,524.6
38,2017-02-28,531.5,542.3,531.3,535.1,15237600.0,535.1
39,2017-03-01,541.6,548.8,538.3,543.9,14656600.0,543.9
40,2017-03-02,548.4,550.8,545.8,546.2,10578200.0,546.2
41,2017-03-03,540.5,546.1,534.2,536.8,11716100.0,536.8
42,2017-03-06,538.8,552.7,538.4,548.8,12249600.0,548.8
43,2017-03-07,555.0,564.6,554.6,559.8,17891200.0,559.8
44,2017-03-08,556.8,557.8,553.7,557.0,9289000.0,557.0
