,日付,始値,高値,安値,終値,出来高,終値調整
0,2017-01-04,4298.0,4325.0,4286.0,4323.0,2342700.0,4323.0
1,2017-01-05,4312.0,4320.0,4272.0,4299.0,2175900.0,4299.0
2,2017-01-06,4251.0,4287.0,4250.0,4265.0,1606100.0,4265.0
3,2017-01-10,4231.0,4292.0,4215.0,4226.0,2756300.0,4226.0
4,2017-01-11,4248.0,4256.0,4197.0,4207.0,2393900.0,4207.0
5,2017-01-12,4158.0,4190.0,4130.0,4136.0,2807500.0,4136.0
6,2017-01-13,4147.0,4196.0,4147.0,4193.0,2956900.0,4193.0
7,2017-01-16,4196.0,4198.0,4135.0,4144.0,1888600.0,4144.0
8,2017-01-17,4112.0,4136.0,4086.0,4086.0,1935900.0,4086.0
9,2017-01-18,4000.0,4060.0,3973.0,4053.0,3572500.0,4053.0
10,2017-01-19,4107.0,4127.0,4061.0,4096.0,2443200.0,4096.0
11,2017-01-20,4086.0,4136.0,4071.0,4122.0,2420500.0,4122.0
12,2017-01-23,4140.0,4142.0,4051.0,4052.0,2644800.0,4052.0
13,2017-01-24,4030.0,4083.0,4020.0,4055.0,2806800.0,4055.0
14,2017-01-25,4056.0,4105.0,4040.0,4049.0,2526900.0,4049.0
15,2017-01-26,4084.0,4100.0,4066.0,4091.0,2795800.0,4091.0
16,2017-01-27,4140.0,4222.0,4124.0,4208.0,4690100.0,4208.0
17,2017-01-30,4223.0,4274.0,4207.0,4236.0,3979300.0,4236.0
18,2017-01-31,4180.0,4204.0,4120.0,4143.0,3236300.0,4143.0
19,2017-02-01,4127.0,4159.0,4067.0,4153.0,2242100.0,4153.0
20,2017-02-02,4159.0,4164.0,4080.0,4091.0,2752900.0,4091.0
21,2017-02-03,4103.0,4109.0,4031.0,4033.0,3235900.0,4033.0
22,2017-02-06,4069.0,4093.0,4040.0,4063.0,1672300.0,4063.0
23,2017-02-07,4020.0,4077.0,4013.0,4054.0,1698800.0,4054.0
24,2017-02-08,4085.0,4099.0,4058.0,4093.0,1810800.0,4093.0
25,2017-02-09,4048.0,4069.0,4014.0,4040.0,2366100.0,4040.0
26,2017-02-10,4143.0,4210.0,4117.0,4201.0,3444400.0,4201.0
27,2017-02-13,4247.0,4247.0,4187.0,4226.0,2239100.0,4226.0
28,2017-02-14,4272.0,4344.0,4263.0,4270.0,3173500.0,4270.0
29,2017-02-15,4210.0,4290.0,4205.0,4281.0,2768100.0,4281.0
30,2017-02-16,4282.0,4287.0,4229.0,4276.0,2230700.0,4276.0
31,2017-02-17,4326.0,4332.0,4266.0,4315.0,3325000.0,4315.0
32,2017-02-20,4525.0,4575.0,4492.0,4549.0,9326200.0,4549.0
33,2017-02-21,4527.0,4546.0,4517.0,4545.0,2836100.0,4545.0
34,2017-02-22,4550.0,4560.0,4518.0,4548.0,2757200.0,4548.0
35,2017-02-23,4524.0,4557.0,4497.0,4547.0,2973000.0,4547.0
36,2017-02-24,4545.0,4574.0,4525.0,4533.0,2401700.0,4533.0
37,2017-02-27,4510.0,4530.0,4459.0,4495.0,2602400.0,4495.0
38,2017-02-28,4540.0,4559.0,4481.0,4481.0,2700100.0,4481.0
39,2017-03-01,4485.0,4527.0,4440.0,4516.0,2527800.0,4516.0
40,2017-03-02,4571.0,4573.0,4535.0,4535.0,2438200.0,4535.0
41,2017-03-03,4475.0,4527.0,4472.0,4511.0,2315000.0,4511.0
42,2017-03-06,4511.0,4532.0,4494.0,4522.0,1535100.0,4522.0
43,2017-03-07,4522.0,4528.0,4485.0,4500.0,2690200.0,4500.0
44,2017-03-08,4504.0,4526.0,4481.0,4517.0,2496800.0,4517.0
45,2017-03-09,4543.0,4627.0,4542.0,4613.0,3504700.0,4613.0
46,2017-03-10,4700.0,4717.0,4670.0,4698.0,4411000.0,4698.0
47,2017-03-13,4690.0,4691.0,4666.0,4691.0,1787600.0,4691.0
48,2017-03-14,4625.0,4666.0,4602.0,4653.0,3144100.0,4653.0
49,2017-03-15,4616.0,4635.0,4602.0,4623.0,2221100.0,4623.0
50,2017-03-16,4605.0,4637.0,4584.0,4628.0,2622800.0,4628.0
51,2017-03-17,4606.0,4616.0,4589.0,4613.0,2143700.0,4613.0
52,2017-03-21,4586.0,4618.0,4568.0,4613.0,1757500.0,4613.0
53,2017-03-22,4521.0,4560.0,4521.0,4531.0,2421800.0,4531.0
54,2017-03-23,4520.0,4527.0,4486.0,4506.0,2329300.0,4506.0
55,2017-03-24,4506.0,4585.0,4504.0,4543.0,2635900.0,4543.0
56,2017-03-27,4490.0,4502.0,4454.0,4476.0,2049100.0,4476.0
57,2017-03-28,4511.0,4570.0,4511.0,4554.0,3153400.0,4554.0
58,2017-03-29,4571.0,4585.0,4533.0,4546.0,1541500.0,4546.0
59,2017-03-30,4530.0,4542.0,4511.0,4513.0,1251600.0,4513.0
60,2017-03-31,4583.0,4594.0,4503.0,4503.0,2795100.0,4503.0
61,2017-04-03,4550.0,4562.0,4522.0,4524.0,2270600.0,4524.0
62,2017-04-04,4524.0,4539.0,4483.0,4533.0,2823700.0,4533.0
63,2017-04-05,4540.0,4544.0,4460.0,4503.0,3188000.0,4503.0
64,2017-04-06,4502.0,4519.0,4463.0,4477.0,2745200.0,4477.0
65,2017-04-07,4503.0,4525.0,4462.0,4488.0,3424300.0,4488.0
66,2017-04-10,4511.0,4518.0,4466.0,4480.0,2776900.0,4480.0
67,2017-04-11,4460.0,4468.0,4430.0,4456.0,1730200.0,4456.0
68,2017-04-12,4420.0,4425.0,4391.0,4424.0,2190700.0,4424.0
69,2017-04-13,4394.0,4402.0,4351.0,4392.0,2367600.0,4392.0
70,2017-04-14,4380.0,4383.0,4328.0,4342.0,2857500.0,4342.0
71,2017-04-17,4330.0,4351.0,4314.0,4340.0,1956400.0,4340.0
72,2017-04-18,4371.0,4414.0,4357.0,4365.0,1655900.0,4365.0
73,2017-04-19,4356.0,4376.0,4339.0,4362.0,2280600.0,4362.0
74,2017-04-20,4386.0,4440.0,4381.0,4411.0,2362400.0,4411.0
75,2017-04-21,4469.0,4512.0,4467.0,4497.0,3165500.0,4497.0
76,2017-04-24,4557.0,4569.0,4531.0,4532.0,2695500.0,4532.0
77,2017-04-25,4511.0,4580.0,4502.0,4567.0,2265600.0,4567.0
78,2017-04-26,4605.0,4678.0,4602.0,4675.0,2946300.0,4675.0
79,2017-04-27,4620.0,4676.0,4615.0,4655.0,2101300.0,4655.0
80,2017-04-28,4678.0,4678.0,4633.0,4648.0,1649800.0,4648.0
81,2017-05-01,4647.0,4678.0,4623.0,4668.0,1422200.0,4668.0
82,2017-05-02,4678.0,4712.0,4675.0,4702.0,2117800.0,4702.0
83,2017-05-08,4760.0,4805.0,4744.0,4784.0,3908000.0,4784.0
84,2017-05-09,4784.0,4797.0,4760.0,4780.0,2019400.0,4780.0
85,2017-05-10,4783.0,4786.0,4757.0,4772.0,1650700.0,4772.0
86,2017-05-11,4799.0,4823.0,4792.0,4804.0,2347100.0,4804.0
87,2017-05-12,4822.0,4845.0,4740.0,4792.0,3609200.0,4792.0
88,2017-05-15,4792.0,4814.0,4778.0,4792.0,1724900.0,4792.0
89,2017-05-16,4825.0,4856.0,4815.0,4829.0,2347700.0,4829.0
90,2017-05-17,4810.0,4817.0,4773.0,4794.0,2054300.0,4794.0
91,2017-05-18,4669.0,4746.0,4669.0,4730.0,2570700.0,4730.0
92,2017-05-19,4727.0,4751.0,4706.0,4734.0,2113700.0,4734.0
93,2017-05-22,4780.0,4794.0,4734.0,4750.0,1841700.0,4750.0
94,2017-05-23,4794.0,4812.0,4743.0,4748.0,1921400.0,4748.0
95,2017-05-24,4785.0,4796.0,4745.0,4775.0,1790100.0,4775.0
96,2017-05-25,4768.0,4782.0,4746.0,4760.0,1638700.0,4760.0
97,2017-05-26,4760.0,4764.0,4730.0,4730.0,1843600.0,4730.0
98,2017-05-29,4730.0,4745.0,4715.0,4715.0,1481300.0,4715.0
99,2017-05-30,4704.0,4713.0,4675.0,4709.0,1763600.0,4709.0
100,2017-05-31,4670.0,4685.0,4641.0,4652.0,3954700.0,4652.0
101,2017-06-01,4659.0,4743.0,4658.0,4727.0,2968500.0,4727.0
102,2017-06-02,4764.0,4900.0,4754.0,4895.0,5003300.0,4895.0
103,2017-06-05,4869.0,4893.0,4826.0,4843.0,3668600.0,4843.0
104,2017-06-06,4842.0,4885.0,4831.0,4841.0,2326000.0,4841.0
105,2017-06-07,4843.0,4847.0,4797.0,4828.0,2053200.0,4828.0
106,2017-06-08,4850.0,4852.0,4791.0,4792.0,2328100.0,4792.0
107,2017-06-09,4792.0,4843.0,4792.0,4823.0,3205400.0,4823.0
108,2017-06-12,4823.0,4860.0,4814.0,4852.0,2865700.0,4852.0
109,2017-06-13,4838.0,4849.0,4819.0,4846.0,2285500.0,4846.0
110,2017-06-14,4870.0,4905.0,4842.0,4862.0,2345600.0,4862.0
111,2017-06-15,4801.0,4812.0,4714.0,4714.0,3333700.0,4714.0
112,2017-06-16,4727.0,4753.0,4715.0,4723.0,3378200.0,4723.0
113,2017-06-19,4723.0,4763.0,4704.0,4751.0,1533600.0,4751.0
114,2017-06-20,4803.0,4854.0,4802.0,4832.0,2403500.0,4832.0
115,2017-06-21,4849.0,4864.0,4820.0,4828.0,2503200.0,4828.0
116,2017-06-22,4849.0,4910.0,4849.0,4906.0,2970900.0,4906.0
117,2017-06-23,4904.0,4925.0,4892.0,4896.0,1600500.0,4896.0
118,2017-06-26,4880.0,4892.0,4855.0,4855.0,1393200.0,4855.0
